DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
0st batch experiments,Hong Kong,HKUST,EXP,0,12/16/2022,0,0,0,Ru,None,None,None,Ru#1,100,0,0,0,25,1440,1,0,1,0,400,5,360,0,0,0,0,0.5,0,0,0,5,1,1,209
0st batch experiments,Hong Kong,HKUST,EXP,0,12/16/2022,0,0,0,Ru,None,None,None,Ru#2,100,0,0,0,25,1440,1,0,1,0,500,5,360,0,0,0,0,0.5,0,0,0,5,1,1,215
0st batch experiments,Hong Kong,HKUST,EXP,0,12/16/2022,0,0,0,Ru,None,None,None,Ru#3,100,0,0,0,25,1440,1,0,1,0,600,5,360,0,0,0,0,0.5,0,0,0,5,1,1,222
0st batch experiments,Hong Kong,HKUST,EXP,0,12/16/2022,0,0,0,Ru,None,None,None,Ru#4,100,0,0,0,25,1440,1,0,1,0,700,5,360,0,0,0,0,0.5,0,0,0,5,1,1,258
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ba,Na,Zn,B1_BEST_400_#1_High_Quality,50,25,19,6,25,1320,1,0,0,1,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,318
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ag,Na,La,B1_VARIANCE_400_#2_High_Quality,36,33,30,1,25,1440,1,0,0,1,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,337
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Zn,K,Sr,B1_VARIANCE_400_#3_High_Quality,51,24,17,8,45,1080,1,0,0,1,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,223
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Pr,Al,Au,B1_VARIANCE_400_#4_Full,40,38,17,5,38,1440,1,0,0,1,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,323
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Nb,Al,Au,B1_VARIANCE_400_#5_Full,46,27,19,8,75,1020,1,0,0,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,342
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Cr,Li,Ir,Al,B1_VARIANCE_400_#6_Full,43,27,20,1,28,1110,1,0,1,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,277
