Feb. 20, 2023   15:52:43
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 3\400\B3_VARIANCE_400_#1_Full(#9)-294mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.023

Final E (V) = 1.532


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.023,   -2.589E-06
1.024,   -2.155E-08
1.025,   9.266E-07
1.026,   1.508E-06
1.027,   2.216E-06
1.028,   2.640E-06
1.029,   3.128E-06
1.03,   3.505E-06
1.031,   3.850E-06
1.032,   4.055E-06
1.033,   4.274E-06
1.034,   4.759E-06
1.035,   4.983E-06
1.036,   5.138E-06
1.037,   5.330E-06
1.038,   5.677E-06
1.039,   5.923E-06
1.04,   6.184E-06
1.041,   6.394E-06
1.042,   6.526E-06
1.043,   6.686E-06
1.044,   6.791E-06
1.045,   6.887E-06
1.046,   7.120E-06
1.047,   7.202E-06
1.048,   7.412E-06
1.049,   7.531E-06
1.05,   7.686E-06
1.051,   7.874E-06
1.052,   7.942E-06
1.053,   7.969E-06
1.054,   8.193E-06
1.055,   8.317E-06
1.056,   8.472E-06
1.057,   8.549E-06
1.058,   8.554E-06
1.059,   8.696E-06
1.06,   8.851E-06
1.061,   9.002E-06
1.062,   9.139E-06
1.063,   9.239E-06
1.064,   9.253E-06
1.065,   9.330E-06
1.066,   9.371E-06
1.067,   9.463E-06
1.068,   9.641E-06
1.069,   9.760E-06
1.07,   9.741E-06
1.071,   9.915E-06
1.072,   9.874E-06
1.073,   9.942E-06
1.074,   1.001E-05
1.075,   1.004E-05
1.076,   1.012E-05
1.077,   1.028E-05
1.078,   1.044E-05
1.079,   1.041E-05
1.08,   1.043E-05
1.081,   1.051E-05
1.082,   1.071E-05
1.083,   1.071E-05
1.084,   1.089E-05
1.085,   1.089E-05
1.086,   1.088E-05
1.087,   1.074E-05
1.088,   1.104E-05
1.089,   1.108E-05
1.09,   1.117E-05
1.091,   1.138E-05
1.092,   1.130E-05
1.093,   1.129E-05
1.094,   1.144E-05
1.095,   1.149E-05
1.096,   1.152E-05
1.097,   1.145E-05
1.098,   1.140E-05
1.099,   1.167E-05
1.1,   1.189E-05
1.101,   1.189E-05
1.102,   1.219E-05
1.103,   1.203E-05
1.104,   1.223E-05
1.105,   1.213E-05
1.106,   1.217E-05
1.107,   1.235E-05
1.108,   1.233E-05
1.109,   1.239E-05
1.11,   1.246E-05
1.111,   1.243E-05
1.112,   1.261E-05
1.113,   1.280E-05
1.114,   1.279E-05
1.115,   1.260E-05
1.116,   1.280E-05
1.117,   1.289E-05
1.118,   1.296E-05
1.119,   1.297E-05
1.12,   1.312E-05
1.121,   1.313E-05
1.122,   1.325E-05
1.123,   1.345E-05
1.124,   1.347E-05
1.125,   1.342E-05
1.126,   1.359E-05
1.127,   1.371E-05
1.128,   1.368E-05
1.129,   1.380E-05
1.13,   1.385E-05
1.131,   1.398E-05
1.132,   1.387E-05
1.133,   1.397E-05
1.134,   1.403E-05
1.135,   1.401E-05
1.136,   1.424E-05
1.137,   1.430E-05
1.138,   1.445E-05
1.139,   1.438E-05
1.14,   1.451E-05
1.141,   1.462E-05
1.142,   1.462E-05
1.143,   1.485E-05
1.144,   1.499E-05
1.145,   1.484E-05
1.146,   1.496E-05
1.147,   1.505E-05
1.148,   1.501E-05
1.149,   1.519E-05
1.15,   1.529E-05
1.151,   1.520E-05
1.152,   1.519E-05
1.153,   1.552E-05
1.154,   1.541E-05
1.155,   1.558E-05
1.156,   1.581E-05
1.157,   1.572E-05
1.158,   1.574E-05
1.159,   1.577E-05
1.16,   1.586E-05
1.161,   1.608E-05
1.162,   1.606E-05
1.163,   1.612E-05
1.164,   1.624E-05
1.165,   1.648E-05
1.166,   1.645E-05
1.167,   1.647E-05
1.168,   1.656E-05
1.169,   1.670E-05
1.17,   1.680E-05
1.171,   1.676E-05
1.172,   1.688E-05
1.173,   1.702E-05
1.174,   1.716E-05
1.175,   1.715E-05
1.176,   1.718E-05
1.177,   1.735E-05
1.178,   1.751E-05
1.179,   1.742E-05
1.18,   1.777E-05
1.181,   1.766E-05
1.182,   1.775E-05
1.183,   1.774E-05
1.184,   1.798E-05
1.185,   1.808E-05
1.186,   1.822E-05
1.187,   1.819E-05
1.188,   1.837E-05
1.189,   1.860E-05
1.19,   1.851E-05
1.191,   1.862E-05
1.192,   1.885E-05
1.193,   1.891E-05
1.194,   1.889E-05
1.195,   1.897E-05
1.196,   1.899E-05
1.197,   1.930E-05
1.198,   1.950E-05
1.199,   1.932E-05
1.2,   1.948E-05
1.201,   1.952E-05
1.202,   1.965E-05
1.203,   1.967E-05
1.204,   1.996E-05
1.205,   2.022E-05
1.206,   2.025E-05
1.207,   2.031E-05
1.208,   2.051E-05
1.209,   2.060E-05
1.21,   2.060E-05
1.211,   2.079E-05
1.212,   2.083E-05
1.213,   2.088E-05
1.214,   2.105E-05
1.215,   2.104E-05
1.216,   2.120E-05
1.217,   2.148E-05
1.218,   2.142E-05
1.219,   2.166E-05
1.22,   2.190E-05
1.221,   2.183E-05
1.222,   2.215E-05
1.223,   2.215E-05
1.224,   2.230E-05
1.225,   2.250E-05
1.226,   2.253E-05
1.227,   2.265E-05
1.228,   2.275E-05
1.229,   2.285E-05
1.23,   2.306E-05
1.231,   2.293E-05
1.232,   2.326E-05
1.233,   2.355E-05
1.234,   2.343E-05
1.235,   2.344E-05
1.236,   2.362E-05
1.237,   2.375E-05
1.238,   2.393E-05
1.239,   2.418E-05
1.24,   2.453E-05
1.241,   2.444E-05
1.242,   2.454E-05
1.243,   2.463E-05
1.244,   2.479E-05
1.245,   2.503E-05
1.246,   2.516E-05
1.247,   2.524E-05
1.248,   2.539E-05
1.249,   2.549E-05
1.25,   2.573E-05
1.251,   2.583E-05
1.252,   2.595E-05
1.253,   2.604E-05
1.254,   2.628E-05
1.255,   2.647E-05
1.256,   2.660E-05
1.257,   2.692E-05
1.258,   2.708E-05
1.259,   2.701E-05
1.26,   2.711E-05
1.261,   2.747E-05
1.262,   2.768E-05
1.263,   2.772E-05
1.264,   2.803E-05
1.265,   2.815E-05
1.266,   2.817E-05
1.267,   2.840E-05
1.268,   2.871E-05
1.269,   2.901E-05
1.27,   2.893E-05
1.271,   2.910E-05
1.272,   2.929E-05
1.273,   2.948E-05
1.274,   2.978E-05
1.275,   2.985E-05
1.276,   3.028E-05
1.277,   3.037E-05
1.278,   3.057E-05
1.279,   3.073E-05
1.28,   3.107E-05
1.281,   3.115E-05
1.282,   3.133E-05
1.283,   3.148E-05
1.284,   3.177E-05
1.285,   3.206E-05
