Feb. 22, 2023   13:32:15
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 3\500\B3_BEST_500_#6_Full-249mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.099

Final E (V) = 1.592


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.099,   -1.722e-4
1.100,   -1.261e-4
1.101,   -9.824e-5
1.102,   -7.901e-5
1.103,   -6.344e-5
1.104,   -5.059e-5
1.105,   -3.921e-5
1.106,   -2.937e-5
1.107,   -2.077e-5
1.108,   -1.304e-5
1.109,   -6.260e-6
1.110,   -1.140e-7
1.111,   5.562e-6
1.112,   1.051e-5
1.113,   1.524e-5
1.114,   1.965e-5
1.115,   2.331e-5
1.116,   2.711e-5
1.117,   3.049e-5
1.118,   3.351e-5
1.119,   3.664e-5
1.120,   3.952e-5
1.121,   4.184e-5
1.122,   4.428e-5
1.123,   4.634e-5
1.124,   4.867e-5
1.125,   5.065e-5
1.126,   5.258e-5
1.127,   5.447e-5
1.128,   5.614e-5
1.129,   5.788e-5
1.130,   5.949e-5
1.131,   6.089e-5
1.132,   6.250e-5
1.133,   6.412e-5
1.134,   6.525e-5
1.135,   6.676e-5
1.136,   6.789e-5
1.137,   6.915e-5
1.138,   7.054e-5
1.139,   7.151e-5
1.140,   7.278e-5
1.141,   7.385e-5
1.142,   7.487e-5
1.143,   7.614e-5
1.144,   7.712e-5
1.145,   7.824e-5
1.146,   7.939e-5
1.147,   8.015e-5
1.148,   8.120e-5
1.149,   8.209e-5
1.150,   8.290e-5
1.151,   8.402e-5
1.152,   8.485e-5
1.153,   8.566e-5
1.154,   8.664e-5
1.155,   8.737e-5
1.156,   8.831e-5
1.157,   8.914e-5
1.158,   9.009e-5
1.159,   9.117e-5
1.160,   9.163e-5
1.161,   9.253e-5
1.162,   9.335e-5
1.163,   9.388e-5
1.164,   9.488e-5
1.165,   9.569e-5
1.166,   9.636e-5
1.167,   9.723e-5
1.168,   9.791e-5
1.169,   9.863e-5
1.170,   9.954e-5
1.171,   1.003e-4
1.172,   1.011e-4
1.173,   1.017e-4
1.174,   1.024e-4
1.175,   1.033e-4
1.176,   1.038e-4
1.177,   1.047e-4
1.178,   1.055e-4
1.179,   1.059e-4
1.180,   1.067e-4
1.181,   1.074e-4
1.182,   1.081e-4
1.183,   1.090e-4
1.184,   1.096e-4
1.185,   1.103e-4
1.186,   1.110e-4
1.187,   1.114e-4
1.188,   1.122e-4
1.189,   1.128e-4
1.190,   1.135e-4
1.191,   1.142e-4
1.192,   1.146e-4
1.193,   1.153e-4
1.194,   1.160e-4
1.195,   1.163e-4
1.196,   1.171e-4
1.197,   1.177e-4
1.198,   1.182e-4
1.199,   1.188e-4
1.200,   1.191e-4
1.201,   1.196e-4
1.202,   1.201e-4
1.203,   1.205e-4
1.204,   1.211e-4
1.205,   1.214e-4
1.206,   1.217e-4
1.207,   1.222e-4
1.208,   1.224e-4
1.209,   1.229e-4
1.210,   1.234e-4
1.211,   1.233e-4
1.212,   1.238e-4
1.213,   1.240e-4
1.214,   1.241e-4
1.215,   1.245e-4
1.216,   1.245e-4
1.217,   1.247e-4
1.218,   1.248e-4
1.219,   1.249e-4
1.220,   1.252e-4
1.221,   1.252e-4
1.222,   1.253e-4
1.223,   1.256e-4
1.224,   1.255e-4
1.225,   1.256e-4
1.226,   1.258e-4
1.227,   1.255e-4
1.228,   1.259e-4
1.229,   1.259e-4
1.230,   1.257e-4
1.231,   1.260e-4
1.232,   1.258e-4
1.233,   1.258e-4
1.234,   1.258e-4
1.235,   1.259e-4
1.236,   1.259e-4
1.237,   1.257e-4
1.238,   1.256e-4
1.239,   1.256e-4
1.240,   1.256e-4
1.241,   1.256e-4
1.242,   1.255e-4
1.243,   1.252e-4
1.244,   1.253e-4
1.245,   1.252e-4
1.246,   1.250e-4
1.247,   1.251e-4
1.248,   1.249e-4
1.249,   1.248e-4
1.250,   1.248e-4
1.251,   1.245e-4
1.252,   1.246e-4
1.253,   1.243e-4
1.254,   1.242e-4
1.255,   1.243e-4
1.256,   1.239e-4
1.257,   1.239e-4
1.258,   1.239e-4
1.259,   1.236e-4
1.260,   1.237e-4
1.261,   1.238e-4
1.262,   1.235e-4
1.263,   1.235e-4
1.264,   1.233e-4
1.265,   1.233e-4
1.266,   1.232e-4
1.267,   1.232e-4
1.268,   1.234e-4
1.269,   1.231e-4
1.270,   1.231e-4
1.271,   1.233e-4
1.272,   1.231e-4
1.273,   1.234e-4
1.274,   1.234e-4
1.275,   1.233e-4
1.276,   1.235e-4
1.277,   1.235e-4
1.278,   1.236e-4
1.279,   1.238e-4
1.280,   1.239e-4
1.281,   1.240e-4
1.282,   1.243e-4
1.283,   1.243e-4
1.284,   1.246e-4
1.285,   1.248e-4
1.286,   1.251e-4
1.287,   1.254e-4
1.288,   1.255e-4
1.289,   1.258e-4
1.290,   1.262e-4
1.291,   1.263e-4
1.292,   1.268e-4
1.293,   1.271e-4
1.294,   1.272e-4
1.295,   1.276e-4
1.296,   1.280e-4
1.297,   1.283e-4
1.298,   1.287e-4
1.299,   1.290e-4
1.300,   1.294e-4
1.301,   1.297e-4
1.302,   1.299e-4
1.303,   1.305e-4
1.304,   1.305e-4
1.305,   1.309e-4
1.306,   1.313e-4
1.307,   1.314e-4
1.308,   1.318e-4
1.309,   1.321e-4
1.310,   1.322e-4
1.311,   1.327e-4
1.312,   1.330e-4
1.313,   1.331e-4
1.314,   1.333e-4
1.315,   1.333e-4
1.316,   1.336e-4
1.317,   1.336e-4
1.318,   1.338e-4
1.319,   1.338e-4
1.320,   1.336e-4
1.321,   1.338e-4
1.322,   1.339e-4
1.323,   1.335e-4
1.324,   1.338e-4
1.325,   1.341e-4
1.326,   1.336e-4
1.327,   1.335e-4
1.328,   1.332e-4
1.329,   1.330e-4
1.330,   1.329e-4
1.331,   1.325e-4
1.332,   1.324e-4
1.333,   1.320e-4
1.334,   1.317e-4
1.335,   1.315e-4
1.336,   1.310e-4
1.337,   1.310e-4
1.338,   1.307e-4
1.339,   1.300e-4
1.340,   1.299e-4
1.341,   1.295e-4
1.342,   1.290e-4
1.343,   1.288e-4
1.344,   1.284e-4
1.345,   1.280e-4
1.346,   1.278e-4
1.347,   1.273e-4
1.348,   1.271e-4
1.349,   1.267e-4
1.350,   1.263e-4
1.351,   1.262e-4
1.352,   1.258e-4
1.353,   1.256e-4
1.354,   1.253e-4
1.355,   1.248e-4
1.356,   1.248e-4
1.357,   1.245e-4
1.358,   1.243e-4
1.359,   1.243e-4
1.360,   1.241e-4
1.361,   1.239e-4
1.362,   1.239e-4
1.363,   1.239e-4
1.364,   1.240e-4
1.365,   1.239e-4
1.366,   1.238e-4
1.367,   1.240e-4
1.368,   1.239e-4
1.369,   1.242e-4
1.370,   1.244e-4
1.371,   1.243e-4
1.372,   1.247e-4
1.373,   1.250e-4
1.374,   1.251e-4
1.375,   1.256e-4
1.376,   1.261e-4
1.377,   1.265e-4
1.378,   1.270e-4
1.379,   1.273e-4
1.380,   1.280e-4
1.381,   1.286e-4
1.382,   1.294e-4
1.383,   1.303e-4
1.384,   1.308e-4
1.385,   1.317e-4
1.386,   1.327e-4
1.387,   1.335e-4
1.388,   1.348e-4
1.389,   1.361e-4
1.390,   1.371e-4
1.391,   1.384e-4
1.392,   1.396e-4
1.393,   1.411e-4
1.394,   1.428e-4
1.395,   1.445e-4
1.396,   1.465e-4
1.397,   1.481e-4
1.398,   1.501e-4
1.399,   1.523e-4
1.400,   1.545e-4
1.401,   1.571e-4
1.402,   1.598e-4
1.403,   1.622e-4
1.404,   1.653e-4
1.405,   1.682e-4
1.406,   1.713e-4
1.407,   1.747e-4
1.408,   1.783e-4
1.409,   1.820e-4
1.410,   1.858e-4
1.411,   1.899e-4
1.412,   1.944e-4
1.413,   1.989e-4
1.414,   2.042e-4
1.415,   2.095e-4
1.416,   2.146e-4
1.417,   2.204e-4
1.418,   2.266e-4
1.419,   2.327e-4
1.420,   2.397e-4
1.421,   2.468e-4
1.422,   2.541e-4
1.423,   2.620e-4
1.424,   2.703e-4
1.425,   2.789e-4
1.426,   2.880e-4
1.427,   2.976e-4
1.428,   3.077e-4
1.429,   3.182e-4
1.430,   3.292e-4
1.431,   3.408e-4
1.432,   3.527e-4
1.433,   3.654e-4
1.434,   3.789e-4
1.435,   3.927e-4
1.436,   4.075e-4
1.437,   4.227e-4
1.438,   4.384e-4
1.439,   4.550e-4
1.440,   4.724e-4
1.441,   4.903e-4
1.442,   5.091e-4
1.443,   5.283e-4
1.444,   5.488e-4
1.445,   5.698e-4
1.446,   5.919e-4
1.447,   6.148e-4
1.448,   6.383e-4
1.449,   6.630e-4
1.450,   6.886e-4
1.451,   7.150e-4
1.452,   7.426e-4
1.453,   7.710e-4
1.454,   8.004e-4
1.455,   8.310e-4
1.456,   8.622e-4
1.457,   8.948e-4
1.458,   9.283e-4
1.459,   9.629e-4
1.460,   9.987e-4
1.461,   1.035e-3
1.462,   1.073e-3
1.463,   1.113e-3
1.464,   1.152e-3
1.465,   1.194e-3
1.466,   1.236e-3
1.467,   1.279e-3
1.468,   1.324e-3
1.469,   1.369e-3
1.470,   1.416e-3
1.471,   1.464e-3
1.472,   1.513e-3
1.473,   1.563e-3
1.474,   1.614e-3
1.475,   1.666e-3
1.476,   1.719e-3
1.477,   1.774e-3
1.478,   1.830e-3
1.479,   1.886e-3
1.480,   1.943e-3
1.481,   2.002e-3
1.482,   2.061e-3
1.483,   2.120e-3
1.484,   2.181e-3
1.485,   2.243e-3
1.486,   2.305e-3
1.487,   2.369e-3
1.488,   2.432e-3
1.489,   2.497e-3
1.490,   2.563e-3
1.491,   2.629e-3
1.492,   2.696e-3
1.493,   2.763e-3
1.494,   2.832e-3
1.495,   2.901e-3
1.496,   2.969e-3
1.497,   3.039e-3
1.498,   3.110e-3
1.499,   3.181e-3
1.500,   3.253e-3
1.501,   3.326e-3
1.502,   3.400e-3
1.503,   3.473e-3
1.504,   3.547e-3
1.505,   3.621e-3
1.506,   3.695e-3
1.507,   3.770e-3
1.508,   3.847e-3
1.509,   3.923e-3
1.510,   4.001e-3
1.511,   4.078e-3
1.512,   4.155e-3
1.513,   4.231e-3
1.514,   4.308e-3
1.515,   4.385e-3
1.516,   4.463e-3
1.517,   4.541e-3
1.518,   4.617e-3
1.519,   4.696e-3
1.520,   4.776e-3
