Mar. 28, 2023   15:42:27
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 4\400\B4_VARIANCE_400_#8_High_Quality(#32)-201mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.037

Final E (V) = 1.436


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.037,   1.301e-6
1.038,   8.120e-6
1.039,   8.905e-6
1.040,   9.212e-6
1.041,   9.611e-6
1.042,   9.909e-6
1.043,   1.010e-5
1.044,   1.045e-5
1.045,   1.061e-5
1.046,   1.079e-5
1.047,   1.096e-5
1.048,   1.108e-5
1.049,   1.126e-5
1.050,   1.138e-5
1.051,   1.156e-5
1.052,   1.177e-5
1.053,   1.179e-5
1.054,   1.195e-5
1.055,   1.214e-5
1.056,   1.216e-5
1.057,   1.242e-5
1.058,   1.257e-5
1.059,   1.255e-5
1.060,   1.270e-5
1.061,   1.275e-5
1.062,   1.286e-5
1.063,   1.299e-5
1.064,   1.310e-5
1.065,   1.323e-5
1.066,   1.329e-5
1.067,   1.337e-5
1.068,   1.353e-5
1.069,   1.356e-5
1.070,   1.373e-5
1.071,   1.389e-5
1.072,   1.386e-5
1.073,   1.405e-5
1.074,   1.409e-5
1.075,   1.415e-5
1.076,   1.432e-5
1.077,   1.437e-5
1.078,   1.447e-5
1.079,   1.460e-5
1.080,   1.466e-5
1.081,   1.479e-5
1.082,   1.489e-5
1.083,   1.500e-5
1.084,   1.515e-5
1.085,   1.519e-5
1.086,   1.529e-5
1.087,   1.543e-5
1.088,   1.545e-5
1.089,   1.563e-5
1.090,   1.574e-5
1.091,   1.577e-5
1.092,   1.598e-5
1.093,   1.595e-5
1.094,   1.612e-5
1.095,   1.623e-5
1.096,   1.635e-5
1.097,   1.645e-5
1.098,   1.651e-5
1.099,   1.659e-5
1.100,   1.679e-5
1.101,   1.675e-5
1.102,   1.692e-5
1.103,   1.711e-5
1.104,   1.711e-5
1.105,   1.724e-5
1.106,   1.735e-5
1.107,   1.742e-5
1.108,   1.766e-5
1.109,   1.774e-5
1.110,   1.781e-5
1.111,   1.794e-5
1.112,   1.796e-5
1.113,   1.815e-5
1.114,   1.820e-5
1.115,   1.832e-5
1.116,   1.848e-5
1.117,   1.845e-5
1.118,   1.864e-5
1.119,   1.882e-5
1.120,   1.882e-5
1.121,   1.902e-5
1.122,   1.914e-5
1.123,   1.913e-5
1.124,   1.935e-5
1.125,   1.933e-5
1.126,   1.950e-5
1.127,   1.964e-5
1.128,   1.971e-5
1.129,   1.985e-5
1.130,   1.992e-5
1.131,   2.004e-5
1.132,   2.026e-5
1.133,   2.020e-5
1.134,   2.047e-5
1.135,   2.053e-5
1.136,   2.053e-5
1.137,   2.071e-5
1.138,   2.077e-5
1.139,   2.088e-5
1.140,   2.099e-5
1.141,   2.106e-5
1.142,   2.116e-5
1.143,   2.131e-5
1.144,   2.132e-5
1.145,   2.145e-5
1.146,   2.154e-5
1.147,   2.171e-5
1.148,   2.182e-5
1.149,   2.177e-5
1.150,   2.190e-5
1.151,   2.204e-5
1.152,   2.202e-5
1.153,   2.226e-5
1.154,   2.228e-5
1.155,   2.233e-5
1.156,   2.254e-5
1.157,   2.252e-5
1.158,   2.260e-5
1.159,   2.271e-5
1.160,   2.271e-5
1.161,   2.288e-5
1.162,   2.292e-5
1.163,   2.297e-5
1.164,   2.309e-5
1.165,   2.302e-5
1.166,   2.319e-5
1.167,   2.332e-5
1.168,   2.326e-5
1.169,   2.344e-5
1.170,   2.345e-5
1.171,   2.342e-5
1.172,   2.360e-5
1.173,   2.367e-5
1.174,   2.365e-5
1.175,   2.379e-5
1.176,   2.367e-5
1.177,   2.390e-5
1.178,   2.382e-5
1.179,   2.392e-5
1.180,   2.405e-5
1.181,   2.388e-5
1.182,   2.405e-5
1.183,   2.409e-5
1.184,   2.403e-5
1.185,   2.424e-5
1.186,   2.428e-5
1.187,   2.420e-5
1.188,   2.436e-5
1.189,   2.423e-5
1.190,   2.433e-5
1.191,   2.438e-5
1.192,   2.441e-5
1.193,   2.450e-5
1.194,   2.443e-5
1.195,   2.445e-5
1.196,   2.460e-5
1.197,   2.444e-5
1.198,   2.462e-5
1.199,   2.470e-5
1.200,   2.455e-5
1.201,   2.462e-5
1.202,   2.464e-5
1.203,   2.459e-5
1.204,   2.472e-5
1.205,   2.464e-5
1.206,   2.471e-5
1.207,   2.478e-5
1.208,   2.467e-5
1.209,   2.477e-5
1.210,   2.472e-5
1.211,   2.486e-5
1.212,   2.495e-5
1.213,   2.474e-5
1.214,   2.478e-5
1.215,   2.486e-5
1.216,   2.481e-5
1.217,   2.490e-5
1.218,   2.488e-5
1.219,   2.485e-5
1.220,   2.491e-5
1.221,   2.486e-5
1.222,   2.492e-5
1.223,   2.497e-5
1.224,   2.500e-5
1.225,   2.501e-5
1.226,   2.486e-5
1.227,   2.491e-5
1.228,   2.510e-5
1.229,   2.493e-5
1.230,   2.505e-5
1.231,   2.511e-5
1.232,   2.493e-5
1.233,   2.513e-5
1.234,   2.507e-5
1.235,   2.503e-5
1.236,   2.517e-5
1.237,   2.518e-5
1.238,   2.517e-5
1.239,   2.521e-5
1.240,   2.516e-5
1.241,   2.529e-5
1.242,   2.524e-5
1.243,   2.528e-5
1.244,   2.538e-5
1.245,   2.524e-5
1.246,   2.535e-5
1.247,   2.544e-5
1.248,   2.536e-5
1.249,   2.553e-5
1.250,   2.553e-5
1.251,   2.548e-5
1.252,   2.562e-5
1.253,   2.557e-5
1.254,   2.563e-5
1.255,   2.573e-5
1.256,   2.572e-5
1.257,   2.583e-5
1.258,   2.582e-5
1.259,   2.592e-5
1.260,   2.604e-5
1.261,   2.595e-5
1.262,   2.623e-5
1.263,   2.636e-5
1.264,   2.618e-5
1.265,   2.633e-5
1.266,   2.634e-5
1.267,   2.636e-5
1.268,   2.661e-5
1.269,   2.661e-5
1.270,   2.673e-5
1.271,   2.680e-5
1.272,   2.679e-5
1.273,   2.703e-5
1.274,   2.701e-5
1.275,   2.724e-5
1.276,   2.738e-5
1.277,   2.732e-5
1.278,   2.749e-5
1.279,   2.766e-5
1.280,   2.765e-5
1.281,   2.794e-5
1.282,   2.805e-5
1.283,   2.811e-5
1.284,   2.836e-5
1.285,   2.842e-5
1.286,   2.864e-5
1.287,   2.881e-5
1.288,   2.898e-5
1.289,   2.924e-5
1.290,   2.935e-5
1.291,   2.947e-5
1.292,   2.984e-5
1.293,   2.985e-5
1.294,   3.027e-5
1.295,   3.051e-5
1.296,   3.060e-5
1.297,   3.096e-5
1.298,   3.114e-5
1.299,   3.141e-5
1.300,   3.188e-5
1.301,   3.210e-5
1.302,   3.238e-5
1.303,   3.276e-5
1.304,   3.297e-5
1.305,   3.341e-5
1.306,   3.365e-5
1.307,   3.413e-5
1.308,   3.466e-5
1.309,   3.487e-5
1.310,   3.548e-5
1.311,   3.598e-5
1.312,   3.624e-5
1.313,   3.694e-5
1.314,   3.746e-5
1.315,   3.780e-5
1.316,   3.849e-5
1.317,   3.892e-5
1.318,   3.965e-5
1.319,   4.037e-5
1.320,   4.101e-5
1.321,   4.186e-5
1.322,   4.240e-5
1.323,   4.326e-5
1.324,   4.420e-5
1.325,   4.492e-5
1.326,   4.607e-5
1.327,   4.712e-5
1.328,   4.788e-5
1.329,   4.913e-5
1.330,   5.015e-5
1.331,   5.138e-5
1.332,   5.269e-5
1.333,   5.389e-5
1.334,   5.530e-5
1.335,   5.677e-5
1.336,   5.816e-5
1.337,   5.988e-5
1.338,   6.150e-5
1.339,   6.337e-5
1.340,   6.522e-5
1.341,   6.705e-5
1.342,   6.919e-5
1.343,   7.127e-5
1.344,   7.346e-5
1.345,   7.615e-5
1.346,   7.855e-5
1.347,   8.111e-5
1.348,   8.401e-5
1.349,   8.675e-5
1.350,   8.987e-5
1.351,   9.313e-5
