May 30, 2023   14:58:04
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 5\400\B5_BEST_400_#1_Full(#12)-288mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.900

Final E (V) = 1.639


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
0.91,   1.618E-04
0.911,   1.605E-04
0.912,   1.560E-04
0.913,   1.514E-04
0.914,   1.470E-04
0.915,   1.429E-04
0.916,   1.390E-04
0.917,   1.352E-04
0.918,   1.318E-04
0.919,   1.286E-04
0.92,   1.255E-04
0.921,   1.224E-04
0.922,   1.196E-04
0.923,   1.169E-04
0.924,   1.145E-04
0.925,   1.120E-04
0.926,   1.099E-04
0.927,   1.077E-04
0.928,   1.055E-04
0.929,   1.034E-04
0.93,   1.014E-04
0.931,   9.946E-05
0.932,   9.787E-05
0.933,   9.610E-05
0.934,   9.440E-05
0.935,   9.299E-05
0.936,   9.151E-05
0.937,   9.018E-05
0.938,   8.853E-05
0.939,   8.727E-05
0.94,   8.619E-05
0.941,   8.469E-05
0.942,   8.366E-05
0.943,   8.248E-05
0.944,   8.145E-05
0.945,   8.025E-05
0.946,   7.924E-05
0.947,   7.830E-05
0.948,   7.739E-05
0.949,   7.655E-05
0.95,   7.569E-05
0.951,   7.474E-05
0.952,   7.371E-05
0.953,   7.289E-05
0.954,   7.210E-05
0.955,   7.132E-05
0.956,   7.057E-05
0.957,   6.986E-05
0.958,   6.916E-05
0.959,   6.843E-05
0.96,   6.770E-05
0.961,   6.696E-05
0.962,   6.645E-05
0.963,   6.578E-05
0.964,   6.545E-05
0.965,   6.453E-05
0.966,   6.430E-05
0.967,   6.349E-05
0.968,   6.309E-05
0.969,   6.256E-05
0.97,   6.204E-05
0.971,   6.163E-05
0.972,   6.092E-05
0.973,   6.067E-05
0.974,   6.002E-05
0.975,   5.963E-05
0.976,   5.920E-05
0.977,   5.875E-05
0.978,   5.842E-05
0.979,   5.809E-05
0.98,   5.759E-05
0.981,   5.718E-05
0.982,   5.682E-05
0.983,   5.661E-05
0.984,   5.609E-05
0.985,   5.565E-05
0.986,   5.538E-05
0.987,   5.509E-05
0.988,   5.474E-05
0.989,   5.444E-05
0.99,   5.411E-05
0.991,   5.381E-05
0.992,   5.362E-05
0.993,   5.332E-05
0.994,   5.302E-05
0.995,   5.277E-05
0.996,   5.257E-05
0.997,   5.231E-05
0.998,   5.209E-05
0.999,   5.186E-05
1,   5.159E-05
1.001,   5.132E-05
1.002,   5.115E-05
1.003,   5.093E-05
1.004,   5.061E-05
1.005,   5.042E-05
1.006,   5.024E-05
1.007,   5.019E-05
1.008,   4.986E-05
1.009,   4.963E-05
1.01,   4.940E-05
1.011,   4.925E-05
1.012,   4.903E-05
1.013,   4.893E-05
1.014,   4.866E-05
1.015,   4.857E-05
1.016,   4.846E-05
1.017,   4.823E-05
1.018,   4.797E-05
1.019,   4.785E-05
1.02,   4.771E-05
1.021,   4.754E-05
1.022,   4.743E-05
1.023,   4.711E-05
1.024,   4.708E-05
1.025,   4.693E-05
1.026,   4.684E-05
1.027,   4.653E-05
1.028,   4.657E-05
1.029,   4.650E-05
1.03,   4.621E-05
1.031,   4.605E-05
1.032,   4.603E-05
1.033,   4.603E-05
1.034,   4.580E-05
1.035,   4.580E-05
1.036,   4.548E-05
1.037,   4.565E-05
1.038,   4.553E-05
1.039,   4.540E-05
1.04,   4.526E-05
1.041,   4.515E-05
1.042,   4.498E-05
1.043,   4.499E-05
1.044,   4.484E-05
1.045,   4.455E-05
1.046,   4.447E-05
1.047,   4.472E-05
1.048,   4.448E-05
1.049,   4.439E-05
1.05,   4.426E-05
1.051,   4.419E-05
1.052,   4.413E-05
1.053,   4.412E-05
1.054,   4.399E-05
1.055,   4.387E-05
1.056,   4.383E-05
1.057,   4.382E-05
1.058,   4.372E-05
1.059,   4.368E-05
1.06,   4.364E-05
1.061,   4.331E-05
1.062,   4.346E-05
1.063,   4.341E-05
1.064,   4.334E-05
1.065,   4.334E-05
1.066,   4.330E-05
1.067,   4.323E-05
1.068,   4.316E-05
1.069,   4.317E-05
1.07,   4.312E-05
1.071,   4.299E-05
1.072,   4.294E-05
1.073,   4.301E-05
1.074,   4.287E-05
1.075,   4.291E-05
1.076,   4.280E-05
1.077,   4.282E-05
1.078,   4.279E-05
1.079,   4.286E-05
1.08,   4.264E-05
1.081,   4.267E-05
1.082,   4.257E-05
1.083,   4.259E-05
1.084,   4.261E-05
1.085,   4.262E-05
1.086,   4.259E-05
1.087,   4.249E-05
1.088,   4.250E-05
1.089,   4.261E-05
1.09,   4.240E-05
1.091,   4.232E-05
1.092,   4.248E-05
1.093,   4.227E-05
1.094,   4.242E-05
1.095,   4.246E-05
1.096,   4.231E-05
1.097,   4.238E-05
1.098,   4.262E-05
1.099,   4.239E-05
1.1,   4.232E-05
1.101,   4.230E-05
1.102,   4.209E-05
1.103,   4.234E-05
1.104,   4.219E-05
1.105,   4.216E-05
1.106,   4.215E-05
1.107,   4.223E-05
1.108,   4.224E-05
1.109,   4.225E-05
1.11,   4.230E-05
1.111,   4.234E-05
1.112,   4.229E-05
1.113,   4.220E-05
1.114,   4.238E-05
1.115,   4.227E-05
1.116,   4.227E-05
1.117,   4.230E-05
1.118,   4.241E-05
1.119,   4.240E-05
1.12,   4.225E-05
1.121,   4.248E-05
1.122,   4.225E-05
1.123,   4.243E-05
1.124,   4.244E-05
1.125,   4.244E-05
1.126,   4.260E-05
1.127,   4.239E-05
1.128,   4.259E-05
1.129,   4.260E-05
1.13,   4.263E-05
1.131,   4.246E-05
1.132,   4.259E-05
1.133,   4.267E-05
1.134,   4.287E-05
1.135,   4.276E-05
1.136,   4.278E-05
1.137,   4.261E-05
1.138,   4.268E-05
1.139,   4.277E-05
1.14,   4.285E-05
1.141,   4.285E-05
1.142,   4.295E-05
1.143,   4.302E-05
1.144,   4.291E-05
1.145,   4.308E-05
1.146,   4.329E-05
1.147,   4.305E-05
1.148,   4.322E-05
1.149,   4.346E-05
1.15,   4.312E-05
1.151,   4.335E-05
1.152,   4.331E-05
1.153,   4.349E-05
1.154,   4.360E-05
1.155,   4.334E-05
1.156,   4.359E-05
1.157,   4.361E-05
1.158,   4.373E-05
1.159,   4.373E-05
1.16,   4.381E-05
1.161,   4.387E-05
1.162,   4.396E-05
1.163,   4.397E-05
1.164,   4.427E-05
1.165,   4.394E-05
1.166,   4.413E-05
1.167,   4.438E-05
1.168,   4.418E-05
1.169,   4.426E-05
1.17,   4.440E-05
1.171,   4.440E-05
1.172,   4.456E-05
1.173,   4.459E-05
1.174,   4.472E-05
1.175,   4.479E-05
1.176,   4.480E-05
1.177,   4.493E-05
1.178,   4.497E-05
1.179,   4.504E-05
1.18,   4.515E-05
1.181,   4.536E-05
1.182,   4.521E-05
1.183,   4.535E-05
1.184,   4.536E-05
1.185,   4.552E-05
1.186,   4.557E-05
1.187,   4.572E-05
1.188,   4.585E-05
1.189,   4.581E-05
1.19,   4.595E-05
1.191,   4.603E-05
1.192,   4.607E-05
1.193,   4.621E-05
1.194,   4.635E-05
1.195,   4.629E-05
1.196,   4.650E-05
1.197,   4.661E-05
1.198,   4.663E-05
1.199,   4.669E-05
1.2,   4.674E-05
1.201,   4.691E-05
1.202,   4.699E-05
1.203,   4.687E-05
1.204,   4.713E-05
1.205,   4.712E-05
1.206,   4.738E-05
1.207,   4.729E-05
1.208,   4.745E-05
1.209,   4.760E-05
1.21,   4.768E-05
1.211,   4.775E-05
1.212,   4.788E-05
1.213,   4.825E-05
1.214,   4.800E-05
1.215,   4.815E-05
1.216,   4.835E-05
1.217,   4.845E-05
1.218,   4.867E-05
1.219,   4.870E-05
1.22,   4.858E-05
1.221,   4.874E-05
1.222,   4.894E-05
1.223,   4.902E-05
1.224,   4.911E-05
1.225,   4.926E-05
1.226,   4.945E-05
1.227,   4.942E-05
1.228,   4.955E-05
1.229,   4.997E-05
1.23,   4.986E-05
1.231,   4.987E-05
1.232,   5.004E-05
1.233,   5.025E-05
1.234,   5.017E-05
1.235,   5.009E-05
1.236,   5.045E-05
