May 30, 2023   20:23:51
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 5\400\B5_BEST_400_#1_High_Quality(#22)-206mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.901

Final E (V) = 1.511


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
0.901,   -7.775e-5
0.902,   2.397e-6
0.903,   4.020e-5
0.904,   5.937e-5
0.905,   7.032e-5
0.906,   7.908e-5
0.907,   8.586e-5
0.908,   9.112e-5
0.909,   9.612e-5
0.910,   1.005e-4
0.911,   1.038e-4
0.912,   1.074e-4
0.913,   1.109e-4
0.914,   1.131e-4
0.915,   1.146e-4
0.916,   1.184e-4
0.917,   1.212e-4
0.918,   1.234e-4
0.919,   1.266e-4
0.920,   1.276e-4
0.921,   1.285e-4
0.922,   1.324e-4
0.923,   1.326e-4
0.924,   1.346e-4
0.925,   1.357e-4
0.926,   1.369e-4
0.927,   1.380e-4
0.928,   1.397e-4
0.929,   1.412e-4
0.930,   1.426e-4
0.931,   1.421e-4
0.932,   1.455e-4
0.933,   1.466e-4
0.934,   1.452e-4
0.935,   1.457e-4
0.936,   1.490e-4
0.937,   1.479e-4
0.938,   1.460e-4
0.939,   1.489e-4
0.940,   1.505e-4
0.941,   1.519e-4
0.942,   1.529e-4
0.943,   1.522e-4
0.944,   1.534e-4
0.945,   1.552e-4
0.946,   1.547e-4
0.947,   1.553e-4
0.948,   1.562e-4
0.949,   1.565e-4
0.950,   1.568e-4
0.951,   1.573e-4
0.952,   1.584e-4
0.953,   1.597e-4
0.954,   1.610e-4
0.955,   1.607e-4
0.956,   1.602e-4
0.957,   1.608e-4
0.958,   1.612e-4
0.959,   1.607e-4
0.960,   1.606e-4
0.961,   1.623e-4
0.962,   1.633e-4
0.963,   1.623e-4
0.964,   1.636e-4
0.965,   1.646e-4
0.966,   1.663e-4
0.967,   1.660e-4
0.968,   1.659e-4
0.969,   1.660e-4
0.970,   1.663e-4
0.971,   1.664e-4
0.972,   1.655e-4
0.973,   1.662e-4
0.974,   1.680e-4
0.975,   1.681e-4
0.976,   1.684e-4
0.977,   1.692e-4
0.978,   1.699e-4
0.979,   1.699e-4
0.980,   1.105e-4
0.981,   -2.127e-3
0.982,   -2.890e-3
0.983,   1.474e-3
0.984,   -1.175e-3
0.985,   -1.331e-3
0.986,   -6.913e-4
0.987,   -9.716e-4
0.988,   -3.900e-4
0.989,   9.430e-4
0.990,   9.833e-4
0.991,   6.650e-4
0.992,   8.006e-4
0.993,   1.308e-3
0.994,   5.104e-4
0.995,   4.199e-4
0.996,   6.647e-4
0.997,   3.981e-4
0.998,   5.378e-4
0.999,   5.242e-4
1.000,   4.304e-4
1.001,   2.683e-4
1.002,   3.548e-4
1.003,   4.557e-4
1.004,   2.829e-4
1.005,   2.504e-4
1.006,   3.492e-4
1.007,   2.362e-4
1.008,   1.519e-4
1.009,   2.076e-4
1.010,   1.719e-4
1.011,   1.480e-4
1.012,   1.812e-4
1.013,   1.840e-4
1.014,   2.044e-4
1.015,   2.275e-4
1.016,   2.061e-4
1.017,   2.182e-4
1.018,   2.000e-4
1.019,   2.086e-4
1.020,   2.086e-4
1.021,   2.083e-4
1.022,   1.999e-4
1.023,   2.110e-4
1.024,   2.589e-4
1.025,   2.280e-4
1.026,   1.651e-4
1.027,   1.673e-4
1.028,   2.455e-4
1.029,   2.430e-4
1.030,   2.521e-4
1.031,   2.307e-4
1.032,   2.081e-4
1.033,   2.099e-4
1.034,   1.838e-4
1.035,   1.303e-4
1.036,   1.418e-4
1.037,   1.767e-4
1.038,   1.954e-4
1.039,   2.064e-4
1.040,   2.105e-4
1.041,   1.919e-4
1.042,   2.028e-4
1.043,   1.855e-4
1.044,   1.830e-4
1.045,   1.917e-4
1.046,   1.827e-4
1.047,   1.984e-4
1.048,   1.726e-4
1.049,   1.473e-4
1.050,   1.878e-4
1.051,   1.654e-4
1.052,   1.679e-4
1.053,   1.637e-4
1.054,   2.629e-4
1.055,   1.734e-4
1.056,   1.419e-4
