June 9, 2023   14:27:16
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 5\500\B5_BEST_500_#1_High_Quality(#20)-215mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.890

Final E (V) = 1.532


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
0.890,   2.532e-4
0.891,   3.210e-4
0.892,   3.369e-4
0.893,   3.493e-4
0.894,   3.532e-4
0.895,   3.545e-4
0.896,   3.517e-4
0.897,   3.495e-4
0.898,   3.497e-4
0.899,   3.477e-4
0.900,   3.488e-4
0.901,   3.475e-4
0.902,   3.459e-4
0.903,   3.436e-4
0.904,   3.388e-4
0.905,   3.380e-4
0.906,   3.415e-4
0.907,   3.373e-4
0.908,   3.368e-4
0.909,   3.335e-4
0.910,   3.286e-4
0.911,   3.332e-4
0.912,   3.317e-4
0.913,   3.269e-4
0.914,   3.272e-4
0.915,   3.246e-4
0.916,   3.223e-4
0.917,   3.240e-4
0.918,   3.242e-4
0.919,   3.202e-4
0.920,   3.200e-4
0.921,   3.180e-4
0.922,   3.164e-4
0.923,   3.187e-4
0.924,   3.178e-4
0.925,   3.148e-4
0.926,   3.129e-4
0.927,   3.097e-4
0.928,   3.117e-4
0.929,   3.131e-4
0.930,   3.115e-4
0.931,   3.101e-4
0.932,   3.095e-4
0.933,   3.063e-4
0.934,   3.050e-4
0.935,   3.052e-4
0.936,   3.044e-4
0.937,   3.042e-4
0.938,   3.033e-4
0.939,   2.990e-4
0.940,   2.983e-4
0.941,   2.998e-4
0.942,   2.990e-4
0.943,   2.984e-4
0.944,   2.972e-4
0.945,   2.949e-4
0.946,   2.968e-4
0.947,   2.959e-4
0.948,   2.948e-4
0.949,   2.950e-4
0.950,   2.941e-4
0.951,   2.920e-4
0.952,   2.933e-4
0.953,   2.920e-4
0.954,   2.900e-4
0.955,   2.913e-4
0.956,   2.894e-4
0.957,   2.880e-4
0.958,   2.895e-4
0.959,   2.891e-4
0.960,   2.873e-4
0.961,   2.868e-4
0.962,   2.861e-4
0.963,   2.861e-4
0.964,   2.873e-4
0.965,   2.857e-4
0.966,   2.841e-4
0.967,   2.835e-4
0.968,   2.812e-4
0.969,   2.830e-4
0.970,   2.844e-4
0.971,   2.819e-4
0.972,   2.821e-4
0.973,   2.815e-4
0.974,   2.813e-4
0.975,   2.800e-4
0.976,   2.797e-4
0.977,   2.785e-4
0.978,   2.791e-4
0.979,   2.773e-4
0.980,   2.766e-4
0.981,   2.788e-4
0.982,   2.790e-4
0.983,   2.772e-4
0.984,   2.773e-4
0.985,   2.749e-4
0.986,   2.752e-4
0.987,   2.788e-4
0.988,   2.779e-4
0.989,   2.763e-4
0.990,   2.757e-4
0.991,   2.733e-4
0.992,   2.740e-4
0.993,   2.761e-4
0.994,   2.738e-4
0.995,   2.748e-4
0.996,   2.718e-4
0.997,   2.721e-4
0.998,   2.737e-4
0.999,   2.729e-4
1.000,   2.729e-4
1.001,   2.693e-4
1.002,   2.700e-4
1.003,   2.729e-4
1.004,   2.715e-4
1.005,   2.719e-4
1.006,   2.706e-4
1.007,   2.707e-4
1.008,   2.727e-4
1.009,   2.702e-4
1.010,   2.710e-4
1.011,   2.690e-4
1.012,   2.677e-4
1.013,   2.692e-4
1.014,   2.703e-4
1.015,   2.707e-4
1.016,   2.679e-4
1.017,   2.688e-4
1.018,   2.717e-4
1.019,   2.697e-4
1.020,   2.695e-4
1.021,   2.684e-4
1.022,   2.673e-4
1.023,   2.698e-4
1.024,   2.687e-4
1.025,   2.690e-4
1.026,   2.687e-4
1.027,   2.661e-4
1.028,   2.691e-4
1.029,   2.667e-4
1.030,   2.675e-4
1.031,   2.656e-4
1.032,   2.689e-4
1.033,   2.685e-4
1.034,   2.691e-4
1.035,   2.655e-4
1.036,   2.683e-4
1.037,   2.681e-4
1.038,   2.681e-4
1.039,   2.681e-4
1.040,   2.688e-4
1.041,   2.677e-4
1.042,   2.683e-4
1.043,   2.655e-4
1.044,   2.680e-4
1.045,   2.689e-4
1.046,   2.677e-4
1.047,   2.654e-4
1.048,   2.678e-4
1.049,   2.677e-4
1.050,   2.683e-4
1.051,   2.658e-4
1.052,   2.688e-4
1.053,   2.689e-4
1.054,   2.688e-4
1.055,   2.674e-4
1.056,   2.690e-4
1.057,   2.690e-4
1.058,   2.707e-4
1.059,   2.679e-4
1.060,   2.696e-4
1.061,   2.699e-4
1.062,   2.704e-4
1.063,   2.678e-4
1.064,   2.701e-4
1.065,   2.690e-4
1.066,   2.698e-4
1.067,   2.680e-4
1.068,   2.702e-4
1.069,   2.710e-4
1.070,   2.704e-4
1.071,   2.683e-4
1.072,   2.708e-4
1.073,   2.728e-4
1.074,   2.734e-4
1.075,   2.687e-4
1.076,   2.704e-4
1.077,   2.730e-4
1.078,   2.731e-4
1.079,   2.701e-4
1.080,   2.732e-4
1.081,   2.743e-4
1.082,   2.735e-4
1.083,   2.702e-4
1.084,   2.727e-4
1.085,   2.752e-4
1.086,   2.740e-4
1.087,   2.725e-4
1.088,   2.740e-4
1.089,   2.761e-4
1.090,   2.754e-4
1.091,   2.733e-4
1.092,   2.755e-4
1.093,   2.775e-4
1.094,   2.771e-4
1.095,   2.751e-4
1.096,   2.766e-4
1.097,   2.787e-4
1.098,   2.786e-4
1.099,   2.772e-4
1.100,   2.786e-4
1.101,   2.790e-4
1.102,   2.803e-4
1.103,   2.794e-4
1.104,   2.809e-4
1.105,   2.823e-4
1.106,   2.802e-4
1.107,   2.785e-4
1.108,   2.810e-4
1.109,   2.841e-4
1.110,   2.846e-4
1.111,   2.830e-4
1.112,   2.824e-4
1.113,   2.847e-4
1.114,   2.858e-4
1.115,   2.846e-4
1.116,   2.854e-4
1.117,   2.890e-4
1.118,   2.883e-4
1.119,   2.864e-4
1.120,   2.862e-4
1.121,   2.893e-4
1.122,   2.896e-4
1.123,   2.881e-4
1.124,   2.882e-4
1.125,   2.915e-4
1.126,   2.924e-4
1.127,   2.904e-4
1.128,   2.885e-4
1.129,   2.934e-4
1.130,   2.965e-4
1.131,   2.938e-4
1.132,   2.931e-4
1.133,   2.957e-4
1.134,   2.939e-4
1.135,   2.946e-4
1.136,   2.958e-4
1.137,   2.962e-4
1.138,   2.979e-4
1.139,   2.969e-4
1.140,   2.951e-4
1.141,   2.978e-4
1.142,   2.973e-4
1.143,   2.979e-4
1.144,   2.972e-4
1.145,   3.006e-4
1.146,   3.000e-4
1.147,   3.015e-4
1.148,   3.000e-4
1.149,   3.033e-4
1.150,   3.031e-4
1.151,   3.042e-4
1.152,   3.026e-4
1.153,   3.058e-4
1.154,   3.071e-4
1.155,   3.067e-4
1.156,   3.054e-4
1.157,   3.105e-4
1.158,   3.089e-4
1.159,   3.077e-4
1.160,   3.069e-4
1.161,   3.113e-4
1.162,   3.123e-4
1.163,   3.100e-4
1.164,   3.102e-4
1.165,   3.149e-4
1.166,   3.137e-4
1.167,   3.159e-4
1.168,   3.156e-4
1.169,   3.181e-4
1.170,   3.184e-4
1.171,   3.169e-4
1.172,   3.165e-4
1.173,   3.209e-4
1.174,   3.200e-4
1.175,   3.210e-4
1.176,   3.187e-4
1.177,   3.243e-4
1.178,   3.241e-4
1.179,   3.255e-4
1.180,   3.236e-4
1.181,   3.287e-4
1.182,   3.304e-4
1.183,   3.295e-4
1.184,   3.259e-4
1.185,   3.314e-4
1.186,   3.310e-4
1.187,   3.332e-4
1.188,   3.309e-4
1.189,   3.334e-4
1.190,   3.345e-4
1.191,   3.363e-4
1.192,   3.338e-4
1.193,   3.383e-4
1.194,   3.380e-4
1.195,   3.383e-4
