Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,186.207,75.0,6.0,7.0,7.88,1.9,5.0,137.0,46.0,30.0,19.0,5.0,51.0,890.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B1_BEST_400_#9_Full,best_full_400,206
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,40.0,31.0,21.0,8.0,27.0,780.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B1_BEST_400_#10_Full,best_full_400,234
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,150.36,62.0,6.0,3.0,6.55,1.1,10.0,181.0,95.94,42.0,5.0,6.0,7.35,2.16,5.0,139.0,41.0,30.0,20.0,9.0,42.0,1290.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,50.942,23.0,4.0,5.0,6.76,1.63,3.0,134.0,26.9815,13.0,3.0,13.0,5.95,1.61,0.0,143.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,57.0,31.0,8.0,4.0,75.0,750.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,26.9815,13.0,3.0,13.0,5.95,1.61,0.0,143.0,195.084,78.0,6.0,10.0,8.9,2.28,9.0,139.0,44.0,30.0,18.0,8.0,34.0,960.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,207.2,82.0,6.0,14.0,7.38,2.33,10.0,175.0,54.0,27.0,12.0,7.0,42.0,1090.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,200.59,80.0,6.0,12.0,10.39,2.0,10.0,157.0,58.933,27.0,4.0,9.0,7.81,1.88,7.0,125.0,26.9815,13.0,3.0,13.0,5.95,1.61,0.0,143.0,49.0,38.0,9.0,4.0,38.0,1360.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,195.084,78.0,6.0,10.0,8.9,2.28,9.0,139.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,24.305,12.0,3.0,2.0,7.61,1.31,0.0,160.0,46.0,24.0,16.0,14.0,25.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,best_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,50.0,25.0,19.0,6.0,25.0,1320.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B1_BEST_400_#1_High_Quality,best_high_quliaty_400,318
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,95.94,42.0,5.0,6.0,7.35,2.16,5.0,139.0,47.0,29.0,19.0,5.0,32.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B1_BEST_400_#7_High_Quality,best_high_quliaty_400,263
