Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
K,Ru,Ir,Sr,B2_400#1,best_full_400,44,39,10,7,49,1440,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,262
Ca,Ru,Ir,Ti,B2_400#2,best_full_400,48,48,3,1,60,920,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,205
K,Ru,Ir,Zr,B2_400#3,best_full_400,45,40,13,2,39,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,271
Ru,Sr,Ta,Li,B2_400#4,best_full_400,47,27,16,10,41,850,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,202
Ru,Mn,Gd,Ti,B2_400#5,best_full_400,45,29,21,5,34,730,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,225
Ru,Sr,Ir,Li,B2_400#7,best_full_400,51,27,16,6,42,830,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,187
K,Ru,Ir,Li,B2_400#8,best_full_400,46,44,7,3,60,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,208
Li,Ru,Ir,Ta,B2_400#9,best_full_400,43,43,13,1,48,1290,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,221
K,Ru,Ir,Pr,B2_400#10,best_high_quliaty_400,45,30,21,4,60,770,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,251
K,Ru,Ir,W,B2_400#11,best_high_quliaty_400,46,28,20,6,44,840,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,270
K,Ru,Ir,Ce,B2_400#12,best_high_quliaty_400,44,39,13,4,60,750,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,281
K,Ru,Ir,Re,B2_400#13,best_high_quliaty_400,47,39,10,4,53,630,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,233
K,Ru,Ir,Nd,B2_400#14,best_high_quliaty_400,40,39,13,8,38,650,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,218
K,Ru,Ir,Gd,B2_400#16,best_high_quliaty_400,45,41,10,4,36,660,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,253
K,Ru,Ir,Ta,B2_400#17,best_high_quliaty_400,60,25,10,5,30,750,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,250
