Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,61.0,20.0,16.0,3.0,34.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#1_Full,best_full_400,200
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,95.94,42.0,5.0,6.0,7.35,2.16,5.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,25.0,1.0,0.0,27.0,1340.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#2_Full,best_full_400,208
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,64.0,21.0,11.0,4.0,25.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#3_Full,best_full_400,188
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,62.0,18.0,13.0,7.0,41.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#4_Full,best_full_400,207
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,52.0,30.0,13.0,5.0,48.0,770.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#5_Full,best_full_400,242
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,62.0,24.0,11.0,3.0,40.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#6_Full,best_full_400,182
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,62.0,23.0,8.0,7.0,43.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#7_Full,best_full_400,209
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,53.0,24.0,15.0,8.0,44.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#8_Full,best_full_400,196
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,140.116,58.0,6.0,3.0,6.91,1.12,1.0,181.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,59.0,27.0,12.0,2.0,52.0,1310.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#1_High_Quality(#14),best_high_quliaty_400,225
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,56.0,30.0,9.0,5.0,50.0,1340.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#2_High_Quality(#15),best_high_quliaty_400,219
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,55.0,26.0,11.0,8.0,48.0,920.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#3_High_Quality(#16),best_high_quliaty_400,219
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,140.116,58.0,6.0,3.0,6.91,1.12,1.0,181.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,53.0,29.0,15.0,3.0,29.0,830.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#4_High_Quality(#17),best_high_quliaty_400,207
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,15.0,0.0,50.0,1110.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#5_High_Quality(#18),best_high_quliaty_400,189
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,167.529,68.0,6.0,3.0,6.108,1.23,10.0,178.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,52.0,33.0,9.0,6.0,53.0,920.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#6_High_Quality(#19),best_high_quliaty_400,187
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,48.0,26.0,22.0,4.0,26.0,950.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#7_High_Quality(#20),best_high_quliaty_400,225
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,47.867,22.0,4.0,4.0,6.81,1.54,2.0,147.0,42.0,33.0,19.0,6.0,39.0,1360.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_BEST_#8_High_Quality(#21),best_high_quliaty_400,228
137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,61.0,22.0,14.0,3.0,43.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#1_Full(#9),variance_full_400,294
137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,42.0,30.0,25.0,3.0,56.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#2_Full(#10),variance_full_400,282
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,92.906,41.0,5.0,5.0,6.76,1.6,4.0,146.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,48.0,26.0,24.0,2.0,60.0,1320.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#3_Full(#11),variance_full_400,263
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,183.84,74.0,6.0,6.0,7.98,2.36,4.0,141.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,40.0,29.0,24.0,7.0,45.0,1420.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#4_Full(#12),variance_full_400,273
22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,106.42,46.0,5.0,10.0,8.3,2.2,10.0,137.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,40.0,28.0,26.0,6.0,60.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#5_Full(#13),variance_full_400,212
137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,55.0,27.0,16.0,2.0,48.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,186.207,75.0,6.0,7.0,7.88,1.9,5.0,137.0,107.868,47.0,5.0,11.0,7.54,1.93,10.0,144.0,48.0,28.0,12.0,12.0,27.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,44.0,36.0,14.0,6.0,42.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,42.0,30.0,27.0,1.0,29.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B3_400_VARIANCE_#1_High_Quality(#22),variance_high_quliaty_400,193
