Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Sr,Ni,Gd,B5_400_BEST_#1_Full(#1),best_full_400,68,16,11,5,31,650,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,188
Ru,Zn,Sr,Pr,B5_400_BEST_#1_Full(#2),best_full_400,65,22,8,5,45,520,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,190
Ru,Zn,Ni,Nd,B5_400_BEST_#1_Full(#3),best_full_400,63,26,9,2,47,570,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,209
Ru,Zn,Ca,Pr,B5_400_BEST_#1_Full(#4),best_full_400,61,27,7,5,43,630,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,188
Ru,Zn,Sr,Ta,B5_400_BEST_#1_Full(#5),best_full_400,61,19,14,6,60,720,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,303
Ru,Cr,Sr,Nd,B5_400_BEST_#1_Full(#6),best_full_400,60,22,13,5,60,690,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,198
Ru,Zn,Sr,Er,B5_400_BEST_#1_Full(#7),best_full_400,59,24,11,6,60,580,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,267
Ru,Ni,Sr,Nd,B5_400_BEST_#1_Full(#8),best_full_400,57,23,15,5,27,720,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,212
Ru,Zn,Mn,Pr,B5_400_BEST_#1_Full(#9),best_full_400,55,26,15,4,60,610,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,200
Ru,Ca,Sr,Nd,B5_400_BEST_#1_Full(#10),best_full_400,52,31,11,6,33,740,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,177
Ru,K,Na,Gd,B5_400_BEST_#1_Full(#11),best_full_400,50,27,17,6,60,610,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,246
Ru,K,Sr,Gd,B5_400_BEST_#1_Full(#12),best_full_400,50,39,10,1,60,610,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,288
Ru,Zn,Sr,Pr,B5_400_BEST_#1_Full(#13),best_full_400,49,26,19,6,38,510,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,190
Ru,Na,Sr,Pr,B5_400_BEST_#1_Full(#14),best_full_400,48,24,19,9,51,690,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,246
Ru,K,Sr,Pr,B5_400_BEST_#1_Full(#15),best_full_400,47,28,20,5,60,720,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,223
Ru,Zn,Sr,Sm,B5_400_BEST_#1_Full(#16),best_full_400,47,30,19,4,44,720,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,225
Ru,K,Sr,La,B5_400_BEST_#1_High_Quality(#17),best_high_quliaty_400,61,20,13,6,54,560,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,218
Ru,Ca,Ba,Nd,B5_400_BEST_#1_High_Quality(#18),best_high_quliaty_400,59,22,11,8,60,660,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,186
Ru,Zn,Sr,Nd,B5_400_BEST_#1_High_Quality(#19),best_high_quliaty_400,57,22,16,5,36,680,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,208
Ru,Zn,Mn,Nd,B5_400_BEST_#1_High_Quality(#20),best_high_quliaty_400,57,22,13,8,25,640,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,214
Ru,Sr,Nd,Pr,B5_400_BEST_#1_High_Quality(#21),best_high_quliaty_400,55,23,15,7,52,580,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,245
Ru,K,Sr,Nd,B5_400_BEST_#1_High_Quality(#22),best_high_quliaty_400,53,22,18,7,52,470,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,206
Ru,Ca,Sr,Nd,B5_400_BEST_#1_High_Quality(#23),best_high_quliaty_400,52,24,18,6,53,510,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,154
