,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.14717100583838744,0.290222586098052,0.25827615025927403,0.24353904436224325,0.21817607416474175,0.271808621692875,0.23866833530569848,0.3280177517294695,0.7127177346323827,0.43543293100575375,0.17845262840926954,0.212931936968335,0.22393917888964476,0.3021378899352746,0.4039259107761014,0.25103297299242294,0.22812867402078532,0.25473932200044397,0.45984618735346966,0.3944011489886942,0.3800684125649314,0.2510367966383771,0.12935256516513594,0.08365799734931861,0.29382088596535116,0.17111081555654076,0.15439397416790468,0.26546070305652936,0.11660320005451293,0.6053222126373926,0.13836712024123823,0.15466518728570441,0.21837607398464437,0.37002589828731214,0.16103626028838255,0.12474115038555918,0.2379044726165317,0.3268040604235835,0.05861845160502065,0.061714128313389724,0.4555444683252879,0.08639544016586155,0.3065252572307589,0.08765759896738373,0.5645838246157121,0.09482117236121548,0.5456931608197076,0.11610450274317823,0.47605158315453194,0.08125439365611369,0.43510919569082007,0.19338387026619602,0.18440914314051077
Metal_Dopant_1 Atomic Number,0.14717100583838744,,0.28241500719842394,0.3096221628625621,0.2649026090148944,0.2841437891965298,0.1919908006511258,0.35012763372750605,0.24452784293407684,0.47322859628007863,0.15393453061486406,0.25968290955785334,0.23940334879295008,0.24376174840672044,0.40142864294062813,0.40403667294197054,0.26440270113049297,0.20871401034851605,0.1718831108786499,0.4298528124736324,0.24197646464680647,0.34009407599069175,0.3510340438785624,0.11296830483293252,0.08037867515939838,0.09286593270742713,0.3388382662087377,0.1382318708043493,0.17190107918597378,0.3118169045325055,0.3438407090548888,0.06645616218928817,0.28389556652407993,0.32261484183298494,0.3437173147919069,0.06914037202981194,0.19418541921247884,0.24388300009028965,0.29490876398570015,0.14160870403800208,0.7472985342187962,0.17430231424357764,0.12466116734237093,0.38073294756260534,0.1460667980533522,0.47788627773641257,0.07777172320045983,0.5645423765141084,0.13731105433379634,0.4505688783695412,0.05877351197042813,0.5102323652237514,0.24040033772283542,0.32146228047139674
Metal_Dopant_1 Period,0.290222586098052,0.28241500719842394,,0.5300945172468494,0.47849662162970635,0.3720243383336284,0.2259815373480332,0.4913820204636577,0.4662393360996939,0.5552816441370051,0.15651450174979428,0.409229840503381,0.36290472552416403,0.35608145848426304,0.517836400034575,0.5251254155991099,0.4187002068635598,0.1795130391460596,0.3595221296062147,0.42496520919841146,0.23479680009887907,0.5502174530944007,0.37893760615272604,0.3775413125616269,0.028618779961303686,0.09560341784167962,0.05844449192153198,0.14132899989742204,0.20570680213887968,0.03798558224281135,0.5047384516026281,0.052517714078659024,0.4376140117648397,0.5049088632768438,0.5405269848491806,0.17014880711547248,0.3200819674156248,0.5115455733673215,0.2390194454017124,0.15197479880925213,0.10676192095540245,0.26965810774307813,0.29819617094584794,0.4892741964555451,0.15730287224180226,0.38937867025974,0.060913753675783285,0.6556200362955436,0.20049812398798517,0.6284030845189036,0.16492572644048137,0.6017920116384902,0.5420377338464905,0.5056379546010219
Metal_Dopant_1 Group,0.25827615025927403,0.3096221628625621,0.5300945172468494,,0.527386269596667,0.4082447193201371,0.2928937207207356,0.515108300427278,0.42986145400117776,0.4881784918926577,0.24584805542759464,0.37544252956261787,0.24644362450027973,0.45722998882876886,0.48535576166354555,0.519688214934875,0.31329635922559085,0.16747423586474908,0.2556876175255725,0.5248306742502202,0.4383005396818892,0.5945280619147861,0.40192902163872574,0.286766614560133,0.11618937956077513,0.4956554230719273,0.15798791014513802,0.1981078773883552,0.285255479029417,0.10937667782756402,0.28285511663295976,0.06909646307042117,0.41795264315236036,0.5783647233618423,0.3438663754550411,0.07959402793497705,0.47715627060263605,0.5742422947845551,0.2717882285565537,0.10414277688002875,0.10541773532924993,0.2423444633265813,0.3138665205544742,0.4964000108639728,0.20295682218026959,0.3418822926205872,0.10940337832776581,0.6551800378930052,0.2843491155802561,0.6152665836012253,0.2337275521168463,0.5034635794103732,0.46728133737575533,0.46247299144986886
Metal_Dopant_1 Ionization Potential,0.24353904436224325,0.2649026090148944,0.47849662162970635,0.527386269596667,,0.34232261084057913,0.20313918646770324,0.47421036922769305,0.22049647919281767,0.3303997724101004,0.16441656390161327,0.36601752969979445,0.35814977669772635,0.32299339026619617,0.3135465608229376,0.2347806636504568,0.5161484201322772,0.17272423160813324,0.14029753231280767,0.2693892509899879,0.2794169193655795,0.12307352875709252,0.3490944324856139,0.2656435667683714,0.09258708918111953,0.12407983668794378,0.14012206627769824,0.0668233217646435,0.18908941906550106,0.10068072869789232,0.15076809394899765,0.16083413551737596,0.43705055134593745,0.5022822434562499,0.16679481338869057,0.08304819607348973,0.4085764825453974,0.4661535502679506,0.24528397374790217,0.11741129373051305,0.0733889007211891,0.21698447408158256,0.3045669715088173,0.3463414251450561,0.49607869844895663,0.41326086484621094,0.11183376926974348,0.494782644897768,0.33052087914565026,0.45340621362265726,0.23002362153686795,0.3646308235101049,0.4110772335835496,0.36434871687265746
Metal_Dopant_1 Electronegativity,0.21817607416474175,0.2841437891965298,0.3720243383336284,0.4082447193201371,0.34232261084057913,,0.3185320127231904,0.4507102858674733,0.39530715270156,0.24787730032719274,0.07881080791002922,0.3854765526275663,0.41090073472666305,0.2875458803749866,0.3999607702591416,0.4749065841328095,0.4015916255875943,0.1539849475448541,0.24923392470741204,0.37660150021804284,0.29704550296127236,0.27585517147393507,0.18848874847965344,0.3180027594425587,0.078407137631865,0.22629829085135372,0.17845276319032116,0.13791534584063078,0.26118834790930456,0.17630351931670873,0.23433603102237413,0.2589218754388446,0.40310876256609046,0.4121572534189463,0.2530196843375239,0.09412158035674381,0.2597347891201971,0.5135599845267841,0.15170819313710132,0.2270467858849881,0.13435629768526391,0.19167692396278196,0.3210125388820493,0.43510549938322235,0.07440198073781809,0.155691207221263,0.10937862082197361,0.5449516852253825,0.26547670675318175,0.4813359764867128,0.3057581407041584,0.4382928886357449,0.37111148036168373,0.5012795149729726
Metal_Dopant_1 Number of d electrons,0.271808621692875,0.1919908006511258,0.2259815373480332,0.2928937207207356,0.20313918646770324,0.3185320127231904,,0.369791761051563,0.30195121891625604,0.8976083186554852,0.20456178364223054,0.19203856792684024,0.23500932049699028,0.16810527933197839,0.29220292551426247,0.43641503024722883,0.3286071292447115,0.2278788194409551,0.13886703059147945,0.3965696098227605,0.37914361824153264,0.3227378255686614,0.2587672711195904,0.1448113194009981,0.05859959790568702,0.7441635933757227,0.19111273853685531,0.15185423131189954,0.12549387619457622,0.8228825854103786,0.15213480033343563,0.11293877366061975,0.2432633310877985,0.22550403043574618,0.6555744621670647,0.2328849159200214,0.20752948656931952,0.28308536595694406,0.1922636722887173,0.07186759188927246,0.6197773407868318,0.24918189839755361,0.09023686269311043,0.3417616325501548,0.24124466903584732,0.7740556630533044,0.04343630614475186,0.5263533650282732,0.10236520002858948,0.41502042886436774,0.10100966065294659,0.38290834475412705,0.1703256044932487,0.18047438290444953
Metal_Dopant_1 Atomic Radius,0.23866833530569848,0.35012763372750605,0.4913820204636577,0.515108300427278,0.47421036922769305,0.4507102858674733,0.369791761051563,,0.4716868037016195,0.5617817871489195,0.18917822848444796,0.34824767245780713,0.4089411271333601,0.40921292342300325,0.4644622613097207,0.5491863111231484,0.39980404759129057,0.1453688606958109,0.2247918372840982,0.4864100763326047,0.3524892112862728,0.5358573663856527,0.4809287854277664,0.6780038971227489,0.39721998499348676,0.2140851376871797,0.14467987070022575,0.2946537842019066,0.4209463351036995,0.11150348379406105,0.41038908154446385,0.3874121299055348,0.36426406369374564,0.42937441309165364,0.5869672203239727,0.12802349049707437,0.3259028991111423,0.45993984778606334,0.3316882974283989,0.1522264016435776,0.08358158192745364,0.37203746340232663,0.2311124491065515,0.48025518981254905,0.22976764270115446,0.4878173165393783,0.15918891847360878,0.7541907575805624,0.20429348395270155,0.5772919304695795,0.30044996697824666,0.6329212293972019,0.6220395403257549,0.4566972393412945
Metal_Dopant_2 Relative Atomic Mass,0.3280177517294695,0.24452784293407684,0.4662393360996939,0.42986145400117776,0.22049647919281767,0.39530715270156,0.30195121891625604,0.4716868037016195,,0.6492264652508859,0.24665032524989713,0.3391720076853573,0.4816104467376125,0.4986600828068327,0.5297983538793483,0.5729120851028728,0.47408747729831635,0.1324786513025099,0.2628216456404249,0.4782353109395291,0.28227424664709233,0.4184314561377239,0.3724708048282661,0.19883904013989243,0.11848817323306607,0.21949151812231898,0.18727545908288157,0.13398117487299677,0.08939203900001327,0.26682828869648795,0.1014812149367505,0.11370223275009043,0.30203494156225047,0.3510792668319067,0.31638351307259693,0.09279217073646884,0.302466667818476,0.4795040543137729,0.37967556276242415,0.2292994946119565,0.09035355121368256,0.4134750951193073,0.2787061056809776,0.49474734490294936,0.31977488028452133,0.370317008013539,0.10441814174073047,0.6057280246516089,0.20988915659912147,0.6523483106060796,0.28404837441074476,0.5162286952172259,0.3795564257106634,0.4343248014454833
Metal_Dopant_2 Atomic Number,0.7127177346323827,0.47322859628007863,0.5552816441370051,0.4881784918926577,0.3303997724101004,0.24787730032719274,0.8976083186554852,0.5617817871489195,0.6492264652508859,,0.8037075116831616,0.3466805331437518,0.5358233431672009,0.4304693469067173,0.6929819083939446,0.682349980150744,0.6801611527194892,0.6026802674216517,0.8371973572577303,0.8960479083358897,0.7096610442859791,,0.6043321829529461,0.5137543330139057,0.37463772180043897,,0.6565268766626104,,0.7497858328412919,,,0.3002507432457693,0.39734089184854654,0.672140103209293,0.7420383890694158,0.551382944866573,0.2960870751850695,0.6435023837437219,0.5392707810797089,0.19542856777735484,0.31045552146771993,0.5761142962699569,0.26760126193272554,0.5995795499964394,0.37047259290160744,0.8986451434065953,0.27620052319020616,0.7849498015332923,0.1522411507095957,0.6848609287037332,0.40528077556190645,0.723447584842158,0.4005128958691284,0.5110371483168469
