,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.04165251978363758,0.005892663187928618,0.27991789856502525,0.20038983395295507,0.12553842774814425,0.17535762204365826,0.24085321186958278,0.1697474107065516,0.09152135571907505,0.05829528601827956,0.11635466927577823,0.19402894148449437,0.1159521053403265,0.17259706785474288,0.31757590666551694,0.0746860743028175,0.10147875597202483,0.020472939592688078,0.21752668006949497,0.13138315504850398,0.07773467930359862,0.06241274439119012,0.14889667023928968,0.0375771379162907,0.0031616799124518946,7.865398331496333e-16,0.07587082828162799,0.0009578542628518542,5.583564509651137e-16,0.0009521977291136951,0.0,0.2392880684629642,0.27908284970212116,0.3422240129747839,0.25765369814727795,0.2280357123286589,0.27195164606205474,0.13521473041211474,0.12004335362988078,0.08641706759930823,0.04137444458169527,0.48014253508461285,0.25190168477345953,0.027792905438291545,0.22979377981204777,0.04062464378912756,0.15520681890245727,0.29409953961010576,0.30294292655187344,0.026092041121473755,0.15413316121019371,0.14015216655707807,0.28501339950523324
Metal_Dopant_1 Atomic Number,0.04165251978363758,0.0,0.051497425507483846,0.04336515476200259,0.10505293840087086,0.06928644696870138,0.03421082375485376,0.054887867621845006,0.10834163474131477,0.10880720071604887,0.07686807039546288,0.13656329077803228,0.07909981246675193,0.031867712435210874,0.13972493778292877,0.10008101627083582,0.06518185443529663,0.04947005329527223,0.0044513856705095155,0.05456167269672516,0.039062498965429786,0.03385419863142311,0.036492063002448075,0.028573779737329153,0.0037187991284249977,0.001213236032166899,8.275082374762328e-16,0.0014777704483234875,0.004975694731446976,4.685689033590485e-16,8.472402297670816e-16,0.0,0.08064803521997782,0.051997914096343995,0.07567718545612957,0.09977537231433832,0.12263276989546315,0.1836933041367207,0.06785872137977045,0.08892566066541133,0.04591928483388184,0.04014410478695105,0.1320242092159625,0.07214645533357411,0.0908269256792351,0.11573646600461694,0.04088603729882671,0.12306613365388175,0.05674046437760708,0.1305245874380976,0.01136535403238998,0.06450924026959186,0.14509358659186647,0.025393643766134174
Metal_Dopant_1 Period,0.005892663187928618,0.051497425507483846,0.0,0.05824138765029061,0.035497739376810604,0.01823470458328352,0.02906011373769965,0.04202625454559239,0.24018153073866794,0.042488384541317696,0.0,0.04677945535412007,0.15205961706616,0.11207407317861236,0.09592834250159427,0.031106168681177594,0.4055412695837185,0.018484660847321532,0.0,0.08059408454297014,0.04035238861939676,0.0,0.21777188474658307,0.007545333223041315,0.0003346916495377689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14665205538471815,0.14514636184727364,0.006313661859090823,0.0028085574940509357,0.012653889285686398,0.02602079737782719,0.2242700966047159,0.045609087204289064,0.09377085598145822,0.2187885363059307,0.06769488278850122,0.09810981245428933,0.0,0.13862180937265803,0.053670419160728886,0.011719177978077904,0.02461944048502172,0.10164088949526305,3.9426119089668593e-13,0.27056599659303027,0.10885826830595241,0.0071339547220788165
Metal_Dopant_1 Group,0.27991789856502525,0.04336515476200259,0.05824138765029061,0.0,0.26965667929078135,0.3283562917882835,0.24962027854603247,0.20711121408605013,0.2906640965465893,0.134446836607711,0.13214246552616357,0.21758625468854836,0.3166952429561104,0.23038621900523581,0.26527109930902776,0.42405231026900364,0.16553234147832624,0.11609498923711499,0.13636001944047849,0.5452448155130528,0.23341306349384303,0.04471263212804674,0.054330850006837794,0.18721685973936875,0.007675330184841401,0.0033792535486234444,0.051365794201857884,0.09346073166299736,0.034909905668871075,0.009601276991277207,0.006363779944355363,1.4124733866023777e-15,0.5003443969021728,0.36472869276908465,0.29626467627077696,0.04505737861496504,0.20417946829054634,0.32221763316288093,0.12218453280362995,0.16612018032920575,0.08400422134044273,0.0630054383609298,0.24591134096141865,0.46040410529038933,0.021118508610766338,0.24733761202671892,0.14642800240050952,0.2788311929216931,0.35373015029907234,0.639285728854793,0.02773771721256516,0.27602643350728556,0.2520377530157463,0.3262637313422123
Metal_Dopant_1 Ionization Potential,0.20038983395295507,0.10505293840087086,0.035497739376810604,0.26965667929078135,0.0,0.449605232552173,0.16776214074718016,0.4238847001479055,0.34989465687360527,0.11488052435931873,0.12948571189817537,0.16866665118269358,0.47495121518541766,0.2403608131042739,0.1332560629129134,0.15761676508199168,0.07092941164745267,0.04906307647344219,0.12366450523754285,0.27374762007887116,0.19036847398204157,0.04013026815548189,0.09345894888266087,0.37239553226154265,0.22552460135544972,0.0036519855083398263,0.0037949573029996994,0.2150195023401991,0.24378815953101296,0.0005488256727756342,0.0032063348500209134,0.0,0.302138163013653,0.35104659265756033,0.21626771882389212,0.04031273161337521,0.29821860682997436,0.41242379982722677,0.08932315477579605,0.06693527735849533,0.07037444856421045,0.06238904417019181,0.48264685289598325,0.4118314317967953,0.14057109352307517,0.09517599501124403,0.0801863909662396,0.2881987020077622,0.8531749478703684,0.2502756772444822,0.02146101555589048,0.26905144879735554,0.17291208478222306,0.3504072267358632
Metal_Dopant_1 Electronegativity,0.12553842774814425,0.06928644696870138,0.01823470458328352,0.3283562917882835,0.449605232552173,0.0,0.15148495777643325,0.23335585810945508,0.49527915804779654,0.12068644879143128,0.17246062308513854,0.3281614359706209,0.2746724487123448,0.17586636955352142,0.26321519501849117,0.1405501034574226,0.30115519782832284,0.14400633075830416,0.20008703309191425,0.08673718280503159,0.2286180087682294,0.008185071686057454,0.06201705572978573,0.18202113682713542,0.008182365829363127,0.0010400426016290137,0.0359732313339919,0.03214368015961111,0.013167896439822815,1.8684268224231287e-15,0.0009064238545566342,1.2468205596238377e-15,0.385026780005536,0.20400809888174076,0.22748676984952987,0.047060988463358426,0.2378824690685399,0.3560014613889569,0.13360873948210988,0.036702219882582536,0.08299480431291567,0.1473746701218589,0.228922951532872,0.32507075827190884,0.05585268334001681,0.47181681503010786,0.02645153049512106,0.5004680439598501,0.3048257416109048,0.3446449170618538,0.034231216178029086,0.1719680265861319,0.1914650695701636,0.2832396618772028
Metal_Dopant_1 Number of d electrons,0.17535762204365826,0.03421082375485376,0.02906011373769965,0.24962027854603247,0.16776214074718016,0.15148495777643325,0.0,0.09884401175445277,0.17009513972734513,0.07101485537371191,0.0663075087812435,0.19649119335361256,0.14487261375926686,0.10526983519961304,0.17406732322153756,0.12005126864963891,0.3783784468695906,0.043972538304154866,0.07222787001888425,0.12467485353950619,0.1792541367766163,0.1935394137854073,0.1512596250046524,0.054921761937031445,0.0142357822858558,0.0052577966833495665,9.137679572980909e-15,0.0028508298343740282,4.77782651407493e-15,0.022975723928118343,0.007499756036610705,6.997088803258328e-15,0.2659071831151626,0.20819517411545047,0.10173668560312665,0.008767340770790093,0.17794014598271932,0.17058278628917528,0.1356188467008261,0.07225753072337443,0.10379934632825207,0.08345979563682,0.20813283523593196,0.23412547285201601,0.001316194907449953,0.2797636792798941,0.024542652439496132,0.297111355978046,0.23952012302736084,0.3246317099604996,0.022653384913831714,0.17792326450496823,0.10064456613386225,0.12661185780422335
Metal_Dopant_1 Atomic Radius,0.24085321186958278,0.054887867621845006,0.04202625454559239,0.20711121408605013,0.4238847001479055,0.23335585810945508,0.09884401175445277,0.0,0.36910631700172186,0.14213597846995063,0.18872717030819977,0.1674294567805197,0.31850998201297087,0.19814823286075514,0.14920767845409444,0.20134635096193684,0.06352192069387656,0.11286782586262896,0.1040051067052698,0.1484905845581181,0.1313250098244836,0.034563028485926954,0.044613749829655484,0.2864684979652151,0.0144985873197749,0.01571495050718317,2.739856423610501e-16,0.0005277400310417019,0.001360441735200026,0.09998136787516024,0.0011426135923545018,0.0,0.2627691598985306,0.2158790649672045,0.2645179139596755,0.1748713452232652,0.2871441788959812,0.36626346353722716,0.11424165464634572,0.06256887963767561,0.13937806470346542,0.10307402007572744,0.27340087198785734,0.21889675234652348,0.07336840099200753,0.15238603942051981,0.016898650212104058,0.2644957976591319,0.4943574759752321,0.25426694400543887,0.020210182465634115,0.12911991718319193,0.22888867650546238,0.4287682590371136
Metal_Dopant_2 Relative Atomic Mass,0.1697474107065516,0.10834163474131477,0.24018153073866794,0.2906640965465893,0.34989465687360527,0.49527915804779654,0.17009513972734513,0.36910631700172186,0.0,0.2920316406939359,0.316655319795898,0.21794153988113338,0.5887205695289104,0.20912030491103845,0.25137711466658713,0.22242637577986776,0.31133965497819366,0.12346073545065149,0.10898012804817811,0.3101449638624547,0.22887821666396502,0.11363775400607691,0.3238832609470833,0.24385711535669458,0.008205067269523029,0.009038670072683141,2.9035417547439964e-15,0.00983826248782562,0.004655103668356652,0.01188782009059017,5.830924080530738e-15,0.0,0.3936247940318665,0.4305328632172265,0.4295254372789196,0.13837105213348852,0.37075958362511235,0.31523898767631736,0.2575373473949374,0.06526210619680956,0.08466698897690218,0.21097363081886047,0.2979288267482873,0.4672300971057471,0.02551570291156733,0.26808102106447335,0.17773157667411435,0.1289590346428168,0.45215135011817503,0.4512985329077112,0.032008138963476866,0.43216751754430227,0.21528096216002413,0.2953261327250813
Metal_Dopant_2 Atomic Number,0.09152135571907505,0.10880720071604887,0.042488384541317696,0.134446836607711,0.11488052435931873,0.12068644879143128,0.07101485537371191,0.14213597846995063,0.2920316406939359,0.0,0.1328628549194849,0.0834647601729304,0.12512500819463582,0.06158103495279361,0.12246427693799641,0.12591853687474194,0.04405500372529889,0.12693004853795187,0.06390189375380945,0.04629349098710107,0.3270826506731067,0.05232792246270853,0.07314970865145665,0.03769461447145832,0.010120023016622544,0.00531416680903991,0.02792286999198224,0.07963659383185179,0.0009951571668516531,0.006460084927473927,6.395681459955947e-16,0.0,0.11524695253469157,0.11414220205147346,0.14122710480062242,0.07717786783277475,0.08318053626735346,0.17170456746988969,0.2491411614591691,0.10686370025253554,0.3704067527313879,0.034429972279346126,0.15728315463198858,0.11933096971791675,0.0173609664291759,0.17154264695188504,0.08688400142575677,0.10140957337794108,0.11824142537918805,0.2675414820019208,0.020564662204236212,0.15816905832451128,0.17467189724530147,0.09260794787115788
