,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.045185907285669936,0.0,0.10786911724236346,0.20327259766270203,0.12897734964560226,0.08766711312141483,0.2549979039366199,0.16146348920196382,0.12673990032036836,0.012755594237769174,0.1366258380580558,0.2049604491854928,0.11025208455014887,0.10831289677767521,0.10338103714379679,0.12865762411030582,0.03676910938501496,0.00464165820106674,0.1216488855466225,0.07962532304187712,0.0011468969390103867,0.05683257626675568,0.15337196894631483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3234648446157073,0.10604452933638514,0.1675917292988362,0.0009083476439283133,0.15633724387308462,0.10773705377561238,0.08015652449005305,0.0810545604491514,0.08296012294588129,0.12971240189212394,0.039777017969161894,0.3003775360895371,0.0,0.06455987151424841,0.043536130256639494,0.37312002213260087,0.07849675912570336,0.13368094155626545,0.03497031380194455,0.13647471935420277,0.06509321281859654,0.2618060199684988
Metal_Dopant_1 Atomic Number,0.045185907285669936,,0.0,0.017084244696440192,0.026276937394810275,0.004359331894626409,0.00500356201050759,0.03024772632686648,0.021096917526857682,0.07904609139700022,0.0038910387073448046,0.033141671097189455,0.03486451976243134,0.02326093301067951,0.03044303403134838,0.02065983353961351,0.023867508487052422,0.009930835608208158,0.0007982451714948806,0.013402337442465256,0.043749725969986934,0.00020960927919959083,0.03293920761744759,0.03217735426477524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06415935051985226,0.017613458491098598,0.01404393485354613,0.00011012516159284285,0.01877206689441676,0.03273128117179692,0.020536420673874504,0.05117298289771098,0.15159187430795718,0.05430151771640954,0.011303465148355455,0.08196621161574694,0.0,0.05184734510638085,0.039136669464111914,0.0686746263958541,0.012372365301439562,0.031220329502982862,0.03209808981835653,0.014669821803579378,0.0230244037325364,0.026251449521705817
Metal_Dopant_1 Period,0.0,0.0,,1.5820093969579338e-14,2.5020576866805493e-15,9.8963261137626e-15,0.0,1.0918612449330315e-14,0.0,0.0,1.6224742945545587e-12,2.466255620739241e-14,0.0,6.63431010098431e-15,0.0,3.018207088755221e-14,9.856031619473743e-14,1.1138698734629174e-12,1.9468664088611167e-11,1.4385183436239372e-14,8.645723708291253e-14,6.147406691998052e-11,5.2041224085404895e-14,2.4771250806939512e-14,,,,,,,,,9.676960943377782e-15,1.2704308880949613e-15,7.836213422554499e-15,0.0,0.0,2.9770114693133214e-15,0.0,0.0,0.0,0.0,0.0,1.6352612412231456e-14,,0.0,0.0,0.0,8.102665172533519e-16,5.124271920190922e-15,0.0,0.0,0.0,2.5185240978975336e-15
Metal_Dopant_1 Group,0.10786911724236346,0.017084244696440192,1.5820093969579338e-14,,0.4130334579280984,0.131494585420935,0.09221799683267319,0.4387410075350588,0.26682041501487425,0.06006853859721233,0.005443962085592437,0.11845172845222075,0.26949924104345824,0.24966499334483183,0.22840279555372242,0.2044182457184677,0.12496970603896941,0.016718338748996125,0.007371042625119945,0.07694010487873709,0.08804817087443834,0.0012280438920519382,0.060951406524814476,0.17495244556782463,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,1.5820093969579338e-14,0.5116018841891062,0.18841383591460178,0.25409838709035304,0.0005822874792393228,0.14530288339112238,0.17566695902796484,0.06501052065567942,0.07094260563282268,0.24132301729000033,0.046780967133594045,0.11473006723704555,0.30335336511587,1.5820093969579338e-14,0.07543926192972895,0.25004787910737114,0.3553426308020391,0.1489840813302693,0.25103311031664105,0.03840961534593282,0.07675982380139335,0.09076008910745316,0.3255190873803893
Metal_Dopant_1 Ionization Potential,0.20327259766270203,0.026276937394810275,2.5020576866805493e-15,0.4130334579280984,,0.34805008022046413,0.07150698584876386,0.5188860483899392,0.3324653962299545,0.03274276834563785,0.005911418276347535,0.23160984023282674,0.3975257816460396,0.3363493823597081,0.25215259261931505,0.22826214574201065,0.10958967495246608,0.0605678681697073,0.002138807132632684,0.2603568715670704,0.03732274365005331,0.006353939808694331,0.11625423677846128,0.19731810654016793,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,2.502057686680549e-15,0.48550807433489584,0.4226857686173306,0.3815138692140418,0.03258294813026619,0.48885373556036504,0.5371863030296269,0.21108448808496383,0.04772434931683135,0.09975752749002319,0.11203300253540446,0.3782810550887773,0.4922263443173798,2.502057686680549e-15,0.10639021268154748,0.04916339010881791,0.5125253499976865,0.3897660348461394,0.5083556440174557,0.0353994262096222,0.07103337096468798,0.2767253282391142,0.4946270239849584
Metal_Dopant_1 Electronegativity,0.12897734964560226,0.004359331894626409,9.8963261137626e-15,0.131494585420935,0.34805008022046413,,0.057735613346801246,0.593385721243028,0.4441931648473127,0.046555013360386414,0.00286135529684381,0.09969884257399268,0.5404745345305504,0.5447969345763979,0.3011335568943722,0.1347392324294809,0.12597317112920783,0.01523388067484452,0.0002647903721886162,0.2115597316946602,0.0945038301167874,0.0009755364881043201,0.024543862146439093,0.2695028484219524,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,9.8963261137626e-15,0.5453732624700195,0.2186267164353166,0.2650484677008944,0.0012533605930657404,0.29347204903688595,0.3597445092262514,0.3309684709339626,0.05607153118973251,0.06937256849726597,0.1719217288856472,0.19818151247865815,0.4068239627286774,9.8963261137626e-15,0.12428645277267898,0.028610129641737366,0.244418734496314,0.26292366239446996,0.4026842278458351,0.017337023244870825,0.4120048127214275,0.32917335137907555,0.4853443211609754
Metal_Dopant_1 Number of d electrons,0.08766711312141483,0.00500356201050759,0.0,0.09221799683267319,0.07150698584876386,0.057735613346801246,,0.1501086990982268,0.14708944616550448,0.08815004132752677,0.002254822617214388,0.09986577338838783,0.1430017269573968,0.06131987833776582,0.35794533243001475,0.060652505681574244,0.40082521597244714,0.0033301507048886106,0.0010642489064489598,0.06951367372899633,0.03591802555718966,0.00019203086585479486,0.041277420463846456,0.009439439945557895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424658210352846,0.07284147292615842,0.12644717201969813,0.0007243047501154143,0.09732096430153243,0.08765052329243034,0.0675839340439472,0.04260453375686345,0.06579163975980723,0.08331977255326081,0.028306979393614852,0.2171477806058306,0.0,0.06367756464168425,0.020105103594099158,0.2550123676409305,0.04463038338701577,0.1341337147328318,0.02525200401338125,0.03579292494879842,0.06428363357179538,0.16097379574500703
Metal_Dopant_1 Atomic Radius,0.2549979039366199,0.03024772632686648,1.0918612449330315e-14,0.4387410075350588,0.5188860483899392,0.593385721243028,0.1501086990982268,,0.4492108006009509,0.043228232550090936,0.01811542460537197,0.2741044687010004,0.5656718581699454,0.5183185681234688,0.48345620060452704,0.31112264744569085,0.24378670992021523,0.06435605851957299,0.0036378821405978704,0.44134961869866074,0.07801467007290246,0.008537853398228533,0.10083681637764501,0.23319509277965786,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,1.0918612449330314e-14,0.605513288849627,0.3004160679306373,0.38115583763475525,0.01434920599823146,0.33641121725598233,0.44097650546254763,0.39908348742192373,0.07274529503561768,0.06872572289518543,0.31698231594499515,0.1881109775131293,0.581656527218746,1.0918612449330314e-14,0.23960378655655087,0.22404363757181361,0.32179046551273915,0.34492258252472724,0.39305878073988215,0.024894113751906748,0.49213783361895314,0.29949698269207875,0.544606354704827
Metal_Dopant_2 Relative Atomic Mass,0.16146348920196382,0.021096917526857682,0.0,0.26682041501487425,0.3324653962299545,0.4441931648473127,0.14708944616550448,0.4492108006009509,,0.03308334168892435,0.017831653293465845,0.20546671812227904,0.5224253082102721,0.2921582716853554,0.43407896736888707,0.25330450139265254,0.32830316732640996,0.03924833294825933,0.025850116994642316,0.3143205743526041,0.08492499987673344,0.03639509310190251,0.11473757225372487,0.4478713180844493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5635769833898506,0.193004252644928,0.32942036417783155,0.025117135156769183,0.281786101586103,0.22304808615472646,0.17569888354530028,0.0563603738283674,0.0865793311549768,0.19357022038244995,0.11387780663510128,0.4973332876906598,0.0,0.13847504817592532,0.04149394725619174,0.5297657106703687,0.16678093057959414,0.3041895844725498,0.013004706595044652,0.2001230609870048,0.18485120888794482,0.4430193065013476
Metal_Dopant_2 Atomic Number,0.12673990032036836,0.07904609139700022,0.0,0.06006853859721233,0.03274276834563785,0.046555013360386414,0.08815004132752677,0.043228232550090936,0.03308334168892435,,0.004577425804577235,0.0961454047018608,0.03154218275452741,0.028764916248582337,0.05574575192175147,0.05824315222916726,0.09234924082864965,0.09593052378338804,0.0003665402025825043,0.07615310783278888,0.07712760149842322,0.00016964019466317637,0.1284717383939776,0.03733268344677255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16030044407957333,0.024642943384987917,0.021757962095157655,0.0003300078612349307,0.04051611717092224,0.024264960896156037,0.07226249878241793,0.07262485582888185,0.08218322133626187,0.27960493333152325,0.015606867532076593,0.07420333026876279,0.0,0.028680615864457595,0.04509181151101786,0.08438592742061049,0.027577042298668714,0.07466478804062168,0.0464798791773712,0.24890285649858235,0.024302520646765996,0.04404870542558757
