,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.00013612012515800255,0.0006263019856096549,0.07258974383312393,0.0901415043578036,0.03532048183061959,0.024005504160838156,0.16034504884224193,0.04293323891194572,0.01861756739770764,0.004564175487513271,0.022155397210670353,0.08738222143168296,0.056145679123320566,0.06216763226318918,0.04128853021816053,0.02070100459889232,0.0021834649384192663,0.0031915349035105183,0.047411290517587155,0.055007865194985364,0.0002072722896982281,0.03233368485728596,0.05535816849470409,4.822681743162287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10366939380605214,0.08323551594381738,0.0996125838194508,0.0024231497845249024,0.04707664895376022,0.06889290418880588,0.015907679610386343,0.008216544394420043,0.0038699204260178176,0.0068202134193003135,0.07472144015503414,0.1743668911231245,0.0,0.1623411396165847,0.0026218524487104196,0.033231122838560105,0.15724112896472792,0.0715975073267703,0.0,0.028479861010396585,0.0538809500419138,0.16978525359004124
Metal_Dopant_1 Atomic Number,0.00013612012515800255,,0.0035437836119519115,0.0006394477356348237,0.00045755177828726466,0.0005427981191101437,0.00010571649677938796,0.0031250992084808312,0.00013996223659563676,0.0043906564021054814,0.0010668277251140003,0.000301358876530159,0.00024050323863119218,0.00029602686472898076,0.00027022293490575543,0.00048576844367239686,0.0006139615458700462,9.503151062804478e-05,0.0003301842675689862,0.04261077796295684,0.000524098340458377,0.01882480895600536,0.0005929182398947504,0.0006231600852957327,0.000360012203277524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013082374074222685,0.00028665149749319943,0.0005606267329146305,0.00043030942839704926,0.00011423934689531047,0.001196876139660406,0.001977564063641531,0.00728792871070845,0.0011960273749663471,0.0005440407529091176,0.00039776491599358463,0.0010840642006892547,0.0,0.0007444060833908621,0.0010448418539899416,0.0034330218890201115,0.00041658602638599293,0.001749197658380754,0.0,7.877648362890197e-05,0.00042731337113920684,0.0003920662147490278
Metal_Dopant_1 Period,0.0006263019856096549,0.0035437836119519115,,0.0011188124947688794,0.0009522138774792602,0.007506993683835969,0.0017300594611118717,0.009749862949840128,0.0013811455912692097,0.021894041200745857,0.0030038265126800944,0.0019368397212162565,0.0034671864684495818,0.0007699981353894472,0.0006232503805943438,0.0014507753386588985,0.0016475084131453374,0.0009219912813051262,0.001013687304977051,0.0005113576395976477,0.0028222636892328216,0.004599117228406816,0.0006003363071014001,0.001178750714517525,0.0004385883482487633,5.062170569259958e-13,5.062170569259958e-13,5.062170569259958e-13,5.062170569259958e-13,5.062170569259958e-13,5.062170569259958e-13,5.062170569259958e-13,0.0023785781299856105,0.0008497882131848204,0.001510941183872041,0.0007005672195651587,0.0006077511176015084,0.0016860036261604038,0.005054115710290995,0.021233365846510577,0.0030774692011418733,0.0022060525039348266,0.0010867623428437707,0.0017621292313079523,5.062170569259958e-13,0.001384260084280796,0.0021735275156588517,0.002537518710120357,0.002998838819563964,0.0029647848979669498,5.062170569259958e-13,0.00025768367447314973,0.0012082506194290078,0.0008717697577163053
Metal_Dopant_1 Group,0.07258974383312393,0.0006394477356348237,0.0011188124947688794,,0.08378893869758354,0.04777127898922376,0.04085035623063396,0.0537910963274407,0.07782698161834255,0.02921175020150011,0.004212339142799723,0.07447095550387624,0.12802583809873544,0.05905756571555402,0.05460246982298966,0.3132588130239839,0.06769357978638024,0.00020606243559766337,0.009337656362606863,0.1417958704018659,0.09847686544007524,0.000767366495126387,0.04357659621394911,0.11168488891765782,0.0021667614299178605,1.850940620816402e-15,1.850940620816402e-15,1.850940620816402e-15,1.850940620816402e-15,1.850940620816402e-15,1.850940620816402e-15,1.850940620816402e-15,0.22662905108185513,0.10006227370792971,0.23020591176919453,0.03617075255949047,0.09016902176903398,0.14851682252005213,0.03465941201126322,0.036512708344584165,0.004183904322587863,0.008022128284166397,0.08758013171610445,0.2954919853038906,1.850940620816402e-15,0.050593148498622044,0.050993663206381684,0.1587292706251981,0.1568718097434782,0.4149431022691545,1.850940620816402e-15,0.0566470353426835,0.08874942700894436,0.2597380304207788
Metal_Dopant_1 Ionization Potential,0.0901415043578036,0.00045755177828726466,0.0009522138774792602,0.08378893869758354,,0.2952679654294073,0.01790542525913031,0.21586346564981101,0.2753664987416632,0.008399423421933148,0.0031168291722922558,0.03721228441672639,0.29747986358826894,0.05514551031535912,0.060973349218399045,0.06164822263119432,0.032133939365756765,5.378144343343271e-05,0.0062670022538730075,0.1812829930092986,0.05183868564958524,0.0003140707701201349,0.025718376217996462,0.24222055592958192,9.020073575878626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422005507152917,0.17006510750593254,0.043359044697627726,0.0035167372867964224,0.2072272588960797,0.1668760209629048,0.017018148385359564,0.007081173913567652,0.010334513743222145,0.003653068581425521,0.25195404713389924,0.1996754500929443,0.0,0.0233351303161662,0.004323072573700014,0.11901023093199414,0.4759209011985844,0.04618259512762648,0.0,0.10346845556546769,0.06322753909863926,0.2787069035997843
Metal_Dopant_1 Electronegativity,0.03532048183061959,0.0005427981191101437,0.007506993683835969,0.04777127898922376,0.2952679654294073,,0.023832169126995754,0.06982130762738327,0.17042709749307158,0.0040033088642036155,0.001936934651582168,0.04121242215619246,0.13420573902659583,0.03875325846541893,0.11051021462916111,0.01508202348335373,0.019370456022411157,0.00024942217881018347,0.0032150350656302237,0.04215785385417461,0.08237295493707288,0.00019638831332449995,0.018723319082552863,0.08170278916259648,6.360242361352362e-05,1.633864993540201e-15,1.633864993540201e-15,1.633864993540201e-15,1.633864993540201e-15,1.633864993540201e-15,1.633864993540201e-15,1.633864993540201e-15,0.19480046671518572,0.07691298004917344,0.05025928249187496,0.0012715427032833526,0.12999393693307956,0.09584509428695305,0.05544365493889275,0.005042809369766229,0.0010063447228653509,0.0076448944980544295,0.10895705863547825,0.13305662068569196,1.633864993540201e-15,0.25965883793521694,0.0019066644928237978,0.10744620723522123,0.15701990291720738,0.04317369295488801,1.633864993540201e-15,0.09118720176544513,0.12984780522950534,0.11516312722842577
Metal_Dopant_1 Number of d electrons,0.024005504160838156,0.00010571649677938796,0.0017300594611118717,0.04085035623063396,0.01790542525913031,0.023832169126995754,,0.01716593635151257,0.015518453200126056,0.005913665017704999,0.0025120531592348486,0.11157493452405064,0.02684694970787572,0.02274027293657757,0.051043453454271144,0.022879599235489864,0.24511201370182395,5.447223309622189e-05,0.0029989822047846383,0.012389473839892518,0.06607373640764881,9.679669077218621e-05,0.024345756854075428,0.03273366049945561,9.561831247681579e-05,5.717711675811402e-15,5.717711675811402e-15,5.717711675811402e-15,5.717711675811402e-15,5.717711675811402e-15,5.717711675811402e-15,5.717711675811402e-15,0.07855505529877067,0.04126472496187103,0.03531251291570562,0.0027683571489075407,0.0477125274160552,0.0616676863279516,0.07133167167234004,0.01403342065472826,0.00026241101503627305,0.028730663666616574,0.034680649821144126,0.08353393904708516,5.717711675811402e-15,0.034438415129871155,0.0028685362695225146,0.1293840812538567,0.13275357791334214,0.16097797216551202,5.717711675811402e-15,0.05830826014698472,0.03684766722741655,0.027855974875875305
Metal_Dopant_1 Atomic Radius,0.16034504884224193,0.0031250992084808312,0.009749862949840128,0.0537910963274407,0.21586346564981101,0.06982130762738327,0.01716593635151257,,0.26715875999646227,0.013269499646725568,0.003288409239653285,0.054100569617993616,0.1722034133356944,0.12353844403556584,0.05950701300750038,0.01788014219521323,0.020330059555410056,0.0004961270407014832,0.002710081460328776,0.10502699790543477,0.062204469591869524,0.0007472774167199537,0.016884909035198726,0.14213739905871448,8.116931319357727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12449310853915231,0.12600212206620373,0.08107801758299295,0.001251293361496983,0.14666859417375047,0.16611506314343374,0.010177397157919193,0.02196578974033268,0.002490909395151665,0.007629457314571381,0.17104189080976337,0.0985451768898055,0.0,0.07178179841773047,0.0014333879806264663,0.04975694846739167,0.34310429707021395,0.05812322479402917,0.0,0.060292904209433604,0.1268053485854104,0.173244911232432
Metal_Dopant_2 Relative Atomic Mass,0.04293323891194572,0.00013996223659563676,0.0013811455912692097,0.07782698161834255,0.2753664987416632,0.17042709749307158,0.015518453200126056,0.26715875999646227,,0.00945729674206583,0.004344207203151655,0.02051341618396797,0.12492442575551656,0.04304779600578929,0.05188772550073006,0.04769617584821642,0.03457023468328086,0.008106594298766152,0.022794813849998288,0.03295621277710563,0.1290961191423065,0.0002623044608709134,0.07392901778609647,0.11335642192823663,3.674710083858397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157192639733824,0.09522054887159034,0.13498491052896952,0.000661776338934576,0.1335683553087074,0.0916214869254851,0.017224789175250967,0.00673696314610553,0.0020490564985318014,0.0036657434960516285,0.10389567956560405,0.17295427905503158,0.0,0.0208784629436241,0.0076119796640976185,0.042342247598982814,0.31076824598628733,0.09321390997130752,0.0,0.042393728056451904,0.06729940355251503,0.2249195122514375
Metal_Dopant_2 Atomic Number,0.01861756739770764,0.0043906564021054814,0.021894041200745857,0.02921175020150011,0.008399423421933148,0.0040033088642036155,0.005913665017704999,0.013269499646725568,0.00945729674206583,,0.025406158407324127,0.009154158458455009,0.008333274844450024,0.004896440146826728,0.009189733815654704,0.02971713338878155,0.007988131959023983,0.004446963698050814,0.0026990819567923032,0.008791679154075426,0.27754583306596087,0.006830019351427761,0.021886316951375946,0.023089179742183254,0.001793402673450667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024420288793252882,0.00785869389849283,0.03718912053632184,0.006713730191529786,0.0057017703819640594,0.011108962393438964,0.027469969613794255,0.07431800995269101,0.01596917241508679,0.0024046826254011263,0.00857453721855909,0.01918607374186915,0.0,0.015122704117382646,0.006010433900000963,0.01625254862513718,0.0137132452735302,0.09145197838213168,0.0,0.0024784327347290875,0.005936042486550738,0.00940582254432357
