,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.04242021456748941,0.0070955919366275065,0.19734974185187432,0.06027154350185653,0.01823583458053478,0.09141964260913885,0.08314586625984528,0.035580374962981186,0.08804976675975755,0.07182743225307159,0.038494429269305575,0.10409337414513903,0.021581151909991207,0.07907597550296931,0.27791331445553963,0.010187981060594016,0.09484854143196812,0.02363671961729086,0.10190844471021315,0.030185809671418415,0.10165820491781738,0.03221569901019849,0.07648621987615443,0.021967796800596757,0.004143144809300395,1.0307015628582893e-15,0.09942303999033432,0.001255196296617935,7.31684324666957e-16,0.0012477838326605422,0.0,0.1023606478300178,0.11705574872004809,0.14296088349407046,0.33181329507936297,0.05161615553563031,0.12403431726433749,0.03714379885602213,0.07445694665722237,0.05796200351538733,0.019481472169973698,0.45055735133739133,0.05548578470622593,0.03642052171332315,0.013485425974684393,0.05005913215923902,0.03525845982846739,0.07462142166716103,0.08564708145272384,9.049583938676972e-16,0.09079430070811736,0.0595719493907634,0.0402824323618835
Metal_Dopant_1 Atomic Number,0.04242021456748941,,0.06393973688718624,0.04818872322346756,0.1339241045640986,0.023227409157467713,0.03317673008892303,0.05455892854326676,0.13213873054388772,0.12662772757486646,0.09966302339157075,0.05906118702409527,0.09147043938793788,0.03264882404807339,0.16166141894557853,0.11972281732954494,0.07094307280135678,0.04500222716198832,0.005503023376990808,0.02229393362465353,0.045393463008946866,0.025538583675991957,0.02433016298936199,0.03233289942535255,0.0015572782560750054,0.0015898549847920276,1.0843875894110008e-15,0.001936507531390444,0.006520275413734232,6.140244659510937e-16,1.1102448879676988e-15,0.0,0.04819150144019991,0.057440558339581914,0.09080345866232913,0.12863538474197383,0.04968893755311139,0.16747718123771224,0.06971651418422306,0.05298318990843658,0.026085749424219224,0.044008015902821475,0.1570095124200211,0.07815479152637862,0.1190218858621896,0.0693777275888432,0.05186363952226493,0.06401118342573008,0.07034127996608332,0.08497348434022364,0.0030794764408771033,0.06746950122068146,0.18483023901448553,0.014959426678039522
Metal_Dopant_1 Period,0.0070955919366275065,0.06393973688718624,,0.0752013711109358,0.045564915848936655,0.016384999742079295,0.03635104385230236,0.045322397113283404,0.3133587679751245,0.03378380562195787,0.48093419921205566,0.05936244025917612,0.1957955569454721,0.14609323987197306,0.12508366028261753,0.039310293070802714,0.5297812073843349,0.02329352938007967,0.04794664371969143,0.10509802983719586,0.05005587513585318,0.16517218295581018,0.2847641616244641,0.008707793491828594,1.641993596965286e-15,0.006510630698777695,4.4300404624593484e-15,0.007800897318872954,2.558341083709606e-15,0.13452279701557945,5.862857118151359e-15,7.568992274504268e-15,0.18979748075511677,0.18935338650676029,0.006760801942827998,0.0029798370988071135,0.015974223390626055,0.032411761771488565,0.28883505471762894,0.03853392816802871,0.11980221690912508,0.28449994355856806,0.08762190161438985,0.1268028706305692,0.0010866864339114058,0.18026924244018852,0.06815753847333972,0.012819586611615476,0.02926309467081673,0.1302235685917712,1.0432715284938779e-14,0.35429879749956233,0.14144235974278885,0.008474550077337214
Metal_Dopant_1 Group,0.19734974185187432,0.04818872322346756,0.0752013711109358,,0.1137295786044084,0.22797616943158813,0.2060197004177145,0.11158627355312241,0.17309650596616377,0.12443320478023033,0.16894967402232877,0.13246454143595582,0.1958253801789865,0.17867828946269543,0.20219078941904195,0.16294909908109365,0.09535467183403613,0.1328233260966787,0.16935114543764537,0.5185447461080045,0.08517791286740578,0.05782439590085216,0.011253385330633631,0.04353879492294752,2.131758785922908e-15,0.004428258769694839,0.06731102752839069,0.12247329141002716,0.04574681766345351,0.01258175464644355,0.008339257158873042,0.0,0.2481987904714956,0.20677717986442531,0.0816428090139117,0.01751533563616304,0.04408358902706985,0.08608391920792247,0.05796082510241634,0.08983483691216808,0.07269701403581845,0.04935591185297146,0.1582915277341309,0.18276571872148145,0.027674224385035973,0.15886089590483066,0.1398254653391644,0.1216632893926348,0.09490058183124452,0.12443450740049891,0.002481823985518359,0.21855670052423273,0.1737290065499688,0.04870580769313446
Metal_Dopant_1 Ionization Potential,0.06027154350185653,0.1339241045640986,0.045564915848936655,0.1137295786044084,,0.1816860350339311,0.05805764552945149,0.26047087354549175,0.09259003301732333,0.12655343626833995,0.16656450163435446,0.09382316676927904,0.15365654726071126,0.140411559730796,0.07703716950887853,0.08704101335300375,0.03108688163476261,0.05585116479027918,0.15578607305958544,0.12366290303617289,0.08069601241571805,0.052273641081860035,0.08061260880565743,0.04895610177749744,0.2844679229885214,0.004785653583377567,0.004973007415936108,0.28176695923916817,0.3194661305693316,0.0007191949534220203,0.0042016617616553375,0.0,0.09222695941420288,0.08158140110735591,0.1546313264484342,0.046814054291296765,0.11292899301375826,0.21729952060646607,0.029509786127119644,0.05060000736431708,0.04833567437269426,0.041436606478362524,0.17356711977285139,0.1759301294794654,0.18420789346007446,0.03958064568438448,0.10017038006271109,0.0999288048608835,0.2540101183051798,0.13090528924213693,0.00021645733026048628,0.18120268725945424,0.07390750320597644,0.12336549735137173
Metal_Dopant_1 Electronegativity,0.01823583458053478,0.023227409157467713,0.016384999742079295,0.22797616943158813,0.1816860350339311,,0.019432826021888724,0.06495179370185608,0.27027282418475546,0.12592738342624848,0.22405657802806425,0.08650791691553134,0.06600947819692976,0.06599450613437323,0.03131116376904672,0.08554646450535626,0.1939178804605914,0.0947412054587454,0.25898404122232255,0.014027323742382167,0.12539664236995893,0.010529535312366448,0.033153849783356615,0.0759108034815067,0.0004476750253708734,0.001362897961117027,0.047140226336068174,0.04212188624174112,0.017255542399844667,8.145684675423722e-16,0.0011878005971562423,0.0,0.09506492161475756,0.06106310250294188,0.08240633827445881,0.056163252984442816,0.07716204452197337,0.16863344273275852,0.01675167226176398,0.013294261277341022,0.012512274628223468,0.07831008861189666,0.07766276840169384,0.19798142984191255,0.07319075980914935,0.034830812091811235,0.03185804191742793,0.4485043128870868,0.06187257827144541,0.07918404926435826,0.0008395729703338977,0.054694990967418235,0.04470088271850941,0.023068349983340737
Metal_Dopant_1 Number of d electrons,0.09141964260913885,0.03317673008892303,0.03635104385230236,0.2060197004177145,0.05805764552945149,0.019432826021888724,,0.021563715623178804,0.1110232803198783,0.04105925031809494,0.08437897263457984,0.07781336494876576,0.10319102439929492,0.047031875625551264,0.05692527310320458,0.06298983333867791,0.027156064552039103,0.03576392440180186,0.09164843117317217,0.10830469305131736,0.08257616644444593,0.2535203121598357,0.14589746351037272,0.00628724547579697,0.009703869109190444,0.00688994890063519,6.256533263640943e-15,0.0037357990554165873,5.432722535123042e-16,0.030107966008127804,0.009827868776883094,3.4514493266226398e-15,0.17835925950013387,0.14404158961642624,0.03273726784204345,0.005496078766746807,0.015806311510816264,0.036067062336530786,0.0644059601185481,0.04826448816545188,0.08575389504174447,0.056077404294043356,0.1700397150145733,0.14184448801615762,0.0017247748822814607,0.1837935605292469,0.02888783640559049,0.1378880504643288,0.06307059351029175,0.10822513755280991,0.001795791830658647,0.09343648052685385,0.03505663885106708,0.007320181995386172
Metal_Dopant_1 Atomic Radius,0.08314586625984528,0.05455892854326676,0.045322397113283404,0.11158627355312241,0.26047087354549175,0.06495179370185608,0.021563715623178804,,0.11806793017315625,0.103398348132398,0.24402441738673566,0.09145990012873359,0.08873399275986117,0.041478265830201054,0.06132864185544621,0.19530534744694233,0.017509187783698407,0.12723318169836006,0.13358082398192764,0.05651670592134931,0.022253726647215546,0.04454498366929083,0.024152345739979243,0.17064898154607536,0.011794017325637824,0.02059326605638411,3.5903767092307286e-16,0.000691563798618347,0.0017827570372797319,0.13101809696398758,0.0014973095649421764,0.0,0.08779298070577887,0.0631883978051684,0.12148033762167244,0.22626544949898098,0.1114972102736385,0.12660362537314193,0.051275257585671606,0.025338236341990863,0.03846165870123889,0.10548153305867915,0.1057427714550851,0.06970056041268097,0.09614379638480372,0.011884864829803108,0.020374544404103755,0.057794715504054184,0.0849678145918315,0.07361896172413601,0.00026114110043772644,0.038752994302729625,0.11598237852581662,0.11455162956934134
Metal_Dopant_2 Relative Atomic Mass,0.035580374962981186,0.13213873054388772,0.3133587679751245,0.17309650596616377,0.09259003301732333,0.27027282418475546,0.1110232803198783,0.11806793017315625,,0.3304079859764941,0.4106088813061403,0.15037804245887598,0.5425808192043678,0.0936509336967784,0.1615861444681991,0.07762178991749981,0.19168016270469132,0.1326459891768681,0.12001548458072923,0.2580123558762989,0.032949598177281145,0.14865146406976484,0.32940481541355204,0.06088722125739723,2.2374091955355825e-15,0.011844500402184533,3.80487408050903e-15,0.012892306396493554,0.006100164828307908,0.015578098183895162,7.640989444418537e-15,0.0,0.2802592665924192,0.3410727507049581,0.3088181909988435,0.17762413437048838,0.11500782518605204,0.1344932909791899,0.14243755639237066,0.047028743404413896,0.06781840536469251,0.19576476112826832,0.13718236792596822,0.30412176874165386,0.03343641829691934,0.18977161472219353,0.22483768305399832,0.04568642043307466,0.07141302406995616,0.3321736069503138,7.118468064653246e-15,0.2599920531556185,0.11064512218083203,0.07457334802786307
Metal_Dopant_2 Atomic Number,0.08804976675975755,0.12662772757486646,0.03378380562195787,0.12443320478023033,0.12655343626833995,0.12592738342624848,0.04105925031809494,0.103398348132398,0.3304079859764941,,0.14870066548099012,0.06725174403156486,0.14517832568015893,0.0697349645599625,0.11065243491389262,0.10164261749771342,0.03796186252537573,0.15873680127995293,0.08103956545272256,0.044297857190383,0.12668437317379702,0.06174180522796455,0.05797797440705944,0.015279705320914019,0.0034444618120746595,0.00696381772990905,0.036590830530447864,0.10435779379985333,0.0013040789594295334,0.008465457628867483,8.381061706592925e-16,0.0,0.10896748299582219,0.11904073274583964,0.12381892795755436,0.0916457809037166,0.07704134838975536,0.1792163864345393,0.13880653546563085,0.0537556680316381,0.06466152454453485,0.028605997377174373,0.14644499834523456,0.09065770963302115,0.022750246684426677,0.11525124205540645,0.10722042281150682,0.060321992265514636,0.11953639220413066,0.17727090596847306,0.020448310273586835,0.1427692124971306,0.19609419225250388,0.0791303588444497
