,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.012026173946573333,0.0,0.09687196284349926,0.11218282628589107,0.11095239405128055,0.11436788783800739,0.07212918629739334,0.14392765881406377,0.013264550279739606,0.0,0.09182425609530404,0.06278480523082812,0.07421972164464699,0.08493192726081128,0.09695760400359955,0.06698152294451931,0.0359483055846242,0.0,0.13573269271242625,0.086974113126584,0.0,0.01723784479539833,0.0632735500372719,0.027226002209154578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10753905651181525,0.16542591485016692,0.20588547927061301,0.0033994359448286894,0.20013092341192495,0.1634450496060378,0.12413730216934057,0.07463433619673308,0.051411173074499696,0.027916426317379152,0.10391205231357879,0.1002456221080246,0.0,0.1253009781199629,0.0005545694978644688,0.134897333121372,0.153532876702268,0.23973943503469197,0.03419166637037808,0.08270580604926281,0.07020602160365155,0.16342103505695976
Metal_Dopant_1 Atomic Number,0.012026173946573333,,0.0,0.007998617593747192,0.003282354085467679,0.06702449397786281,0.011548276569915836,0.014242413294795198,0.009694907975794137,0.011565306132123948,0.0,0.11959342212752051,0.011943439383310484,0.008815400287904248,0.02116742783407433,0.010940092952596514,0.013858905704318908,0.019729542332412628,0.0,0.006594275431879264,0.005270918923226388,0.0,0.022897035163235074,0.0044877395072597,0.002955917370789904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056183473164436,0.010412163486026546,0.007805200170374173,0.0016824610341119649,0.11089788649400545,0.07204226451843394,0.017229695516545355,0.05625930179073734,0.032892007984341144,0.00805378706583707,0.015600564147500738,0.015303672359814172,0.0,0.081541839801262,0.0006696093534056202,0.09382474883858888,0.0035962643979987785,0.08432001742217256,0.011813969090944555,0.016986251841913033,0.0048767296406244005,0.01792497603264727
Metal_Dopant_1 Period,0.0,0.0,,7.943590183164129e-07,0.0,3.221692419557683e-06,0.0,0.0,0.0,0.0,,1.6938686695369687e-06,0.0,1.4438721555856002e-06,0.0,1.2367186043089856e-06,2.7549897769329247e-06,7.243426667787017e-06,,3.126212350275049e-06,6.452646257543144e-07,,9.252379433714299e-06,1.0500609817730109e-06,0.0,,,,,,,,4.798111310185288e-07,2.6532721527293807e-07,1.8380337925525202e-06,0.0,0.0,5.413807226379924e-07,0.0,0.0,0.0,0.0,4.1159996473580686e-07,5.63847001189089e-07,,0.0,0.0,0.0,0.0,4.422308489320117e-06,0.0,0.0,0.0,2.1937068004702646e-06
Metal_Dopant_1 Group,0.09687196284349926,0.007998617593747192,7.943590183164129e-07,,0.15584637162831835,0.15453888782905373,0.0802386292375841,0.10602636969756785,0.12997004882761345,0.02253755831579773,7.943590183164129e-07,0.07819499907829353,0.09115418654396883,0.06416803573954705,0.09082465547194102,0.07948089157281676,0.053869488428541695,0.01910440279466145,7.943590183164129e-07,0.05416189156942454,0.12221556569183799,7.943590183164129e-07,0.016366529621576732,0.09010999386275705,0.00789118412293354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18083602964482742,0.171110190949767,0.07638395604039869,0.005358233019172094,0.13330929541774791,0.18764134199660001,0.0674934451311369,0.09134051359460411,0.03320032428581249,0.025185869597905135,0.07637674142038255,0.12506740535773947,0.0,0.11466337791287867,0.0010638054897992727,0.08499484212707059,0.2117644865047768,0.2983584744712785,0.03386637768994838,0.08650823905862422,0.06779817162250672,0.11910035434203388
Metal_Dopant_1 Ionization Potential,0.11218282628589107,0.003282354085467679,0.0,0.15584637162831835,,0.11221999471133355,0.14387665425643784,0.07913482396791499,0.09055421935103566,0.015589466341679566,0.0,0.08998956706377421,0.17125159690487995,0.11941777963743826,0.03661157479681881,0.05785573383905401,0.029726862456143404,0.00838854211679063,0.0,0.053779864497609006,0.11692893414073384,0.0,0.016139970186221556,0.19681980595122855,0.01097498125431179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16150193132075247,0.20837376809581298,0.08541228234062583,0.0024960249743598297,0.07063690462010058,0.1562749698048033,0.07052337216855341,0.030032488235188004,0.03355025777041784,0.036666496237919316,0.2069513978919936,0.16406867784866458,0.0,0.061805239605050105,0.0005848091445734918,0.15872378566097248,0.3880908722040841,0.15087965244058124,0.027906596762760038,0.06790063685755096,0.08945329882040055,0.05711003458708874
Metal_Dopant_1 Electronegativity,0.11095239405128055,0.06702449397786281,3.221692419557683e-06,0.15453888782905373,0.11221999471133355,,0.15524470029077184,0.1710222792968243,0.20832633323771496,0.02821986301839857,3.221692419557683e-06,0.3023106532180113,0.1597224620015119,0.1257119455297819,0.20310242766921646,0.08355189956185963,0.18135300268678142,0.09371888702199595,0.0,0.05747740642932259,0.09181718648162351,0.0,0.029391539431537165,0.08091147918818355,0.010211100354096987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21468337979138272,0.12936125688197814,0.16543875911557895,0.004235106222520334,0.10457118392410739,0.20203472418930718,0.10288892256236627,0.02975844060228901,0.09523985785392552,0.10716848809691305,0.11336656141338686,0.0949428400379783,0.0,0.32379096099682225,0.0008980438692098468,0.09987538128746225,0.18055883079343915,0.32927361791714393,0.04401787292906682,0.07946903080810895,0.07635195067380024,0.23293289343587736
Metal_Dopant_1 Number of d electrons,0.11436788783800739,0.011548276569915836,0.0,0.0802386292375841,0.14387665425643784,0.15524470029077184,,0.09079802494731908,0.09635521201615511,0.046086735726927085,0.0,0.06809869805974246,0.059806739566262104,0.0681760888813449,0.12013346804919747,0.07144876671500064,0.22356854705559615,0.02180432257494547,1.8025584810584274e-06,0.04268289422687693,0.08624922258014939,1.8025584810584274e-06,0.027971193348524798,0.032949951033663966,0.008855439426456613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09153714011921352,0.08751787346193507,0.06526852866754909,0.0032245077509094012,0.16965839994887402,0.1258012211807043,0.04198071298490368,0.03239017524878591,0.05000496581673809,0.02455974556028468,0.06802213277023739,0.08142547606164947,0.0,0.14837738004266132,0.00040493583075153536,0.12207005547051988,0.11804901685689503,0.15620244090684396,0.027889773032869845,0.08141037628923564,0.059982862549671195,0.13073920331161967
Metal_Dopant_1 Atomic Radius,0.07212918629739334,0.014242413294795198,0.0,0.10602636969756785,0.07913482396791499,0.1710222792968243,0.09079802494731908,,0.09845950315527378,0.06959071024040388,0.0,0.07384329786813695,0.15644607839006786,0.09464171387783409,0.07468983652540273,0.05066382842893741,0.04540147382406675,0.020175526604347682,0.0,0.03304208969993348,0.08763339679117521,0.0,0.017425724131125805,0.06260913799222237,0.007124126529948059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320532211925743,0.09370283183476279,0.14407256650020467,0.0016390623820795032,0.11811514342094863,0.18724215818842782,0.08825248036188671,0.03468780613118351,0.14169195041802785,0.021959795751739026,0.08148671086609685,0.11860206777904429,0.0,0.1160238322224325,0.0003364835109842263,0.2390502759774162,0.21974634790402703,0.2014556065550174,0.026222789878068066,0.07015608570766287,0.05715374648209365,0.2740721606521638
Metal_Dopant_2 Relative Atomic Mass,0.14392765881406377,0.009694907975794137,0.0,0.12997004882761345,0.09055421935103566,0.20832633323771496,0.09635521201615511,0.09845950315527378,,0.04282031791019767,0.0,0.11470461201985045,0.10396898371383614,0.13733777298044952,0.11593701811811827,0.16615514656119734,0.1817369103632125,0.021033466788411035,0.0,0.1154531858375032,0.1378820494345823,0.0,0.021090931030048114,0.14531284883050927,0.010715379239906002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13398462877706452,0.1278877835389576,0.11905782532183815,0.0030389932273880674,0.23727649495949463,0.186982313403137,0.17782106629137004,0.031755397426014444,0.04108228814695338,0.07703464290180537,0.14933537393724106,0.1351940127963017,0.0,0.14065002912894217,0.0004542616943723804,0.08096249166393335,0.21032922156005254,0.1660054215910541,0.041944269652213685,0.2639373940119855,0.10416505702412301,0.08750992549662011
Metal_Dopant_2 Atomic Number,0.013264550279739606,0.011565306132123948,0.0,0.02253755831579773,0.015589466341679566,0.02821986301839857,0.046086735726927085,0.06959071024040388,0.04282031791019767,,0.0,0.032968416683800905,0.010455354565804842,0.006065931007421692,0.04063809725882528,0.033647064127456425,0.01178078948564119,0.00314856033838835,0.0,0.0075746175859298225,0.02438711868657896,0.0,0.015992925087640778,0.011027084994126229,0.00802366798845744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017634730932111164,0.022675383281611942,0.024059498629653606,0.0027763063684042395,0.026258746253775934,0.034680631266425475,0.16020433373581983,0.011963200277822415,0.40475962002496646,0.014107220886671101,0.051088262742248654,0.04653051809326341,0.0,0.09441984920580951,0.0006241221244756255,0.05631511245453567,0.021696897709115648,0.08187019689813911,0.006500139862347647,0.06202106353534586,0.026864208861114135,0.03281960071024049
