,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.4950091558200488,0.14615975496422415,0.06240082671129324,0.2153547219896236,0.4227492536861824,0.2313579135183205,0.3348234287110928,0.16410857651861438,0.1350519020067885,0.12951082484654325,0.2644884762268238,0.1704242325724796,0.10846386033334433,0.11041025968890011,0.21160229325027383,0.03498376302382713,0.08954445491417476,0.03044060913023319,0.020290095618542447,0.07099152924823394,0.10872168716915437,0.49649350080080734,0.1856302688743189,0.016078336403499306,0.020122229348212336,0.005222675614437519,0.0003634811555528589,0.012184070815983378,0.0003200156680805189,0.0008726460098076467,0.08513318560687974,0.25964137815494776,0.23095891055023926,0.20784739210444458,0.020108714188681896,0.20699040259906606,0.2828126987208075,0.12145881178592227,0.1075619468526656,0.13717458046673106,0.2124447723517622,0.14727213191480584,0.10321231182572081,0.10919343763511356,0.3132630768581751,0.2062169007995358,0.03379148927609632,0.10970946036192873,0.16919709418858603,0.09112535978612732,0.2182986281762621,0.17223108175206164,0.06080788309411056
Metal_Dopant_1 Atomic Number,0.4950091558200488,,0.05801019489698938,0.30083474153983064,0.31446917447348577,0.38627307470235495,0.17856000253437898,0.5533291896831731,0.20004192713885738,0.08748358334119818,0.2553775791735,0.17402730458369609,0.20555100520482003,0.20498860373778463,0.11636244479028443,0.22731371326360358,0.030919369920598443,0.0963231483951921,0.11196480819452138,0.03828826995625393,0.07730822211426897,0.1720015375344098,0.38963467312750605,0.2546362831969177,0.0077812840436216855,0.16611991843180304,0.023163288277518537,0.007708220650575177,0.011553198353055178,0.0011357477052792748,0.004170260182532898,0.2288762265251403,0.35130293513047633,0.2883872655229578,0.23093721153478367,0.04755078272320698,0.2543533436666358,0.3538628631829971,0.180901756909922,0.1462384327867322,0.05408058867365204,0.15028806344558573,0.1735446228390797,0.16181438780191873,0.22995342137406957,0.22848727360772247,0.5297874196618406,0.07138941263710988,0.13224491006960734,0.2914605203993676,0.10018880845790785,0.20690986517527413,0.12786433096886357,0.10342954211785875
Metal_Dopant_1 Period,0.14615975496422415,0.05801019489698938,,0.0747037255453897,0.036232426448131266,0.12479337665342276,0.11985459922470104,0.06736213167848923,0.11947715945395036,0.1027351939336016,0.12995277824602203,0.6767868118760384,0.09218619596635787,0.11243690060256982,0.05087448244466084,0.09555701168391843,0.018547639761190306,0.059509533653051803,0.05231242437022905,0.0289645647402198,0.11300457433969378,0.10288695859278346,0.5148343464330878,0.14002257371935498,0.0008254706671027386,0.04438315619350462,0.01425356670258345,9.4728828565131e-05,0.020591137719592124,2.7892472266514507e-05,0.0005847720356117196,0.057987087238193104,0.08002829245913093,0.02649995515922674,0.04562445304875788,0.07245200126898821,0.035112342262064236,0.0772087687344462,0.04248920472716292,0.13199892771175706,0.10262663520950951,0.03812852711055576,0.05846730024176929,0.02375975905471209,0.033306358776676294,0.35765275313894057,0.20332110450969387,0.018243865890881193,0.02317117059426972,0.05141870017039466,0.16912469703820482,0.08839470304613999,0.11877329263496589,0.034278047824761904
Metal_Dopant_1 Group,0.06240082671129324,0.30083474153983064,0.0747037255453897,,0.10626507786630761,0.2700646722681213,0.23620046869729583,0.22053449970006728,0.22908307745866102,0.257545592814832,0.4530033018005286,0.3445738697114339,0.12217306015111752,0.1400490941416922,0.09391702403499894,0.16202699718974406,0.01903072854207179,0.22814006747415727,0.062277205193190376,0.07251938001540205,0.10043799733934032,0.08257714936213147,0.08263181283412663,0.3078269720772692,0.003713760483273275,0.05551127832052336,0.015799236892625423,0.000656658890559845,0.014363672600849886,0.00048415304188347864,0.005755604230502382,0.0655103638939155,0.12128130384555987,0.08476096148246408,0.13763082327430257,0.061682103186202715,0.06435370848878227,0.12884483887158485,0.11386954072130472,0.14423132831936883,0.1468168964920346,0.0786722307902714,0.10173403454650069,0.061074042695069206,0.0698308095446212,0.36173720836885725,0.11012122494533128,0.05368311753419941,0.039151380777644955,0.23856488193335093,0.175199272448892,0.15072641215671215,0.2179868304583421,0.035947888065323404
Metal_Dopant_1 Ionization Potential,0.2153547219896236,0.31446917447348577,0.036232426448131266,0.10626507786630761,,0.2922752761180357,0.07734699217004344,0.4742505205056065,0.08224244022753366,0.09148814642282362,0.04170070488508473,0.16143497658183462,0.12358915245275902,0.11042425047454182,0.15950260901100896,0.13489004526972706,0.10100274327140918,0.05818713717816137,0.014601680891817292,0.01401531095648417,0.14916678958842464,0.09904397075318726,0.04337110215739,0.2961527207948073,0.009729816094335266,0.016082651981824743,0.0038153948506999824,0.0049105543574821005,0.03177798734879302,0.0019479210633515007,0.005950932113879571,0.08465586939285752,0.48267677616789206,0.43596899153328234,0.182107688002416,0.01937103861168691,0.44380710295024633,0.36037299654703014,0.2408916502092344,0.09395241428018591,0.04493794790276921,0.03890731870123349,0.37516340365863315,0.35539602564096556,0.4027567703910878,0.09788948619401819,0.21949374155717233,0.1437970177302399,0.3080602033131098,0.5579232542413779,0.037176379914808856,0.07626692067205082,0.4222220134109186,0.24694353304814445
Metal_Dopant_1 Electronegativity,0.4227492536861824,0.38627307470235495,0.12479337665342276,0.2700646722681213,0.2922752761180357,,0.34118049726693955,0.6482093923057328,0.11869364233171961,0.14516039988556634,0.08644981655648465,0.23401743362726116,0.09457797442030658,0.1517957136770415,0.24720272582576783,0.230353246663532,0.04141218172302243,0.2065947734043294,0.028001213402447683,0.04795715349666651,0.13254022908423968,0.16395977024066222,0.03731228466874065,0.3398308133993057,0.01954141845771858,0.04609140971963943,0.0072452120086617805,0.004827407352802405,0.02200947185328878,0.0031376957646926983,0.03642397389968091,0.06306248958559224,0.31131232185428853,0.2617320189924025,0.21589092603784002,0.05611040432001446,0.26702498477242176,0.40534694635022356,0.12922232141258472,0.12042554723686172,0.11999677816589431,0.0777875079434411,0.21693174326158865,0.2024754042577447,0.19223529330379482,0.22121021580281047,0.3587316308774049,0.02274271134774026,0.1199978943567379,0.3398385903644754,0.12046959306832158,0.37536748255461927,0.34849272413619853,0.13886989960243173
Metal_Dopant_1 Number of d electrons,0.2313579135183205,0.17856000253437898,0.11985459922470104,0.23620046869729583,0.07734699217004344,0.34118049726693955,,0.3504920179074495,0.2065879302815117,0.09722609632541117,0.23099698885437012,0.2071750278401396,0.11824459583028134,0.16787905874238282,0.1612393094109156,0.10799363109620741,0.0595083250068647,0.10889539499539154,0.05090513889078857,0.07858995763026383,0.13863619548703138,0.14114167099406738,0.035827125925510815,0.1811276693092067,0.001695479023237696,0.013706114728641456,0.05398698896204051,0.00010852822262469232,0.010528823373240005,0.00010481709551753913,0.0036394748368999558,0.02327416603840146,0.28518130729191477,0.137001792656927,0.12862327747670455,0.1324398002326473,0.10375605728008619,0.19736854336602766,0.10426288220835328,0.20992390315547377,0.1974203075509244,0.06707889527277593,0.08401705054130561,0.08084924465854913,0.08840495027756427,0.3615399535746508,0.142271052691116,0.2986202006807055,0.0464163374745976,0.11184578463430878,0.07831247288949053,0.19103184107875784,0.23080249691084215,0.18662784210807457
Metal_Dopant_1 Atomic Radius,0.3348234287110928,0.5533291896831731,0.06736213167848923,0.22053449970006728,0.4742505205056065,0.6482093923057328,0.3504920179074495,,0.1559155631202121,0.1728736720291605,0.09062384346750645,0.16238419906443044,0.27458999049026794,0.12013050161038312,0.2967819323997453,0.42598386994943704,0.10791755364295426,0.05523540478896977,0.13116606076229645,0.020324707841394996,0.052250290402576435,0.08917218296047544,0.07006184923375247,0.3573979380825618,0.011791637983971691,0.03091536333132578,0.012735977317598408,0.002684366176185243,0.03498842411379545,0.0007186604072466198,0.0009315475160668165,0.08221523603862939,0.45261931520313015,0.42884840836037746,0.41556876600318343,0.10923849862464126,0.4334083724535652,0.5493232290688758,0.2268751746520608,0.14792901681332118,0.04624490558216699,0.45890339132108204,0.34286989039765725,0.28282288018125523,0.2671955510384337,0.3746181799829042,0.4259799726684309,0.05988420606900278,0.28131925795754825,0.48400319106853956,0.10425696602458324,0.15611762304508509,0.3724095032534534,0.25808194841578824
Metal_Dopant_2 Relative Atomic Mass,0.16410857651861438,0.20004192713885738,0.11947715945395036,0.22908307745866102,0.08224244022753366,0.11869364233171961,0.2065879302815117,0.1559155631202121,,0.38808868074966973,0.18741078335515676,0.5622619991072925,0.33369022917385377,0.19213784564041347,0.15002420076161466,0.1959300621179962,0.05819186343195736,0.1697424648248103,0.06355722892823248,0.058454765721260474,0.11339801711236969,0.23434295799583096,0.13218268048383278,0.14855555002114954,0.0001665177545926789,0.05128968476132398,0.027609189093942114,0.00016226398615304437,0.026635750994977656,5.5042278387763545e-05,0.0003198888875828451,0.11443055564288948,0.16998905318061916,0.11461416025011305,0.11364969124371295,0.031934111261143816,0.12077581179662586,0.16004035497012103,0.08702766579356397,0.3419392652859326,0.39724766891271546,0.11129568804598126,0.04510967049693854,0.061004971786307906,0.07654042535307658,0.41504440660363867,0.07536029365991924,0.017966878350797317,0.046761041648888356,0.13804586546801711,0.11644678049805718,0.39776537971699905,0.11456191309664997,0.07362814430540063
Metal_Dopant_2 Atomic Number,0.1350519020067885,0.08748358334119818,0.1027351939336016,0.257545592814832,0.09148814642282362,0.14516039988556634,0.09722609632541117,0.1728736720291605,0.38808868074966973,,0.25606193197839516,0.39757944956839325,0.3028468209149649,0.1189708826511754,0.21809659292914088,0.3340885243828983,0.03735968631041775,0.334348901020603,0.07534967701946153,0.08420493817969255,0.0664933225360228,0.21339927729541094,0.0878728454499638,0.17322127913718066,0.0004051804622535602,0.052718808520182424,0.01479886429206226,0.0005466209994936727,0.024499714115228954,0.0001229148430402733,0.0007648360931738186,0.09354436508888334,0.1876417044309249,0.16183780165319,0.15742783351567777,0.08077442061282211,0.08408826660686863,0.12277873192624114,0.06415838677397218,0.13600194988784664,0.11071687338525468,0.13913666640922365,0.05822666365052077,0.09173809919382876,0.04400500493927126,0.31902984852048716,0.2562466077445445,0.03140832639147996,0.05087167028424106,0.14410108353630324,0.14350403963091699,0.15910695029086144,0.14033651319934778,0.08010154649115096
