,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.9233563326575787,,0.6689571016053745,0.5478372033443623,0.6772259329344612,0.837467891754947,0.7632443317982831,0.9311195149227626,0.810344896802088,0.800816663881553,0.370466671224803,0.8054717945310724,0.8130582116866207,0.8098123429836309,0.8557019792566605,0.7767325145604467,0.595114543003169,0.36634185267313174,0.6584105962892127,0.8417812510111952,0.5424632931351835,0.5044193670052526,0.7269248265247424,0.0,0.8630387859445199,0.0,0.548685697326727,0.1378448730458274,0.29173148120805903,0.6730539181001971,0.5990789555740041,0.6722929145366001,0.5534279710183736,0.7163377511605061,0.5268769826591913,0.6615687062878943,0.38248273851904696,0.9046712321994722,0.9087798191457589,0.8442231845828975,0.46703234006750755,0.36186279084720746,0.5889215705192246,0.0,0.933363658661505,0.5211528428557647,0.825113478811192,0.30898317300425143,0.4186724349221731,0.5780647921187978,0.6131392049702368,0.8960544515622717,0.8115529027072808,0.032372704531590316
Metal_Dopant_1 Atomic Number,0.9233563326575787,,0.7370453881524572,0.4743548193461997,0.6208429502834142,0.2519978852265208,0.7723093555845131,0.5997385936907048,0.9406767508800298,0.9562192914925647,0.5554638865236559,0.49268338153124563,0.8297691731881095,0.8076932680700372,0.8380672394800487,0.8041205481421834,0.777466327823221,,0.49308111871917004,0.5549283851576262,,,0.18803432780643836,0.7035573098711778,0.0,,0.0,0.4605999523868193,0.1376915078252749,0.1498349942229552,0.4720065647134418,0.3417207994059948,0.6405025343077055,0.6712234156454345,0.7651951471227008,0.33436969428504365,0.5299425057689238,0.3965972002815406,0.6797340881443479,0.750214834153186,0.6219374892055668,0.19233677229097457,0.4332016374143647,0.41372884468803794,0.0,,0.5911887192925542,0.8005320933570189,0.3182271724060466,0.18955514546582994,0.36782999529096216,0.6085686225501554,0.6093941548487468,0.9184091936984925,0.030701219561670465
Metal_Dopant_1 Period,,0.7370453881524572,,0.2211391409554391,0.44794725921714973,0.31350707307162323,0.6572874916825759,0.5340189728054788,0.7843853835240301,0.7789547521900967,0.7661330758100492,0.4929011911186493,0.6032879121630006,0.7713526443617211,0.6443049986569639,0.6055785894517733,0.6204427414931778,0.21173500457427177,0.27959588236965915,0.3269265942843075,0.6540736108488723,,0.5012393214643454,0.3888398767874136,0.0,0.6992272236248228,0.0,0.4171649451767263,0.027813004965585867,0.12347518762740035,0.45669931063098684,0.42006161676597487,0.43699026908983823,0.6136968954193783,0.6693481362324027,0.35124004254085595,0.3499014153697783,0.3285140335741231,0.9528328439931449,0.8059464772661422,0.5372288487627395,0.4257462875220627,0.3226030003132775,0.4011169587099373,0.0,0.8979235533242289,0.4891554499255403,0.5026519054342199,0.11630441305887183,0.2363833928217153,0.41318280647790256,0.33101306120584656,0.8517480581847304,0.35054967932810255,0.01624359464079953
Metal_Dopant_1 Group,0.6689571016053745,0.4743548193461997,0.2211391409554391,,0.48683800276678096,0.5830806794727136,0.4839378429912478,0.6367857235647394,0.6732990894413347,0.3819554581861022,0.2548121670053419,0.534415552357043,0.665980120457482,0.3916972478870583,0.4575008762243542,0.3594283365089465,0.34064971812312084,0.29003996879638794,0.16126321302841123,0.5566748761431013,0.43448867896780413,0.2153982815489287,0.33171054888940354,0.41081116432718934,0.0,0.09463503768329798,0.0,0.2931886979617696,0.07316526279936268,0.053462209153956684,0.481597193705837,0.5179163308240449,0.665047929231433,0.5920722420416829,0.46616284653158685,0.1901584536862259,0.595994815423271,0.5277794573953657,0.610146002603393,0.41603659679300486,0.9360797070009602,0.38342927884455535,0.5152910749949168,0.5163988622635811,0.0,0.6322132236586234,0.3985406804116549,0.5338440495425812,0.46963877145827015,0.41022219474156646,0.2019845553534616,0.5498689590419185,0.6016785845471098,0.43606083340087787,0.09563353891958169
Metal_Dopant_1 Ionization Potential,0.5478372033443623,0.6208429502834142,0.44794725921714973,0.48683800276678096,,0.5386652539699689,0.37465720337875186,0.6394649619648309,0.4955108355674021,0.5927015796616788,0.30587838697868863,0.4674739276652955,0.5923045757079507,0.41574214999994463,0.666069179100882,0.4135865286263238,0.5768482057713539,0.51388538815631,0.22652397171342498,0.5401313201130413,0.3052366027345619,0.2604547584173439,0.049858494492496686,0.3151562646482462,0.0,0.263073033662666,0.0,0.2601550954861786,0.08319823190228663,0.07712470936275312,0.40968911980930506,0.23069303401247418,0.5996823644203366,0.35252615665693093,0.5509126143369285,0.20627486657589067,0.44494072194741746,0.2586848111975001,0.9243569985743327,0.36714730095308157,0.8742738084361253,0.23544004673358815,0.35874346173019916,0.45565867559223516,0.0,0.4514072499830619,0.5951352947160311,0.47243409516446505,0.24709407168272482,0.2690330482525735,0.22916310604757095,0.6726732192900524,0.6857679320243786,0.48159805616178203,0.030313191330739606
Metal_Dopant_1 Electronegativity,0.6772259329344612,0.2519978852265208,0.31350707307162323,0.5830806794727136,0.5386652539699689,,0.5120150243753516,0.6139528223130621,0.6088957934818215,0.6072993983113645,0.3317340640246041,0.38413348782741913,0.618864602466332,0.4072105632878027,0.7122208264445775,0.5104135624279545,0.3133113887597531,0.39810728838749343,0.21781460491606003,0.6511293943598117,0.26313993913931755,0.39547513959482256,0.1963610654751653,0.44283490799429226,0.0,0.37495380500010844,0.0,0.22319124086529873,0.058104408514830265,0.08720051623321554,0.4645396664665304,0.5079724206392638,0.558979601315153,0.41499129471255464,0.5832639301996146,0.09914432374806757,0.48985571429211694,0.43858826770634596,0.6043505602676601,0.4551256777942394,,0.40931261267770513,0.5247523534604022,0.4274072838464499,0.0,0.638696337263936,0.48615527961136684,0.4852978622938848,0.40445918590402635,0.4179265822706599,0.18454413260187683,0.700505214992895,0.5867830566991257,0.3822342313204117,0.09462780568407134
Metal_Dopant_1 Number of d electrons,0.837467891754947,0.7723093555845131,0.6572874916825759,0.4839378429912478,0.37465720337875186,0.5120150243753516,,0.4458165532835475,0.8916830945756168,0.8020635319679451,,0.2776214025974283,0.745056668793377,0.837658659997905,0.6928203827459555,0.7733787714956151,0.7131236189376218,0.8188885269070916,0.5651423441122971,0.5721963937443266,0.7507320638114253,0.5596593849646494,0.18382585537728055,0.6497201739253669,0.0,,0.0,0.5505479370268487,0.19573804836196423,0.10603125168029014,0.5039760955958333,0.722196340851741,0.42840531950764055,0.43398188443872726,0.44574599442442253,0.39658059644360893,0.2909794103062161,0.38877174799156045,0.5408299690764952,0.822173068538702,0.27517516768564004,0.07133326809525253,0.4990416857969948,0.3869643679037944,0.0,,0.8485869131191611,0.5320609131965323,0.25433868256166275,0.2486817104421069,0.17262070353234088,0.5971229751670316,0.930898987368522,0.6815894846759569,0.03013513522346351
Metal_Dopant_1 Atomic Radius,0.7632443317982831,0.5997385936907048,0.5340189728054788,0.6367857235647394,0.6394649619648309,0.6139528223130621,0.4458165532835475,,0.6903984474584581,0.6200961488457682,0.39676645210662886,0.5641393685663453,0.8729425091219424,0.6418143126498257,0.6015728500046444,0.7673662667166581,0.43641059458648696,0.3561231047766853,0.22080006478765776,0.5752756348311164,0.6266299204230669,0.528982440897474,0.3249946022542165,0.4769933191090311,0.0,0.4680620136980777,0.0,0.5786934223314922,0.17525992672331187,0.20311631051265713,0.5393179891881033,0.5811635834472938,0.6930048572828266,0.5805427904498288,0.6905133754057418,0.2656638187268426,0.61131984631514,0.5517219662559368,0.7539843358806902,0.6483391699680636,,0.672139826909718,0.6342133556607228,0.6947781674521367,0.0,0.6230999161894862,0.44193599840357856,0.7606834091919076,0.43786546981061447,0.5013815542257215,0.14480910277080206,0.6348971427818549,0.6269135693506263,0.5446508069749859,0.04715158278399392
Metal_Dopant_2 Relative Atomic Mass,0.9311195149227626,0.9406767508800298,0.7843853835240301,0.6732990894413347,0.4955108355674021,0.6088957934818215,0.8916830945756168,0.6903984474584581,,0.9089505530168721,0.7131277932651946,0.532909051971594,0.9236638836508376,0.9141833901318234,0.9038629488814389,0.8454577813325799,0.9044197419576521,0.5020737846489944,0.4139088202023061,0.6521810223968312,0.9264531051492537,,0.5674724645953719,0.9197889767043693,0.0,0.5282899225030837,0.0,0.6491263604357633,0.1579943519047678,0.2333766427503497,0.735440262248306,0.8114247163597637,0.6509461664468092,0.4531991942487856,0.7450264086550482,0.5018599368342207,0.5231878107859302,0.5761436087049447,0.7905722147836933,0.8781544005848821,,0.6864350076954687,0.34277280714703906,0.3824157484853342,0.0,,0.7035459943376872,0.8213397249765066,0.32922047410727195,0.5463153155774004,0.3962240958992132,0.7902953168518633,0.8353809941265256,0.8379603258335895,0.04048364093001031
Metal_Dopant_2 Atomic Number,0.810344896802088,0.9562192914925647,0.7789547521900967,0.3819554581861022,0.5927015796616788,0.6072993983113645,0.8020635319679451,0.6200961488457682,0.9089505530168721,,0.6940895619794819,0.4649493885362399,0.8955755937002519,0.8330149057962851,0.8811911803443128,0.7978709821086435,0.8223125173307247,0.8924260868417153,0.3197271329167272,0.6208778733379098,0.7695455680447641,0.5551271895604701,0.5346203662948952,0.7073190900216272,0.0,0.6479649420941898,0.0,0.4633438017514732,0.18928429136845432,0.198185101425808,0.6630304062250767,0.5623946190033469,0.7553094407050908,0.7711093018072306,0.8199203526496436,0.5439682181866672,0.5946734572966599,0.4017820673797155,0.7374928928540445,0.8630110484609118,,0.8190483426284106,0.8002120943743782,0.5138970556031228,0.0,0.48468642472869855,0.6802776343658239,0.7901114180183966,0.4380741563823615,0.5257979171225253,0.17916780237226707,0.4622410477277253,0.7118326647899542,0.6679451863639605,0.0491351272357719
