,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.32112209973744793,0.1030256843052979,0.10070312903877122,0.10665671883937433,0.1907127294281768,0.0010335182002671741,0.19000375165053315,0.03593632287051655,0.10247027384126697,0.015895570074565473,0.22845511827814283,0.19878422718705616,0.19833200087179517,0.10756921951528331,0.15855320394664685,0.024391376613561902,0.017504765095369457,0.016403629309174383,0.0038294467515518084,0.030778185991259373,0.055468768159610674,0.004677494580891482,0.004668766666610323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277769085126594,0.04616565708800751,0.052830011277164815,0.0,0.08068664016196206,0.07617137144723149,0.07952831138072841,0.12416458106130625,0.008445639670294996,0.21085766016628174,0.1735874548228344,0.274895554054152,0.0,0.018786184073491818,0.10021746778640493,0.07181452874828335,0.01922180337621675,0.3518641037035959,0.01382242125526778,0.017098419191435215,0.08308312790447574,0.15114678464300843,0.10546172576396512
Metal_Dopant_1 Atomic Number,0.32112209973744793,,0.08756754852640893,0.06699258275108692,0.17198878638550985,0.19661853430039591,0.019388858878216,0.20447463141251743,0.036169058683514554,0.08474038748634322,0.011513213288036084,0.2283359790196282,0.16270223919249266,0.19110845115831315,0.09326353207816555,0.14718143030742403,0.022446710646382886,0.010279309092971244,0.018162773522696282,0.003821825708313253,0.029828834619636112,0.032690862398266386,0.002939177464273414,0.002933978260995327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12990334773746015,0.11629821954115549,0.19509483991238577,0.0,0.12277163415986496,0.13392435046833495,0.12554371307547824,0.1907047785314467,0.004034761245840518,0.28496817099013283,0.14731890320896507,0.3183567292544044,0.0,0.01452518263711314,0.046500703990252815,0.027638171498188174,0.03501204434874983,0.31062834790396654,0.006504831100871469,0.003447537695207891,0.09010528215090961,0.09384038630343382,0.15140468880021976
Metal_Dopant_1 Period,0.1030256843052979,0.08756754852640893,,0.033032279437737594,0.09495132073366495,0.24992006578298068,0.0013084561690527557,0.9196575032935265,0.02392447440110601,0.040310689439242174,0.012326633221597254,0.11701644926131108,0.09070898161002007,0.04700819984318409,0.16661555304556272,0.1768351733517817,0.031178297675051557,0.023369003537707395,1.233719515616379e-13,0.03431989038592877,0.03619741867533376,0.011908158477324796,6.858561386544407e-14,1.185311888896339e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11395803257257404,0.0972957053489217,0.06621130299797659,0.0,0.024082649276640337,0.0662214889705802,0.08619775112004559,0.07071964453540601,0.017188471203891567,0.016475550490587274,0.1383624420033261,0.15765626125129525,0.0,0.02523821611905252,0.34497603748843736,0.15099042071627367,0.07330567402779997,0.27046645159592586,0.021951527740840655,0.018745585734287893,0.06081792350374063,0.11328438419216073,0.0339849000519138
Metal_Dopant_1 Group,0.10070312903877122,0.06699258275108692,0.033032279437737594,,0.1450768600532514,0.10343336137025981,0.0011175348357902923,0.057120997588144755,0.03687871003530028,0.04157874240283904,0.014755069398423065,0.07677638984388879,0.04859678977397127,0.1848879371471109,0.041381596066180956,0.06357063131225893,0.016307814345508646,0.017365833755592613,0.057729148467366945,0.08035050143949952,0.0917916543414013,0.019393507641238213,0.012285296987804985,0.013618795964253002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035389144013868626,0.010199138649036358,0.041148955564302515,0.0,0.036188636498085916,0.058035166247854715,0.02435443036169612,0.03505918298484441,0.0185737363513551,0.041889595832298905,0.06325130382477616,0.1337669309979454,0.0,0.02806116839385947,0.17764324748290647,0.03464256065374744,0.008953960025597354,0.09914653431853747,4.708217989460026e-13,0.23431188029191022,0.03757215656668661,0.009472244690750746,0.012701197962326754
Metal_Dopant_1 Ionization Potential,0.10665671883937433,0.17198878638550985,0.09495132073366495,0.1450768600532514,,0.2308607925912686,0.0014622326062504062,0.7128953198648214,0.23201102076748034,0.024995501728671373,0.021171668662017064,0.08812326253628748,0.04257679250303616,0.24041792625433153,0.11210272583477547,0.3744015584688928,0.02861236581769128,0.1509238274075415,0.18186056801567663,0.09728018227986132,0.28400687476218583,0.053761495721313717,0.10699362212783857,0.10570124320767502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10481568962893557,0.1722542070517066,0.47203601657505384,0.0,0.07859010488033057,0.1937481819337449,0.06846111510485922,0.03676549771444726,0.00103035477582271,0.09275211656715553,0.08540390850961148,0.1487387550605322,0.0,0.004487843078723898,0.0160346009703753,0.01615830900332209,0.034678513930917164,0.20590031102201733,0.004573500023093978,0.005243272387924678,0.14547320842141195,0.03921234133397977,0.030094002677167633
Metal_Dopant_1 Electronegativity,0.1907127294281768,0.19661853430039591,0.24992006578298068,0.10343336137025981,0.2308607925912686,,0.00015549359349627,0.4010391567986637,0.03578141055216849,0.07497803106933998,0.11443238219277066,0.17099323543591116,0.13605879394938403,0.14887242367931475,0.14741272769934838,0.11218751503044672,0.03744489160081437,0.039127485251929925,0.01668267107595505,0.02512959423746503,0.03729993379560761,0.025901219757202908,0.0019261925617484077,0.01676643707402409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13626891483951553,0.12839755317015122,0.14520743891914908,0.0,0.07698302587661174,0.2001741166251242,0.20906210110452342,0.11491029496903256,0.003207079649585279,0.11855468130608679,0.1304131508547894,0.2449282199209039,0.0,0.009249136330590987,0.027101747191319216,0.02355777665250688,0.041242134043687956,0.1743745033518775,0.017583621008218985,0.00872217110922842,0.16956960689081144,0.13189295858102057,0.026136337783566024
Metal_Dopant_1 Number of d electrons,0.0010335182002671741,0.019388858878216,0.0013084561690527557,0.0011175348357902923,0.0014622326062504062,0.00015549359349627,,0.0011602131575956184,0.0007584438354677819,0.00017576245495403992,2.800894686026772e-12,0.04929073903937148,0.0019313069889443902,0.0024092590479809083,1.4616010066900682e-13,0.00029636868163734854,1.3398206598011882e-12,6.214952073214118e-13,5.300231760014008e-13,9.682906980018817e-13,2.926225139827612e-13,3.2671282989305155e-12,2.8751727656133573e-12,1.3082259946687934e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011741851787426488,0.000634815334898411,0.0002123560686307977,0.0,0.011324244227529156,0.0001865735191517179,0.0001222569840332701,0.0002675974760797095,0.0,0.0001531953628496731,0.0017139157439203597,0.0015014974875542067,0.0,0.0008361793073287557,2.2067673117272814e-13,0.0018623691873850066,4.3574170694991575e-05,0.0007264480113445999,4.503821924828228e-13,7.384655382082688e-13,0.0005643191405906493,0.0005163454569924444,0.00024188454120122505
Metal_Dopant_1 Atomic Radius,0.19000375165053315,0.20447463141251743,0.9196575032935265,0.057120997588144755,0.7128953198648214,0.4010391567986637,0.0011602131575956184,,0.10047292555754482,0.15702009044166834,0.09054941751882102,0.30579784653866754,0.13370981571914567,0.1490049374037743,0.3823493499815665,0.3651683695413797,0.09373037570939997,0.0512219151094571,0.020921984792306093,0.09764439812669069,0.07390483932362861,0.0703316776379618,0.015675469088936567,0.017570398007503336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27426622919903443,0.22838605173282886,0.38543723905191773,0.0,0.236322932328883,0.3605253307706996,0.1957124264472383,0.22631143076685073,0.0030938607021595978,0.23384277917654972,0.3535948135410431,0.26935870630367115,0.0,0.07583154290373917,0.9373370202890514,0.019418744855595266,0.20525633891290573,0.32518509419371866,0.002569567428741866,0.028169622008530962,0.19665731415486146,0.043134529109178484,0.14404522044021895
Metal_Dopant_2 Relative Atomic Mass,0.03593632287051655,0.036169058683514554,0.02392447440110601,0.03687871003530028,0.23201102076748034,0.03578141055216849,0.0007584438354677819,0.10047292555754482,,0.01980656073562397,0.028125783791695495,0.024200316431673093,0.023018166853694254,0.047769496793456954,0.0443933973391404,0.06492189217609441,0.018198727877049223,0.11078725033312369,0.015576932583031684,0.07489122088490092,0.04314487769260327,0.03428826394673923,0.08925072929840344,0.08844550723504367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02135920234705841,0.04230235746082417,0.023320181096191977,0.0,0.013293755780818355,0.016346716819302814,0.04578684479587253,0.009595729661449368,0.003127493338119024,0.03337946538984511,0.019600120285962225,0.04925623436442266,0.0,0.010891851331993257,0.030262936625526433,0.019917791450464198,0.009361359630191676,0.07858824948412718,0.026739950842079824,0.006235820819414236,0.016140093509608645,0.06239258643285835,0.009563712775435152
Metal_Dopant_2 Atomic Number,0.10247027384126697,0.08474038748634322,0.040310689439242174,0.04157874240283904,0.024995501728671373,0.07497803106933998,0.00017576245495403992,0.15702009044166834,0.01980656073562397,,0.01476474616835382,0.05076448699563928,0.06785374204529779,0.04543143495140545,0.026598893341041863,0.07337308030726279,0.008819512694171432,0.1749187498042554,0.02434346756827963,0.0049236258724109925,0.038166331009964284,0.02167221731104047,0.006078982820513517,0.004115946007432245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05315418431631078,0.14669082141706988,0.04407668095107684,0.0,0.034780204798100935,0.09367175934700311,0.040704326234537826,0.0384083246335805,0.0006251249947536046,0.04695655341800965,0.04571784816338169,0.12463427675792244,0.0,0.014125143756054144,0.011368227494647453,0.024142487988421345,0.020756736821308887,0.1036536146588498,0.01969351592971341,0.01477523535106855,0.02522484330390165,0.09552905112365148,0.015271104570240125
