,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.08572126678588816,9.872415710083354e-06,0.10080278040945907,0.11880166269504122,0.2492093532907376,0.17337445195681445,0.16911566970890582,0.2293093988224996,0.06503711545739067,0.0,0.21948279528220113,0.22704494837990372,0.020987031195079216,0.18827488837040637,0.20458875123235296,0.07539052518531635,0.0,0.0,0.0,0.010985731068917882,0.17039641076207884,0.0,0.00988133065218508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713563328959763,0.24549350499575734,0.3171478340640284,0.0,0.209999382580122,0.18562763865679419,0.14458071017038596,0.0,0.01905581838561622,0.1558094011466072,0.21547663843654177,0.2514920710665628,0.0,0.11266705474414003,0.0,0.0,0.20634293846445673,0.20680492554066154,0.12801895957979534,0.06966745344847822,0.1547115584169682,0.08009367884797602,0.07544859735073518
Metal_Dopant_1 Atomic Number,0.08572126678588816,,5.663767105717325e-05,0.06639921978593911,0.016526093642893393,0.06908053046794581,0.02298962303141485,0.04003137276239429,0.03776950853471175,0.004837463311908274,0.0,0.03347383961014235,0.01956567710337322,0.006305335427525788,0.036257454752004786,0.031062149217549073,0.012090020854420002,0.0,0.0,0.0,5.574268675141241e-05,0.00930315508447781,0.0,5.412330673801881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03991863556491673,0.051198237668101845,0.05230143103173469,0.0,0.04261985880358219,0.030954801391894417,0.0032092233273640887,0.0,0.017368352258663764,0.03132154425927197,0.06693058712887785,0.06612275420577521,0.0,0.026257906614235372,0.0,0.0,0.06279768310576483,0.030662748284331902,0.05430647187188745,0.04240103672601411,0.018858641057085703,0.02539136546229003,0.01584055049098036
Metal_Dopant_1 Period,9.872415710083354e-06,5.663767105717325e-05,,7.235561368906257e-05,3.625892716780843e-06,3.7190149022804786e-05,2.1138088943383837e-05,2.7735825781190947e-05,2.458459376256429e-05,8.832120749256647e-05,,1.976804648490395e-05,1.3722962259399402e-05,0.0002607404351138924,1.573624973586909e-05,1.8572821748103782e-05,4.805071608580686e-05,,,,0.0003148038485085947,1.1961150116645378e-05,,0.000183688460504421,,,,,,,,,7.993962602908637e-06,1.536279999581257e-05,1.908520138772543e-05,,3.4670866731231773e-06,3.085750399217874e-06,9.175911425062747e-06,,0.000151526625024239,2.4480732866572342e-06,7.04747219726655e-06,1.4568854039904933e-05,,7.642921931747161e-05,,,1.5301555417618773e-05,8.800322824306223e-06,1.4187717604526936e-05,6.0492412322281654e-05,9.85102710172491e-06,5.2084689320744106e-05,6.222891927595595e-07
Metal_Dopant_1 Group,0.10080278040945907,0.06639921978593911,7.235561368906257e-05,,0.07709385655341267,0.33374184173442484,0.14771612457079222,0.21354183724249254,0.1470830889011798,0.047353121562536724,3.617780684453129e-05,0.0914444346428556,0.060752908413711254,0.027879634519618723,0.11600112005553179,0.09466113456013057,0.07490696364358432,3.617780991332698e-05,3.617780991332698e-05,3.617780991332698e-05,0.005385714917360299,0.06571962752030719,3.617780991332698e-05,0.009455342991304927,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,3.617780684453129e-05,0.06174162368391482,0.3591221458887277,0.07731513532014989,3.617780684453129e-05,0.08348099254104505,0.05925065795793664,0.08462868321360979,3.617780684453129e-05,0.030536223437746247,0.06981045580652752,0.08825133268259164,0.1240600171549378,3.617780684453129e-05,0.07277676524049634,3.617780684453129e-05,3.617780684453129e-05,0.16714471131317096,0.14273469636752528,0.09033954176739105,0.08666391217524683,0.24192279531964989,0.07820876518473915,0.028635848718346225
Metal_Dopant_1 Ionization Potential,0.11880166269504122,0.016526093642893393,3.625892716780843e-06,0.07709385655341267,,0.08477333611691541,0.09835111407614769,0.06584543546720055,0.0562002019525082,0.01562847903382112,0.0,0.09736534181516876,0.10440479617061442,0.012688520338519797,0.11367636045802103,0.07775676491107478,0.016739042867361296,0.0,0.0,0.0,0.0022190565866912876,0.0718617040837746,0.0,0.004350373945505974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264362965770253,0.09594540679140523,0.09989162734382209,0.0,0.2838511189755022,0.15902683900040565,0.06384850252021824,0.0,0.016143990823797486,0.1792918805027203,0.2307207782345682,0.16255947042675917,0.0,0.04799578303356594,0.0,0.0,0.24925325298338802,0.16772393194558768,0.12711894137087096,0.05139520093405141,0.057803666480608744,0.04052226339232993,0.07734681831400324
Metal_Dopant_1 Electronegativity,0.2492093532907376,0.06908053046794581,3.7190149022804786e-05,0.33374184173442484,0.08477333611691541,,0.09536867186693561,0.1581225719943998,0.14410783632539215,0.06258730081133596,1.8595074511402393e-05,0.1581976618824284,0.1510583310690333,0.026561152769381965,0.25296503357634287,0.16772490366725284,0.06920003332250267,1.8595074511402393e-05,1.8595074511402393e-05,1.8595074511402393e-05,0.008324439068255678,0.1275279894661804,1.8595074511402393e-05,0.028448031646296702,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,1.8595075257717637e-05,0.1419871440868046,0.23731128856127695,0.12328214707912415,1.8595075257717637e-05,0.14114218551126106,0.08513651168493516,0.12671773068150952,1.8595075257717637e-05,0.020284268098026657,0.12729890390598098,0.13494743301685763,0.18142437110834983,1.8595075257717637e-05,0.042641281885477444,1.8595075257717637e-05,1.8595075257717637e-05,0.17070574114647574,0.12448096924105784,0.18418436216406978,0.07681168929456725,0.08860224750342464,0.4732489849488768,0.06750048852452349
Metal_Dopant_1 Number of d electrons,0.17337445195681445,0.02298962303141485,2.1138088943383837e-05,0.14771612457079222,0.09835111407614769,0.09536867186693561,,0.07573613219822758,0.13693330822687574,0.03896672159464633,1.0569044799956872e-05,0.08685932686130694,0.08067034461379818,0.011154619017599657,0.14437427243961795,0.10502895300191276,0.038631134657301114,1.0569045128221816e-05,1.0569045128221816e-05,1.0569045128221816e-05,0.010087561387342226,0.12330989504250864,1.0569045128221816e-05,0.01199772262138967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11246022773086747,0.11374573192606355,0.1648825292487695,0.0,0.15351078326716963,0.11025114892260388,0.13235156631807485,0.0,0.03514404217374535,0.20644468309203662,0.17748890158718242,0.17453459433388333,0.0,0.03433920218209357,0.0,0.0,0.24526223226493452,0.13901210739815045,0.07622227468587171,0.044595572483331,0.11448397627467302,0.043683237519509206,0.02973745485654776
Metal_Dopant_1 Atomic Radius,0.16911566970890582,0.04003137276239429,2.7735825781190947e-05,0.21354183724249254,0.06584543546720055,0.1581225719943998,0.07573613219822758,,0.13700312603130216,0.024374561540850787,1.3867913891307507e-05,0.09162670961570082,0.08434400242951091,0.05789616296704262,0.09626633006287978,0.11471076989767312,0.13318677365576226,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,0.004976022186939322,0.07008419456053883,1.38679133909515e-05,0.011242993642308479,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,1.38679133909515e-05,0.241331595386314,0.11099227640950317,0.11111709185198347,1.38679133909515e-05,0.10481757011957317,0.10104597314361646,0.07727083624940227,1.38679133909515e-05,0.008767761554895002,0.11367335777364339,0.10075746651136268,0.1325587274413856,1.38679133909515e-05,0.022244277924788756,1.38679133909515e-05,1.38679133909515e-05,0.1371734211438376,0.14195568922180063,0.10732826141990737,0.04502566413728475,0.34967280190798955,0.030919190423027088,0.04030650505273808
Metal_Dopant_2 Relative Atomic Mass,0.2293093988224996,0.03776950853471175,2.458459376256429e-05,0.1470830889011798,0.0562002019525082,0.14410783632539215,0.13693330822687574,0.13700312603130216,,0.04884753795000872,1.2292296881282145e-05,0.13340073635192629,0.14954012495667607,0.01840833381206759,0.09846720625703277,0.14381644978087293,0.05401854644295344,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,0.0020792278560630697,0.07976220780244221,1.2292296316790893e-05,0.005481926861696687,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,1.2292296316790893e-05,0.14700654738508726,0.15564561421049544,0.1268694822163892,1.2292296316790893e-05,0.16733445678679873,0.1443730854964372,0.10263027493967475,1.2292296316790893e-05,0.06688756976137353,0.0932453350835139,0.16218352632671174,0.1611810207499476,1.2292296316790893e-05,0.018528450749333784,1.2292296316790893e-05,1.2292296316790893e-05,0.22265712838250618,0.15322476343635189,0.13572953528849194,0.23196476777029884,0.11728521088178825,0.01875663332031052,0.05834025942536531
Metal_Dopant_2 Atomic Number,0.06503711545739067,0.004837463311908274,8.832120749256647e-05,0.047353121562536724,0.01562847903382112,0.06258730081133596,0.03896672159464633,0.024374561540850787,0.04884753795000872,,4.416060123222554e-05,0.031909083225422574,0.028763215039486804,0.010494023830241164,0.021698368246405152,0.029105872156751898,0.019424454208811153,4.416060123222554e-05,4.416060123222554e-05,4.416060123222554e-05,0.005686194001305312,0.023620552486784113,4.416060123222554e-05,0.0031431930714478505,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,4.416060626034078e-05,0.031011637201909522,0.17098398519766297,0.06795410870015263,4.416060626034078e-05,0.038742558227145334,0.027143491193199934,0.03466466934998207,4.416060626034078e-05,0.014076321299205625,0.03327096816922944,0.046940231631701586,0.12697532166325548,4.416060626034078e-05,0.016575390332047375,4.416060626034078e-05,4.416060626034078e-05,0.06223563445438073,0.04329164381709481,0.02973346543743821,0.044235511086743035,0.03444677629602897,0.016014365366212282,0.01106217350543642
