,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,,,,6.88084317591874e-15,,,2.353493251918841e-14,3.218886559455152e-14,6.300070238724522e-15,,1.0422380469465e-13,1.0778602797159376e-13,,,1.5607576261062066e-14,,,,0.0,0.0,0.0,,0.0,,,,,,,,,5.4379481480921386e-15,8.003118482790917e-15,0.0,,1.1792497473540598e-14,3.058120410737401e-15,,,,,5.978436445740904e-15,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Metal_Dopant_1 Atomic Number,,,,,6.88084317591874e-15,,,2.353493251918841e-14,3.218886559455152e-14,6.300070238724522e-15,,1.0422380469465e-13,1.0778602797159376e-13,,,1.5607576261062066e-14,,,,0.0,0.0,0.0,,0.0,,,,,,,,,5.4379481480921386e-15,8.003118482790917e-15,0.0,,1.1792497473540598e-14,3.058120410737401e-15,,,,,5.978436445740904e-15,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Metal_Dopant_1 Period,,,,,6.8808431759187416e-15,,,2.353493251918841e-14,3.218886559455152e-14,6.300070238724522e-15,,1.0422380469465e-13,1.0778602797159376e-13,,,1.560757626106207e-14,,,,5.4385780607815865e-15,3.8286162524690614e-14,6.140579436921181e-14,,5.394133424507275e-15,,,,,,,,,5.4379481480921386e-15,8.003118482790918e-15,1.0414426335316277e-14,,1.17924974735406e-14,3.0581204107374015e-15,,,,,5.978436445740903e-15,6.86190011302558e-14,,2.359426433433941e-15,1.1091750772746467e-14,,1.576446529863125e-14,1.302542209192663e-13,4.709754234309885e-15,,,5.439013396576439e-15,2.8947890802949015e-15
Metal_Dopant_1 Group,,,,,6.88084317591874e-15,,,2.3534932519188414e-14,3.218886559455152e-14,6.300070238724522e-15,,1.0422380469464999e-13,1.0778602797159376e-13,,,1.5607576261062066e-14,,,,1.631573418234476e-14,1.1485848757407183e-13,1.8421738310763543e-13,,1.6182400273521824e-14,,,,,,,,,5.4379481480921386e-15,8.003118482790917e-15,3.124327900594882e-14,,1.1792497473540598e-14,3.0581204107374015e-15,,,,,5.978436445740904e-15,6.861900113025579e-14,,2.3594264334339415e-15,1.1091750772746467e-14,,1.5764465298631252e-14,4.341807363975544e-14,4.709754234309885e-15,,,1.631704018972932e-14,2.894789080294902e-15
Metal_Dopant_1 Ionization Potential,6.88084317591874e-15,6.88084317591874e-15,6.8808431759187416e-15,6.88084317591874e-15,,6.8808431759187416e-15,0.0,0.0010340190416860294,0.000711286906246963,0.0032066527557139783,0.0,0.00022882751412006564,0.00021721958493122175,6.8808431759187416e-15,0.0,0.001394822966111,0.0,0.0,0.0,0.003417541098131192,0.0006584158014033856,0.0005711444415044893,0.0,0.0024863420485102218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002885130807153646,0.0022663897670837543,0.001910065119833701,0.0,0.0019333968046137398,0.004571734900327666,0.0,0.0,0.0,0.0,0.0024863103813773184,0.0010160515226915123,0.0,0.0050669334156537155,0.002228693827991968,0.0,0.002312950157978712,0.0006022464075636671,0.004255992906810259,0.0,6.8808431759187416e-15,0.0032260982909472855,0.0018694463953355632
Metal_Dopant_1 Electronegativity,,,,,6.8808431759187416e-15,,,2.3534932519188414e-14,3.218886559455152e-14,6.300070238724522e-15,,1.0422380469464999e-13,1.0778602797159376e-13,,,1.5607576261062066e-14,,,,1.631573418234476e-14,1.1485848757407183e-13,1.8421738310763543e-13,,1.6182400273521824e-14,,,,,,,,,5.4379481480921386e-15,8.003118482790917e-15,3.124327900594882e-14,,1.1792497473540598e-14,3.0581204107374015e-15,,,,,5.978436445740904e-15,6.861900113025579e-14,,2.3594264334339415e-15,1.1091750772746467e-14,,1.5764465298631252e-14,4.341807363975544e-14,4.709754234309885e-15,,,1.631704018972932e-14,2.894789080294902e-15
Metal_Dopant_1 Number of d electrons,,,,,0.0,,,2.3534932519188417e-14,3.218886559455153e-14,6.300070238724522e-15,,1.0422380469465e-13,1.0778602797159376e-13,,,1.560757626106207e-14,,,,5.4385780607815865e-15,3.8286162524690614e-14,6.140579436921181e-14,,5.394133424507276e-15,,,,,,,,,0.0,0.0,1.0414426335316277e-14,,0.0,0.0,,,,,0.0,4.5746000753503845e-14,,0.0,0.0,,7.882232649315624e-15,4.341807363975544e-14,0.0,,,5.439013396576439e-15,1.4473945401474507e-15
Metal_Dopant_1 Atomic Radius,2.353493251918841e-14,2.353493251918841e-14,2.353493251918841e-14,2.3534932519188414e-14,0.0010340190416860294,2.3534932519188414e-14,2.3534932519188417e-14,,0.000547355321971375,0.0011637709137409535,2.3534932519188414e-14,0.0002092660448671205,0.00019927174624180934,2.353493251918841e-14,2.3534932519188414e-14,0.0007914661911531091,7.060479755756526e-14,7.060479755756526e-14,7.060479755756526e-14,0.0011739477733359578,0.0005311763743192018,0.0004927762216970027,7.060479755756526e-14,0.0008203588150985069,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,0.0009890177285759275,0.0009024173729760469,0.0008557396865574019,2.3534932519188417e-14,0.0009495418313214034,0.0013912634082236964,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,2.3534932519188417e-14,0.0008758862832757707,0.0006826775985010948,2.3534932519188417e-14,0.0014822780141811739,0.0010365011922109633,2.3534932519188417e-14,0.0009049447007466041,0.0004990655551454558,0.001394865514872251,2.3534932519188417e-14,4.7069865038376834e-14,0.001114474069673796,0.0005170099635974874
Metal_Dopant_2 Relative Atomic Mass,3.218886559455152e-14,3.218886559455152e-14,3.218886559455152e-14,3.218886559455152e-14,0.000711286906246963,3.218886559455152e-14,3.218886559455153e-14,0.000547355321971375,,0.000798542828349995,3.218886559455153e-14,0.00018711580234576943,0.0001778990907651934,3.218886559455152e-14,3.218886559455153e-14,0.000566561236456521,9.656659678365456e-14,9.656659678365456e-14,9.656659678365456e-14,0.000799322379471034,0.00043703462277403193,0.0004355879263135339,9.656659678365456e-14,0.0005557967182341242,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,0.0006639762218970915,0.0006135633200528696,0.0005968441635733138,3.2188865594551535e-14,0.0006655356102132142,0.0009454195224302095,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,3.2188865594551535e-14,0.0005881567769188052,0.0005241034703058642,3.2188865594551535e-14,0.0010090497362854947,0.0007334858582788911,3.2188865594551535e-14,0.0006166211593426425,0.000418467220383848,0.0009562797477719068,3.2188865594551535e-14,6.437773118910306e-14,0.0007532316763939259,0.00035030212395739685
Metal_Dopant_2 Atomic Number,6.300070238724522e-15,6.300070238724522e-15,6.300070238724522e-15,6.300070238724522e-15,0.0032066527557139783,6.300070238724522e-15,6.300070238724522e-15,0.0011637709137409535,0.000798542828349995,,6.300070238724522e-15,0.0002565349436115219,0.00024412822119166202,6.300070238724522e-15,6.300070238724522e-15,0.0015815999017682358,1.8900210716173567e-14,1.8900210716173567e-14,1.8900210716173567e-14,0.003960946141367234,0.000731745273926845,0.0006231213749976266,1.8900210716173567e-14,0.002968566843800386,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,0.003381725799067133,0.0026197731765402405,0.0021957423680865023,6.300070238724523e-15,0.0021955062936482015,0.005351872164086877,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,6.300070238724523e-15,0.002937078435787991,0.001135014900833908,6.300070238724523e-15,0.005967454559111091,0.0025323840662629738,6.300070238724523e-15,0.0026693326077240126,0.0006692197472015594,0.004937729478404864,6.300070238724523e-15,1.2600140477449046e-14,0.0037646380115205903,0.002331743044840913
