,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.5351095570600284,0.13321934666968624,0.6157291194689718,0.31409037103596954,0.25749147761802305,0.5895312159629518,0.5458101905050741,0.15279067311079556,0.6152567742396697,0.3212127923715353,0.5933042852690914,0.21913939188882633,0.4785674545656567,0.31459355157045266,0.4717223392093462,0.15381211304799328,0.1840231652206119,0.4043816632601403,0.5844584034197253,0.24784970766832173,0.34038976382169595,0.401492673109877,0.2755252490903083,0.013953745206998262,0.0662568142255851,0.0,0.08757580718733632,0.06033819129582968,0.0,0.5044522037319504,0.025342597793679023,0.646662558651694,0.6523235243204971,0.24950716063038358,0.06317220671817059,0.506382461351447,0.48901243864516025,0.5287449335922503,0.37290895277746455,0.33905639880850863,0.02471292591101478,0.4681349898643937,0.6125644432176859,0.10915343316402623,0.22961505665386095,0.18327864217331402,0.19381022980150495,0.3628311914343324,0.7796278008596321,0.2903365815489651,0.05965940665230307,0.290039582894513,0.5222227845460063,0.03179828644630399
Metal_Dopant_1 Atomic Number,0.5351095570600284,,0.13857667962614828,0.3225047648134614,0.18937150367474165,0.17372899577633857,0.3046362922355736,0.46779507636626055,0.1241791639135227,0.5269871709719384,0.3748393056727402,0.36989669118472407,0.1696818327529934,0.40712942664218416,0.15300365258788604,0.5482813935676621,0.07469107737109475,0.19227921830449551,0.38854584498937467,0.7067496877883764,0.24736893520139783,0.22811936089771498,0.294540768338569,0.3633426820811627,0.007438520579358627,0.057648186018617445,0.0,0.05594958397299204,0.04197797595459835,0.0,0.3890990640278043,0.01731421379693864,0.5896863381359679,0.4765355678967956,0.33536125957895363,0.048465048203066734,0.3286730093928802,0.47143439604824683,0.37151437187718117,0.35037769538308094,0.25217036155742584,0.07518857518557598,0.4916897277859197,0.3799650293982515,0.08094779290219345,0.18383089439809908,0.3291957880649717,0.19650441187512263,0.2736037831451491,0.6199393503449719,0.25307035505487235,0.08942582040565261,0.32244089252075775,0.43380500287920304,0.06141180150767123
Metal_Dopant_1 Period,0.13321934666968624,0.13857667962614828,,0.5696275752067668,0.012714196145596903,0.15258690833808597,0.3534332478581619,0.2777178859217036,0.05895241934815599,0.2217429402459382,0.19995910956172191,0.3580306985135045,0.05241003992255138,0.23783039076294807,0.20070668933282082,0.20729763332583984,0.11014318634848122,0.14499656885340975,0.048179063016252695,0.20778737983783757,0.07637459170683422,0.07688332207348643,0.06947718915228313,0.05020154995820063,0.07611000525976178,0.04395446344038036,2.758732763875715e-13,0.9026305711957925,0.05302909593317403,2.758732763875715e-13,0.013592898280611878,0.029695872715841867,0.22891754370366688,0.3316095262914131,0.13353356668766705,0.013337438717561883,0.18265162207086102,0.2557558882636599,0.2628912653176951,0.07140730806390312,0.10481335454666088,0.08009692932953918,0.1433807935091921,0.3805601078588031,0.12906970367082038,0.007586094058633003,0.04568208172982447,0.16038100276691636,0.10617360819002089,0.5191728901335826,0.01086293981541005,0.0448262613821979,0.15544788392278425,0.23118463332595837,0.02287063421112081
Metal_Dopant_1 Group,0.6157291194689718,0.3225047648134614,0.5696275752067668,,0.6570771689937864,0.6837936422093803,0.9145391595507509,0.845647456594978,0.2873181368167119,0.7375984191819863,0.7797118428018814,,0.6325936613285589,0.7818127347981902,0.7780808576743886,0.5148426679219881,0.6769778440535513,0.856799238866177,0.700864994122752,0.7084561376263259,0.7688959950796095,0.8733924186563583,0.8048092573458517,0.18601864831092513,0.17132834067112987,0.29435412996328325,1.1340364723900199e-13,0.19579783134288445,0.2701716434158501,1.1340364723900199e-13,0.6344236876351138,0.1112583971396346,0.7075379170862356,0.4713496339721262,0.540046574797609,0.2743008901069267,0.5029710601986203,0.3997221148912908,0.5083800910237668,0.7256127761055614,0.7126703298563793,0.4111598267388561,0.2997383720245413,0.7304038638325948,0.20300464526046993,0.591476866939677,0.09266453143675843,0.8353293391612995,0.17597190298380266,0.8463233073661797,0.5859420984781868,0.46199078283653794,0.6411423297415512,0.6846006151832578,0.028217915024874005
Metal_Dopant_1 Ionization Potential,0.31409037103596954,0.18937150367474165,0.012714196145596903,0.6570771689937864,,0.19030517938406175,0.236383584834946,0.2230841931751789,0.06233640716630711,0.3065294770766375,0.19115144165566977,0.6817362484191111,0.18954024449517473,0.26912593475230207,0.47811761872171393,0.1803697501560568,0.06557614821529911,0.1421558227719847,0.0525201213617294,0.21214340946915713,0.03872456521703016,0.21586472562822123,0.07079516358574796,0.061280107157096746,0.08103606746876647,0.04902144659244691,0.0,0.01709576243417122,0.15458573237674136,0.0,0.051395042680614414,0.04295673147281063,0.05784530031917805,0.10925905041389915,0.1241820654795065,0.08208734380774632,0.2738938367074422,0.17820070362012885,0.06821620505894031,0.0841939506780916,0.13506400187866516,0.1817003873928353,0.08125154442925155,0.09488621840911958,0.12477261176155113,0.10938162466901571,0.025619344435554636,0.3052126975816759,0.042282897056767306,0.30937536670527344,0.06791272726261849,0.07995382944855026,0.07904884360571879,0.10178647011714868,0.008364613337372923
Metal_Dopant_1 Electronegativity,0.25749147761802305,0.17372899577633857,0.15258690833808597,0.6837936422093803,0.19030517938406175,,0.5896482775073697,0.5028627435499766,0.17798059029215085,0.37695605393497333,0.27863831711357906,0.38126190044141756,0.3296478748928352,0.299256362030687,0.21590731811928252,0.25497487009935377,0.1561241853272131,0.167755491613875,0.22998973308146267,0.3197441096798987,0.27048828348502546,0.2197628076950046,0.2555081024901556,0.12780408180630204,0.01563684351840242,0.06472184629346958,2.3969269289607097e-13,0.048683464273137335,0.08969596068480726,2.3969269289607097e-13,0.17426907044235215,0.05917866602798983,0.39651171178968264,0.37677532763764743,0.19050979416952296,0.08128362673618392,0.3528977136450999,0.2512737899271964,0.23839529448725247,0.23379485677286846,0.2270282678563872,0.14677217921300642,0.18961501551161483,0.5053252009688106,0.08270162803999229,0.15614988336682897,0.05101367206082717,0.23780704477511164,0.17209214519402075,0.6629757664083368,0.1779914617621822,0.07119315081447031,0.23165436706424153,0.2419704802932984,0.021902353749730527
Metal_Dopant_1 Number of d electrons,0.5895312159629518,0.3046362922355736,0.3534332478581619,0.9145391595507509,0.236383584834946,0.5896482775073697,,0.7136030368014772,0.38564248736846585,0.7815106378410573,0.7151567871790699,0.6254323902238713,0.5080460924950602,0.6953680220330932,0.48925210523218504,0.49153570540772923,0.34232989879247777,0.45846580228846573,0.6836277258359301,0.6761897578320021,0.6359385665303718,0.46265597790817903,0.665857277871782,0.24372960394952256,0.13373417736280996,0.17961647699438785,0.0,0.14124343961795818,0.30057333147127546,0.0,0.6249299533431233,0.3455376069669133,0.6683331383429112,0.5608780280094984,0.5026081298479986,0.07463824407535069,0.753385285046994,0.42017976931098927,0.7904830647246289,0.7438121367892049,0.48154580379375855,0.18687902114547356,0.4600526208406155,0.6985357770100171,0.2312118140605306,0.4918096643298361,0.18526760212043256,0.5754880644405386,0.29844783071464714,0.9431901549238149,0.5808650605412043,0.4032912049429479,0.649005379487727,0.7484528439551053,0.07204283262824075
Metal_Dopant_1 Atomic Radius,0.5458101905050741,0.46779507636626055,0.2777178859217036,0.845647456594978,0.2230841931751789,0.5028627435499766,0.7136030368014772,,0.24921213468418746,0.5935322297995226,0.5179118952172617,0.6325023974427602,0.30788544002076434,0.5867221103885673,0.3900070215724945,0.5785394725929087,0.3149780814486453,0.27861040153362016,0.5263054973408671,0.6732895481018628,0.49794123920889466,0.25080066838634524,0.4862353732000329,0.2876151276161201,0.020562992761499987,0.0762994297156256,6.720261415738086e-14,0.06851599497086226,0.13205835858630768,6.720261415738086e-14,0.3682564793027771,0.05606574032439042,0.7053930194219901,0.5012848252014408,0.28170610003985613,0.060604136902534696,0.6094014830754325,0.5163961730319989,0.5868772114690406,0.5345132104890747,0.35704586769728164,0.031086714175959786,0.41016138352987097,0.6886147315874295,0.13794901759429676,0.32122225519550107,0.053902649033296196,0.34874251941673207,0.2806769800549528,0.8912974579639551,0.3455123798593102,0.13706149247801375,0.3597457127299494,0.5379314139248309,0.05010520744702911
Metal_Dopant_2 Relative Atomic Mass,0.15279067311079556,0.1241791639135227,0.05895241934815599,0.2873181368167119,0.06233640716630711,0.17798059029215085,0.38564248736846585,0.24921213468418746,,0.2694021082476669,0.2630988331697774,0.3078632450518642,0.09629105178731419,0.2141105290702484,0.2890665861533055,0.13127676488813403,0.09052888768812721,0.18939120108665544,0.1279312533994858,0.2729997912835374,0.11040792837146146,0.17724409351163228,0.1210167954034099,0.06215886587634071,0.006297539143965885,0.023237285543933582,3.1649900390390267e-13,0.024458196622983496,0.6783874523382044,3.1649900390390267e-13,0.0572188705139947,0.09936237159967985,0.4033418469150048,0.19295647191647833,0.10939702830429142,0.027203564067345552,0.2691760078485167,0.19872589031884078,0.25485148569163124,0.17089452666522575,0.08540108538405948,0.12672217136315456,0.10591129808119891,0.4828492945681446,0.08990781673385066,0.07140370841694485,0.06885756292154677,0.4208836418278996,0.1519278561933455,0.522455538065474,0.07588585812370634,0.09204330155198863,0.194853663576137,0.23278043375840116,0.013682833948721418
Metal_Dopant_2 Atomic Number,0.6152567742396697,0.5269871709719384,0.2217429402459382,0.7375984191819863,0.3065294770766375,0.37695605393497333,0.7815106378410573,0.5935322297995226,0.2694021082476669,,0.5977105813451198,0.6445853521611493,0.1969297060884857,0.5194651411916846,0.4006877095920438,0.49284468102641854,0.23670985146381615,0.18420653462555356,0.46494082434285616,0.6433873156827361,0.4969082663704471,0.21200274106848574,0.39716712641578233,0.1820131031216037,0.033177650335268635,0.05451342412515063,4.524586370250638e-14,0.058732876079798324,0.06601979615916005,4.524586370250638e-14,0.4385495815768124,0.06473133614028484,0.7296569157311615,0.6140050198366664,0.29363763834741086,0.38046630664729253,0.6787991130701255,0.514343287958254,0.7939620905925042,0.5607678575302708,0.4864550966396499,0.10882172005987552,0.5102004048013375,0.6879667043497967,0.04842896616657403,0.26786616410966363,0.21721937637379704,0.48833056490039917,0.40204028202971986,0.8324531556494396,0.3116351339485642,0.2148432879062675,0.35628609592381505,0.6624692253979352,0.03183577677843175
