,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.0012660750468566164,0.0,0.13812062921505203,0.338592563276424,0.24394268084708504,0.09044922730349772,0.22329468658870125,0.052484877228117635,0.0,0.011345419019090445,0.004731994967521444,0.1912535135142335,0.43776080342659385,0.08466448267438642,0.32265283588433147,0.022102855183121512,0.0,0.007794922804451154,0.6265597119388718,0.007096850343443683,0.0658980112755456,0.028865929940592974,0.052921841111976196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147444497257186,0.39668773867612944,0.14192198816922377,0.0,0.10567159354001868,0.3986837789184488,0.621433866526098,0.0,0.02076494013845705,0.0,0.4892066649079508,0.48640934352334836,0.0,0.03595828364124949,0.0,4.344470231792618e-06,0.12537948335610496,0.11808635482031488,0.0,0.01935842388100385,0.47128071996059034,0.277603538346048,0.015093163193755102
Metal_Dopant_1 Atomic Number,0.0012660750468566164,,0.0,0.07784712827679709,0.09597619257171433,0.00296145189292792,0.018584400877857614,0.011598487403725667,0.17076314115140973,0.0,0.00024361974380019032,0.04496509863672593,0.051755097651317535,0.031142488179396723,0.014536898297161807,0.005645340565289882,0.0045585328346589935,0.0,0.0003465584204408354,0.023792822918784616,0.029521652701097023,0.048124523943604704,0.058573377727237926,0.008767321214932833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433873536154327,0.010346221741948504,0.017757904114284486,0.0,0.0896248163542235,0.050516395945056324,0.004839324889255603,0.0,0.03325611703380705,0.0,0.01991580365224795,0.06972767325261835,0.0,0.05536419284768698,0.0,5.760974911712918e-05,0.001066964497957246,0.014923802413059514,0.0,0.04640066533255009,0.009835074339965109,0.017428978567101513,0.00046816988721483615
Metal_Dopant_1 Period,0.0,0.0,,0.0,0.0,0.0,5.983545404813784e-14,0.0,0.0,,9.3963854083594e-13,0.0,0.0,1.2843630847717895e-14,1.7875314084621189e-13,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,3.174232806380504e-14,,3.4089118225155255e-13,,0.0,0.0,,3.4063589071172134e-13,,2.509100721590771e-09,0.0,3.2373534528296854e-14,,1.4321540710807113e-12,3.546904758785524e-14,0.0,0.0
Metal_Dopant_1 Group,0.13812062921505203,0.07784712827679709,0.0,,0.8463894602970394,0.5878247714285915,0.2454922687261577,0.5824668258718331,0.552304045621889,0.0,0.15804347926086254,0.06363793342111718,0.27351146489751293,0.507719028293909,0.35581036317536135,0.299225473654304,0.2602865660037547,3.0643025566085983e-13,0.09470957502331177,0.51085026669406,0.046932879313352854,0.32343722750548537,0.3926558840714808,0.487832926739562,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,3.064302556608599e-13,0.35310931702073267,0.24167568363434652,0.5685126176849922,3.064302556608599e-13,0.8779824727841303,0.7282259267968646,0.4445426462352392,3.064302556608599e-13,0.1896233590307208,3.064302556608599e-13,0.4000528966901646,0.5277125098639007,3.064302556608599e-13,0.23066378165039111,3.064302556608599e-13,0.00018203434562154804,0.09861344004685757,0.37944156618751,3.064302556608599e-13,0.25052617847225306,0.4146419242469735,0.4682001301433858,0.026616583203764775
Metal_Dopant_1 Ionization Potential,0.338592563276424,0.09597619257171433,0.0,0.8463894602970394,,0.7844787545241335,0.3967833382305828,0.697695375920871,,0.0,0.2279568533375341,0.11879084330440694,0.20940820606698998,0.3165721570452145,0.5329971139222498,0.4702836240902735,0.29260792433817434,0.0,0.12366898363777469,0.43900886710842235,0.07609178332981004,0.5438677942084397,0.3988589366223657,0.5098146357471786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3051534079509836,0.2401062545238917,0.5127673853739014,0.0,0.8677789615744707,0.367966834967444,0.5428143161279064,0.0,0.21280539672857535,0.0,0.32146355351632266,0.6431105098126249,0.0,0.26379072597176145,0.0,0.00020339162797154123,0.13067323462679997,0.3796627569354704,0.0,0.37481511807182505,0.2514871573736012,0.5640840178427465,0.010965618066056268
Metal_Dopant_1 Electronegativity,0.24394268084708504,0.00296145189292792,0.0,0.5878247714285915,0.7844787545241335,,0.23892610872354347,0.3685234588060847,0.2876068111169046,0.0,0.07993472990480337,0.028673858543366636,0.24720501235200082,0.39232801655966404,0.23967474652545484,0.3276755026816406,0.1122480087571458,2.486392921265628e-14,0.016794093423895994,0.6114197491092431,0.14144136574374166,0.34968215523316204,0.18289013357593797,0.17450303868084338,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,2.486392921265628e-14,0.3881303280987534,0.279272960988993,0.28534013697791966,2.486392921265628e-14,0.2947785627335102,0.548641785539728,0.6497116108433185,2.486392921265628e-14,0.10338055784118948,2.486392921265628e-14,0.4094810973388272,0.892981643082848,2.486392921265628e-14,0.14124213953559223,2.486392921265628e-14,9.336980607691073e-06,0.10309721180096423,0.26881599658977257,2.486392921265628e-14,0.13154525391259558,0.6507242413131953,0.7829503689868743,0.07109781610653068
Metal_Dopant_1 Number of d electrons,0.09044922730349772,0.018584400877857614,5.983545404813784e-14,0.2454922687261577,0.3967833382305828,0.23892610872354347,,0.35032238080351397,0.14216518679232104,5.983545404813784e-14,0.009532668821714156,0.03861589150145645,0.1318000930057773,0.4394082195373707,0.25917076344110374,0.26769880134512614,0.11755646933356349,5.983545404813784e-14,0.03586067426832708,0.14715748399699785,0.02131745971233584,0.2858632022020851,0.17545439008750452,0.40414403340889055,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,5.983545404813784e-14,0.4571976638629666,0.254297821197559,0.3372995428120296,5.983545404813784e-14,0.3236049347380809,0.3047566921827509,0.26431813562439266,5.983545404813784e-14,0.17013558718069205,5.983545404813784e-14,0.21590726239502528,0.7545392247145116,5.983545404813784e-14,0.27497071844526705,5.983545404813784e-14,2.122878270695448e-05,0.10847159383212507,0.379316186757716,5.983545404813784e-14,0.029731578597873974,0.43200483502438203,0.3902611382683707,0.022370643399582574
Metal_Dopant_1 Atomic Radius,0.22329468658870125,0.011598487403725667,0.0,0.5824668258718331,0.697695375920871,0.3685234588060847,0.35032238080351397,,0.33473678349983677,0.0,0.11493680581176816,0.044274783971858064,0.05969302045336372,0.2470894011594899,0.33031971604605803,0.27052048615201024,0.16896208828392423,4.089498345397628e-14,0.06489282726578316,0.3740099641078511,0.03109432726737669,0.548593412769256,0.22556251627387144,0.2913332590714004,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,4.089498345397629e-14,0.2377960591000509,0.05460778610215974,0.33023731392297223,4.089498345397629e-14,0.2811053424728732,0.5122695957535045,0.6166765020130757,4.089498345397629e-14,0.1528952710847323,4.089498345397629e-14,0.41590201733437787,0.2744500749926858,4.089498345397629e-14,0.16773863342674425,4.089498345397629e-14,8.258713969888137e-06,0.11612489379570097,0.5168436967071114,4.089498345397629e-14,0.17245685923841156,0.38637305096729324,0.4804152339013182,0.009919169304139407
Metal_Dopant_2 Relative Atomic Mass,0.052484877228117635,0.17076314115140973,0.0,0.552304045621889,,0.2876068111169046,0.14216518679232104,0.33473678349983677,,0.0,0.07531569246649658,0.05732247000547007,0.4024291732969433,0.1979713334839643,0.530363357191333,0.3357870441253593,0.09273260395820898,2.434677255170964e-13,0.040698896553643206,0.2686171378864013,0.07330589677686308,0.38322668272306903,0.35195653472640615,0.1534914044757465,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,2.434677255170964e-13,0.19008933605837114,0.07726526022113597,0.17683042749694478,2.434677255170964e-13,0.44792078915253697,0.33992201013063617,0.252193855414751,2.434677255170964e-13,0.18623779702308021,2.434677255170964e-13,0.16434869962107637,0.39067311884206196,2.434677255170964e-13,0.2287487903104965,2.434677255170964e-13,2.8308105640672368e-05,0.07816970599020623,0.17872581879493804,2.434677255170964e-13,0.09131258942048184,0.5222898906804876,0.34382526735274016,0.011697622245532245
Metal_Dopant_2 Atomic Number,0.0,0.0,,0.0,0.0,0.0,5.983545404813784e-14,0.0,0.0,,9.3963854083594e-13,0.0,0.0,0.0,1.7875314084621189e-13,0.0,4.4166634725651533e-13,,1.5805112427967e-12,7.902376767767025e-14,1.7221163171456879e-12,2.895179758169801e-13,4.393347659914466e-13,2.999059668488927e-14,,,,,,,,,0.0,0.0,8.817628777936461e-14,,0.0,0.0,3.174232806380504e-14,,3.4089118225155255e-13,,0.0,2.547035269121646e-14,,3.406358907117213e-13,,2.5091007215907707e-09,1.0944175006928822e-15,3.237353452829686e-14,,1.4321540710807113e-12,3.546904758785524e-14,3.9933899416485626e-14,5.434530838899099e-17
