,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.6420696420429304,0.10569997448353152,0.20957870020268782,0.23952421985363492,0.17833938420129125,0.3919649962672039,0.27319414995098557,0.1820068811968173,0.1683279409580177,0.04546701147667982,0.3935461335790739,0.24384274008850088,0.24813125459368732,0.4376914713947582,0.2826683630739674,0.25248004949440844,0.12662322226623093,0.32001724848657326,0.09925381186488647,0.10738548534225109,0.11013371797745436,0.140443242311744,0.1335266334364189,0.013936457925934988,0.0716195673686587,0.0,0.027605258584292875,0.09624727748531066,0.05173642825727142,0.14612881136875408,0.1683503086395092,0.40896936088320845,0.3912203869707347,0.18951673634382354,0.0,0.24393338793550737,0.32184303166202327,0.24052806360802678,0.3198143199282106,0.1053740548497766,0.21715235383831663,0.14529298096953916,0.3845014581621761,0.15938819114528993,0.13799617420592125,0.41243966974420954,0.17815124251954445,0.33676794782372416,0.19436559018067637,0.056289032938286986,0.0705637909797499,0.05917459088822903,0.18718328614326873,0.0356819090141294
Metal_Dopant_1 Atomic Number,0.6420696420429304,,0.14644610717139156,0.300227650642736,0.2636294308925511,0.20106389437616137,0.40858158669548766,0.3535973797266536,0.18317137865176597,0.21326135101722785,0.03399573998180947,0.283320162048934,0.357029965328934,0.30724255244803306,0.30191379485287545,0.24871805966293348,0.23922743236674007,0.154448288540669,0.32431829521307315,0.2010233129029682,0.14071426320992267,0.12203974929670813,0.2621197116987747,0.2928577445822073,0.06840298901038862,0.10196002660099536,0.0,0.03265116291775063,0.16159331722750517,0.06376856282551635,0.17548769170291167,0.22462018695026476,0.5041544040388061,0.4611489546803578,0.16543783262245004,0.0,0.2813737680258789,0.47116088452019533,0.2597881690788644,0.3254849570155972,0.240367871720911,0.31964800225959705,0.22274770050992204,0.4251269390402014,0.12583557114291236,0.20357077499836215,0.2673351029532253,0.24779668339387012,0.4038612851397392,0.45263005267666817,0.0662489193490627,0.05452012814631743,0.14330893663042354,0.27153026400055386,0.04762151353507436
Metal_Dopant_1 Period,0.10569997448353152,0.14644610717139156,,0.1801600342644046,0.14039095776118246,0.11393792133504675,0.347706632376678,0.21289089643727252,0.40290774421734366,0.10306948502362957,0.07417271138849649,0.07875405367698086,0.21088680602397508,0.094431807228873,0.17881057660875907,0.23416401146998328,0.16989048746441254,0.22178294750604416,0.08316600609333775,0.10648986799790133,0.13522802854179258,0.13297708584744813,0.27069181441436674,0.07558980488844011,0.014999874696267275,0.041716167295863055,1.423886717187628e-13,0.009726142285887847,0.040039166588366336,0.02902598906271057,0.06987629714050074,0.08958848052956049,0.6232962662321134,0.22305596230120486,0.35277888998198104,1.423886717187628e-13,0.15828855754900845,0.1370979284905908,0.17710900927956397,0.07637891860139019,0.03724587550616397,0.11485540410434018,0.08984574324817816,0.17880393262590144,0.00976469842710449,0.05083245440891003,0.2867680938363107,0.28822064577832013,0.1420117379422353,0.09734522511206621,0.02378815454258398,0.09722294231844043,0.09242096793058918,0.08069179137724179,0.005560579281765289
Metal_Dopant_1 Group,0.20957870020268782,0.300227650642736,0.1801600342644046,,0.5218144211297536,0.41657071673134827,0.5159573008071013,0.6787071959224622,0.18410776128288495,0.4973628381164962,0.21421416390238118,0.3391769898065201,0.2753848244554942,0.3700716947973867,0.5224421249506122,0.3689027281048733,0.3871432924651455,0.430966016626111,0.31356957531418145,0.19782369687793078,0.3585269250828153,0.37891931590972766,0.3985427188245845,0.526275350080056,0.06345059783039411,0.13951571172231858,0.0,0.07230146542904418,0.11221224342542264,0.09985725597062853,0.19115959334545646,0.28677637061765715,0.6023843024800795,0.6135578651746084,0.34050113805483945,0.0,0.5525282675849198,0.5256210417666134,0.24839548396680503,0.353623362125606,0.17382488129787305,0.37167689562539014,0.3120266775696176,0.5311338807561438,0.01254709147584511,0.27916789450894475,0.35161325179588937,0.40932854344244923,0.42963632387534445,0.4896873202161748,0.05602438200559258,0.27635098384517087,0.23420583267676653,0.10737761200725392,0.020892991451560112
Metal_Dopant_1 Ionization Potential,0.23952421985363492,0.2636294308925511,0.14039095776118246,0.5218144211297536,,0.28269283865903455,0.4092864901218709,0.6178282131310799,0.1698751678124931,0.2724674301392169,0.14826932645282104,0.36849651197761246,0.2017292180986795,0.35754814441912425,0.3374497174811672,0.2721138858505822,0.15203208239168522,0.26366697000609124,0.07153659331415972,0.2727431946857059,0.22607349136572075,0.1886729285182724,0.4055809278375356,0.400502152310724,0.010039618191072422,0.08061661812270192,0.0,0.06529745339787056,0.1102338953562341,0.10608676616939795,0.15613562905028905,0.17135316661416997,0.4580629297215601,0.5389336021764138,0.29865169232851296,0.0,0.5301770685098016,0.4057233655465619,0.26773238085150586,0.2695527614323475,0.14525429322703667,0.3380331409145856,0.2540182907992005,0.46149179446573413,0.06152653125101824,0.2784041947644305,0.366937995900639,0.18983320609090498,0.3867455281927974,0.3141564816830852,0.06548094531191574,0.16632091107563907,0.19679531337634792,0.13529780361343402,0.02148152953158955
Metal_Dopant_1 Electronegativity,0.17833938420129125,0.20106389437616137,0.11393792133504675,0.41657071673134827,0.28269283865903455,,0.7075859160819017,0.5040965721359021,0.14717534108761018,0.5155311370762408,0.1290532432613656,0.11714824171234307,0.32564637038673644,0.18398761398081181,0.2103792095450111,0.4781801777862208,0.42635529813815837,0.38002329559202963,0.7365147026539591,0.12661237825796076,0.30684054095651814,0.4019018494130837,0.4851887053590818,0.15728060305715807,0.0191572321293664,0.12752204588105226,0.0,0.03538651529361636,0.11736001750965148,0.06270915460229326,0.08870664652880238,0.207389148107345,0.6829880535898794,0.40535076073808063,0.18823027342480214,0.0,0.272570657048107,0.2105191961133311,0.21742435335635413,0.1730534642024378,0.11975318738975056,0.23606346052236638,0.12280437850033915,0.3027697928271845,0.014411249049845885,0.06372300750020461,0.8028549365283202,0.3239523100699224,0.16462795174539516,0.5115503433205143,0.05010122175443947,0.08798563396918405,0.04621758845698008,0.12370443100576475,0.015730052972045813
Metal_Dopant_1 Number of d electrons,0.3919649962672039,0.40858158669548766,0.347706632376678,0.5159573008071013,0.4092864901218709,0.7075859160819017,,0.6061967085823784,0.5260144631396592,0.48151191140888966,0.5259357634809788,0.5398291704570538,0.6324751904306148,0.356683244637207,0.5634045185276464,0.6183090996638549,0.5212255798662266,0.4065359117701948,0.5222550786490922,0.2523072395918507,0.5631212544357806,0.4574071208754169,0.4084883747489758,0.31329457870717703,0.08225229525397114,0.5223830883813497,0.0,0.1673576190466901,0.47681711446285363,0.21553136627069086,0.43160851182398985,0.5640615638286973,,0.7869801724482853,0.6018410144390128,0.0,0.5633192969716361,0.558671804477797,,0.5137438352450562,0.37377664131980703,0.6538983544421697,0.2527068701397785,0.4935201648297634,0.038318870551417306,0.23943752248651223,,0.91514360214223,0.3879381848630859,0.731637558751156,0.17346581797357535,0.4607165723111659,0.13151350991600586,0.1508161312480284,0.014864291718843934
Metal_Dopant_1 Atomic Radius,0.27319414995098557,0.3535973797266536,0.21289089643727252,0.6787071959224622,0.6178282131310799,0.5040965721359021,0.6061967085823784,,0.21962258214219496,0.40288614157230557,0.2033515485901985,0.3005696852385419,0.24405325265667316,0.3936124030412806,0.3610195620386505,0.3869747766691066,0.49146993096402414,0.30283998466053824,0.20473876501348612,0.21670529046998951,0.3514301017930763,0.2423546498496724,0.4198856546943553,0.264249486479911,0.0359517009449434,0.14746806747945257,0.0,0.055543318789300446,0.34937677945940626,0.14841866212643567,0.2793898941682293,0.37481776328554345,0.7460636613224773,0.4825404462621553,0.3653175380252089,0.0,0.4582595247339576,0.5247713297661313,0.1759523137362004,0.3459599417369392,0.20342467753832083,0.5281962317959079,0.3232587675661514,0.43587798954518625,0.010333287571989692,0.17685973490767737,0.4383905358430295,0.32588563965414835,0.3899001724412256,0.5204938946523859,0.12438393295365963,0.18622164518820522,0.17104085350198292,0.21950133366999802,0.015042167451077289
Metal_Dopant_2 Relative Atomic Mass,0.1820068811968173,0.18317137865176597,0.40290774421734366,0.18410776128288495,0.1698751678124931,0.14717534108761018,0.5260144631396592,0.21962258214219496,,0.14296290224196764,0.06987428554703703,0.10885825129164903,0.2116053754545534,0.16910519780526131,0.2260652908472551,0.19418294485692908,0.177995488734106,0.06815213222912397,0.17225114811226294,0.10101933553242483,0.1381501336858614,0.11758652700142612,0.16689492891133517,0.10484979106920649,0.02353580087218053,0.05207289445319515,0.0,0.013377321588555292,0.05186882609400064,0.020959535153987678,0.06787695512363617,0.10205192253979069,0.6326180777632562,0.20788726700466334,0.29770798518045194,0.0,0.21898016297749137,0.2672072946348863,0.216566331844921,0.1703901139336681,0.11317393743524075,0.10077770667628298,0.09017168889106295,0.2525406817073126,0.013066753855993438,0.08988156947566293,0.3634945492937613,0.4081821088686138,0.19280915469764262,0.09597563042320902,0.01881305654241347,0.1538840670504259,0.027989576065191264,0.09013775354873864,0.007785009635507195
Metal_Dopant_2 Atomic Number,0.1683279409580177,0.21326135101722785,0.10306948502362957,0.4973628381164962,0.2724674301392169,0.5155311370762408,0.48151191140888966,0.40288614157230557,0.14296290224196764,,0.0820607885623798,0.19792446530870442,0.10076890321498595,0.24271034525143567,0.35708085350584684,0.5666391666277,0.2261823688495136,0.24782980164759752,0.07229919352902738,0.13578042409794877,0.18227836774455816,0.17406986073755695,0.30948125380255376,0.18095214511977628,0.012035432947982044,0.13133891441283083,0.0,0.02456603774092388,0.2216516893662099,0.030722189833526776,0.10297432729883897,0.1087056751940937,0.5677782101435757,0.3468493148316975,0.42311862886313306,0.0,0.24422112323613382,0.29874427795045694,0.14860843737171292,0.17152553413629232,0.14075763470699434,0.25832433508719016,0.1486585941238639,0.313723692016139,0.008069021547522419,0.09983941198081218,0.3841443166882814,0.2620214348381107,0.22596307069784277,0.3553088475623061,0.04554314828303063,0.1616551419913824,0.0759994724023496,0.13211012621616142,0.023185116047212087
