,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.5203134851388158,0.1322462228791556,0.14643526479454216,0.41836142994965786,0.17651286728853421,0.24509099843903664,0.4274885762473879,0.19163886196051055,0.10585716666302761,0.37421170542681553,0.15465399178801245,0.18135225304048258,0.2719929949171207,0.3179584071742581,0.3210266374408695,0.11087919662907335,0.4842784287579344,0.109372054788246,0.24308661022399852,0.03571778044118219,0.23056248630921652,0.35265401334491275,0.30192785738537203,0.0,0.0,0.0,0.0,0.0,0.0,0.1947813448259873,0.0,0.43287254768253697,0.30169268351820117,0.34177831424933924,0.1319234324232585,0.3573760940950725,0.3968248445031335,0.08027783609241854,0.21166233772189663,0.017443485287006722,0.08565407330578743,0.23086504919110454,0.2464770466889874,0.0,0.10994570579897597,0.3074399631089677,0.17903585143867326,0.6742187996626039,0.3787239822238214,0.1979504657825791,0.015193335060999628,0.10903038435439047,0.39767287442851773,0.07102717771574871
Metal_Dopant_1 Atomic Number,0.5203134851388158,,0.16025269296112502,0.19820564694187529,0.5264935625464394,0.178752560504183,0.19099539081377195,0.29899674300429213,0.5366492854982655,0.1600379745477425,0.27144275563592263,0.22026539021457955,0.1799746227298262,0.33057324021307266,0.4748000280366676,0.28341055037956636,0.16499524009865907,0.5063644446377041,0.2634538859738757,0.5319026279465099,0.09074678461243454,0.3224441235716697,0.5308499970351331,0.6012246226017763,0.0,0.0,0.0,0.0,0.0,0.0,0.24587416717011817,0.0,0.37196265932227796,0.2510676684174965,0.6606448382972258,0.1092537426126158,0.3943636048334811,0.26214566509357523,0.1245487296331376,0.36040818240305417,0.024010399958118416,0.10993520458043454,0.1285344604466586,0.18618062926377033,0.0,0.08151498653534532,0.1820350625236268,0.29640069140949415,0.6324048126360922,0.3020331392295689,0.20289680336450885,0.05142941975106939,0.11383891606985007,0.4319977838022599,0.05837188041773073
Metal_Dopant_1 Period,0.1322462228791556,0.16025269296112502,,0.3234988710990193,0.571669558608999,0.2033840317624588,0.3681258859267015,0.5486011416746552,0.11497365318869104,0.18642645544747893,0.14720204353764657,0.3048108580379226,0.16507139173521085,0.1424862436243096,0.6233777482879855,0.20486515851430598,0.09655867249269053,0.8640831275764245,0.3821944288225416,0.22688085194262844,0.10418652458121229,0.16062745884311538,0.2982219155078689,0.3163782381053787,6.363541610013433e-14,6.363541610013433e-14,6.363541610013433e-14,6.363541610013433e-14,6.363541610013433e-14,6.363541610013433e-14,0.04131850442733233,6.363541610013433e-14,0.40877685518908924,0.12702622662154125,0.4329121760954657,0.5521489743214544,0.3163111149694782,0.39677448803342585,0.09330690404638778,0.10220858770699559,0.020604007989079676,0.1210651819343984,0.09916456181030768,0.25700003027372303,6.363541610013433e-14,0.10430349032033702,0.08401550137644277,0.16913940819326348,0.7086157180868589,0.19649000483223567,0.06410518166233779,0.03858283397623671,0.06523877996699998,0.17053413510250817,0.0193619573749132
Metal_Dopant_1 Group,0.14643526479454216,0.19820564694187529,0.3234988710990193,,0.6730980873359131,0.3369758324410695,0.5062581321665406,0.43043573143032166,0.13281000230135098,0.1933747928316286,0.13469396332639805,0.13184735345180687,0.47597115157463965,0.18135880525511444,0.4681650791089434,0.24357728210023424,0.16594973204138058,0.6343653012205043,0.15769158595811925,0.3290581339081742,0.19672741292232054,0.2793515387046507,0.16945750879210758,0.38084961301277853,1.1592039559023877e-13,1.1592039559023877e-13,1.1592039559023877e-13,1.1592039559023877e-13,1.1592039559023877e-13,1.1592039559023877e-13,0.11111601229767475,1.1592039559023877e-13,0.4626543476989421,0.1670048328200161,0.4679548588468325,0.27612512745410167,0.3488843248072644,0.3149364297901169,0.1505023344896848,0.15759230919797548,0.030681125392452154,0.09869836518827009,0.1772776722677533,0.20294666116786098,1.1592039559023877e-13,0.0648305865267113,0.078050397932095,0.15555541437049863,0.627616012592123,0.37809017389080657,0.10567142672171989,0.0240585831309196,0.04423119105360193,0.1529304906591753,0.0233410534428262
Metal_Dopant_1 Ionization Potential,0.41836142994965786,0.5264935625464394,0.571669558608999,0.6730980873359131,,0.37423833412981067,0.6298762400138123,0.6585176474054213,0.30424340289957086,0.26279532825672675,0.19561328920518356,0.6205938579482981,0.37763765121654114,0.37422133615232306,0.6346542737342128,0.43354169042560947,0.15594579700294542,0.746306262196044,0.1998639904590024,,0.11944378964818937,0.4529701589374088,0.6299913762957549,0.37187717924010577,0.0,0.0,0.0,0.0,0.0,0.0,0.305997627069673,0.0,0.2628432754719996,0.43075171727512773,0.5991309705379261,0.22203033863121727,0.46938442322500057,0.353612488357926,0.06658613727413147,0.33950323964206913,0.0275031778033345,0.3599832844922426,0.14972957531869216,0.20308259015911198,0.0,0.20171343934793973,0.06775372821466588,0.41587359801844626,0.7226656136034901,0.6064633208824336,0.3604114804276758,0.02526903209009467,0.19720113859867539,0.15055249886358266,0.015541653131931085
Metal_Dopant_1 Electronegativity,0.17651286728853421,0.178752560504183,0.2033840317624588,0.3369758324410695,0.37423833412981067,,0.41149115793911645,0.3785914785395336,0.17417774596996857,0.13781321794296378,0.1261673867457039,0.40974253891169704,0.1959427980874987,0.2581629557194339,0.3600590400489137,0.2047266456099662,0.09367568480525702,0.559460638440203,0.08738148937486916,0.20468614724672812,0.05993251164474883,0.1307662071270523,0.17599189597008946,0.17342975892252915,6.912290589781831e-14,6.912290589781831e-14,6.912290589781831e-14,6.912290589781831e-14,6.912290589781831e-14,6.912290589781831e-14,0.16083535195503498,6.912290589781831e-14,0.5036854400288165,0.19512891739665197,0.8029184469562097,0.10381224492408106,0.26307820853407354,0.3222515431196881,0.06328566915634162,0.13137587005697346,0.021075555191161367,0.19013519949602284,0.1408391371637685,0.2057588677451312,6.912290589781831e-14,0.1514896199642214,0.054000264416424144,0.19662033640437304,0.5565689967979381,0.28557609980022186,0.15620674976156776,0.028783783684806084,0.04875062206223805,0.14233269301266105,0.024404692751751975
Metal_Dopant_1 Number of d electrons,0.24509099843903664,0.19099539081377195,0.3681258859267015,0.5062581321665406,0.6298762400138123,0.41149115793911645,,0.5755531100836123,0.22463329591099496,0.26261414720875337,0.32446964549623014,0.4530157425089528,0.24250549451660422,0.2781262629368061,0.39231203343236737,0.1927791409400087,,0.7316425306285247,0.16669418099974936,0.4710539636503132,0.05870014474438304,0.18898170899018688,0.24604635327848864,0.3572272575929788,5.2015715422654536e-14,5.2015715422654536e-14,5.2015715422654536e-14,5.2015715422654536e-14,5.2015715422654536e-14,5.2015715422654536e-14,0.17744378677565745,5.2015715422654536e-14,0.26770421575005765,0.11730009836666343,0.26270434526306313,0.1348173875587958,0.3267505543222862,0.18516304785802118,0.04938539639914551,0.15460515061051072,0.02592090907438786,0.2897106540639602,0.06643493597654208,0.11137871141135497,5.2015715422654536e-14,0.18926346445243336,0.09180656636567358,0.10012436772175518,0.7593012368784021,0.3942084979751361,0.21603782091249107,0.045676469451871045,0.10127677958624531,0.16930534811658418,0.01844300676842789
Metal_Dopant_1 Atomic Radius,0.4274885762473879,0.29899674300429213,0.5486011416746552,0.43043573143032166,0.6585176474054213,0.3785914785395336,0.5755531100836123,,0.22154366915659351,0.23942833585936363,0.3820763179645845,0.5510477512439503,0.20850151412854137,0.4359729149498539,0.516446019652546,0.5394556823732258,0.12367112263739814,0.674963917049926,0.2147893657654409,0.7086831163233419,0.5475828517724927,0.24700518231895244,0.37892651361508267,0.48079113500633697,3.886842481581585e-14,3.886842481581585e-14,3.886842481581585e-14,3.886842481581585e-14,3.886842481581585e-14,3.886842481581585e-14,0.3242181632809777,3.886842481581585e-14,0.4892004822397651,0.3930175762347091,0.635029127400768,0.4286160084152577,0.41635423023448,0.6504826530094325,0.23129398290494885,0.44397697590344215,0.0167155461086462,0.12983233705217695,0.3264476904925164,0.3780903707733114,3.886842481581585e-14,0.16535826859408181,0.3742347111997212,0.30117736924525734,0.7829909525620807,0.5183037332643396,0.3081159333734915,0.03583378956161149,0.1429674823949929,0.44291547840090845,0.06416230856343035
Metal_Dopant_2 Relative Atomic Mass,0.19163886196051055,0.5366492854982655,0.11497365318869104,0.13281000230135098,0.30424340289957086,0.17417774596996857,0.22463329591099496,0.22154366915659351,,0.0750408948560182,0.06289181308164785,0.123910575982117,0.06680419084113215,0.17395588372989068,0.20595662925679453,0.13281989514023398,0.06348325531075216,0.4639119495325705,0.07388435931775061,0.10171742213320788,0.03544786485027316,0.12992685707139495,0.12640405409687472,0.14121646243682895,1.4575920282807765e-13,1.4575920282807765e-13,1.4575920282807765e-13,1.4575920282807765e-13,1.4575920282807765e-13,1.4575920282807765e-13,0.27752025157128674,1.4575920282807765e-13,0.22533615391691597,0.09290279604457058,0.18992500672420695,0.04811186682611025,0.21348588472039026,0.10679984476304831,0.18966386304219174,0.08999803837964439,0.01627902930243485,0.8919373633595732,0.050654631870864525,0.16310919412332978,1.4575920282807765e-13,0.06948409411476877,0.0383288028205471,0.15390550609881118,0.5453627204951936,0.14841134223635083,0.07375063187404034,0.032497288913357604,0.11999035249431485,0.09677927617954286,0.015662576764663712
Metal_Dopant_2 Atomic Number,0.10585716666302761,0.1600379745477425,0.18642645544747893,0.1933747928316286,0.26279532825672675,0.13781321794296378,0.26261414720875337,0.23942833585936363,0.0750408948560182,,0.12536405477137325,0.17770020449837537,0.15769178768386102,0.14447518279132426,0.4142317466396847,0.2222232509359141,0.07289974256966542,0.8269300766914636,0.09426482411589451,0.12159770549303987,0.05587411876631647,0.06370755285035602,0.13473514490201888,0.30518158170978,5.032388556477118e-14,5.032388556477118e-14,5.032388556477118e-14,5.032388556477118e-14,5.032388556477118e-14,5.032388556477118e-14,0.0441016754561382,5.032388556477118e-14,0.2899000211274455,0.15049442138121158,0.4404070323062761,0.0627455572000656,0.39640034735966095,0.19288690918301116,0.046314110951860755,0.12850665687260093,0.009788096710424833,0.09952571139962815,0.11023019655857533,0.20146122822347148,5.032388556477118e-14,0.1208354263559921,0.08185421549671236,0.0735045220994614,0.5699056492714704,0.29789051135680106,0.06318807529810236,0.016689829536046745,0.08075636641410355,0.13914667420336876,0.03838197804043408
