,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,0.0,0.45251464683211073,0.07449460484886311,0.25077924826274256,0.3058733955285249,0.24887029634044686,0.37560789259756616,0.31424350006070023,0.38133723098952016,0.15757855258790263,0.03286577774337274,0.34343031561759385,0.37211008949758695,0.23773083960968286,0.5363769301788294,0.3351788885423874,0.32498679514868056,0.08924076806548614,0.22553986968598572,0.1069173888779276,0.24172863396848865,0.23622654317016625,0.2163492062621144,0.22020665325493802,0.009822054652880557,0.05047561644781682,0.0,0.01945547139472565,0.06783258878803414,0.03646249488846822,0.10298780215548149,0.11864893799230156,0.5122062198095777,0.48771712035735915,0.23406164032098478,0.0,0.39760734447199514,0.3752978125560083,0.3044128630665951,0.22539685089301403,0.13829654864712143,0.15304335568885397,0.2776168079114104,0.4086302164748045,0.11233266966202897,0.15482163278263014,0.5543838643554576,0.139326355027479,0.48871432836991935,0.40365284234670123,0.03967105277509453,0.08314461732721659,0.19589468154660125,0.36564708573235216,0.16550362094636653
Metal_Dopant_1 Atomic Number,0.45251464683211073,0.0,0.0,0.21159406418530924,0.1858013231844771,0.14170597211587294,0.2879577218265468,0.24920807675369452,0.12909568768160665,0.1503119397756528,0.0,0.19968046822405483,0.2516267984748947,0.2165488858391185,0.21278102436524107,0.17529269904586878,0.1686012993876837,0.0,0.0,0.0,0.0991717688262575,0.08601045500847357,0.18473518505097136,0.20639855464657555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553169533777416,0.3250066974598838,0.11659630031587125,0.0,0.19830590889840347,0.3320637352098287,0.18309197418921697,0.0,0.1694050515121111,0.0,0.15698700309838562,0.29961960787052844,0.0,0.0,0.0,0.0,0.28463184232635597,0.31900193998743087,0.0,0.0,0.10100042746233102,0.19136749862111155,0.03356244555327592
Metal_Dopant_1 Period,0.07449460484886311,0.0,0.0,0.12697351738812804,0.09894391151818276,0.08030453456873879,0.2450546304177701,0.1500417910138625,0.28395894457566023,0.0726407039956985,0.0,0.05550757241098224,0.14862888426545143,0.0665899657001601,0.12602168866392618,0.1650353827655316,0.11973441614419678,0.0,0.0,0.0,0.09530521270164685,0.0937188065802457,0.19077658106494472,0.053273737039968204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43928306779267395,0.1572049219984783,0.24862942622869583,0.0,0.11155767637907137,0.09662481456974872,0.12482184339136594,0.0,0.02624992855143902,0.0,0.06332095322944699,0.12601638147476157,0.0,0.0,0.0,0.0,0.10008706221980102,0.06860777919378194,0.0,0.0,0.06513590489855205,0.0568694849981357,0.003918988285815024
Metal_Dopant_1 Group,0.25077924826274256,0.21159406418530924,0.12697351738812804,0.0,0.4379878953567009,0.39406595614665135,0.43599527631155793,0.5947787882833163,0.20915329242940897,0.3680839793919778,0.1533453539105899,0.2629402030130846,0.33063221301253937,0.3948426543120228,0.41380282460369777,0.35753326523746176,0.4266700930831431,0.3037378601697634,0.22099988838758933,0.1456537824840978,0.3275949583774617,0.34641422404154254,0.3569708674659512,0.5040063440042052,0.044719728853449964,0.09832845137064918,1.3905956125992528e-06,0.05095759113821113,0.07908567395543209,0.07037819873744189,0.13472572178793324,0.20211395035296595,0.6507034002061012,0.5283835296755559,0.3141795751283186,1.3905956125992528e-06,0.5910984122624074,0.5064907807452381,0.242386319235698,0.2492259789229996,0.7335047746292095,0.261949641826075,0.34273035192331947,0.4696610291497263,0.008844255752985444,0.23225634382971616,0.3223599594499026,0.290805757443725,0.5462403037183747,0.45371593264686155,0.039485924246645994,0.22059744000083556,0.21701802984385757,0.16815383939067033,0.039885851739613745
Metal_Dopant_1 Ionization Potential,0.3058733955285249,0.1858013231844771,0.09894391151818276,0.4379878953567009,0.0,0.3634173033715693,0.34893094755276594,0.6002939288300266,0.25183874244693855,0.23287964374613287,0.10515296793359077,0.323917482996554,0.248910221204795,0.5645039561742375,0.34387611305389454,0.26894488046099163,0.26953781960546686,0.1858256526387438,0.050417138482871104,0.2052995829553519,0.20330656770332106,0.2825673232765097,0.49313330809751105,0.4175396957975028,0.007075662918858338,0.05681650483499462,0.0,0.04601995423631154,0.07768999487121941,0.07476720561284847,0.11004034812460764,0.1207652745319519,0.6344407301666294,0.5702924391486323,0.2800212923557197,0.0,0.6193810689548955,0.5911556850974885,0.28552890715103113,0.18997380601970895,0.1570548400269494,0.2382370041364156,0.2699404849107552,0.44863709449540523,0.04336230595760399,0.20632395020711083,0.44333168479580704,0.25225764597422723,0.5665178359761812,0.34820109343366135,0.0461492745856924,0.1367031298446874,0.24987224470875705,0.34639433175641937,0.06421274633442939
Metal_Dopant_1 Electronegativity,0.24887029634044686,0.14170597211587294,0.08030453456873879,0.39406595614665135,0.3634173033715693,0.0,0.5831393578808479,0.4851203648762989,0.3300176132904123,0.45080886796729724,0.09124096218144515,0.19339067794419573,0.3893437258431035,0.20247327301315643,0.246841119802641,0.4956687844168521,0.5216596737727764,0.2678319238268865,0.519077835955572,0.10312353867682338,0.27945699907116756,0.37282385484708463,0.4323508624791026,0.24422328718234282,0.013502867151435057,0.0898755817088092,1.346035198228394e-06,0.024940845658132513,0.0827136472647438,0.044197134306007475,0.0625194933944531,0.1461638471491989,0.6393787046025395,0.7468368606493857,0.3777887097273888,1.346035198228394e-06,0.46825778369349474,0.9344761918919947,0.5313946345453932,0.12196494627708894,0.15527925479306856,0.1663727600000026,0.28062515731781174,0.3850402913640181,0.010158021177197267,0.0530417589837342,0.848453528851331,0.2870299608299363,0.2954776249621305,0.5120410397829697,0.03531138972516838,0.17369440466160177,0.1310549596054625,0.30520362564757897,0.12808354935446925
Metal_Dopant_1 Number of d electrons,0.37560789259756616,0.2879577218265468,0.2450546304177701,0.43599527631155793,0.34893094755276594,0.5831393578808479,0.0,0.5016310469278287,0.4285931053110143,0.3694090514160123,0.3716658768725705,0.4542731760868578,0.5427636925880579,0.3936141508518978,0.4519998398480171,0.4809020545074197,0.5666080247370261,0.28651598311323556,0.3680718553090819,0.19265871846717864,0.4888769925614671,0.47822333197834704,0.3636813247721131,0.38323278409209055,0.057969287720228004,0.3681620732534847,0.0,0.11794931607360223,0.3360483547952003,0.15190092562768095,0.3041865023604474,0.39753598345851454,0.0,0.71044090142229,0.47957570228939295,0.0,0.508604848947734,0.5191833851062996,0.0,0.3620733513619031,0.2990771989265908,0.46085062710285507,0.21996867475865153,0.4125675735580344,0.027006147673453978,0.2649820639934421,0.0,0.6594804784401406,0.41175356261838436,0.8658727921139419,0.12225421650162889,0.36422210413643136,0.16512537283533546,0.24825346178019514,0.03245370976265772
Metal_Dopant_1 Atomic Radius,0.31424350006070023,0.24920807675369452,0.1500417910138625,0.5947787882833163,0.6002939288300266,0.4851203648762989,0.5016310469278287,0.0,0.29540611033359176,0.3282071765144632,0.14766086684189733,0.2529405768094233,0.37735591437643157,0.33634387579600444,0.3327693593253685,0.3914342293172902,0.4817031642931228,0.2134391794019794,0.14429998018734486,0.17215403880517538,0.5348414606268699,0.3717130310781261,0.3719888654792106,0.4280543325072654,0.025339627982242274,0.10393347532951447,1.8001480895499817e-06,0.039147292901713954,0.24623350698026034,0.10460342982046358,0.19690856258132636,0.26416365357069016,1.0,0.7413997563406667,0.43386013344812485,1.8001480895499817e-06,0.5971275462867228,0.6109614897485782,0.22137682400866873,0.24382540823462134,0.34219821365361014,0.37226082634516033,0.3083674251643755,0.4277002766103499,0.0072844336418655346,0.3512337009906729,0.45243373391358427,0.24126769072551543,0.6041944813678665,0.5904663301123989,0.08766437509387656,0.24532982821390606,0.3312445104927641,0.32258414220555853,0.05696120550891134
Metal_Dopant_2 Relative Atomic Mass,0.38133723098952016,0.12909568768160665,0.28395894457566023,0.20915329242940897,0.25183874244693855,0.3300176132904123,0.4285931053110143,0.29540611033359176,0.0,0.12590234540240738,0.05029857738900951,0.16493741311431895,0.27184546696135803,0.15912842426005439,0.3208210787946362,0.2304792735809797,0.3014447547925042,0.048031857952880265,0.12139814863801375,0.07781613640910105,0.25196388580489004,0.24753945406061031,0.19695988451326887,0.2692730434891969,0.016587422980388556,0.03669962755035209,0.0,0.009427989841481469,0.036555805455269944,0.014771737616222698,0.047837920254816195,0.07192355230750754,0.6565634659115637,0.3965003447145228,0.32311961608431805,0.0,0.34728862848694414,0.40044153679355615,0.24862018286991822,0.12008653994158736,0.13298292978480722,0.07102551796352621,0.17266494191231394,0.307571003183942,0.009209109745918122,0.06629008041110951,0.5042228387936014,0.2894063112521162,0.4172817821319023,0.2279587752052127,0.013258955075195032,0.12564127839816647,0.12849603299918044,0.29939097964064953,0.054158334635244054
Metal_Dopant_2 Atomic Number,0.15757855258790263,0.1503119397756528,0.0726407039956985,0.3680839793919778,0.23287964374613287,0.45080886796729724,0.3694090514160123,0.3282071765144632,0.12590234540240738,0.0,0.05783431876318511,0.15526913563195907,0.11533736638854185,0.20581885640242822,0.26789837863546656,0.4624058055351208,0.20950694349977692,0.1746640264930845,0.05095459936629896,0.10142428476225396,0.2002182018130036,0.19648083190978283,0.23343351373953455,0.14148515962824504,0.008482261476653402,0.09256426577460411,0.0,0.017313507246848995,0.15621437085579787,0.0216522038242962,0.07257363929543505,0.07661294487516242,0.45921701968364276,0.32536658124596746,0.3297287620974594,0.0,0.22350928867607878,0.2779391482553732,0.1534806059187423,0.12088675469797866,0.12334650968356456,0.18206030189878422,0.1292078522975189,0.2570356765797174,0.00568683743432026,0.0827959149318394,0.31799811964713337,0.18685192082027072,0.2139351846725743,0.28343406804846283,0.0320976315414924,0.14349699842103233,0.13352220696555897,0.13919180178072385,0.04586026992775102
