,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,0.0,0.5426995307316975,0.13880886664535783,0.21663775678919664,0.47442330835830515,0.2524783942319543,0.28344039870581733,0.5311616744525419,0.28204097115150517,0.12274306650694555,0.40337730382276554,0.1939453320532405,0.2956684850040467,0.3667706889935679,0.43850649103329403,0.4381883726064906,0.27766260590743314,0.550707191751833,0.12055901398916805,0.32125586200649836,0.08721181914532992,0.28766530219828607,0.49611198230623305,0.42589511026833793,0.0011462185906650653,2.167910592053697e-15,0.006110998027308862,0.0,1.6302445520852085e-15,0.010605046106332658,0.18171981541568802,0.0008160918858849159,0.5803783083068723,0.4553451013403932,0.4020008680943719,0.12307699081950442,0.5722796618153431,0.47927396311484155,0.1363734219099246,0.20044123146417323,0.04790943379400905,0.09190742522693263,0.5208171513346382,0.3135970469549967,0.03146449333493398,0.1449720829340549,0.39802291949740976,0.176090106019804,0.7408889422115381,0.5050851543728849,0.18645462851215397,0.03942784087942033,0.28705139913382094,0.5268255383970742,0.12034635578438709
Metal_Dopant_1 Atomic Number,0.5426995307316975,0.0,0.16375248467873654,0.20273977514968516,0.5721251383212546,0.30980169937325225,0.20520115380070347,0.35073979159608815,0.5444463171338934,0.2216309721245909,0.2703375065759623,0.26947871156445874,0.2268547785528404,0.33148909273896254,0.5758977353758024,0.30209674444882395,0.2056308957683429,0.5511205699473781,0.27421158307385507,0.5621522829817829,0.13653286193089115,0.3230365191745931,0.5468156481901725,0.6361196844567023,5.987652330927202e-16,0.02296024755343447,0.011140139817171596,0.0,0.0015242358775946247,5.561155637841277e-16,0.22938648623437757,8.467766829175256e-16,0.4128943827947593,0.2840948573162797,0.7384289488348823,0.1019274713334302,0.4052439981742858,0.36694835583049706,0.14426007243742967,0.33881253529661803,0.03756098416948261,0.11805593951240842,0.2910062791376407,0.247956846983033,0.09574863295130384,0.08366243730598123,0.2891855835660358,0.28223176552285606,0.6338251009142475,0.3435261457285407,0.18929107245239998,0.06913764623783614,0.13195992731274547,0.5242588005917744,0.12766750878025573
Metal_Dopant_1 Period,0.13880886664535783,0.16375248467873654,0.0,0.6115302870968949,0.5408181205424972,0.21563517052977588,0.4561394240161107,0.5463727463794429,0.13079064414866018,0.2505108310090506,0.13733105808663992,0.35408054562568014,0.20168378701604983,0.16758042785482397,0.7493160099485162,0.32515982198652627,0.10949287004729215,0.0,0.0,0.2147083918099585,0.1734325783920084,0.0,0.33892778766136233,0.3041315206727907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189543469326682,0.33529117748670645,0.42417951527686787,0.0,0.34423284779850677,0.3894581893023887,0.20318160403445845,0.0,0.030972042839075335,0.0,0.15579375320165675,0.3898433710391019,0.0,0.14738476907036563,0.0,0.0,0.7084819133735063,0.20468048518137408,0.0,0.0,0.21382783684675882,0.17309840446980396,0.027145328713146014
Metal_Dopant_1 Group,0.21663775678919664,0.20273977514968516,0.6115302870968949,0.0,0.7321264465836573,0.41935832400169887,0.7785532235149506,0.47922721828057524,0.34382999507550804,0.42941170474936463,0.24928104896198397,0.2785908674518538,0.5024867112519149,0.35267471034876396,0.6374221833024241,0.31097025165135417,0.3550833855901674,0.6946728145791268,0.27027713496551325,0.4294014596516304,0.3930954576966323,0.5780576581207362,0.27386469487720555,0.461763730907999,1.2949749707309357e-13,1.4429387913964522e-13,0.041675940471395466,1.4390697690611828e-13,1.2583554216357022e-13,0.054605739162656396,0.10366486206626582,1.5106664240682982e-13,0.6221405988290625,0.4430135902681058,0.4867443959445428,0.2576088959516498,0.6061094077181741,0.3665728297936836,0.35682499717997973,0.2844533964406486,0.16833488622748444,0.09584493457136915,0.21443497222383337,0.5178732901425624,0.13016677180736205,0.11404775335155812,0.13289838171828564,0.2415197040835124,0.7611814768087211,0.4506056994064893,0.18134790111716947,0.07318818474509763,0.16303267305185676,0.22679952995463448,0.05892809762604222
Metal_Dopant_1 Ionization Potential,0.47442330835830515,0.5721251383212546,0.5408181205424972,0.7321264465836573,0.0,0.43238100546597974,0.6497341435166933,0.658782964776199,0.3720164666808181,0.28135636255219165,0.2363022572844188,0.6673858006453901,0.4413492416385877,0.44878367546890474,0.7260773579204297,0.4844742457133747,0.21378531215926289,0.750599279332679,0.21793994704567407,0.0,0.1898876614085284,0.448187462746403,0.690328089128519,0.5079738215938703,0.0021095289337059865,0.037597379148406905,0.007031563560518604,0.0,0.014455741895512266,0.0019199216260236082,0.28547822358663943,1.7493545493077989e-15,0.39264684404968897,0.5385785780507097,0.6305619744891036,0.2071415627035177,0.5882768142572491,0.5086016851146904,0.11713916547188045,0.32314454509813456,0.12176016492931332,0.3448744205874555,0.298026648566824,0.3202101013853279,0.036177446010760055,0.24692313999120183,0.10185616020078887,0.43542643842214585,0.7814796003345397,0.6807934884478319,0.3362432257335679,0.09382724524918071,0.3277147804495811,0.25408666174754896,0.08269973674043933
Metal_Dopant_1 Electronegativity,0.2524783942319543,0.30980169937325225,0.21563517052977588,0.41935832400169887,0.43238100546597974,0.0,0.4130007371358894,0.4585046853476365,0.3024425607197798,0.15992126269098572,0.1756035808983809,0.5040178440343491,0.30657867357404883,0.3078438621118768,0.4375917840574092,0.39740801135563764,0.15962736058691823,0.6396831095100418,0.18907109974616773,0.27650572188294315,0.22692319433017288,0.2274881698414111,0.3023280921834879,0.20870701464314426,7.15923936846112e-14,0.018163448496594257,0.07469511579090131,7.246942062488155e-14,0.005106844216693769,7.284492914964169e-14,0.15005015236802247,7.497737214442975e-14,0.6090332744832025,0.3327210860434109,0.8324840777741578,0.0968508663000938,0.36617116772450425,0.4975220150039771,0.09423719427611736,0.15283352450684487,0.06054443587492182,0.2141957514783998,0.2830259601477489,0.3724238022404029,0.036859628683487314,0.2726744683461964,0.1134484722667552,0.26093188533859196,0.7131878696414334,0.41590210773267544,0.1582072035199673,0.09830067525756743,0.21330467070825776,0.2735216507964329,0.08825154506115686
Metal_Dopant_1 Number of d electrons,0.28344039870581733,0.20520115380070347,0.4561394240161107,0.7785532235149506,0.6497341435166933,0.4130007371358894,0.0,0.5786702591949777,0.4505248808845567,0.39786553837581423,0.3575629479286577,0.49149078299492716,0.38302334135288135,0.46913279273454356,0.4159202910009581,0.28279382512807183,0.0,0.72671256797456,0.2998409130621104,0.48067522632129256,0.3656631944052686,0.2078224314967412,0.2971362892032338,0.40730287594702524,5.6187921066486895e-14,0.469063592252596,5.6421148643170075e-14,4.852767709230148e-14,0.05003721273689329,5.383489865782404e-14,0.16554486882889158,7.504439918208386e-14,0.729180241135451,0.4208906273384471,0.3492238818677457,0.12577688486493002,0.4126891006193391,0.20916318188469632,0.19431049108085494,0.19670215275306582,0.16110424476495053,0.3241137377331764,0.0979935934526596,0.3279314438236256,0.034889017408479425,0.25757379200651054,0.136359342162435,0.09341028853284208,0.9065115529731077,0.40744711155469093,0.20155088760734524,0.13504367234836892,0.32602457564975296,0.19444123340507982,0.036387943395471196
Metal_Dopant_1 Atomic Radius,0.5311616744525419,0.35073979159608815,0.5463727463794429,0.47922721828057524,0.658782964776199,0.4585046853476365,0.5786702591949777,0.0,0.3072945451685416,0.27505162270653843,0.3992387393622319,0.59920253338859,0.27104669118020813,0.5035845647826334,0.5484089829173446,0.6772818264223611,0.2988048440424109,0.6819853923205508,0.24711903715816838,0.7366603546112329,0.6005774813493452,0.24351935863785168,0.407028059455699,0.6326359529201554,4.0844107313588377e-14,3.9671944080662e-14,0.0006811766571326389,4.1057088587790255e-14,0.0033426982941457115,0.0245355647270606,0.3024769381198617,4.215456517329254e-14,0.608716760233901,0.5818902134239827,0.7015672939529092,0.3998741358060437,0.6647166982694986,0.7829962595091997,0.3097284830177422,0.4204719535134591,0.11922216312224605,0.13416761541053887,0.529999513166739,0.5156872124617013,0.05650347701011244,0.23218675207147887,0.41359369574722005,0.3464868292255062,0.9023706435355991,0.6082282700227589,0.2874544817897478,0.20625398408899362,0.2264604739256067,0.5688961772482146,0.16380446013516264
Metal_Dopant_2 Relative Atomic Mass,0.28204097115150517,0.5444463171338934,0.13079064414866018,0.34382999507550804,0.3720164666808181,0.3024425607197798,0.4505248808845567,0.3072945451685416,0.0,0.2568708689843828,0.18807610416380194,0.2432726471195445,0.34265125848110395,0.28261462203870225,0.32737339565033624,0.2662522186608034,0.13949445274907948,0.5452414551258726,0.32532550896930024,0.17951013537044413,0.2914243412658922,0.32560165588465717,0.25112253844243637,0.21546465342182844,0.018287696676431243,0.009200356053155702,1.6587400483936594e-13,1.6383074397639583e-13,1.6576475883253589e-13,1.6374232306185185e-13,0.25891046668102974,1.7586832023439086e-13,0.3515230169863202,0.22105999145617813,0.25433506204033524,0.04488561040977344,0.39298232896183094,0.1844803347676683,0.2526892474219921,0.15962228809368398,0.20478941638852735,0.922994022940832,0.1280006295120068,0.5100200974626877,0.07816990631650415,0.5226590235918095,0.07716012386923776,0.25258459079527656,0.6759754944788563,0.2519031554832178,0.0788411351785691,0.11053567612985504,0.3364316506211619,0.21050685744792694,0.052529223412437084
Metal_Dopant_2 Atomic Number,0.12274306650694555,0.2216309721245909,0.2505108310090506,0.42941170474936463,0.28135636255219165,0.15992126269098572,0.39786553837581423,0.27505162270653843,0.2568708689843828,0.0,0.5582400219272613,0.27661139255813955,0.2160074814447365,0.325688882522408,0.5729018216471491,0.28208101737166164,0.16278149426086339,0.8211000655848535,0.1956665638991168,0.1475407831492466,0.31683501224958244,0.18497931187330569,0.15084574272858506,0.3296272642759423,0.018016326057373893,9.080928292103484e-14,0.010338571805946124,9.951625447293727e-14,0.3171931438177392,0.004691203012782702,0.04114433202307894,0.014335192947030999,0.37249434048811164,0.43557432415569025,0.5714327525143348,0.05853800364068292,0.49122727881745537,0.25163423442953503,0.07662916788797494,0.29205890558032777,0.2836794993143578,0.20095834348792338,0.1570524430285331,0.37650517095050706,0.02448491365665839,0.16826418914514632,0.0980167789542482,0.14291282074016054,0.6746063233918987,0.3788234165721243,0.05895084762820736,0.12634236281837455,0.2687226538463722,0.20323871371431115,0.06956585762953296
