,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.0045091452446242635,0.0,0.02990449206111793,0.041981152387262896,0.023866474342298185,0.015742570961602833,0.06808388970284801,0.032184832057635455,0.0007239027953870851,0.009595591414670621,0.025145023930775452,0.07615867912957888,0.07386449897589772,0.043389520367250536,0.06315598748151714,0.05697056838228159,0.0,0.0,0.030719278042656922,0.02282361755887838,0.0,0.05905276093123671,0.08396552501912892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16557852465795198,0.10905338375660698,0.03499939332324919,0.0,0.22263216263114843,0.06721420561945143,0.01353803331221334,0.0,0.020684756946624087,0.0,0.09164594315257814,0.031493323357732333,0.0,0.03294864349053935,0.0,0.0,0.05398903996140949,0.10958061846568953,0.0,0.0,0.14381304635659148,0.07186445534256367,0.018802395006765116
Metal_Dopant_1 Atomic Number,0.0045091452446242635,,0.0,0.008229755246237187,0.010265134296949082,0.12741610547268886,0.007187024215598378,0.0026938794354544283,0.009149073871951262,0.003561346598380648,0.0059963106434557925,0.005280316599253218,0.002644352207819615,0.008756283272539588,0.002035342856324309,0.003358438450062684,0.00453186344146286,0.0,0.0,0.005281841166540141,0.007820061337691597,0.0,0.0065359333705492075,0.0010608411671373507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008390576809795611,0.006854161690987042,0.006926122579372489,0.0,0.003850982572624781,0.03449613822559492,0.012962320629345773,0.0,0.010812838129106595,0.0,0.005515460039384962,0.007783365252283038,0.0,0.004164131380455763,0.0,0.0,0.007379225218882303,0.004672547756080249,0.0,0.0,0.0022212366727654034,0.006409255250913762,0.002973872235205341
Metal_Dopant_1 Period,0.0,0.0,,1.444006121935029e-14,0.0,4.882993552906587e-15,4.520419438044666e-14,2.0623324511995913e-15,1.6057622751712696e-14,4.3036021323361275e-14,8.772378819437553e-14,1.4923479498261792e-14,4.6442901178758425e-15,1.4739315198921386e-15,8.354137063490186e-15,2.6303715858476838e-15,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.0969337563806226e-14,,0.0,,,2.3762161831451743e-15,3.796437538774989e-15,,,5.581265948907662e-15,0.0,2.0928038747152676e-16
Metal_Dopant_1 Group,0.02990449206111793,0.008229755246237187,1.444006121935029e-14,,0.0596712409524609,0.09061403637045043,0.03424707809900637,0.035459802149064176,0.17679507162049699,0.003574617669466807,0.01518502147336935,0.12646715398015032,0.029212549667160626,0.03457059634050075,0.030199173608119682,0.0251055563919868,0.07370756452595591,2.888012243870058e-14,2.888012243870058e-14,0.09502265942798786,0.19882123399629723,2.888012243870058e-14,0.04093015550613107,0.07370117326371946,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,1.444006121935029e-14,0.036134023504825905,0.11134085299911385,0.040251037274129174,1.444006121935029e-14,0.06898199138883424,0.03406502058428993,0.0216328596436122,1.444006121935029e-14,0.037907896256528184,1.444006121935029e-14,0.019943998317310193,0.033655510402844487,1.444006121935029e-14,0.02308191740788935,1.444006121935029e-14,1.444006121935029e-14,0.028188988161229663,0.08276805358810459,1.444006121935029e-14,1.444006121935029e-14,0.08111424094348427,0.048017826661800954,0.009694988684043213
Metal_Dopant_1 Ionization Potential,0.041981152387262896,0.010265134296949082,0.0,0.0596712409524609,,0.03997473882939346,0.029785565956981796,0.0331035865868238,0.031250556229151516,0.007092609027699895,0.04462832215277041,0.042008554066507185,0.041102289554651304,0.08182646475315446,0.027861887619589867,0.044070663695899175,0.05595941284113071,0.0,0.0,0.05180440148693116,0.019535782331339457,0.0,0.07685301313360508,0.1119882620446335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08026304583970621,0.08212755131531384,0.031612608345301614,0.0,0.056703415884804736,0.10995954775071907,0.011456446264570241,0.0,0.09178050756272965,0.0,0.058957657651328495,0.06698604516483427,0.0,0.029256894669922973,0.0,0.0,0.08615819497396743,0.044618436168837206,0.0,0.0,0.07219409012695024,0.06639261488627095,0.03405792582018415
Metal_Dopant_1 Electronegativity,0.023866474342298185,0.12741610547268886,4.882993552906587e-15,0.09061403637045043,0.03997473882939346,,0.015738898496941905,0.0651477868795483,0.0779466277935017,0.010688119154758757,0.011522723243009065,0.08458621174238477,0.021346234739936954,0.05675743268467688,0.05188632902500361,0.06436392076195513,0.04715089146035995,9.765987105813173e-15,9.765987105813173e-15,0.01998958027265184,0.10575872610262707,9.765987105813173e-15,0.0745150268235408,0.032613574331550745,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,4.882993552906586e-15,0.04685962031009989,0.06666572678800368,0.03552067202332185,4.882993552906586e-15,0.06226742077118522,0.15966129327214193,0.01573110867022584,4.882993552906586e-15,0.01851132609816248,4.882993552906586e-15,0.023081827147044216,0.1321213345495838,4.882993552906586e-15,0.06611604514799779,4.882993552906586e-15,4.882993552906586e-15,0.09536155488903666,0.04428442433394153,4.882993552906586e-15,4.882993552906586e-15,0.12555065705631538,0.04314443878329105,0.02922406306533957
Metal_Dopant_1 Number of d electrons,0.015742570961602833,0.007187024215598378,4.520419438044666e-14,0.03424707809900637,0.029785565956981796,0.015738898496941905,,0.008702742590020636,0.013251318782743871,0.0013058245283042794,0.02387372262163409,0.018737546747880647,0.010990442853573054,0.026591914686573733,0.032094614542681234,0.012549051147764965,0.02674951575227634,4.520419438044667e-14,4.520419438044667e-14,0.02051432722384657,0.12257308789677591,4.520419438044667e-14,0.025324239240344104,0.048217759724897835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046735669456770004,0.025322584026312555,0.10654924506987637,0.0,0.012083508040145838,0.02257461633580808,0.013859294058977222,0.0,0.02444413038932981,0.0,0.014718238979671356,0.023998265311371277,0.0,0.00900086267722317,0.0,0.0,0.03421213450997684,0.01620811430941143,0.0,0.0,0.020837535399195466,0.02800744036966309,0.007355217081256047
Metal_Dopant_1 Atomic Radius,0.06808388970284801,0.0026938794354544283,2.0623324511995913e-15,0.035459802149064176,0.0331035865868238,0.0651477868795483,0.008702742590020636,,0.05940593057991937,0.010231999783649246,0.012742167133092832,0.026377952027736316,0.039097084025823924,0.04966150291998945,0.046649566392397854,0.15197177861340755,0.12863777925208222,4.124664902399182e-15,4.124664902399182e-15,0.019289631894656836,0.07454921193686641,4.124664902399182e-15,0.03894153978921687,0.09211041764669316,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,2.0623324511995917e-15,0.050863369156589566,0.12778821965596826,0.05194662980005243,2.0623324511995917e-15,0.1857444968777678,0.07254468897882577,0.0420832203604934,2.0623324511995917e-15,0.023757282555458576,2.0623324511995917e-15,0.095461133323024,0.07331346643060418,2.0623324511995917e-15,0.06556848774147468,2.0623324511995917e-15,2.0623324511995917e-15,0.11105723457660137,0.065902178805787,2.0623324511995917e-15,2.0623324511995917e-15,0.05039272234215427,0.12812078802642163,0.04274499980193348
Metal_Dopant_2 Relative Atomic Mass,0.032184832057635455,0.009149073871951262,1.6057622751712696e-14,0.17679507162049699,0.031250556229151516,0.0779466277935017,0.013251318782743871,0.05940593057991937,,0.012237310581109884,0.0186002687148623,0.02683144827306998,0.04066273726937659,0.0915831688924582,0.0401839940734423,0.11476766406786601,0.0317244305702986,3.21152455034254e-14,3.21152455034254e-14,0.05393077687511652,0.11571315216885744,3.21152455034254e-14,0.08881483111668259,0.03594482845991971,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,1.6057622751712693e-14,0.04051230506112916,0.028336242205776033,0.04323941154994998,1.6057622751712693e-14,0.05459774006953643,0.038928516584415984,0.016317100206368385,1.6057622751712693e-14,0.1505346695680494,1.6057622751712693e-14,0.03332927680846602,0.17938703513316392,1.6057622751712693e-14,0.07063164743556442,1.6057622751712693e-14,1.6057622751712693e-14,0.05381920589036757,0.08203656183002628,1.6057622751712693e-14,1.6057622751712693e-14,0.03701214490646267,0.0775823427100674,0.019721403036851933
Metal_Dopant_2 Atomic Number,0.0007239027953870851,0.003561346598380648,4.3036021323361275e-14,0.003574617669466807,0.007092609027699895,0.010688119154758757,0.0013058245283042794,0.010231999783649246,0.012237310581109884,,0.004492414257138925,0.006488412805595738,0.0028564491768001236,0.002529604304115392,0.004711343960701029,0.011068365447638433,0.00396898951991498,8.607204264672254e-14,8.607204264672254e-14,0.005162846635296138,0.008044782010086666,8.607204264672254e-14,0.0026111123287406203,0.000757857102011883,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,4.3036021323361275e-14,0.0026331597107879683,0.004205052050671792,0.012560962492957519,4.3036021323361275e-14,0.011839061347475473,0.0064526661010931696,0.015339828987656024,4.3036021323361275e-14,0.0074530819825708305,4.3036021323361275e-14,0.0030534678187361156,0.010007741464039,4.3036021323361275e-14,0.017488304289697932,4.3036021323361275e-14,4.3036021323361275e-14,0.006481867635326649,0.0023362799346774077,4.3036021323361275e-14,4.3036021323361275e-14,0.003940376194388047,0.002318441004701034,0.009973063566634391
