,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,8.370289285808504e-07,0.0,0.13932716514165625,0.1735401329395743,0.11041242374786067,0.08697590171643398,0.13301724116071317,0.34947902918501406,0.03821987065542617,0.0,0.0845725191512857,0.2204117063487347,0.04930290740700963,0.20720296156687654,0.1271060725875489,0.14475377888780164,0.0,0.0,0.0,0.15051303082971354,0.21084439845210506,0.09201807731160215,0.04050043878399397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22805078920372784,0.2215769639583555,0.10502589638715065,0.0,0.2470474893634279,0.1724609858956588,0.1490355362508056,0.0,0.04793535654717827,0.0,0.15395301362230204,0.16841352525432088,0.0,0.0,0.3741724672734922,0.0,0.30665713263751604,0.2344654554330216,0.0,0.0474096374015392,0.20530347045573952,0.21360998348955187,0.10933063343887665
Metal_Dopant_1 Atomic Number,8.370289285808504e-07,,,1.9731082682680352e-06,3.0181881603048116e-06,1.909881747749788e-06,0.0,2.554220206891271e-06,1.7641760132932217e-06,1.54121938881264e-05,,5.327615225515184e-06,1.8792204770168043e-06,1.7439789932618442e-05,0.0,3.761922518801961e-06,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.8162295635176024e-06,1.2144920722782747e-06,0.0,,1.3671670781172482e-06,2.475696228628002e-06,0.0,,0.0,,2.723857108443698e-07,1.6319607882155634e-06,,,0.0,,1.229899234510221e-06,0.0,,0.0,0.0,0.0,5.1084048851324226e-08
Metal_Dopant_1 Period,0.0,,,1.9731082682680352e-06,0.0,5.729645421551809e-06,0.0,2.5542200469035297e-06,0.0,0.0,,5.327614918703297e-06,1.879220368289828e-06,5.23193685481647e-05,8.863578999786068e-07,3.7619223015492562e-06,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.214492156396546e-06,0.0,,0.0,2.4756959810346636e-06,0.0,,0.0,,0.0,0.0,,,0.0,,1.229899234510221e-06,1.965665937072654e-06,,0.0,0.0,0.0,5.1084048851324226e-08
Metal_Dopant_1 Group,0.13932716514165625,1.9731082682680352e-06,1.9731082682680352e-06,,0.07480284926560056,0.13858522595214623,0.09272407565872373,0.13467216049367525,0.10543833030329161,0.021928774056725372,1.9731082682680352e-06,0.028667825910833812,0.18765066187099447,0.03302102421515687,0.06151311336216824,0.09649151890190874,0.21290010368013285,5.919324873839666e-06,5.919324873839666e-06,5.919324873839666e-06,0.07126900504322031,0.08499196600720788,0.08306233979481797,0.15815348166978213,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,1.9731082682680352e-06,0.18619100128447472,0.12417720086534012,0.09916345127735272,1.9731082682680352e-06,0.2000572459671029,0.17886366365359657,0.08810450203484714,1.9731082682680352e-06,0.03349962370976318,1.9731082682680352e-06,0.1670291827693005,0.12936047129146658,1.9731082682680352e-06,1.9731082682680352e-06,0.10578147574842306,1.9731082682680352e-06,0.3331919757771074,0.14120128474225058,1.9731082682680352e-06,0.03665347904884966,0.06330996744551966,0.116868436906333,0.0322067326421143
Metal_Dopant_1 Ionization Potential,0.1735401329395743,3.0181881603048116e-06,0.0,0.07480284926560056,,0.17892536426434907,0.06305305786350703,0.18340432651402586,0.17692876664746632,0.04772300699454273,0.0,0.08113741329394918,0.1413522579071391,0.2677457177416832,0.14022734019073826,0.07251366448101045,0.14014736395382457,0.0,0.0,0.0,0.04356493230905829,0.18540767812398248,0.277233501265389,0.15703426456768574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21966844001984526,0.24690358433148446,0.08472662614296715,0.0,0.20207706331751574,0.21463058170364693,0.11220037112268387,0.0,0.059429359287070264,0.0,0.10297300332738053,0.15945821257048978,0.0,0.0,0.2621028301528597,0.0,0.38226635837443607,0.16002613318672362,0.0,0.027646388512270394,0.14864328173338223,0.26410380629416413,0.0527059716526471
Metal_Dopant_1 Electronegativity,0.11041242374786067,1.909881747749788e-06,5.729645421551809e-06,0.13858522595214623,0.17892536426434907,,0.08173373452059444,0.14319306197265974,0.25259295616447164,0.06929870116570112,5.729644850983965e-06,0.1485652369880928,0.20876972149749148,0.07332712343230051,0.12024448625532473,0.19676965890772158,0.20373731987411572,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,0.04734347786614649,0.11877847316236201,0.09579859271070067,0.14355243258497985,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,1.909881747749788e-06,0.20158692722579336,0.5426748128014344,0.12167421176222817,1.909881747749788e-06,0.154032293771915,0.9171451031554197,0.16042524218587825,1.909881747749788e-06,0.0976083398498189,1.909881747749788e-06,0.13842069244876665,0.22438819648158864,1.909881747749788e-06,1.909881747749788e-06,0.40101098815168174,1.909881747749788e-06,0.15088672329348282,0.13343951789302444,1.909881747749788e-06,0.1584683767328231,0.1336822962555965,0.2523596468356982,0.11493024210672223
Metal_Dopant_1 Number of d electrons,0.08697590171643398,0.0,0.0,0.09272407565872373,0.06305305786350703,0.08173373452059444,,0.07750960616613493,0.07189186320528196,0.03274703335155926,0.0,0.09392475297388404,0.11221309179458067,0.04447414538595698,0.04920875500204992,0.04744977340025498,0.1135410788523006,0.0,0.0,0.0,0.09421729958199757,0.2027793139056921,0.06435730052782573,0.17704072667438095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13525340588646262,0.13254225756622776,0.046755018596812116,0.0,0.11933312352968621,0.10562032062131882,0.03064909453304717,0.0,0.0408441258273998,0.0,0.042746055805760075,0.0762407226733208,0.0,0.0,0.12234581793796895,0.0,0.14235904716356823,0.3266154060453457,0.0,0.05607611612131026,0.08371041928447819,0.11372183548502829,0.014533409619636057
Metal_Dopant_1 Atomic Radius,0.13301724116071317,2.554220206891271e-06,2.5542200469035297e-06,0.13467216049367525,0.18340432651402586,0.14319306197265974,0.07750960616613493,,0.16868245476379326,0.04045297470225718,2.5542200469035297e-06,0.04931169724145971,0.18822662934173479,0.061680861572928146,0.10028966223896962,0.11566987767541563,0.1462118702583525,7.662660300698334e-06,7.662660300698334e-06,7.662660300698334e-06,0.35301942188556357,0.2400769995860275,0.08344535294123433,0.2613562170768687,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,2.5542199669096556e-06,0.18961349455972412,0.2720782788002699,0.17067946801954376,2.5542199669096556e-06,0.3320468503590344,0.1898449819607986,0.11715157454825313,2.5542199669096556e-06,0.04040673489349924,2.5542199669096556e-06,0.09093941097463538,0.14839909004609936,2.5542199669096556e-06,2.5542199669096556e-06,0.20356513634528425,2.5542199669096556e-06,0.3763416656204216,0.1827754804682044,2.5542199669096556e-06,0.1618754637886039,0.2650907122724046,0.18265549552866905,0.04239080849248868
Metal_Dopant_2 Relative Atomic Mass,0.34947902918501406,1.7641760132932217e-06,0.0,0.10543833030329161,0.17692876664746632,0.25259295616447164,0.07189186320528196,0.16868245476379326,,0.019563644807110654,0.0,0.12213880217085385,0.17044835335775316,0.051544571118062016,0.22718046444002135,0.12178302620585568,0.20413445279169434,0.0,0.0,0.0,0.21235204092419643,0.22185704002383744,0.10769557180402711,0.2595650311651201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2097980047203241,0.34335303880631607,0.07168149487598893,0.0,0.264676363428174,0.28637456539490036,0.12840803977890383,0.0,0.06651137160215809,0.0,0.14420170802463492,0.18054025125853768,0.0,0.0,0.3519443915882891,0.0,0.39685230489330797,0.1730868165215618,0.0,0.024387633936617463,0.1493674455945174,0.32646035059611417,0.06450011567173283
Metal_Dopant_2 Atomic Number,0.03821987065542617,1.54121938881264e-05,0.0,0.021928774056725372,0.04772300699454273,0.06929870116570112,0.03274703335155926,0.04045297470225718,0.019563644807110654,,0.0,0.02093362919411045,0.0504721127128628,0.04621555190972808,0.019616329285954883,0.058926759168315676,0.06216853290659753,0.0,0.0,0.0,0.09943215465243326,0.10471568301426061,0.01926326187401211,0.019800349545373234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07923377026620382,0.10472229910693952,0.033793277396790666,0.0,0.06315256773442934,0.08778058202661869,0.053273228436541774,0.0,0.029767757957534915,0.0,0.022217414804775102,0.0406936233289019,0.0,0.0,0.06706142097160454,0.0,0.07142337890764874,0.0392719436733109,0.0,0.04195193938503436,0.10634570800938539,0.05930838816590136,0.008021404811533971
