,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.0843153744241574,4.55954259968907e-15,0.1285808513082059,0.12353240076176422,0.2145951332844685,0.003993550407254382,0.019048115258290955,0.038553630675045095,0.08407608595505228,0.090550645702803,0.018857446969809035,0.024921915333383355,0.021262285790249365,0.32012324820247273,0.07150913526647676,0.4179899489541836,0.04726951323537355,8.432872085039365e-15,0.005073021104674428,0.07561990831485313,0.01443587940402785,1.0852651791470877e-14,4.550119643290208e-15,0.07169012225590062,8.298229156423847e-15,7.201722181589551e-15,7.778919057728163e-15,0.6952288760496331,0.0,6.971699201066838e-15,1.1990898497622252e-14,0.12773628857022815,0.05601050530310098,0.07633044580883733,1.1872594311150523e-14,0.13000796577417692,0.1481630896460749,0.1083435310772556,7.492994762249907e-15,0.1787639073977423,0.09470338069334674,0.1362119365064821,0.06044467509732113,0.10161268338998085,0.02102509936387337,0.038861720161052556,0.05058613923258393,0.17287545120154332,0.07763959877323713,9.144497373182662e-15,0.07565558145696213,0.05734880321298363,0.08944158807768048
Metal_Dopant_1 Atomic Number,0.0843153744241574,,0.09741885738130245,0.025635317118287128,0.13423049486011704,0.02983724631506034,0.12499605870901162,0.1573738862466793,0.09492090125730969,0.24345915596753182,0.10520946485148788,9.437135563119068e-15,0.24817555326754204,1.1597796314393053e-14,0.14046764596425768,0.434520233446847,0.1979925027817707,0.24765129840919983,0.029152612853198794,0.15710411699423651,0.11938739808651831,0.08422611726494186,0.0431743681476738,0.35277627007654766,1.8424665676462222e-14,1.5872870148370398e-14,1.3817765002180667e-14,2.801823094351254e-14,1.4554812421374723e-14,0.0,0.11865284360770975,8.866797629284271e-15,0.12429971488749571,0.07808041040055289,0.17058984240842634,0.03426550019936325,0.06946235927196082,0.30348877983455685,0.02926597742597614,1.3999134651531782e-14,0.033640505502444316,0.21540582032994876,0.07967951175812851,0.05901795892319897,0.011564335924744873,0.19390775382599404,1.3042123639149084e-14,0.11124495562403085,0.0920349903887442,0.14678413001425153,9.897774956856374e-15,0.016517647558775588,0.08839376040082424,0.04925017425264676
Metal_Dopant_1 Period,4.55954259968907e-15,0.09741885738130245,,0.022782943644198674,0.02818348320032426,0.07198161463689767,0.011022631182130814,0.3653798465057144,0.0807807975784852,0.08517648945127472,0.013135608182415584,0.11498000588393822,0.23647310925457057,0.16392267261132243,0.07042284376032205,0.0543339327780318,0.06295794647376146,0.040209647816267645,1.2147287307033129e-14,0.023227628013990104,1.1190279668305045e-14,0.010659315888682972,1.0397633726567715e-14,3.444014044661428e-15,1.1004182902075321e-14,0.12600701121997895,7.278496605515429e-15,8.699571439566108e-15,3.889900739440862e-15,0.0,7.64205723210785e-15,5.299595469708087e-15,3.816388541921452e-15,0.023194917499113683,0.04402545336847565,0.09344076047227505,0.03896231128504597,0.05165387566616619,0.09570937182612042,4.666686472175295e-15,4.762482460992605e-15,0.07442090779947878,0.07415070597927505,0.05349139889299659,3.4298308989988888e-15,0.025444407335839525,5.428404221263249e-15,0.017003735357487726,0.08268223440834953,0.03209468608933502,9.828663743801286e-15,1.0450029409833296e-14,0.11741609502135578,0.10912403267959092
Metal_Dopant_1 Group,0.1285808513082059,0.025635317118287128,0.022782943644198674,,0.09355047842711318,0.046120972258000846,0.14201839253756332,0.043651349939912695,0.0360223312857069,0.16241381344962366,0.04564775628506727,0.12781725501465313,0.2419646674408053,0.03518055145311329,0.022577422589786015,0.18457338369039286,1.3295486022775176e-14,0.14493614211551864,1.0632225465339652e-14,0.3814612478801085,0.13004102729182493,0.004910080282362991,0.03317641481207191,0.08147145115023255,0.013070302696801551,4.947483242151991e-15,0.009351699017142612,1.333924547040228e-14,1.333665428573079e-14,9.268223960759178e-15,0.24286266075602467,8.224886251691142e-15,0.13717990926448764,0.05874570481698347,0.25052413683127056,0.021882374179838366,0.07598982648145403,0.06395554921878976,0.07245474317953002,1.1086607956436174e-14,1.5851440186931035e-14,0.08771922167537845,0.028125460618411525,0.06256638021711043,4.570981025105313e-15,0.029462867401006735,8.090853977465626e-15,0.04215531112854905,0.13727260556937998,0.15970422483422878,1.320155519835033e-14,0.008042535732640601,0.1374807599199799,0.33393967021472615
Metal_Dopant_1 Ionization Potential,0.12353240076176422,0.13423049486011704,0.02818348320032426,0.09355047842711318,,0.0675841861886262,0.06704173896943409,0.19104353463412455,0.1321658139093925,0.008245887490830902,4.301302009891899e-15,0.07485282991099862,0.11395131522326675,0.007106708580714934,0.07387749149363913,0.07450263482726907,0.0027772889515410956,0.10617126851278112,0.04215588496223415,0.03386510479220055,0.02988210994829503,0.09844824745388774,0.11259635702778292,0.018459813990384554,4.451591177807499e-15,2.624844050738435e-15,2.9352859639524333e-15,0.0008566052840919042,3.078464603169105e-15,0.0,2.266100098094636e-15,2.2577104693141443e-15,0.09660854793481481,0.05761769032565253,0.08976863981564513,3.072052845457435e-15,0.008067272148240252,0.05728643946021501,0.0011950766223546238,0.010599571004187633,3.2151479953825484e-15,0.05926783690172457,0.08328917755024264,0.09021391270962453,0.011109223115747668,0.08034439346332918,2.6188940128525284e-15,0.01950825092890878,0.13125321767993392,0.03049243370803373,4.633315503173714e-15,0.034196614064938215,0.2311794427873623,0.10731826187550608
Metal_Dopant_1 Electronegativity,0.2145951332844685,0.02983724631506034,0.07198161463689767,0.046120972258000846,0.0675841861886262,,0.0573210006951634,0.17551362405090193,0.021060766672680625,0.12330718844453281,0.02708038690265361,0.02299658575780536,0.06483929853172124,0.03160182544749564,0.215683170809983,0.06154920966987421,0.1966530279881419,1.268620946587019e-15,1.5526152204938855e-15,1.3716014379877505e-15,0.028890123548212247,1.269213359838986e-15,0.00713609413804341,0.002051365852351897,7.335145053175909e-16,0.01056125762392388,1.6401866386444502e-15,1.4670290250163616e-15,0.2392818421519452,2.5409689113972195e-15,2.315951052098619e-15,0.0,0.13479525656083477,0.18151292043150616,0.04232900084789849,2.931148268480783e-15,0.21259091253581053,0.10969150523248009,0.010098954957303527,2.5363687777292667e-15,0.18866191308819005,0.007680977656949936,0.08530614378592202,0.09325034600894477,0.019711297660630595,0.0023003647550887967,0.0033461529753715203,0.031962828723873224,0.10977193990207378,0.08500821674442807,2.198811488536288e-15,0.03543926232749523,0.07990994976641129,0.13220388047882864
Metal_Dopant_1 Number of d electrons,0.003993550407254382,0.12499605870901162,0.011022631182130814,0.14201839253756332,0.06704173896943409,0.0573210006951634,,0.19405856362956292,0.10468265204613038,0.17643615518288192,2.3394611557637386e-15,0.27127096377378546,0.1570973282551174,0.38617539950231483,0.14116011307161527,0.07189446476045515,0.018964186870167956,0.2837621648242904,0.12006698528087079,0.001483380513158191,2.5663666675775463e-15,0.0038808920248089977,0.29394141201220547,5.838500812993424e-15,5.8919714787745755e-15,1.13273357333112e-14,2.6349554305337375e-15,5.269939776981165e-15,0.038725760990802154,0.0,0.0,5.789470171296116e-15,0.36784442694514663,0.21810772319914043,0.17702048304177317,0.1617055490620259,0.04135730046156773,0.036426698829960254,8.737485839098358e-15,5.835292668762742e-15,1.0371420089929772e-14,0.05642737138540182,0.08688489148504477,0.05138153891789221,0.0009093009052895715,0.023856223317235362,1.0796786686578049e-14,2.3335216279149773e-15,0.0675654948356954,0.03525579579805888,4.908822118748962e-15,0.012547175375565397,0.18727038891379594,0.07951660466990743
Metal_Dopant_1 Atomic Radius,0.019048115258290955,0.1573738862466793,0.3653798465057144,0.043651349939912695,0.19104353463412455,0.17551362405090193,0.19405856362956292,,0.1829517118365345,0.10592537665047767,0.0685747703618543,0.2257811859133424,0.2719450810823639,0.020152398650135503,0.22986017535571082,0.12452857815565929,0.03617714345904241,0.002628075789801356,1.9227869889622365e-15,0.057616967121139354,0.04395010299149671,0.08272264660574186,0.008911441968397226,0.055742999878445686,3.8597115972110835e-15,1.163551314101369e-15,0.0007857452040412746,6.10273997966638e-15,2.9669112426814314e-15,0.0,0.11763938559858328,0.046813120968295346,0.17498189236159326,0.08479007071139383,0.18003431807199488,0.004379437726380534,0.06035650129750654,0.17682644451990032,2.177037196703018e-15,3.1773879312908854e-15,0.014450223772420103,0.03607995674643145,0.2804579074698559,0.18914761893395812,0.015010081566138124,0.08092366707728009,1.4225126057460927e-15,0.09252601983098982,0.20458075498001824,0.05290584063041136,0.020337345967429542,0.09874620369343323,0.17718863375582997,0.04965598196675546
Metal_Dopant_2 Relative Atomic Mass,0.038553630675045095,0.09492090125730969,0.0807807975784852,0.0360223312857069,0.1321658139093925,0.021060766672680625,0.10468265204613038,0.1829517118365345,,7.024212246369697e-15,0.3744319081528717,1.3088164546003064e-14,0.04338301214170981,0.032099773722085057,0.11983214259618477,0.210069279534283,2.2510052369962253e-14,3.228215957653191e-14,1.703071859535679e-14,1.8420510048509867e-14,0.16803184748264607,1.663990285512948e-14,0.2744324957374411,0.22615978930888636,2.7897481494248884e-14,2.0173623150248368e-14,2.679901520339202e-14,2.188461683050334e-14,0.10860264748826808,0.0,2.2145585683685674e-14,0.4474986603410068,0.11485297409948542,0.17118027703220703,0.24631163861782715,1.79911414968873e-14,0.06849229008318962,0.06450242804972091,0.01312355282357638,2.3339552456607636e-14,2.9771980281902195e-14,1.062475812983782e-14,0.04908240429716079,0.017584166142698632,0.021677806349136224,0.14190751688782874,2.0007922175905376e-14,7.467250361549673e-15,0.08870696974159276,0.049978818280911184,0.29273197505193677,0.2077821614000827,0.08557021770705651,0.10939389076014182
Metal_Dopant_2 Atomic Number,0.08407608595505228,0.24345915596753182,0.08517648945127472,0.16241381344962366,0.008245887490830902,0.12330718844453281,0.17643615518288192,0.10592537665047767,7.024212246369697e-15,,1.9845301971375212e-14,0.043794940542627864,0.1396592987327464,0.24693993790841626,6.481100026757597e-15,5.609309758138359e-15,1.5256853568515133e-14,0.09876256694312548,0.0401345961288851,0.16268790688743887,0.10083934321358459,5.290028955404165e-15,0.003944664484161796,0.09198028408313479,7.068010380890535e-15,6.438890145146756e-15,4.997733849313048e-15,9.12476401095526e-15,9.122015548902991e-15,0.0,0.06347326875869629,7.159358382984551e-15,0.1780681207627839,0.0673591125778271,0.19760141855980848,0.050297438486022195,0.14151859256756905,0.02583223642745444,9.117875718862865e-15,6.223299574371493e-15,7.061568916638643e-15,0.03295532819186878,0.09288857500660924,0.07166957966816624,0.030476939808323902,0.13587187556275587,7.457043659386723e-15,0.06166448304585057,0.05943487941512,0.01389119186503845,6.955818334438243e-15,0.04945806145562469,0.14788249240979,0.07047535814284955
