,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.17406998863457618,0.106416368562289,0.27156655441171795,0.29697371364448927,0.20800007042675323,0.2955087794182457,0.310376553112464,0.2435553460452558,0.14848970283960322,0.20743900879219032,0.2128481382475949,0.3718969569135516,0.3308436874937856,0.26661613675592916,0.4972106871778797,0.14038509219110748,0.31220553919076854,0.12043387397564942,0.21799707978763264,0.09532128120199308,0.16207140612937837,0.1697264232121457,0.5475854785318169,0.5286187516734785,0.037198436677253685,0.02236358994276865,0.0497241561578805,0.015626495894812242,0.028826692035845078,0.026468205382422887,0.1195648049125845,0.463829512240869,0.2744741474078966,0.43054601347560434,0.040764592236580625,0.15983931037805765,0.1322789457459286,0.10374129945932697,0.06294271130735275,0.03460631787253628,0.2065812922609134,0.19032900160880853,0.15432498928378613,0.038591700982324055,0.12173090086800532,0.09851470862222655,0.10748015377582841,0.33490820777442104,0.31458346509836643,0.17718808429662153,0.43083190671470833,0.6763310379040727,0.42304487464816454
Metal_Dopant_1 Atomic Number,0.17406998863457618,0.0,0.10842734345676902,0.1376510543047061,0.19244704758617678,0.25868127130051327,0.1433530775850693,0.2290173977446803,0.43501252690257514,0.2097146927354538,0.25617609525482826,0.40990128989220814,0.175544000392327,0.22999847735366685,0.22864984241999037,0.3064418302147245,0.12506012194236643,0.17979158495494157,0.06457433914091908,0.0932781089622033,0.09084193948354989,0.06487375757777354,0.034937120850706174,0.07913237008187926,0.08327946815675515,0.017717456765784255,0.01693831318814805,0.0347322490874816,0.05764373919207005,0.0174301182312527,0.028752536740147026,0.01401636907742855,0.35033526107021107,0.22272705312469432,0.13220906429529214,0.021740948965095888,0.2920703991561763,0.06173156936225575,0.09573381231939905,0.028300479327882017,0.0880632101807708,0.11422448428520629,0.16129263516247383,0.17144467915589537,0.059289879540841056,0.12899598506200485,0.016664173924935112,0.21329043951983526,0.25945272514194107,0.19617445958751648,0.029654396765122583,0.10672980714583942,0.26535439619760676,0.18235897248084101
Metal_Dopant_1 Period,0.106416368562289,0.10842734345676902,0.0,0.21849923951106998,0.08776737378640087,0.14800748556092416,0.1645557515539152,0.10963038879132768,0.13866513056500068,0.29575636678488415,0.2021256730859563,0.14236667154924199,0.2017154243305263,0.1663914575560019,0.1854415915395094,0.10313843000294257,0.40113488033267164,0.04832436622968855,0.0,0.05048881103087403,0.06300818832051079,0.09549665294686044,0.05676796364727878,0.08987902987262028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047827623055951424,0.12437719768656093,0.14627077498375188,0.07221332255012494,0.0,0.03391809336275234,8.24175009829808e-15,0.09327281121416121,0.24786527000183659,0.17110764830221234,0.08827555222961052,0.12129073471718177,0.06383058142584964,0.0,0.3138632127845023,0.09037987525793263,0.05021376061580947,0.1349481907352966,0.1344506200209845,0.041223466684513314,0.34145944423386965,0.17665232649634632,0.1704681191100009
Metal_Dopant_1 Group,0.27156655441171795,0.1376510543047061,0.21849923951106998,0.0,0.35365357074824544,0.21579883323001628,0.4734547950751012,0.18255137345338804,0.33991796153577386,0.36201799910667326,0.22407326617296972,0.5629280620234391,0.264445320286429,0.34806765218778063,0.29870435881795593,0.2914625833112761,0.19859786842427654,0.05782532963654548,0.09883749339009484,0.09868182337112973,0.23240883407629,0.20274500254933656,0.04744361957322818,0.11916722083725266,0.29591949426218533,0.03477321658945257,0.011391768531304651,0.00751015259534147,0.01642299908273071,0.054087051967011406,0.08563893060631841,0.1378676383030848,0.5112650667192764,0.3936780537827331,0.24065650176296546,0.1347579869871125,0.18576588383004525,0.05710011757443746,0.0676088020990565,0.06343495202979921,0.10211430353840376,0.16721476003923808,0.2991198417770778,0.1544250263959139,0.05338006485699974,0.09935004383032732,0.16524711912011542,0.12901020388878845,0.17803082763378208,0.45031650017966335,0.18268588668548402,0.25501082701295663,0.8297606051360836,0.5121627691312332
Metal_Dopant_1 Ionization Potential,0.29697371364448927,0.19244704758617678,0.08776737378640087,0.35365357074824544,0.0,0.39101778040411433,0.4211544126225584,0.22148958247311015,0.3324948542330196,0.46893852368355765,0.19272972294960275,0.26723476568701365,0.41662358132012806,0.21399417985707725,0.17037624131696097,0.3116329922492299,0.15488223196236936,0.42475953787449044,0.08845493337380599,0.17435115271666993,0.24491207422568345,0.6321539013303034,0.0516461011426806,0.2265791109880128,0.10185683655722595,0.3195225361525737,0.05800873837730988,0.11677573468517405,0.031789186387062414,0.10032725870067102,0.02906667082280971,0.633048667348073,0.6571165883533064,0.20473789197282685,0.39040189828148936,0.11099866829375796,0.27858299767218325,0.13602263352225044,0.21256506595940589,0.10995232987455958,0.1803506932552676,0.15435595232949442,0.24885187730071023,0.2419918493407207,0.03096293478020728,0.10685296111035411,0.22743119772248727,0.5355933156451962,0.4564159967048141,0.3049391280368313,0.10732203432492916,0.2318378083565505,0.2116430890974742,0.18220612044253862
Metal_Dopant_1 Electronegativity,0.20800007042675323,0.25868127130051327,0.14800748556092416,0.21579883323001628,0.39101778040411433,0.0,0.0905165108351358,0.42855084265094934,0.2547776921298638,0.17785121788140795,0.16282725475684154,0.27911603836732773,0.29367959025543533,0.3288385095472372,0.17868165619533008,0.37192571561415233,0.045051945181597795,0.0667988153498258,0.061326430045059804,0.035549467259656,0.19804733912032288,0.04280219154557544,0.033435009684674104,0.050306019407144846,0.006417309012907182,0.009889136469238013,0.047525139791704786,0.03837015813755671,0.015278405545880723,0.003667709655559196,0.0518038026494623,0.0621375732931277,0.620859788548571,0.5482875436925225,0.10221685776883083,0.01174393907691297,0.4686151874554211,0.09062089220026133,0.0560097442459429,0.014466472638849811,0.025359464291693955,0.04345622580602795,0.31322107083810796,0.1322229135048187,0.025731361246793802,0.17851220955460145,0.06972481363944746,0.1748108864606607,0.4761789164244035,0.25431889902545135,0.03416890671034739,0.13105224624396064,0.34358113904323884,0.35844017952216406
Metal_Dopant_1 Number of d electrons,0.2955087794182457,0.1433530775850693,0.1645557515539152,0.4734547950751012,0.4211544126225584,0.0905165108351358,0.0,0.19868468849300097,0.27766731514570825,0.6734010326800147,0.3109658578592586,0.12477230717929269,0.6238204535669776,0.3503417614326891,0.23227521923677902,0.4637599913677172,0.06589287157391242,0.05270455587886678,0.14265028999477203,0.04857018322986134,0.07053255285783143,0.2611429247075912,0.02457721861016075,0.058570493586597785,0.019444891254419613,0.010300569152067481,0.0058249367398648605,0.0039535168736343764,0.07146787839624769,0.01249674515663015,0.008729078176852938,0.18269249939450896,0.269860122540038,0.3309653685898715,0.09970629491130047,0.1060627149676513,0.1721547339944989,0.047029330243210245,0.035780940716292085,0.05867888525555029,0.032042329263760064,0.11933515581202118,0.22016987575094232,0.216078640012335,0.017946232798262473,0.0646009576268403,0.06084143775142173,0.2098369548352417,0.4577498801836733,0.23797465807350485,0.04784605320152025,0.12265712190037459,0.38242571218988924,0.2613358757172349
Metal_Dopant_1 Atomic Radius,0.310376553112464,0.2290173977446803,0.10963038879132768,0.18255137345338804,0.22148958247311015,0.42855084265094934,0.19868468849300097,0.0,0.4291797864520204,0.3285215020172377,0.1366434671825235,0.21990296608380974,0.23839487558666292,0.2429345784380758,0.3464803828389742,0.6336666091383767,0.2075966095336822,0.1262733454742749,0.08677933394377854,0.06472341124280863,0.17911368423428725,0.11329270242808227,0.09994248472980076,0.1664896507759321,0.05663045978848909,0.022006178671056538,0.023638728092287547,0.040085359622695806,0.020704592134592643,0.026237752921982216,0.018803585880612567,0.025770731509202338,0.2603201318983538,0.31599797178868105,0.12949013703551154,0.023888817726715552,0.12569861225551182,0.12811196220596108,0.0986460794991024,0.01294516408012185,0.1033965699526078,0.23238661377969688,0.3018398743538658,0.1795918465333806,0.01634764594443515,0.14765694994596984,0.10347862102655633,0.11481696715736943,0.6893909067888817,0.39148091601408125,0.03520077241470291,0.2718141800085227,0.4019348911698803,0.38456742281131817
Metal_Dopant_2 Relative Atomic Mass,0.2435553460452558,0.43501252690257514,0.13866513056500068,0.33991796153577386,0.3324948542330196,0.2547776921298638,0.27766731514570825,0.4291797864520204,0.0,0.1885800203849365,0.08000415447178125,0.1632548605908853,0.18993418769012954,0.23252006428708807,0.16257925304730134,0.21068618155528057,0.08743695012729036,0.237988329222054,0.14167368218392146,0.12737011884461144,0.14418323544677047,0.1340356817665202,0.16024964758940644,0.1168650320562509,0.02070885619619581,0.011828293848428349,0.01368379773523921,0.02160237126683939,0.0191608931748378,0.06637500179509766,0.016250096425044984,0.030602612774009406,0.23304382525744116,0.26634395294041874,0.44057034397932354,0.03157398008294993,0.22028272922778924,0.1181887292406193,0.11705897688683317,0.32067372943849487,0.05833939071609047,0.1539153292287926,0.2347220748232808,0.21779034149979234,0.03235046630702639,0.1738820329365251,0.08650803456530823,0.1513055279882625,0.2668417747974115,0.1924516391411765,0.08230101709980311,0.40038002354262775,0.22477697989777115,0.49855913199488977
Metal_Dopant_2 Atomic Number,0.14848970283960322,0.2097146927354538,0.29575636678488415,0.36201799910667326,0.46893852368355765,0.17785121788140795,0.6734010326800147,0.3285215020172377,0.1885800203849365,0.0,0.07840327182508607,0.08879398603140208,0.32562558117757673,0.11055703205099869,0.23328316609081756,0.23280192195287056,0.0709962128919797,0.1825884038319284,0.1867091649678928,0.11788930445440081,0.14092600098738955,0.15073837225860232,0.22825559884477378,0.0662164896615267,0.00954043123236324,0.024231446852301716,0.019198601883460897,0.010286671893359299,0.025537176830250273,0.010517916527901575,0.052995550513885825,0.03384817992744446,0.14990367879193112,0.12622919131980842,0.1449881561904903,0.04621650167500039,0.08517851927836964,0.018382654549478742,0.10164654917989775,0.08078333154354597,0.09807459050252215,0.21259844269954534,0.18368288661563012,0.09805506393685223,0.04576923787007615,0.1464995862277337,0.021690635830510587,0.09624358250475577,0.3228370450550018,0.11150858275932123,0.0690964878606782,0.2923941898040392,0.20952441671075156,0.08878597183071894
