,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.06006997887741785,0.04293234197545561,0.10989022262628509,0.1845614452436195,0.06806862512800668,0.11951325823198769,0.16352160250101516,0.09881442636513833,0.06639864601353077,0.1276195584054725,0.09872598183770498,0.15583408418110659,0.19953236335892074,0.14451287043935251,0.305783839076004,0.10512078099451573,0.2801276315189629,0.08534577255868864,0.13402390513080698,0.0714618446806818,0.09945703532388885,0.1400449884734818,0.5038295434664447,0.45873091476646927,0.0035839494516290474,0.00594791963481202,0.024096948283838182,0.009267496891945611,0.0029083233693682356,0.0014661508645288973,0.1060460680737884,0.35291137091853236,0.10760958906672549,0.17187200196130978,0.009495780981672433,0.06322086993150931,0.0,0.08080383581001166,0.04450536909271375,0.013669793154567886,0.1001577051009081,0.060749258449845064,0.04277811793589793,0.012405731057201577,0.07225395747676928,0.050507927357162107,0.044083856982818574,0.10584739430720715,0.1395697766896118,0.14972579145432677,0.2765934432218691,0.5218783138620067,0.027951359063336068
Metal_Dopant_1 Atomic Number,0.06006997887741785,,0.03412720385406058,0.0745321039046896,0.0755119492201904,0.10658643954041608,0.03436151487224445,0.12481348555234263,0.1345019483410768,0.08947279751886786,0.16126509025968308,0.2847039738605272,0.07949574429644829,0.09813960167074966,0.10719038819638581,0.14362437079621376,0.05796859991732588,0.11946003522927343,0.04680353855316679,0.05811950109908083,0.027876422739494294,0.03420127330668129,0.01778143873430456,0.034030411149397775,0.07112467258370299,0.009486045727591794,0.005788153026340141,0.005392168934948629,0.042567049605830604,0.0002878107312270355,0.0080933093440327,0.0021767520044537396,0.1888841638083767,0.09385548309135526,0.07767519605325408,0.0020875164453458624,0.10292061489899666,0.0,0.041733636185640556,0.014317398923189171,0.05065926550815789,0.07965408595956512,0.06465011505686198,0.04042489390830091,0.04280459801622267,0.10937519061164212,0.005829545406939056,0.16399476919140862,0.11426689923211053,0.12221678987510426,0.018479242975188572,0.027760016898332966,0.17158611722590572,0.09927241127516873
Metal_Dopant_1 Period,0.04293234197545561,0.03412720385406058,,0.11090676563509139,0.03994445084723986,0.04159209886599835,0.07006698175336996,0.03536137827037335,0.04918826313706303,0.2038165429375122,0.05424571264427261,0.05061092910803211,0.08785602949747123,0.08789640033703565,0.11782086788777942,0.050085221082288606,0.31466051376125037,0.005671300175705307,0.14061801186724188,0.01538157798771624,0.025383118747724375,0.05082009017385846,0.02147274696733961,0.05055731467557442,0.4582083877287292,0.0008421169029988936,0.001399034916677994,1.9282691492501712e-14,0.054772653611948954,0.0016537097248938396,0.005600535890922172,7.651870262230913e-15,0.051695231553492885,0.05429816180041804,0.03617250665415787,0.014701413168113206,0.013353415173983885,0.0,0.057401200639431785,0.23534050823067848,0.1268749831980495,0.06199114776287242,0.06792657996546056,0.01756926218626745,0.0037180558780676794,0.29482698423954723,0.07983642620238642,0.022760278446378877,0.05719568641553759,0.0903686768092103,0.02974769783289069,0.2243460188486554,0.14605950218621755,0.07386314505386289
Metal_Dopant_1 Group,0.10989022262628509,0.0745321039046896,0.11090676563509139,,0.13584147135613428,0.13573898664366987,0.2763180707566544,0.05909936977307992,0.2359558683784348,0.24239813468640417,0.11808820751628238,0.3439960831185405,0.1081562860968412,0.18932799780119097,0.22881158613633185,0.09955784705683225,0.1383935739021249,0.035349597091939584,0.07063901439824426,0.03502247609205095,0.16778433988604802,0.1705674821076286,0.018485247848488248,0.02654892068771546,0.26829218279909245,0.015423088752622346,0.004625008705953559,0.0015960081999119163,0.0009790414821233334,0.0006291386764985188,0.03731645764412851,0.019891011959564484,0.14969354837906537,0.21843241800593513,0.10722253962875297,0.06323828825283315,0.05932250692269019,0.0,0.012753155269908382,0.03674759406119157,0.061584930136692896,0.020457138435305198,0.04015594633940374,0.04260383108201739,0.04201357018402726,0.033178130452713644,0.0998205041139,0.06056280750002092,0.07074845235168319,0.2222463781529768,0.10647451007039024,0.07747735322198299,0.6069629398274625,0.14326263250702298
Metal_Dopant_1 Ionization Potential,0.1845614452436195,0.0755119492201904,0.03994445084723986,0.13584147135613428,,0.22134833701980264,0.3019664030498338,0.08797786130871804,0.2280973879813354,0.3482993580640064,0.13479045246718022,0.13113788447991073,0.2376238947352855,0.1188909989086771,0.09365395810454213,0.20472916651783296,0.11596096702092197,0.3850579834084547,0.06796396620752139,0.02837638611899076,0.15791268746322912,0.5154740440827118,0.020579885672213194,0.1113286421032273,0.08252928913954408,0.23353247188722095,0.005561947846073361,0.09170101126435162,0.008490619245470555,0.0062906483317482645,2.9968296640605225e-07,0.4661552357201405,0.11310861011767416,0.07832379976737303,0.07705859358150685,0.037414615336689744,0.08677186915523898,0.0,0.09752926337450295,0.08448210728542273,0.02741616017479139,0.04312581699881823,0.08188086588999559,0.16316509447707941,0.01626630655459138,0.02406360337336639,0.05920095022685902,0.10703155642282203,0.17198244382860553,0.13747391625245164,0.06267803853529103,0.1572672395916243,0.08672257271802403,0.09161304027122329
Metal_Dopant_1 Electronegativity,0.06806862512800668,0.10658643954041608,0.04159209886599835,0.13573898664366987,0.22134833701980264,,0.03095437839371932,0.10715098431778972,0.12176256636920459,0.09851986917238026,0.10357119221983918,0.17928841119019798,0.1347504559775271,0.07789053045043336,0.08210289074654367,0.166693401848877,0.027458031011865846,0.0545327454750644,0.046076384902078674,0.010017308498247423,0.18009696918540888,0.02809767400113042,0.021757677194111053,0.012495545625171928,0.0011217120080509206,0.007639614936697197,0.03935883172499417,0.03563677907446269,0.013217642793115892,0.0002094902569697654,0.0505864490929696,0.057376956359416025,0.224180186145364,0.15671219878522044,0.057629695301237856,0.0048759305706686665,0.10258951965794706,0.0,0.04131914460391501,0.007740261851032191,0.006768268654302851,0.014432488599911534,0.07421284229769501,0.03938056861677152,0.0174563542167548,0.11514497697968133,0.009047868555612428,0.06337664501387044,0.20951797626981086,0.169129583674388,0.010871469096747985,0.03378823449971486,0.17060292269873692,0.08613884837830521
Metal_Dopant_1 Number of d electrons,0.11951325823198769,0.03436151487224445,0.07006698175336996,0.2763180707566544,0.3019664030498338,0.03095437839371932,,0.09572484901085815,0.10180773164228508,0.4923612872348156,0.13161114543982452,0.057737293217535644,0.13478947249750012,0.1341855490022185,0.17317192276468957,0.3663114929116424,0.015526132415999839,0.039345284766581015,0.10276634239989417,0.012920277528880057,0.010046509448395958,0.17393565368222735,0.005250801501608169,0.020028523524351687,0.0026641176121118063,0.006893431349320166,0.0010408421786150676,9.614983661562552e-05,0.04898954935384003,5.44304210859868e-05,5.0817206118095185e-05,0.15113786176605623,0.05828605056342671,0.06949354552396679,0.014670081518189621,0.0807328554920313,0.05779826380781158,0.0,0.017881524028588936,0.04005894615694607,0.012207081251273517,0.04827350770265842,0.055288754519005764,0.10011081925265253,0.005697150366851259,0.03861960210863833,0.02030630482162108,0.018513946431820565,0.13990405199187914,0.13470049482782143,0.02560462233760246,0.04240517063333673,0.1862885772193936,0.09976054404058156
Metal_Dopant_1 Atomic Radius,0.16352160250101516,0.12481348555234263,0.03536137827037335,0.05909936977307992,0.08797786130871804,0.10715098431778972,0.09572484901085815,,0.26100574077552696,0.18058884177810214,0.07150077884070226,0.09124152492930282,0.04100784427580672,0.0604851716402425,0.042915167002636555,0.20625047600647822,0.08799004645530092,0.07655721952992002,0.07571062019723321,0.03814035159837155,0.14879556127401258,0.07330302384672953,0.06229235048816009,0.05642360920923465,0.04835858522325329,0.005024765132126862,0.003033977251495136,0.022132742380989095,0.012232490631031481,0.006831588187322189,0.002007437147469972,2.329663889982207e-05,0.15076347838769902,0.15921269827083565,0.05572838245539685,0.0023922071857051456,0.051808861537518,0.0,0.05908692266216934,0.005035873888151978,0.06574790069713736,0.12157974086132517,0.1932734395293686,0.06710622396479464,0.006299456109320985,0.1124892484079038,0.06392937453289989,0.08866530174694144,0.2725152787359257,0.20740563333720624,0.011206089311049473,0.12498169247912301,0.2209606900429165,0.2842976911472086
Metal_Dopant_2 Relative Atomic Mass,0.09881442636513833,0.1345019483410768,0.04918826313706303,0.2359558683784348,0.2280973879813354,0.12176256636920459,0.10180773164228508,0.26100574077552696,,0.11669754784835881,0.02835656579615151,0.07396898177898578,0.06256589765139653,0.08477740580841833,0.09171353732312056,0.08358856990359326,0.010981908730857677,0.2036832429675735,0.08126191517791041,0.05202615039954412,0.08943212027632028,0.03110136141825569,0.10677938958310201,0.07234170427507229,0.008002823054610954,0.0012651075647962839,0.002931998371957755,0.0004590034903570801,0.0014801347914281872,0.05462825783495069,0.0026747238180076737,0.01094072737077335,0.10417948129424331,0.1372099637696734,0.34030559766106133,0.013348654028567719,0.060543975026301385,0.0,0.060947842860114405,0.10056605224950879,0.03263926562740468,0.12534078109932065,0.05412911046235722,0.11076473031595534,0.013175485917030626,0.09347114197444795,0.044962297399760355,0.0750740260305556,0.09915692763958928,0.10520847246839952,0.060674648036508155,0.08519448962014087,0.09387324945557765,0.05653907355859249
Metal_Dopant_2 Atomic Number,0.06639864601353077,0.08947279751886786,0.2038165429375122,0.24239813468640417,0.3482993580640064,0.09851986917238026,0.4923612872348156,0.18058884177810214,0.11669754784835881,,0.023473012168968792,0.04431077055986992,0.26683772516318255,0.05852365580909437,0.17753030495521255,0.12996519796430303,0.029849659834763974,0.04455725673448889,0.14519064860819447,0.012946368143413873,0.10189969315355554,0.11451238266678061,0.014591034398644035,0.013897580255620724,0.00046179969371862767,0.0015763313220637607,0.007205120949981744,0.0010150248003298892,0.006096433665502788,0.0008847428303434476,0.046539772571855376,0.019217632091970405,0.08566664074152457,0.09880506718961551,0.09020122480865057,0.0007613620145629467,0.032323978134465685,0.0,0.02128298829859847,0.06603814573564315,0.03372202524637701,0.19053794124167797,0.08223222982657871,0.035955125400037244,0.02668188269078843,0.09514489129697454,0.016371047671792458,0.055445698974687985,0.11224010273967965,0.05475780951262415,0.03239207921192707,0.16787451976786497,0.14932851750823922,0.05543952160364658
