,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.10198052790810877,0.0047896066571287985,0.17487810043314625,0.40547041372053605,0.2790616856858891,0.04344475485707906,0.26402280390085664,0.37072270426339865,0.08299150771590293,0.07975823208342411,0.09128869581088749,0.10270861261867797,0.09347043704882754,0.3725658923059041,0.17029347873885828,0.41710162343441626,0.042329299225572964,0.008310651311847909,0.02589971465047178,0.11532519628002569,0.10179836130120441,0.08234058821169435,0.0701412909425481,0.10653454918986528,7.304847090374782e-15,6.339603104735583e-15,0.0003247502867701303,0.6120029390155223,0.0,6.137116204420239e-15,0.003936057587947541,0.25322200848610343,0.20856970045428147,0.16215688449092985,0.012563484124173008,0.2465495059667033,0.26732442791998046,0.15970437915492378,0.018493052704911982,0.18134454178778556,0.19165519206505274,0.32959813626695117,0.16530032105338616,0.09447092829427715,0.11733228864474265,0.05252948313397402,0.15397084401602268,0.6639928641619118,0.25646729633746473,0.005904373801111423,0.12416059570187638,0.22618873518398783,0.31794001171020775
Metal_Dopant_1 Atomic Number,0.10198052790810877,0.0,0.16125939749086013,0.03796416277282683,0.13712134021361114,0.03039155093884354,0.17214779272429095,0.1512573663236645,0.17161938217707076,0.2512254738938055,0.09261482645430863,0.009616015147433508,0.2853250298790151,0.19142872728192653,0.25275695467422404,0.4006202664890919,0.20233883534610492,0.2220646515436355,0.025751327891377317,0.15983712520262292,0.18365867362086866,0.3142557211317252,0.09981135455832879,0.3718788531664835,0.012681396017728575,1.3972726847325202e-14,1.2163638599149144e-14,9.378899484638349e-05,1.2812453978199027e-14,0.0,0.1044488966325434,0.008774496754822827,0.31440325632324445,0.13874884261294868,0.20943093540949181,0.05920279824518085,0.23030582086758844,0.29885071587453765,0.2492736516892537,0.021305872392895022,0.043732838183500176,0.0,0.17016787060720137,0.1408315252517896,0.01276334689517933,0.24709271324300625,0.040349517971957446,0.1086388397986527,0.1272682830711988,0.2337906708627098,0.05038178931515635,0.17930835629877834,0.19318110065751062,0.10083043043173445
Metal_Dopant_1 Period,0.0047896066571287985,0.16125939749086013,0.0,0.022118653080244507,0.030241698503175613,0.06450158183380891,0.0167605392476923,0.3218317471717773,0.08469168550559684,0.07861859251892558,0.0,0.1123779365996896,0.2206464456439998,0.15160153419890554,0.0680361796658734,0.05524827420844245,0.061488152047565914,0.0,0.0,0.024869187260408432,0.002338789785504435,0.017033533825500446,0.00233186047264736,0.0018225789113491648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00913732128986366,0.023411782551946644,0.04711598403598457,0.0,0.04173924753538024,0.04783076438075666,0.08598719812628529,0.07631535125990516,0.0019590561690023276,0.12957588066071526,0.0671157140800101,0.04957942097733547,0.0,0.29635965118934554,0.012941339807112732,0.018510719543152497,0.08125249854796267,0.03528147059443868,0.0,0.021168960111479247,0.10537404956295225,0.11219943280359738
Metal_Dopant_1 Group,0.17487810043314625,0.03796416277282683,0.022118653080244507,0.0,0.3418238654562159,0.09950599035525103,0.14345978852456032,0.11931210624925413,0.15632448257976062,0.15046740277520704,0.04020811968886774,0.15441577745762736,0.3381632542983639,0.15624072777720022,0.11554368813474977,0.24141886039616592,0.1249988844321734,0.12937684539655558,1.3513114887132012e-05,0.3807226950585981,0.18883367693082842,0.22698019750572515,0.031157649561590867,0.11462953504542561,0.043915591876761355,3.477484269348961e-06,0.008235683424559184,6.303462979410924e-06,3.477484276733863e-06,3.4774842731524653e-06,0.2137930182817703,0.0010251538350732304,0.47141277403277754,0.183452774143595,0.36707030418844444,0.03215504397121453,0.16551570315607902,0.18280056200751754,0.12565980219537679,0.0032246105816265214,0.032108531822923954,0.2651368705766294,0.08965116633298446,0.12516817580468179,0.0012370898597404809,0.06830327655829752,0.0540930659678741,0.04652803687945931,0.385194623604384,0.32446964691289565,0.01255314710896037,0.16002093573023332,0.29357177338190754,0.46156868630998094
Metal_Dopant_1 Ionization Potential,0.40547041372053605,0.13712134021361114,0.030241698503175613,0.3418238654562159,0.0,0.10470461420904031,0.13849997315078033,0.2229553276596435,0.24840240915094822,0.01949992885002508,8.131818077526914e-05,0.1544554290181428,0.3049986566550593,0.06992650736998964,0.16900356783201612,0.12350987518461588,0.10583539988153746,0.09588211613738751,0.03932568235320258,0.13557582269753118,0.23279309921994676,0.23432616371751358,0.21303712633485658,0.06954111011799306,0.009933610470922068,2.3106236361141124e-15,2.583902508476435e-15,0.000757145549840311,2.709941214611234e-15,0.0,1.9948249675956658e-15,0.004576931230829205,0.2839500417801021,0.13463752378884614,0.1914549543123074,0.017584568899034352,0.17541084961054454,0.16895668372643383,0.07384754044102516,0.021184237004620687,0.027257388470264758,0.35134101989518746,0.23298280051768935,0.16811015860490813,0.014227671751188636,0.19461154232220806,0.019444333244782206,0.07230677611987495,0.3978589688519961,0.2572406773354311,0.030104859031418553,0.175388412864586,0.4646878085148019,0.28812439183498834
Metal_Dopant_1 Electronegativity,0.2790616856858891,0.03039155093884354,0.06450158183380891,0.09950599035525103,0.10470461420904031,0.0,0.05888932667305276,0.5376450704518435,0.17709333211939696,0.1123013534096264,0.02387309271965962,0.08733720844377789,0.18314022090259152,0.03577684607218522,0.22464324485855433,0.3590838495953779,0.2084215478586304,0.0004796657135770763,0.001164590428246194,0.010291705613294322,0.05667708195890648,0.014758710187015724,0.01650981253312159,0.05413130365561165,0.019526565816056166,0.009297608571096893,6.404384340362443e-07,1.1092717131006242e-06,0.21063802288165576,6.404384348291938e-07,6.404384346311128e-07,0.00019346455138455034,1.0,0.25163868993995697,0.08606499447170356,0.046131455511159464,0.5785920598963538,0.2698791299948188,0.023369778589534828,0.004532353877509649,0.1710128996223857,0.02772802024070886,0.355619672905725,0.20011881797030717,0.019248129503823923,0.06928997026967372,0.0042637546211069235,0.04287768008029173,0.2405322196048126,0.11741295978043798,0.001412337434049102,0.03979992494312467,0.565725724913566,0.4785191640392905
Metal_Dopant_1 Number of d electrons,0.04344475485707906,0.17214779272429095,0.0167605392476923,0.14345978852456032,0.13849997315078033,0.05888932667305276,0.0,0.2370783198098281,0.15912805236145078,0.16302592673498326,2.585233883284382e-05,0.2945889237677131,0.4584714353800662,0.40240495648432506,0.22928304905457808,0.08411155582902874,0.07052583265252405,0.25126766700551456,0.10573042274794289,0.018479875559567493,0.06393880930779516,0.06501769366180386,0.3280330278003373,0.03299523626143157,0.011084502067436518,2.1543832930699365e-05,2.1543832923047554e-05,2.2593556647925245e-05,0.03411143905800278,2.154383292072803e-05,2.154383292072803e-05,0.0015689090591849344,0.4321537042629502,0.2299714538046179,0.18282229491892357,0.15471859215473685,0.15133293944937284,0.06441968044418507,0.049668753169008394,0.00756666474313643,0.008791792480982897,0.3973993062476262,0.19491513942192437,0.0960312490907989,0.006337110008604879,0.055328959891778356,0.01234666975996957,0.08242993121944196,0.17230371458345847,0.10748550556119467,0.004152161799485417,0.08874365896082395,0.21476235884146397,0.13750793873387188
Metal_Dopant_1 Atomic Radius,0.26402280390085664,0.1512573663236645,0.3218317471717773,0.11931210624925413,0.2229553276596435,0.5376450704518435,0.2370783198098281,0.0,0.5691956596720367,0.10045176651919095,0.06041324892823465,0.3524647826111914,0.2822750149214887,0.15581721012131575,0.44042796319340793,0.5292382428241722,0.1804573168638434,0.0030330437439227463,0.001054400749457895,0.1315706069085096,0.08755393882465336,0.1447720947206314,0.010974808995805616,0.06262976893803476,0.03562480553360317,1.024262438539123e-15,0.0006916835458891888,2.5974179616441817e-07,2.611741921072914e-15,0.0,0.10355675981038132,0.04292129278535663,0.2503476874128664,0.25110109533522795,0.2134190219267965,0.07313808488209612,0.10249086811254092,0.5213124539352967,0.06203496624203392,0.01157166519578493,0.023682336946942474,0.12720261282076545,0.46118895324445314,0.23339518273056314,0.020956330158360927,0.10428763434659905,0.006890931798005013,0.10467056038374946,0.631430695203897,0.18595667814367792,0.019436146118989944,0.12357754992681548,0.33000888703268993,0.17667070387703016
Metal_Dopant_2 Relative Atomic Mass,0.37072270426339865,0.17161938217707076,0.08469168550559684,0.15632448257976062,0.24840240915094822,0.17709333211939696,0.15912805236145078,0.5691956596720367,0.0,0.014122818762534767,0.3296643158790816,0.04181993874834465,0.09106827000009225,0.045310295198303895,0.21041997174489568,0.47652025684476446,0.030585943352227512,0.0005567264233294148,0.00045611075378018245,0.04444198773753598,0.21198121990261884,0.06443591942008633,0.24968542686178438,0.23203305985801795,0.00816549092128707,1.7758636161226083e-14,2.3590901690376123e-14,0.00022800053001534944,0.09560181076676356,0.0,1.9494534809380003e-14,0.39408204428127486,0.18168001968777184,0.24452069617449834,0.2649572463824595,0.010058170161299519,0.1778789075661973,0.19501605230170208,0.1665663776648144,0.004636028065326457,0.042883184966024696,0.09474949757881684,0.27969602268412264,0.11063627133854238,0.020991562554154453,0.1815103157154831,0.01086820403708529,0.016640117025751237,0.3350686112161064,0.15240100474915472,0.2621054099032399,0.3107254470353029,0.1929898915997351,0.31770482279900303
Metal_Dopant_2 Atomic Number,0.08299150771590293,0.2512254738938055,0.07861859251892558,0.15046740277520704,0.01949992885002508,0.1123013534096264,0.16302592673498326,0.10045176651919095,0.014122818762534767,0.0,0.00023380012755668894,0.05289452970121892,0.12996385318205558,0.2247396557206704,0.006498775244954202,0.007848711439664164,0.005193263050126719,0.08932176429502542,0.035365428319123086,0.14563664780947547,0.11769068019137999,0.031269222619180595,0.004513264738409041,0.12464992698618005,0.006428952998282814,5.668089788242013e-15,4.399454495584827e-15,0.00021058849844830314,8.030017909203429e-15,0.0,0.05587487569557016,6.302310681841068e-15,0.16850458884512565,0.08015544584062621,0.1908941885681278,0.04486530446772583,0.14400997647754116,0.04780674089786812,0.07224524650775166,0.003282360393445898,0.006522280880377245,0.12942987600822917,0.0959514013990715,0.07924805697777884,0.027110395407205005,0.12644314651811603,0.04805867192208966,0.0620167060507109,0.13850674464145207,0.0240190602268699,0.0033345594017623274,0.10181704631671327,0.1381910042633196,0.08255283125791267
