,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.011435912750206912,0.005440942584866025,0.039236479454672846,0.30321465836126765,0.057450600414774254,0.024685505052548365,0.17810425988891726,0.30637617908904896,0.005172097976701193,5.386370733619501e-05,0.0503125693868482,0.04030143242864477,0.022740238693545873,0.06383462707709502,0.07608605116944987,0.042538385000072,0.0008161236929441286,0.009440812130846243,0.009767618626683185,0.030562617407514665,0.016528782934761663,0.005788715387006895,0.02419570497831573,0.049332000632705174,0.0,0.0,0.00036891289644206017,0.0,0.0,0.0,0.004471319855636635,0.07190459233213868,0.0673549198644962,0.017027177930817247,0.014271985296278824,0.05910975663186461,0.08495155840762919,0.050712481917391986,0.010527980576298288,0.012336652225307786,0.06465836656466828,0.07896856558197778,0.07445098749644465,0.005705293551515547,0.048543283785105945,0.00468940216206112,0.02827072497326654,0.397230289826289,0.10079962079947606,0.006707306288628626,0.035932153141477276,0.12034546371403293,0.14693549254762248
Metal_Dopant_1 Atomic Number,0.011435912750206912,,0.08577011528990273,0.0036012887404488895,0.008592285374150454,0.002049482356403442,0.06010072280802185,0.0126349192514509,0.020534156816184326,0.04193032946727092,0.0,0.01092369166358722,0.05881837867564123,0.20597954369004498,0.07442820910676524,0.015329009489526608,0.03186227749942929,0.004611800770327911,0.00010062370070908005,0.024469169376513777,0.03136463025266712,0.05394826055319622,0.025344288799387736,0.009638950969001098,0.014405931962217025,0.0,0.0,0.0001065433077178948,0.0,0.0,0.0,0.009967735655917347,0.043251313521227935,0.061439708596444126,0.04718037677583086,0.03298825343325844,0.03494204759453094,0.010225156724751936,0.2539062585954462,0.024203246051016276,0.016039536860859044,,0.0318025139634332,0.010405109688658794,0.002934691368884045,0.011289316641257412,0.045836626330422514,0.012167619175111555,0.023880557925604014,0.014605560682278335,0.05723318063681906,0.18717475172352788,0.12590491106508295,0.02394565027535502
Metal_Dopant_1 Period,0.005440942584866025,0.08577011528990273,,0.0023436126848391634,0.0061707669508526,0.0012915011979339173,0.008017164414117706,0.00021761977973675477,0.015428062822611232,0.004133401448040899,3.7229684513505874e-05,0.01268014339681152,0.014178922999042255,0.00829506934599424,0.00686553788683938,0.008427523308118154,0.006891944945320354,0.000559287010294023,0.0001239332689431983,0.005023506098402296,0.00265684049899387,0.008690598665138011,0.0026489688727512318,0.0020704303970847256,0.00046987289441115384,4.5148564823396945e-05,4.5148564823396945e-05,7.552798870835097e-05,4.5148564823396945e-05,4.5148564823396945e-05,4.5148564823396945e-05,0.008607725973232094,0.010379900496348588,0.003400620254497532,0.009497806957682268,0.00050145904867354,0.008453033154082417,0.0026813675836786007,0.0019711772315732226,0.08669343315081558,0.002225467120426448,0.07277592432651162,0.002092036482343337,0.002830299784973996,0.008155012979475006,0.31121702689559816,0.014701225361977923,0.004024246572714326,0.009619745926244623,0.007984691938167353,0.00015967700104361948,0.024047715145097813,0.002287712545803077,0.018333338173770305
Metal_Dopant_1 Group,0.039236479454672846,0.0036012887404488895,0.0023436126848391634,,0.1537732508353609,0.03845440940018915,0.006953066586915317,0.05693986539612516,0.0964366823242418,0.00851556718665882,2.8243088935236986e-05,0.027169783327839946,0.035112938177511314,0.020034580491941133,0.043004030811528336,0.05612371670422594,0.047506049449376316,0.002034588052165568,1.535075578064397e-05,0.034679632852151476,0.012285209316647557,0.02423825912243871,0.0022183460691277725,0.011148393587599139,0.03681734593219683,3.9503853794904625e-06,3.9503853794904625e-06,7.1606673437588675e-06,3.9503853794904625e-06,3.9503853794904625e-06,3.9503853794904625e-06,0.0011645639311191884,0.05444894561035016,0.02363371556820329,0.017793468451488655,0.014645416218325913,0.02440892875054703,0.007215837060142196,0.01196909407882517,0.0036631235692081705,0.008475379949483546,0.11445977865675001,0.029610552362964282,0.02971818048709156,0.0014053210171277404,0.01774698838745074,0.004052554290625025,0.010700047436437985,0.14646605163270263,0.06790791807612018,0.014260242556129744,0.0165754336437116,0.15898569942497223,0.10002860165164286
Metal_Dopant_1 Ionization Potential,0.30321465836126765,0.008592285374150454,0.0061707669508526,0.1537732508353609,,0.028691514327684894,0.05151875183797349,0.03268636430566627,0.0860848930237289,0.01390582576605358,9.237659464691711e-05,0.06003485842016944,0.10324225297671845,0.030878076579312914,0.04733690023138414,0.049245757486294284,0.08169195654783029,0.002749802916527229,0.002517674916877029,0.08898878086732538,0.0763716307013398,0.03244953854998762,0.03287777939346173,0.01891599126495334,0.011284476597319317,0.0,0.0,3.5040651674667613e-06,0.0,0.0,0.0,0.005199345546417006,0.13226869417754902,0.04977748307948526,0.048123821572065094,0.01997588457852331,0.0706444731452531,0.038496881347550416,0.053513178455069726,0.01346549853024186,0.024803615523380958,0.3170568958554149,0.06677353209180394,0.047824093307714394,0.005053261751226412,0.07195375018848015,0.006857630010438066,0.029918501846267445,0.21241533170273272,0.19400739333833247,0.0341988019562633,0.0609401404045859,0.25799691132635166,0.10029991652942474
Metal_Dopant_1 Electronegativity,0.057450600414774254,0.002049482356403442,0.0012915011979339173,0.03845440940018915,0.028691514327684894,,0.0031703030200001905,0.25079951729263744,0.1541321900173269,0.0016249692572823551,3.9194330102475056e-05,0.019839170146739016,0.008974166213648181,0.0029218402472408925,0.005222950945616938,0.011023960713452761,0.016050235015309004,0.0005448951854143737,0.0013229624285616677,0.0009922644597290693,0.009682594834682246,0.005030778504527231,0.0017954648509722103,0.005074775764701555,0.0221819725690246,7.275312953067091e-07,7.275312953067091e-07,1.2601209496781218e-06,7.275312953067091e-07,7.275312953067091e-07,7.275312953067091e-07,0.0002197736874110328,0.6097824235973867,0.028067164015056177,0.006550376257008707,0.05240484631846041,0.11051874595445808,0.06187443884051575,0.007969238793841578,0.0023796225867736376,0.001457903983449018,0.005724238440943645,0.08161698889805415,0.08827275830123221,0.002154374197950511,0.030385169724990887,0.0008825165465152149,0.008009209251365902,0.10137529400077029,0.024185523847821484,0.0016044004109755938,0.00665387556949985,0.3517488962689817,0.25189294075078034
Metal_Dopant_1 Number of d electrons,0.024685505052548365,0.06010072280802185,0.008017164414117706,0.006953066586915317,0.05151875183797349,0.0031703030200001905,,0.013943518413909228,0.04069360837075832,0.008759576055326457,2.9367983914411695e-05,0.03167966467772859,0.02994024743524101,0.024037743609730235,0.08034456084848293,0.00895178152685455,0.028256742096840363,0.001675251539832614,4.165846115519122e-05,0.019509562977402892,0.04142067023034197,0.009438648848901905,0.008320031846766914,0.012109942475336177,0.012591877297664391,2.4473566670509315e-05,2.4473566670509315e-05,2.566604173438842e-05,2.4473566670509315e-05,2.4473566670509315e-05,2.4473566670509315e-05,0.0017822641237239811,0.06239963489044744,0.01831473185579861,0.02466578517489906,0.014053137817375546,0.10129749022083268,0.008173899738848198,0.03466584022929174,0.008595651245169022,0.009987383418178265,0.2156698619983689,0.015156297902206845,0.02385952285727285,0.006289589145395017,0.029912525838437502,0.014025686468063136,0.03388411830413108,0.07752346804997594,0.017894706669920296,0.004716811957890868,0.057505426402997425,0.019640009592107266,0.03263680253408804
Metal_Dopant_1 Atomic Radius,0.17810425988891726,0.0126349192514509,0.00021761977973675477,0.05693986539612516,0.03268636430566627,0.25079951729263744,0.013943518413909228,,0.20966864566256965,0.005427531672855548,5.404246451350858e-05,0.06606330972560116,0.01698070922487808,0.08418838171097011,0.06771198611212742,0.21712816547421582,0.0778339945769944,0.0008174298747447972,0.0011977881170465213,0.08897905531979215,0.029875852630271812,0.07328828695827909,0.002178242717615664,0.00815977331725226,0.040469402892823664,0.0,0.0,2.950639315002153e-07,0.0,0.0,0.0,0.0019450143925610359,0.07504493897792923,0.09185011396077265,0.04652496545902065,0.07870465437094962,0.028722412674917326,0.37004180578645945,0.03727091447644138,0.013145289467117379,0.010833267979418517,0.1030799601926649,0.12833020937345535,0.0344368194935594,0.008796088197619872,0.0196887645241104,0.005294534767367296,0.013718835663402642,0.25850971794186495,0.047858536653714215,0.0017419107805501269,0.0036817064267951173,0.10069437449644768,0.065301874015262
Metal_Dopant_2 Relative Atomic Mass,0.30637617908904896,0.020534156816184326,0.015428062822611232,0.0964366823242418,0.0860848930237289,0.1541321900173269,0.04069360837075832,0.20966864566256965,,0.0031744216535193803,6.327347316313312e-05,0.02527108524755873,0.019217586344967952,0.019372243152318183,0.047431375231118615,0.11619677885147557,0.02527312906019347,0.0006324353379108354,0.0005181369998066578,0.043411605050274645,0.025663316538814568,0.021377045723859175,0.002660115392638587,0.025542101604019134,0.00927591146002464,0.0,0.0,0.0002590061944194322,0.0,0.0,0.0,0.00017438050702672109,0.061279308386764805,0.07134817934247065,0.031049264375123096,0.011425975090240365,0.04983323682801308,0.0454575038013127,0.1081122377532914,0.005266478926321389,0.02941483195625229,0.06148632654483675,0.1325095626283187,0.06159615324940441,0.0021683870441936933,0.03541118311000492,0.006801337316885493,0.006189311387378265,0.1975741864464804,0.040798641193422,0.0050170027988643675,0.024848855725562138,0.11400527807903853,0.19479560321769535
Metal_Dopant_2 Atomic Number,0.005172097976701193,0.04193032946727092,0.004133401448040899,0.00851556718665882,0.01390582576605358,0.0016249692572823551,0.008759576055326457,0.005427531672855548,0.0031744216535193803,,0.0002655944759854711,0.011629409495017187,0.007978266080548878,0.00836193776851086,0.007382540052026098,0.00891605331405947,0.0058994919847395,0.002706014069727877,4.01569872828729e-05,0.002753787119911362,0.03285602668543431,0.005080545096276209,0.0011823565991684831,0.04459722707428436,0.0073032227171288926,0.0,0.0,0.000239226310440872,0.0,0.0,0.0,0.0,0.013351312778575835,0.02040563136009853,0.0034180718194517187,0.0006690736174933739,0.01708673319775625,0.00225720528983453,0.02246011869547828,0.003728726745623034,0.0074092422056343905,0.09151808464088634,0.008536485527003543,0.006392268883109347,0.0003201830919866856,0.007766203658515664,0.05459414381008978,0.00878584013935026,0.03281282781432422,0.009614410374765488,0.0037880242678784166,0.06620502798528767,0.00105912486084119,0.016564120121584505
