,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,0.061274758638795286,0.00248483962016388,0.0162443566121205,0.07871006614486255,0.04235822916780602,0.5259053243047379,0.033660313661271805,0.10087651179883782,0.11458546015833476,5.7009842986508276e-15,0.0018508300951294032,0.08055732726363717,0.017253374404466757,0.06451484933800053,0.05315559075561585,0.0763858718701011,0.003809836254943104,0.003182467910703775,0.016104500666131883,0.0776355721662093,0.1534799684097266,0.11969568704502548,0.04300403931977094,4.374393127236313e-15,0.004115535463445901,4.188424267147954e-15,8.471622088759847e-15,0.0,6.310109282853916e-15,8.929846514226766e-15,6.05523189860818e-15,0.17495296793370296,0.049931061405788305,0.06833065030156062,0.0,0.09063751055417514,0.09372712037944368,0.04074449252903753,0.05824466955797842,0.04409450088791009,0.025958461251925354,0.09199828935160402,0.12363545117047059,0.010416421280166049,0.01027747271274075,0.05666579576211272,0.00969652907683301,0.09585487572016092,0.20817738250812112,0.05996322081063143,0.02196547848873936,0.07847269997290221,0.07252976070861711,0.010880201478914437
Metal_Dopant_1 Atomic Number,0.061274758638795286,,0.06591943960774459,0.17314782198291295,0.04833412461684694,0.014212260018623274,0.5076103846450651,0.044404538655192866,0.4115059400480431,0.10119299939105769,1.6597667226485466e-14,0.03741593495400575,0.035129717623667615,0.061627809099054756,0.01544365083535595,0.02142317530273492,0.074684047014005,0.35610111466004135,0.5280200592695781,0.4011768184734526,0.05833368063854023,0.23795259276017244,0.005188370251122465,0.06733496756000311,1.6365983248259185e-14,1.7951927090172313e-14,0.03435468167685847,2.1366023946945653e-14,0.0,1.4492908071457574e-14,1.4656218626319303e-14,2.0653374877265073e-14,0.09327732771466606,0.17989797806463917,0.06304134232784338,0.0,0.053436306408770284,0.0512049010851754,0.04030781677603669,0.023907555189609613,8.64045908133214e-15,0.14402871627173966,0.1337095459597387,0.07769336012877277,1.3853550356322676e-14,0.06525935637675546,6.187752327576636e-16,0.15871601239497374,0.10962409956625999,0.09812671256055373,1.5637344505921542e-14,0.10377727703961785,0.13908792245750234,0.04754532904478502,0.011515982166050646
Metal_Dopant_1 Period,0.00248483962016388,0.06591943960774459,,0.0015090365525021736,0.011609904679910287,0.019448081086141697,0.03210465780454151,0.020586636785527978,0.009646307881641242,0.05330246112927759,7.424863873207458e-15,0.013083646017163497,0.037270347375486776,0.009297354431677245,0.05759236147086694,0.03205862265980437,0.0004717963105136701,0.046144018554078986,3.569940419396628e-15,0.03329166267686741,0.00246112012968338,0.0011685012017864304,1.6940208329569413e-15,0.0006234705875636119,1.2204660765152342e-14,5.204631645306518e-15,6.884927950955478e-15,5.81893269129624e-15,5.81897039838376e-15,1.4476043875207248e-14,4.507307633838861e-15,6.372501664525286e-15,0.011889713213639736,0.0711341106077004,0.03695837668327275,5.81897039838376e-15,0.011437693750046279,0.030445829450967465,0.015092447921653068,7.515927270953534e-15,6.2004889450089016e-15,0.14188595483385488,0.01192989031082938,0.08678607575886561,0.006269253877816792,2.222554106434824e-15,0.002878381321052923,0.09653303480474033,0.029618553222711817,0.09931644563204695,0.047573657234634935,4.943919054313239e-15,0.009635606861644582,0.03562162353715402,0.017610166006901355
Metal_Dopant_1 Group,0.0162443566121205,0.17314782198291295,0.0015090365525021736,,0.017497972285948588,0.06810229650994079,0.09881720852583742,0.056362943918200896,0.30773153456463664,0.007033186292794954,0.0373105903048016,0.16159850496917583,0.0681072367326589,0.06399421968608832,0.04722698180589081,0.036002996796512664,0.03456670905148827,0.05745127379395704,7.221534595744022e-15,0.04242164945390488,0.018588065407036575,0.006143205281416736,0.00135396126721954,0.005066313501311671,2.1029956079218865e-14,6.108701471476629e-15,8.941786635521464e-15,1.0064054956639431e-14,1.7278117203526194e-14,1.3035091339888298e-14,6.530362918501109e-15,0.062127994233935446,0.04036667172997413,0.15812716468122415,0.04627879516841537,1.7278117203526194e-14,0.0626379267887351,0.046140522725482636,0.09933506609788498,0.010920357496826082,0.06110608019017263,0.037681590682609886,0.04408723509496321,0.04547966384602441,1.1384791492468715e-14,0.09970176052635311,0.01886324587336983,0.04411377693693397,0.05978076190651745,0.06537417792373856,0.11899982368096138,0.00537944676738718,0.10341090117272433,0.029363164423188672,0.007066045660414601
Metal_Dopant_1 Ionization Potential,0.07871006614486255,0.04833412461684694,0.011609904679910287,0.017497972285948588,,0.023299593294201407,0.05925944707132539,0.09136207903183809,0.20480598551648374,0.04410043895342309,0.031087349707460635,0.03337792296211873,0.05257306202757635,0.157741435641553,0.08268378235503698,0.05322864998743363,0.02703222514510329,0.009055635913617974,0.11678955866216245,0.01911619414249154,0.017079218193671006,0.331167320153332,0.010616774066062151,0.05471203194310743,4.3872610725048164e-15,2.7210638653769976e-15,6.665114690797966e-15,3.650680436450072e-15,0.0,7.397431482482678e-15,3.441884773103766e-15,1.2166503597259577e-15,0.06649644258341643,0.16131689511669425,0.07745336830232045,0.0,0.119951908120958,0.11194127789770902,0.04904332795948369,0.0011866977230788334,0.0637655357239726,0.06268185674215278,0.05336784180959162,0.09174844762650336,4.169797021254694e-15,0.013044541078463793,0.02399764952198629,0.053376738816013417,0.06587408554020083,0.08799044635217881,0.07428130505497084,0.03908251066621814,0.08818577819237221,0.056240547639472394,0.02002950735604647
Metal_Dopant_1 Electronegativity,0.04235822916780602,0.014212260018623274,0.019448081086141697,0.06810229650994079,0.023299593294201407,,0.05191992787779056,0.036783295505213545,0.07511394009251675,0.04193489635501117,0.003604099487704016,0.04361632693796323,0.023944918532518473,0.21752367721493035,0.03576369445992645,0.06660073028340714,0.18070306742834158,0.030701416410232406,6.325733451437228e-15,0.15199098714211837,0.010457086172019353,0.15245940442337527,0.013220604360975637,0.04741623707762871,6.070817270874665e-15,8.98919581902813e-15,7.716195525838488e-15,5.9532288560673e-15,8.249062734182119e-15,8.33076615438831e-15,8.830047407132959e-15,7.434513765233369e-15,0.06427455596720222,0.13506322241408367,0.16169443709015996,8.249062734182119e-15,0.10514223835034148,0.11268235043274383,0.02358954345294456,0.045960193891725364,0.013875707044346281,0.020389384173325423,0.08388984917839522,0.07734673294619368,9.883854172364361e-15,0.009064732223749677,0.0065795067384045265,0.1743795062664783,0.10398118792203846,0.08612920225021704,0.18507952513360434,7.7783951592563e-15,0.27498027219371135,0.08085490261842374,0.015709044007009444
Metal_Dopant_1 Number of d electrons,0.5259053243047379,0.5076103846450651,0.03210465780454151,0.09881720852583742,0.05925944707132539,0.05191992787779056,,0.06577211688744135,0.19755137650996082,0.1588902432792701,0.021398077124131977,0.05019644344594721,0.04601675764182042,0.026647995680910908,0.015310207196050326,0.08494706116526318,0.04893232135088135,0.030245169766605705,0.043193140778329114,0.04153097871684211,0.09935245829400312,0.018397663079101196,0.10862150587981637,0.057006076789232696,0.00012458822842181593,2.8790127207887924e-15,4.318472235598536e-15,0.0007631163161986998,0.0,2.8777435476449523e-15,5.9352138294068844e-15,5.385376499990825e-15,0.25867813460249334,0.2613102491686572,0.12129560662449855,0.0,0.03120157546723038,0.04723247307448411,0.1288391613452988,0.0043709054779400135,0.04710332250511082,0.030553702222909342,0.0723902570566999,0.2526020228810154,2.857089015632653e-15,0.25999480030404526,0.1734920470691804,0.031944420237628716,0.09753028362837167,0.14251160609890193,0.020975599315773374,0.0033498225262594155,0.46105468713039965,0.044177228083360505,0.01697838730236843
Metal_Dopant_1 Atomic Radius,0.033660313661271805,0.044404538655192866,0.020586636785527978,0.056362943918200896,0.09136207903183809,0.036783295505213545,0.06577211688744135,,0.08988183797024266,0.08234244145224327,0.012086301860980909,0.13904790300583927,0.062399310160507246,0.01763292117276723,0.0645365787264271,0.0162164889893673,0.03097840139019178,0.10945824109488451,0.04394939582752419,0.029383848682541593,0.03589682979321821,0.2747786163379679,0.30842368093647105,0.0248653177422349,9.69264136666267e-15,1.001106179630185e-14,3.1657393748478316e-15,4.187919268395395e-15,8.375866650351345e-15,7.989463966360669e-15,7.166800262026646e-15,0.007949285083884913,0.0717770901419307,0.05966846223204114,0.14464322733883822,8.375866650351345e-15,0.0556764645892899,0.20520196145931982,0.05136415954281469,0.10022041547087714,0.11676241511408841,0.03919220249108909,0.04433210602254147,0.1252616954560113,2.937469674568455e-15,0.08459073835980778,0.04751982445892004,0.03734984921255861,0.0386146159151036,0.05920518810494381,0.1259021282922564,0.02289196661830848,0.04603502354289719,0.029729906099639398,0.012391125360897362
Metal_Dopant_2 Relative Atomic Mass,0.10087651179883782,0.4115059400480431,0.009646307881641242,0.30773153456463664,0.20480598551648374,0.07511394009251675,0.19755137650996082,0.08988183797024266,,0.059637827198208225,0.05768368444333549,0.011792229880587325,0.15856082328659216,0.10529317149135335,0.03112094227671128,0.022199754331471745,0.1370524639661528,0.09545625977822736,0.012699245653630118,7.006974472569664e-15,0.06220098475926066,0.1375929208748701,0.07882851540076367,0.04946997022241945,0.01315805806803521,8.967791510418163e-15,0.02329210745676385,0.020479967592941458,0.0,0.016720803922105572,0.006875226174055804,0.03574649518812858,0.06965155151298534,0.06712968969492461,0.07597312595451083,0.0,0.05031819748119265,0.21301338434266323,0.25710984791890523,0.014065159480556547,0.14697839341605595,0.20110639414760756,0.10171899070487947,0.18597166914311838,1.3173048037712055e-14,0.02029522806300304,0.13367308409966663,0.007893015747536794,0.07119214071825342,0.028601203449040366,0.11676905129049901,0.01073216898920682,0.2264605887226979,0.4371735908445679,0.015627079830310538
Metal_Dopant_2 Atomic Number,0.11458546015833476,0.10119299939105769,0.05330246112927759,0.007033186292794954,0.04410043895342309,0.04193489635501117,0.1588902432792701,0.08234244145224327,0.059637827198208225,,0.015952102806748553,0.015065473938054755,0.0853797188218046,0.030366238910701348,0.028025112664895657,0.02482845463510497,2.648180690883513e-15,0.0823040637159708,5.715240790117312e-15,0.0017024582066003796,0.04306043971472318,0.0074246034594602755,0.0038009418742326316,0.004998319486517674,6.452227293617711e-15,8.089489467307525e-15,7.712785376086181e-15,8.27125372052371e-15,0.0,8.61252434208614e-15,4.8780915560843336e-15,7.108166927408762e-15,0.13053368778264865,0.08825427178749815,0.3829809888874738,0.0,0.025992727788582352,0.013162850712936618,0.14327084447400382,0.004107274690880192,0.010422160254487688,0.03180561664509458,0.04221911897292712,0.15684411385588462,0.04080177978792984,0.04372498688739514,0.08083594387796944,0.0014924004068248853,0.15329409690694396,0.10599262647010192,0.027651805988099038,0.01182603076783126,0.3908849357417087,0.05729479586070734,0.014608165330776435
