,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,0.007316641344064863,0.0017105972633557646,0.0042676290458007315,0.0084222891422465,0.008363082086334692,0.06803416351203614,0.005504911363323375,0.016091624679227326,0.02050982450626124,0.003636468864028272,0.048797774430351326,0.01988995428367312,0.025349666745574293,0.010829069998583863,0.08108886138786006,0.0007507033719156387,0.0026847872283427745,0.004336374471581946,0.0047140481314020015,0.002275279948303794,0.0025850127628561656,0.00468438507919593,0.05033701292165855,1.2256342704063208e-05,2.1392461102286176e-05,3.4742800036533414e-05,0.00011172641567193022,3.521151616355659e-05,5.120452530209883e-16,8.05947335061645e-06,5.9139103516108734e-05,0.023344015657835556,0.04939653536782986,0.013850343298280623,0.00013210404346043007,0.04777405418275127,0.029157017596038053,0.0015995568098482083,0.0015551397328647943,0.0034397476382775492,0.009197484716793863,0.04738285180115698,0.007972617814548182,0.0013280285122219313,0.003753070520716181,0.11246498577226235,0.003677205994478126,0.014790281291387493,0.01638866817299031,0.001614674057713105,0.0013134388649204227,0.00934656666782142,0.029615418837377724,0.07811637705073445
Metal_Dopant_1 Atomic Number,0.007316641344064863,,0.0015796455623072457,0.007461077908535857,0.004235577651109124,0.01663537196879617,0.059180751306733115,0.012730795975287586,0.02799146398725258,0.013875887900607028,0.001997461572843763,0.05014215873119578,0.018740661456447826,0.0195084710469594,0.011797518321291573,0.08297982986229915,0.0017458443757105797,0.00204779647383537,0.0012961922265642327,0.0069161023666327115,0.0018186089454212948,0.003015894948579366,0.003443096502198194,0.028554267556986746,3.350083473918854e-06,0.00011138787874072387,6.599196245070342e-05,9.475015183372487e-05,9.117327039063701e-05,1.7216415580427137e-06,0.000238793958242109,1.9252597576635305e-05,0.0374699542948832,0.04261111714490441,0.010546442409580466,8.63169429764791e-05,0.06199645108762402,0.03202743001587602,0.0048140828079887,0.0016439731477792868,0.0027573282466121295,0.010461688807020973,0.01664233635925487,0.02069222259055682,0.0005549765215233126,0.004232722473579986,0.12787594435983538,0.0018194518181099152,0.006673081322327831,0.017048136214052198,0.0012577462903463734,0.001193520972751625,0.022709674950808893,0.03281819757557125,0.07473989783617473
Metal_Dopant_1 Period,0.0017105972633557646,0.0015796455623072457,,0.01833016611692129,0.015777257822904633,0.027317396938985952,0.012663945273315129,0.008954109768768214,0.008821422293497265,0.026001552361938185,0.008311747361714335,0.0773109428654792,0.0024392606272355907,0.004227307825268387,0.019884812271892323,0.006883669898800322,0.004058615518711386,0.0020224522213372577,0.0062575956555874545,0.012027841898636338,0.03427070072977053,0.009704799315016164,0.010853778082102831,0.0022943944076976733,9.410318454604097e-05,0.00011232097406616591,1.3608261746278596e-14,5.2200825602449814e-14,1.8543131789624984e-14,1.9245044325782785e-14,0.00038574277050789784,2.570198346195234e-05,0.03140889582487666,0.021106554919824917,0.013004387937090474,1.454689700095633e-14,0.0023198347539986723,0.01259081131232028,0.01686533986588814,0.011488835425779602,0.024668722735226807,0.018777980593927896,0.013387380861679508,0.026257384965522726,0.0009610176563550469,0.023373974613621756,0.0032213889282524033,0.012639744504105623,0.012405016354381631,0.04659099644602848,0.009671907691801087,0.01750375123383058,0.04522800716757405,0.016422466102913008,0.004006950596828258
Metal_Dopant_1 Group,0.0042676290458007315,0.007461077908535857,0.01833016611692129,,0.03861544479957448,0.03800300326731297,0.010810324670363025,0.02816857431241677,0.025467679792868445,0.10822175586993754,0.01788940505780796,0.006350786688173378,0.00805639034541618,0.017414078529563812,0.019912916601616683,0.010374096195197436,0.01351706251169881,0.024984875906117584,0.0382102480990871,0.011408542453963184,0.013830425980008951,0.014752326206499059,0.013504088501620234,0.005472563106150712,0.000604062366606426,2.482205852449783e-14,8.411419305668492e-06,0.012465348956359456,0.0008170883919909084,2.4160896859654246e-14,0.0016184400797514713,6.80370595548103e-05,0.13695446385649931,0.043152700154431095,0.034508992974735184,0.0014756281474895144,0.007314228601220092,0.025951624030358552,0.06775103476514092,0.006620202526202395,0.03684328910188252,0.08881435865729329,0.027410914686988728,0.03888869478396142,0.0222857829932343,0.05205048337445939,0.0164603688149253,0.046531869717494435,0.029265971213526105,0.09968534318513383,0.011291138421083945,0.04669530711674442,0.08215222742350271,0.051820676036358225,0.011958049638503443
Metal_Dopant_1 Ionization Potential,0.0084222891422465,0.004235577651109124,0.015777257822904633,0.03861544479957448,,0.034552195003474735,0.018214497383176848,0.04361896187384853,0.08015256255014214,0.0639708349684853,0.0178744396920908,0.008768056396642894,0.012955995944489955,0.010540040098838525,0.03718452426822167,0.011845155640391868,0.02046781879698852,0.019453797832479528,0.012418273754999442,0.025154299289475112,0.02395558506995333,0.01618836700047977,0.024232028431503214,0.00604300095809828,0.003940975340028852,0.0010972276738168895,0.001057130857608809,0.0009404375023525458,0.00011369718922185352,0.0007063707839982684,0.000275038957158583,0.00010765434705781419,0.12069261350250286,0.06800902028301732,0.027161509015912327,0.0035987043079869145,0.010660008346683592,0.025429397037829322,0.062368404946923084,0.020047743887325345,0.045290642171991045,0.022395968680410983,0.0373106779831381,0.0168356077101302,0.0007354225250200073,0.022481947845282166,0.0047733926229656855,0.014654556474922349,0.03371799007256355,0.11283432946935233,0.018298091822258836,0.01239757544520136,0.06091305223661689,0.01498897398939278,0.008923532818616567
Metal_Dopant_1 Electronegativity,0.008363082086334692,0.01663537196879617,0.027317396938985952,0.03800300326731297,0.034552195003474735,,0.018880539181560078,0.03871915339025517,0.03973962166611349,0.07162570182914989,0.02144893014147534,0.07476015372864603,0.02691670665755639,0.015083546186454437,0.009135720813761024,0.03420307999415,0.030853533774607193,0.0232903876297464,0.019554374355052227,0.07627507965408971,0.015605499007784232,0.04116282037705364,0.04023826267981094,0.013756435257491657,3.186180170877969e-05,0.0008815186025858039,7.895669405560015e-05,0.0028469290177324425,0.004246808497875076,0.003071305076425341,0.001144578252021499,0.0037178235116447126,0.04323354668465257,0.04673510397493562,0.09104864260898944,0.0019275554833083465,0.009533649044541511,0.08497628169566404,0.046645188173394345,0.029945793099125834,0.014899166944792151,0.07668606132110628,0.02631024917051429,0.05999201583561575,0.02134026609087921,0.028204470850655326,0.010026575927432772,0.031907416218062236,0.04330709995304164,0.04999922751997358,0.0566202918845668,0.044463798836555435,0.03999814352991855,0.03497044559265032,0.010389045255186326
Metal_Dopant_1 Number of d electrons,0.06803416351203614,0.059180751306733115,0.012663945273315129,0.010810324670363025,0.018214497383176848,0.018880539181560078,,0.011561490987566534,0.09210213753839339,0.0973843370523774,0.02371870255521364,0.051251416168418,0.04285113776965693,0.07138636477367466,0.0538206296210476,0.10229713995434783,0.007636161137206879,0.012906536870338785,0.0076587758309961795,0.02098184789309996,0.005119415263894294,0.004170706348645624,0.0073265355752236685,0.036366218417569124,0.0001557601905403254,0.00031760990124177457,0.00012193169909460181,2.1433544279294543e-05,0.00021697943466508763,4.929061429122562e-05,0.0009614543830523062,8.509864032894597e-16,0.19745670071041244,0.14481642164484945,0.049124883232837896,0.00023996471222869638,0.038171710249889496,0.04985689702582197,0.00974741588814368,0.0022404800920381718,0.004646350891248309,0.03543954680393669,0.0802711233919281,0.03488363366793171,0.002157321740208417,0.009429170131031424,0.08370437854000243,0.0023289065425126294,0.03344252975507801,0.039611034332328,0.003500182059837957,0.008599032591002188,0.19677113314438158,0.09146503533080567,0.050166083448217644
Metal_Dopant_1 Atomic Radius,0.005504911363323375,0.012730795975287586,0.008954109768768214,0.02816857431241677,0.04361896187384853,0.03871915339025517,0.011561490987566534,,0.07280776661916735,0.018438163557739196,0.010912975700086341,0.049400153022109074,0.015373065320878232,0.0290957690388165,0.02473478171890952,0.019079822208608287,0.003325215491017528,0.013604731593394427,0.005430116688294556,0.010271823232903637,0.014282220509816186,0.0086341665496943,0.0056318408292088265,0.00429437263057541,0.00010853122361501928,0.0011504872873664234,0.008703984952476903,0.005413748613732862,0.0015587226469491837,0.009086830419369155,0.0015175363446643636,0.006486945074070305,0.03521818861899067,0.05861541737044828,0.028416747884206794,0.004966862846047158,0.015145937806763193,0.03702277197237524,0.028079710227623553,0.009492789960351657,0.02003395223062213,0.028225187675267504,0.028473142514193233,0.05553638920826451,0.001646343399228629,0.016573054270996555,0.02664490747567039,0.03924777882720585,0.043884515399349455,0.0948283453020379,0.014405001497699545,0.04924931588505259,0.05016135157775702,0.04397204743944597,0.009013243991557012
Metal_Dopant_2 Relative Atomic Mass,0.016091624679227326,0.02799146398725258,0.008821422293497265,0.025467679792868445,0.08015256255014214,0.03973962166611349,0.09210213753839339,0.07280776661916735,,0.17898934985116646,0.0159474577993146,0.007972565867434249,0.012218636574422684,0.030936170781738943,0.016861705325175686,0.01671382310970333,0.012966164958083903,0.016751506828762815,0.012619472023332428,0.019375874816418698,0.02937858865533807,0.01247006571933139,0.01891940078422699,0.005012125565070642,3.542667621311881e-05,0.0021966545615781674,0.004427457546590975,2.2091548393259126e-14,0.0017745027816921143,0.001224375724989053,0.0029044578352250003,0.0011221535113851398,0.08318274042517822,0.03650161339668086,0.011707810163607765,1.2753596685970655e-14,0.008826086148289279,0.018728054537586688,0.03464441325226988,0.01680098410191241,0.04263396359801708,0.01473584988739015,0.022213390717999208,0.03321434327328439,0.012222186650618293,0.027082193438292265,0.007690424251497557,0.034633163732970915,0.04328322787302745,0.05069848007290561,0.02405154580146824,0.034480048486098466,0.02477468513514622,0.04517442072663895,0.007174548731455217
Metal_Dopant_2 Atomic Number,0.02050982450626124,0.013875887900607028,0.026001552361938185,0.10822175586993754,0.0639708349684853,0.07162570182914989,0.0973843370523774,0.018438163557739196,0.17898934985116646,,0.04277922628822618,0.015948935054105582,0.014053135691703066,0.011957931882526219,0.028191837469608818,0.02137009268933159,0.005180660200384688,0.03785399490158565,0.021001691033214604,0.05884722832988473,0.05962751679186206,0.00723954622325568,0.01497176543654399,0.0046421987989524235,0.00863396416058537,0.009385897179190878,0.001261462749484581,0.009850550198888097,0.017623964732192392,0.007723515822890587,0.0016360546218479304,0.0038781278679395955,0.1660839830907118,0.027911383078498133,0.016650203997175577,0.020711631748033546,0.00857149055655813,0.010201572317705762,0.03549312189077105,0.05339088296805307,0.06128674707913947,0.021986780790347618,0.027903946460899193,0.019596855036362566,0.006881383687937083,0.1000091635646074,0.007317188109449367,0.04033626049019654,0.029208201353224494,0.07354180139463917,0.016312576833454256,0.02076141980082373,0.03998259099613177,0.02643454713126331,0.00764887682620269
