,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,2.653827687754828e-16,2.0458835976767216e-06,0.006555280067835368,0.00013355450638322428,0.005811808385248583,0.000644352063000286,0.0023843745064324484,0.00029883308122667434,0.0008878760017759936,2.9549742492128543e-16,0.0015622281707963676,0.0006576323795593478,0.003944621183715237,0.0019706433551200065,0.0021232386041658666,1.4562996160116165e-16,5.0903363750602336e-05,0.0011211099458705905,0.00014659673040542706,1.7410839077006837e-16,1.4038304971785972e-16,2.6975288244587686e-16,0.02731496858704754,3.932307429851272e-16,9.876504904854405e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006036030331113556,0.0029555012331044447,0.007457679897314653,0.0,0.00039030534535651414,0.010192269350745402,0.0003934223697850035,2.6406969377288143e-16,2.270309839242926e-16,0.0011639709101855706,0.020281459068394365,0.001537593180573492,2.0602819595499333e-16,1.101171771098217e-16,0.03767483814017334,0.00014074139445460098,0.0010128306521425346,0.005650878312672814,3.610504852192716e-16,0.00020462382584528395,0.006327470810042361,0.006573716208858033,0.04487752348271675
Metal_Dopant_1 Atomic Number,2.653827687754828e-16,,0.0001735859363215287,2.9533853482632852e-16,0.0004717452893479922,0.0004508350851047905,0.014374925722418101,0.0011644075071623576,0.0018831467867960747,2.808781079082238e-16,2.3860196904354526e-16,0.0009415730976437923,4.728807431085796e-06,7.272011276178086e-16,0.00035115680349013937,0.0007351555814715357,2.1854699501086002e-16,3.2746885792236884e-05,2.2483105670620813e-16,0.001942290649201961,9.037801725513046e-06,0.0008781566976140729,0.00024262312564627772,0.026512203806136524,9.431727669981529e-17,2.1090003480770365e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.00872300586667094,0.0013405180698419204,1.1632322865332808e-05,0.0,0.002555928891802132,0.001634867393855194,0.012615745422068579,2.000719323657482e-16,0.00026954454982248136,2.1604721035070797e-16,0.01083963915218637,0.002754611345872482,2.495402827754591e-16,1.6670995872694225e-16,0.05414777855315804,1.0002998566554035e-16,0.0012382324423187874,0.010627406979393635,2.3340074651953634e-16,0.00030256459262432224,4.778342510869937e-16,0.004064070819368536,0.04223488791966519
Metal_Dopant_1 Period,2.0458835976767216e-06,0.0001735859363215287,,1.1296680740988803e-14,0.00013855247366572883,8.712350804979853e-15,1.49591001704075e-15,0.00245972866243461,3.645239510191359e-15,0.0037293933372193177,1.6867636699133153e-14,0.08575230223992258,3.437100570994827e-15,0.06122478732454988,2.000385520748236e-14,2.5075700087475064e-15,5.102828560179156e-15,8.977034667731038e-15,1.7473479990234213e-14,5.6391154785280945e-15,1.2503654318814305e-14,1.453606849886953e-14,2.724790624893622e-14,2.5336005473749596e-16,2.1494485609850966e-14,1.585969856566484e-14,2.0765718882461726e-14,2.0765718882461726e-14,2.0765718882461726e-14,2.0765718882461726e-14,2.0765718882461726e-14,2.0765718882461726e-14,0.0027009936323026456,9.518568746488921e-15,1.2380164582664992e-14,2.0765718882461726e-14,4.157079585628148e-05,0.0025795969536157497,1.1862665955400535e-14,2.326656560652999e-14,1.7297403704023396e-14,4.936889596492876e-15,0.0013837879180024996,0.0015001130456741491,2.3214158199433092e-14,1.5050578606166503e-14,0.0014200224323065386,5.917775079134576e-15,2.292259236124474e-15,3.169743224580108e-05,1.7677651418319982e-14,2.0507022235790205e-14,5.276876240897098e-15,0.010708673181936931,0.0007285104342842122
Metal_Dopant_1 Group,0.006555280067835368,2.9533853482632852e-16,1.1296680740988803e-14,,0.017490619282439755,0.022118632327667982,2.202123323817763e-15,0.008847523449305434,1.0248589386259408e-14,0.019145049590606155,0.010868729664359044,0.005398546413022733,0.0021948162202135237,0.004099403913398127,0.008736761033463809,0.011247253480326486,0.0001419858091952273,1.646383918856928e-14,0.025824302364166617,1.2734660295126968e-14,0.04833877391390704,2.5933934510428793e-14,0.016796763301707793,0.0060137543065850235,0.06344713619904409,6.072865042228145e-15,6.559459671057509e-15,6.559459671057509e-15,6.559459671057509e-15,6.559459671057509e-15,6.559459671057509e-15,6.559459671057509e-15,0.0025065518239478627,0.035739255342712654,0.04758510649849389,6.559459671057509e-15,0.041303057390044653,0.020447739414716837,0.04033361910378301,5.9759842472064966e-15,8.189721906337266e-15,4.280993786632939e-15,0.000514988560197717,0.009179207027580549,7.641453162608523e-15,1.590964739147167e-14,0.002911999411371371,9.580355685962538e-15,0.010096841798244218,3.6131142640994254e-15,9.08031073508853e-15,9.547567235247778e-15,0.019330447292684048,0.0014970454191801466,0.007102825647620489
Metal_Dopant_1 Ionization Potential,0.00013355450638322428,0.0004717452893479922,0.00013855247366572883,0.017490619282439755,,9.77662401744244e-15,1.1946808854672279e-15,0.005826003686691877,0.00847287335274845,0.02049154886195353,0.005592220432268047,0.007650683187227913,0.0007962258190860341,0.008182259974281953,0.028810136589144743,0.009514806262257062,0.009675784152326054,5.357397939329189e-15,0.005568280442907632,4.2107951892389e-15,0.009383413797527622,5.151715387814768e-15,0.0010133047959452936,0.0018884115601463503,8.576911149382599e-15,9.657859988112203e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0022872783426803357,0.0035047930971567037,0.008131275998990604,0.0,0.04224792363085804,0.00699061422145071,0.0073447292297675135,0.07944810516015118,0.015371061171461165,4.738629976678279e-15,0.008772336388562486,0.005004703281525282,9.657781802728522e-15,5.29043513062937e-15,0.0014439511884355794,5.796468023711114e-15,0.006990636606454074,0.008519618688300796,5.366727096205413e-15,0.03197242443202595,0.04300590235728788,0.002018970277281554,0.002112375789435807
Metal_Dopant_1 Electronegativity,0.005811808385248583,0.0004508350851047905,8.712350804979853e-15,0.022118632327667982,9.77662401744244e-15,,6.435555144009299e-16,0.026844327655763573,0.004898602996091234,0.01141472555229247,0.00020410899957082291,0.005984085436766444,0.007079977424153597,0.028905953656718854,0.03506137230008612,0.0077727188590611,0.02598530445501953,1.0940798784011683e-14,0.00878316987465367,0.020399300945758914,6.116652906015104e-15,5.419257914762652e-15,0.018746361547707813,0.0016581086283146815,4.796871031583592e-15,8.319899797225617e-15,1.0376800460084977e-14,1.0376800460084977e-14,1.0376800460084977e-14,1.0376800460084977e-14,1.0376800460084977e-14,1.0376800460084977e-14,0.09339992110380925,0.04566822739503689,0.026127725410310474,1.0376800460084977e-14,0.05230094396589137,0.005597739598961209,0.017175935860351293,1.5547582091106824e-14,1.5287493977870445e-14,1.255293689386456e-14,0.0027967476717786384,0.021003882760599696,1.7539499541116644e-14,5.271089701214759e-15,0.0011113036415160722,2.99226035824074e-14,0.0113496643058166,0.005108095685805898,8.080096233163703e-15,1.3143670767052926e-14,0.033979195803867976,0.010771992652819478,0.0016266840503106842
Metal_Dopant_1 Number of d electrons,0.000644352063000286,0.014374925722418101,1.49591001704075e-15,2.202123323817763e-15,1.1946808854672279e-15,6.435555144009299e-16,,2.5203534824157214e-15,0.003487123207749614,0.03994984281076704,1.4643303806135634e-15,6.092461165859149e-16,0.027019062821946636,0.004988622507923242,0.00015653275563951426,0.0026656479580927186,1.1598019400002062e-15,0.007035907601080834,1.0293363171435368e-15,8.167349060178571e-16,7.308895613056926e-16,5.407532847880373e-16,1.873439171927661e-15,0.01916438690765208,2.07134731290355e-15,2.1408239362815385e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0005803537895379982,0.0012272589561539027,0.0006171504649355259,0.0,0.0013623128523033664,0.007263420282507911,0.0006836394890569931,5.406694733254492e-16,8.831557650433912e-16,0.008796840758606785,0.03326046178508847,0.0039155839226121805,1.2094211667626742e-15,1.4621413704122694e-15,0.02251859746974787,0.006799554084541728,0.009469774615198044,0.03158524342921458,6.973262577874286e-16,0.0004464127723812295,7.056534397840871e-16,0.01287895491034686,0.012285783905338072
Metal_Dopant_1 Atomic Radius,0.0023843745064324484,0.0011644075071623576,0.00245972866243461,0.008847523449305434,0.005826003686691877,0.026844327655763573,2.5203534824157214e-15,,0.01148174872059021,0.005155780169797681,0.026490152026698414,0.004613587540059752,0.008613401977955959,5.340233689442861e-15,4.2184885490894714e-15,0.008796588613969158,0.014997984509113861,0.00019905621005818124,4.47708290527846e-15,7.858475024077964e-15,6.117907221700512e-15,6.362663400606276e-15,0.006579401729505917,0.003836495876467248,3.708633216956493e-15,9.484932770430893e-15,3.8493656861816825e-15,3.8493656861816825e-15,3.8493656861816825e-15,3.8493656861816825e-15,3.8493656861816825e-15,3.8493656861816825e-15,0.009069836226787217,0.02051163747994972,0.0335680986885743,3.8493656861816825e-15,0.010143739982419608,0.013762525561007998,1.2628046544096064e-14,1.1529114863103342e-14,0.005175285990045728,5.149390898257412e-15,0.008493562668913057,0.006078765486870813,6.4247431657388785e-15,3.325346578470728e-15,0.0027851912346923955,4.40543839171399e-15,0.008229445565384906,0.05727110160635809,5.336279303755095e-15,0.0018186611142272215,2.9741415653185605e-15,6.130765644814189e-05,0.003464359628149399
Metal_Dopant_2 Relative Atomic Mass,0.00029883308122667434,0.0018831467867960747,3.645239510191359e-15,1.0248589386259408e-14,0.00847287335274845,0.004898602996091234,0.003487123207749614,0.01148174872059021,,4.059059880248685e-15,5.7601241610516615e-15,0.007905568413279308,0.0019525163319175857,4.380907308432927e-15,0.0035184661207325863,0.0007058508271721817,0.002074955927553858,9.872659529259085e-05,3.298522732783947e-15,5.5949055585241746e-15,0.0009776414064217663,4.190061078955329e-15,0.003593450049307953,0.000700281197708956,4.5656967472838776e-15,2.53295785176755e-15,3.3507903756928046e-15,3.3507903756928046e-15,3.3507903756928046e-15,3.3507903756928046e-15,3.3507903756928046e-15,3.3507903756928046e-15,0.010961807689265482,0.0085519508901054,6.011446846505018e-15,3.3507903756928046e-15,0.04131555138808595,0.016297802402898784,4.587441376693243e-15,0.01638975456546184,0.003027618985512958,1.91879473148172e-15,0.006924419482590747,0.00912584323003115,7.545901622960639e-15,8.64851964341587e-15,0.0006406714980938474,5.226946002873633e-15,0.05389354568715702,0.013727378935062064,3.300270317900314e-15,0.005891343270528098,0.0009286560802494168,0.0019409976620079947,0.006206669852657826
Metal_Dopant_2 Atomic Number,0.0008878760017759936,2.808781079082238e-16,0.0037293933372193177,0.019145049590606155,0.02049154886195353,0.01141472555229247,0.03994984281076704,0.005155780169797681,4.059059880248685e-15,,0.007664905626125798,0.0062158658765054265,1.6740271243064748e-05,5.1944487423966084e-15,0.0018540167424079092,0.03810290738941897,1.2516534018251199e-14,0.011281173492171993,4.86948577602264e-15,0.03636120296850133,0.03469277266515789,6.35099773185544e-15,1.6241049018315428e-14,0.0006990947020105848,3.0440112106776084e-15,9.335871264471183e-15,5.095309531570896e-15,5.095309531570896e-15,5.095309531570896e-15,5.095309531570896e-15,5.095309531570896e-15,5.095309531570896e-15,0.03417188762258334,4.6590940417844765e-15,0.004416802472833066,5.095309531570896e-15,0.00919915747633483,0.0065464153519810804,0.0010753060381158493,0.031094711304781905,6.515010437408943e-15,4.8024344093798995e-15,0.018155320345802622,0.0038176130137461827,6.3872650999259136e-15,9.921740043485884e-15,0.000513540179022037,6.6029516877671034e-15,0.005395190416009702,0.008713277910387418,0.009582244504668474,0.0003814899489978538,0.0032556109627777633,0.026982082842880558,0.0027032996903857
