,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,0.0038863814897248357,0.007239920785713171,0.015421264074912223,0.016908177877060834,0.03002249830377525,0.08851757860599509,0.016905067526440085,0.10242882530847779,0.00835194155537796,1.5274875947021823e-07,0.2562913732669748,0.02263955288973876,0.010562851810050889,0.03631590142106924,0.09712194361118287,0.018599169587325062,0.0,0.0,0.014072904949534702,0.015528993976742404,0.006342071712724222,0.007096956925927898,0.04746568364894855,0.0016016987585889082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041629433562337656,0.12980206589626608,0.04213742692869493,0.0,0.041932750140097924,0.1448343202140851,0.012167063993409872,0.004335899808698976,0.006942543499256905,0.028403082179228382,0.05784548867325308,0.03359973096672283,0.015114373644324573,0.012755868540877225,0.12431603294836027,0.004276626505812842,0.060277459811550034,0.11796585685758211,0.00601117010761038,0.0026581804936662186,0.042188058734083815,0.07635838065383559,0.1124104379194297
Metal_Dopant_1 Atomic Number,0.0038863814897248357,,0.002458919556645829,0.030801437502382137,0.024764633502740965,0.0007489086003904039,3.7813157005225933e-07,0.0018559293255575372,0.0032373884558781494,0.06256349842589237,1.153150033706063e-05,0.003403330317564771,2.3219478144778664e-07,0.13171251965107625,4.264502348273906e-06,0.014608374164499605,0.11481112692436901,0.0,0.0,4.60750308632304e-06,0.0,3.934352565633398e-06,5.705527293366103e-06,0.003542161750012097,1.5280017568825988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016440045402148783,0.010337157180302639,0.010128879402106336,0.0,0.012728991088332515,0.010148996020109196,0.046542743515962284,5.690704772092112e-06,0.03562093643540688,0.018255497689500893,0.006623644532548303,0.005908536851842205,6.835241772718989e-06,0.04300424763011728,0.0005589812507103567,0.13812733047181344,0.02661529079964126,0.035632491549768115,0.028361790414024507,0.011767642529257123,0.010393125297481145,0.010045872593795831,0.0035988962404759836
Metal_Dopant_1 Period,0.007239920785713171,0.002458919556645829,,0.010974494486655603,0.0002519832025576564,0.014484879554070004,0.003095703705091972,0.026503873134843734,0.006281982823652942,0.0,0.0,0.013911094604105953,0.008561929684719544,1.8297231100596087e-06,9.585020414374094e-07,0.020936757279888238,0.0381614789081908,2.001485133640649e-06,2.001485133640649e-06,1.8594746303817413e-06,3.79569910842722e-06,0.08349588471735947,1.6667987825973936e-06,0.0071226967119466965,1.998372960760674e-06,2.0014852131495774e-06,2.0014852131495774e-06,2.0014852131495774e-06,2.0014852131495774e-06,2.0014852131495774e-06,2.0014852131495774e-06,2.0014852131495774e-06,0.01772866067973532,0.02220131789371052,0.02043372549259755,2.0014852131495774e-06,0.004658842850410159,0.023248607936733067,0.05676303483289495,0.0,0.0,0.000376847304294101,0.03994443549859163,0.014680631417607719,1.814750731710958e-06,0.007196992346193202,0.0022186897434001676,3.1628249403185194e-06,0.02280116137046356,0.01146653065694649,0.0013131848619238919,1.8982823419840582e-06,0.046715334759284716,0.006518899705314942,0.01811321572188029
Metal_Dopant_1 Group,0.015421264074912223,0.030801437502382137,0.010974494486655603,,0.038885364776665876,0.027437515782818625,0.04315144869518023,0.046107267094675886,0.01248152862394236,0.03143707112712919,0.0,0.0075557954487238885,0.05366089254214002,0.05045842194318252,0.04723211192390014,0.0817081050862706,0.1701844229947862,1.8305400361167549e-06,1.8305400361167549e-06,0.05651717303269487,0.17761670788410064,0.003491466688865918,0.01870652586723949,0.03644790732352585,0.0071847782282924745,3.6610800722335097e-06,3.6610800722335097e-06,3.6610800722335097e-06,3.6610800722335097e-06,3.6610800722335097e-06,3.6610800722335097e-06,3.6610800722335097e-06,0.1758901397847878,0.060205854273330806,0.048518903500995136,3.6610800722335097e-06,0.2096161388813981,0.19474306842176026,0.028663374834156395,0.013190735549659115,0.05188750887606937,0.04868150969108094,0.08565765208037933,0.09518135242869472,1.2733130583832696e-06,0.23089413827839927,0.13676997180107794,0.04801064111154779,0.11063832239081672,0.05219771726237908,0.20572572665965067,0.024389140907816093,0.10483800114179734,0.11785887012933276,0.028146175669528137
Metal_Dopant_1 Ionization Potential,0.016908177877060834,0.024764633502740965,0.0002519832025576564,0.038885364776665876,,0.09317834950813815,0.039708595412848144,0.039207404225603516,0.010349553796032961,1.0141275520121146e-06,1.3992721230553933e-06,0.0172440771598717,0.037346919224566344,0.016233581648408924,0.07612291069203674,0.04726064684118422,0.036900157612269426,0.0,0.0,0.014177412510143903,0.034813760442113324,0.03657810669672704,0.024446693175186805,0.006888295583574234,0.0012056675571968081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15422645743483715,0.06734376527274182,0.02202025797754764,0.0,0.03865747177036065,0.08654198732846494,0.07739066301063591,0.018849849943738364,0.022763444941478493,0.01250464828132869,0.035288435216862854,0.04991487724326165,1.051989554008792e-06,0.005043027938747803,0.01721605103730865,0.04158943994595523,0.05162693490000057,0.07507479610258147,6.777634693783318e-07,0.0033868095841275325,0.11962251706815569,0.022428915195488782,0.0126738809380631
Metal_Dopant_1 Electronegativity,0.03002249830377525,0.0007489086003904039,0.014484879554070004,0.027437515782818625,0.09317834950813815,,0.07292664401203894,0.1274059188388917,0.009488718757596855,6.443480016812699e-06,2.419587389758588e-06,0.06735117883707424,0.01358067111779647,0.08151269638282556,0.10506440779856731,0.03925937315497361,0.03799321002641055,0.0,0.0,2.087306168071879e-06,0.21171813843399193,0.01661290686531628,0.026187717163041684,0.01979993941428396,0.006528063235909302,2.419587389758588e-06,2.419587389758588e-06,2.419587389758588e-06,2.419587389758588e-06,2.419587389758588e-06,2.419587389758588e-06,2.419587389758588e-06,0.23803217003250743,0.033382034453243455,0.02237426803736922,2.419587389758588e-06,0.03150853652938569,0.14968519180734607,0.10587651335971605,0.0300496085681841,0.06482188508621833,0.09313270592713739,0.07513767865780495,0.046637946774502635,5.871189537417212e-06,0.04205285635923104,0.01022606486268541,0.15518910921784262,0.02756963463910904,0.05721382983522194,0.05124953106263327,0.002352721668392431,0.019127269657772377,0.012369780375888609,0.012652734269899827
Metal_Dopant_1 Number of d electrons,0.08851757860599509,3.7813157005225933e-07,0.003095703705091972,0.04315144869518023,0.039708595412848144,0.07292664401203894,,0.03259553178041371,0.011204546053487086,0.006832449154058872,5.353346083579177e-07,0.021026219937451476,0.026307529678030205,0.04017484884015886,0.024541006212070143,0.06868487731043714,0.09543138817781278,0.0,0.0,0.011968010343507356,0.008495670638129128,0.047191634387267936,0.0026624777058028718,0.05009509732675361,3.784966242050091e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07585714456534516,0.17761135127312325,0.03893170279805163,0.0,0.07709337219508076,0.05117091443352049,0.035394822117985246,2.667758844080008e-07,0.00813675306586679,0.06254312611872548,0.4196007772945887,0.2270029103894768,3.75642491561209e-07,0.0031940641215235355,0.04819773912325536,0.025910823088503884,0.08847681543042292,0.019528752647600362,0.010640618092029853,0.024405631017554108,0.036666765166984694,0.024299046925751428,0.0527004206024687
Metal_Dopant_1 Atomic Radius,0.016905067526440085,0.0018559293255575372,0.026503873134843734,0.046107267094675886,0.039207404225603516,0.1274059188388917,0.03259553178041371,,0.009402637349890271,0.0017060055663896316,0.0,0.02389064009091215,0.053372906324443574,0.03499482828505336,0.07052529024697858,0.05144621878105519,0.08407763103085615,1.3604271898016432e-06,1.3604271898016432e-06,0.03126418565551258,0.05802890214699952,0.011590038189652218,2.228875378133063e-06,0.021985320275421057,0.0821694426099016,2.7208544965782624e-06,2.7208544965782624e-06,2.7208544965782624e-06,2.7208544965782624e-06,2.7208544965782624e-06,2.7208544965782624e-06,2.7208544965782624e-06,0.10287103255407042,0.0805595053946362,0.03801022215579266,2.7208544965782624e-06,0.053839243405026334,0.06218907764383466,0.08384551468837344,0.005916130299960005,0.02830785130792854,0.031560604508212214,0.07405403114045474,0.06208801285784197,3.6524335026704877e-06,0.007824964597253688,0.013937386997516241,0.013430436924511721,0.06477728960265582,0.04454017158275739,0.03968351320139877,0.007748593242551215,0.14801634776511927,0.022117369093298495,0.01927369767192747
Metal_Dopant_2 Relative Atomic Mass,0.10242882530847779,0.0032373884558781494,0.006281982823652942,0.01248152862394236,0.010349553796032961,0.009488718757596855,0.011204546053487086,0.009402637349890271,,0.0011985314975260493,1.1203824000992603e-07,0.14537686568581934,0.017903642193377485,0.002660010746583916,0.01748716652675185,0.049883899233377334,0.012862466788758782,0.0,0.0,0.010061370250840411,0.0021856182345584615,0.004965956170888154,0.017122625729435684,0.07138647090287403,0.0019556002755025483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015141667293883785,0.057103571345584095,0.02453877892708439,0.0,0.031764698822311456,0.10399256592494749,0.01032642998690416,0.00132237927528353,0.00888200198390722,0.018915903593636926,0.05331132283854543,0.022433586650934038,0.010707161626682348,0.0059631820801678325,0.016523242064123644,0.005943546841760747,0.027621829535852398,0.03569545066285796,0.007229322721782234,0.003050164511344441,0.04188582201442818,0.019462481459031785,0.04640074802252127
Metal_Dopant_2 Atomic Number,0.00835194155537796,0.06256349842589237,0.0,0.03143707112712919,1.0141275520121146e-06,6.443480016812699e-06,0.006832449154058872,0.0017060055663896316,0.0011985314975260493,,1.3112208153563028e-05,0.0033646000142152094,1.431805342222602e-06,2.7434982655373906e-05,0.0036816256537230457,0.0007315331002512168,0.01868028861689167,0.0,0.0,0.006069636757053076,0.22985567584717595,1.1006048210769425e-05,1.5961070752403435e-06,0.00022276346643580153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021545029937492573,0.007982341131250147,1.0536004578434695e-06,0.0,0.007412689773713124,0.001649225302979515,0.0006578834615097225,4.1397813981695855e-06,0.004322371471556084,7.902367117483471e-07,0.0165418296943174,0.01574637649530572,0.0,1.3399300689002009e-06,6.597622065731368e-05,0.07199186009117164,0.013176671496834021,0.027721366747877,0.0,0.09311904739156467,1.0631771702662614e-06,0.0007707394160383401,0.0024624391886309835
