DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M),Overpotential (mV @10 mA cm-2)
10.1002/aenm.201901313,Peoples R China,Chinese Acad Sci,ADVANCED ENERGY MATERIALS,29.698,10/22/2019,134,1186,0.112984823,MDP_1_Ru,MDP_2_Zn,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_60_120,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,LSV_5_10,EPC_OVER1,200
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_TEMP,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,LSV_0_5,EPC_OVER1,313
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_TEMP,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_120_180,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,LSV_0_5,EPC_OVER1,297
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_TEMP,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still/Strring_False,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,LSV_0_5,EPC_OVER1,270
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_TEMP,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still/Strring_False,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,LSV_0_5,EPC_OVER1,273
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_TEMP,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still/Strring_False,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,LSV_0_5,EPC_OVER1,282
10.1016/j.ijhydene.2015.07.041,India,Indian Inst Technol Delhi,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,1/13/2016,10,2564,0.003900156,MDP_1_Ru,MDP_2_Ta,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_10_20,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_180_360,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_1_5,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,223
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_W,MDP_2_Ir,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_60_120,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,1070
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_W,MDP_2_Ir,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_0_60,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,370
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_W,MDP_2_Ir,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_0_60,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,480
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_W,MDP_2_Ir,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_0_60,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,500
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_W,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_0_60,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,1580
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,MDP_1_Ir,MDP_2_None,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RTEMP,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_0_60,Annealing Still/Strring_False,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc. _False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,LSV_OVER10,EPC_OVER1,280
