,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,"('STT_OVER500', 'CL_OVER5')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('CL_0_0.05', 'STT_OVER500')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('Glassy Carbon', 'STT_OVER500')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('ATEMP_500_600', 'STT_OVER500')","('Qualified',)",0.011594202898550725,1.0,12.777777777777777
0,"('MDP1PP_75_100', 'STT_OVER500')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('MDP2PP_10_20', 'STT_OVER500')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('ATEMP_1000_1200', 'MDP_1_Y')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('MDP_1_Co', 'ATEMP_1000_1200')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('STT_OVER500', 'EPC_0.1_1')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('MDP_1_Y', 'EPC_0.1_1')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('Hydrothermal Still', 'ATEMP_1000_1200')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('CL_0_0.05', 'ATEMP_1000_1200')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('ATEMP_1000_1200', 'Annealing Atomosphere Reductive_True')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('CL_1_5', 'STT_OVER500')","('Qualified',)",0.011594202898550725,1.0,12.777777777777777
0,"('ATEMP_200_300', 'STT_OVER500')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('Hydrothermal Weak Reductant in Liquid_True', 'ATIME_360_720')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('STT_OVER500', 'HTIME_360_720')","('Qualified',)",0.008695652173913044,1.0,12.777777777777777
0,"('MDP2PP_10_20', 'Annealing Atomosphere Reductive_True')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('SL_0.5_1', 'STT_OVER500')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('ATIME_360_720', 'STT_OVER500')","('Qualified',)",0.014492753623188406,1.0,12.777777777777777
0,"('ATIME_60_120', 'STT_OVER500')","('Qualified',)",0.005797101449275362,1.0,12.777777777777777
0,"('Qualified',)","('SCD_10_50', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,11.616161616161616
0,"('Qualified',)","('HTEMP_RT', 'STT_OVER500')",0.017391304347826087,0.2222222222222222,10.952380952380953
0,"('Qualified',)","('MDP3PP_0', 'STT_OVER500')",0.017391304347826087,0.2222222222222222,10.952380952380953
0,"('Qualified',)","('Hydrothermal Still', 'STT_OVER500')",0.017391304347826087,0.2222222222222222,10.952380952380953
0,"('Qualified',)","('STT_OVER500', 'MDP4PP_0')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('Annealing Atomosphere Reductive_False', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('MDP1PP_50_75', 'STT_OVER500')","('Qualified',)",0.014492753623188406,0.8333333333333334,10.648148148148147
0,"('Qualified',)","('MDP_3_None', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('MDP_2_Ru', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('Hydrothermal Strong Reductant in Liquid_False', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('MDP_4_None', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('STT_OVER500', 'Support is not Carbon_False')",0.028985507246376812,0.37037037037037035,10.648148148148147
0,"('Qualified',)","('Annealing Atomosphere Inert_False', 'STT_OVER500')",0.028985507246376812,0.37037037037037035,10.648148148148147
