Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Sr,Na,Re,B1_BEST_400_#9_Full,best_full_400,46,30,19,5,51,890,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,206
Ru,Sr,Li,Ba,B1_BEST_400_#10_Full,best_full_400,40,31,21,8,27,780,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,234
Ru,Ba,Sm,Mo,Failed Sample,best_full_400,41,30,20,9,42,1290,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,V,Al,Mn,Failed Sample,best_full_400,57,31,8,4,75,750,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Cr,Al,Pt,Failed Sample,best_full_400,44,30,18,8,34,960,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Mn,K,Pb,Failed Sample,best_full_400,54,27,12,7,42,1090,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Hg,Co,Al,Failed Sample,best_full_400,49,38,9,4,38,1360,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Pt,Ca,Mg,Failed Sample,best_full_400,46,24,16,14,25,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Ba,Na,Zn,B1_BEST_400_#1_High_Quality,best_high_quliaty_400,50,25,19,6,25,1320,1,0,0,1,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,318
Ru,Sr,K,Mo,B1_BEST_400_#7_High_Quality,best_high_quliaty_400,47,29,19,5,32,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,263
Ru,Sr,Na,Ta,B1_BEST_400_#8_High_Quality,best_high_quliaty_400,43,28,23,6,41,1120,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,223
Ru,Er,Al,Nd,Failed Sample,best_high_quliaty_400,41,38,16,5,34,1140,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Sm,Mn,Ir,Failed Sample,best_high_quliaty_400,40,39,11,10,34,1440,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Er,Al,Ba,Failed Sample,best_high_quliaty_400,42,38,10,10,34,1320,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Mn,K,Al,Failed Sample,best_high_quliaty_400,40,29,21,10,26,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Mn,K,La,Failed Sample,best_high_quliaty_400,41,28,21,10,24,1320,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Pr,Al,Au,B1_VARIANCE_400_#4_Full,variance_full_400,40,38,17,5,38,1440,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,323
Ru,Nb,Al,Au,B1_VARIANCE_400_#5_Full,variance_full_400,46,27,19,8,75,1020,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,342
Cr,Li,Ir,Al,B1_VARIANCE_400_#6_Full,variance_full_400,43,27,20,1,28,1110,1,0,1,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,277
Fe,Li,Zr,Ir,Failed Sample,variance_full_400,40,34,19,7,54,1170,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Mn,Li,Nd,Ru,Failed Sample,variance_full_400,46,26,20,8,46,1320,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Fe,Li,Sc,Ir,Failed Sample,variance_full_400,42,31,18,9,55,1440,1,0,1,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Mn,Ba,Cr,Ru,Failed Sample,variance_full_400,43,36,14,7,49,1320,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Mn,Nb,K,Ir,Failed Sample,variance_full_400,48,29,17,6,28,1120,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Ag,Na,La,B1_VARIANCE_400_#2_High_Quality,variance_high_quliaty_400,36,33,30,1,25,1440,1,0,0,1,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,337
Ru,Zn,K,Sr,B1_VARIANCE_400_#3_High_Quality,variance_high_quliaty_400,51,24,17,8,45,1080,1,0,0,1,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,223
Ta,Ir,Na,Al,Failed Sample,variance_high_quliaty_400,40,39,11,10,40,1080,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Nb,Ir,Sc,Al,Failed Sample,variance_high_quliaty_400,40,39,16,5,24,1220,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Mn,Nb,Sc,Ru,Failed Sample,variance_high_quliaty_400,46,27,17,10,34,1440,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Mn,Sn,Fe,Ru,Failed Sample,variance_high_quliaty_400,54,25,16,5,34,900,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
V,Li,Ru,W,Failed Sample,variance_high_quliaty_400,43,28,21,8,36,1110,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Zn,K,La,Failed Sample,variance_high_quliaty_400,40,35,17,8,36,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Sr,K,Li,B1_BEST_500#3_Full,best_full_500,46,27,18,9,41,1230,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,208
Ru,Ba,K,Sn,B1_BEST_500#9_Full,best_full_500,42,35,17,6,27,1410,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,343
Ru,Ba,K,La,B1_BEST_500#15_Full,best_full_500,42,31,16,11,56,1380,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,254
Ru,Sr,K,Ti,B1_BEST_500#6_Full,best_full_500,52,33,13,2,39,1350,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,237
Ru,Cu,Na,Hg,Failed Sample,best_full_500,53,27,14,6,31,1440,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Fe,K,Pb,Failed Sample,best_full_500,39,32,21,8,55,1210,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Pr,K,In,Failed Sample,best_full_500,48,27,23,2,32,970,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Pr,K,Mo,Failed Sample,best_full_500,44,26,18,12,45,1080,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Sr,Li,Ca,B1_BEST_500#1_High_Quality,best_high_quliaty_500,45,30,18,7,32,1440,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,237
Ru,Sr,Ce,Zr,B1_BEST_500#8_High_Quality,best_high_quliaty_500,48,32,19,1,44,1170,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,218
Ru,Zn,K,In,B1_BEST_500#10_High_Quality,best_high_quliaty_500,42,32,19,7,30,930,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,240
Ru,Mn,K,W,B1_BEST_500#14_High_Quality,best_high_quliaty_500,48,28,20,4,41,1310,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,208
Ru,Sr,K,W,B1_BEST_500#16_High_Quality,best_high_quliaty_500,42,28,20,10,47,1120,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,227
Ru,Sr,K,Er,B1_BEST_500#17_High_Quality,best_high_quliaty_500,47,29,17,7,25,1130,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,235
Ru,Sr,K,Er,B1_BEST_500#20_High_Quality,best_high_quliaty_500,44,29,19,8,29,1090,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,226
Ru,Sr,K,W,B1_BEST_500#21_High_Quality,best_high_quliaty_500,44,31,16,9,42,920,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,221
Ru,In,Sr,Nd,B1_VARIANCE_500#2_Full,variance_full_500,46,30,18,6,34,1320,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,226
Ru,In,K,Nd,B1_VARIANCE_500#5_Full,variance_full_500,46,30,18,6,34,1170,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,253
Ru,In,K,Gd,B1_VARIANCE_500#11_Full,variance_full_500,47,30,19,4,27,1020,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,242
Ru,Ba,K,Ir,B1_VARIANCE_500#18_Full,variance_full_500,47,26,20,7,26,1210,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,282
Ru,Ba,K,Sn,B1_VARIANCE_500#19_Full,variance_full_500,44,37,12,7,31,1050,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,318
Ir,Ca,Ni,F,B1_VARIANCE_500#22_Full,variance_full_500,44,39,9,8,48,770,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,269
Ir,Pd,Mo,F,B1_VARIANCE_500#23_Full,variance_full_500,45,30,15,10,37,750,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,380
Ir,Pd,Ru,N,B1_VARIANCE_500#24_Full,variance_full_500,41,39,14,6,52,1440,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,249
Ru,Mo,Na,Ir,B1_VARIANCE_500#4_High_Quality,variance_high_quliaty_500,43,28,17,12,29,1440,1,0,0,1,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,391
Ru,Pr,K,W,B1_VARIANCE_500#7_High_Quality,variance_high_quliaty_500,43,30,19,8,35,750,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,217
Ru,Cr,K,Re,B1_VARIANCE_500#12_High_Quality,variance_high_quliaty_500,47,27,19,7,26,1030,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,250
Ru,Cr,K,Sm,B1_VARIANCE_500#13_High_Quality,variance_high_quliaty_500,50,26,19,5,33,970,1,0,1,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,239
Ru,Sm,Na,Ce,Failed Sample,variance_high_quliaty_500,40,34,19,7,52,990,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Sr,Hf,Gd,Failed Sample,variance_high_quliaty_500,38,31,25,6,25,1440,1,0,0,1,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Li,Pm,Mo,Ir,Failed Sample,variance_high_quliaty_500,48,27,14,11,39,1120,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Li,La,Ag,Ir,Failed Sample,variance_high_quliaty_500,43,29,22,6,48,1240,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
