Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,44.0,39.0,10.0,7.0,49.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#1,best_full_400,262
40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,47.867,22.0,4.0,4.0,6.81,1.54,2.0,147.0,48.0,48.0,3.0,1.0,60.0,920.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#2,best_full_400,205
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,45.0,40.0,13.0,2.0,39.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#3,best_full_400,271
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,47.0,27.0,16.0,10.0,41.0,850.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#4,best_full_400,202
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,47.867,22.0,4.0,4.0,6.81,1.54,2.0,147.0,45.0,29.0,21.0,5.0,34.0,730.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#5,best_full_400,225
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,51.0,27.0,16.0,6.0,42.0,830.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#7,best_full_400,187
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,46.0,44.0,7.0,3.0,60.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#8,best_full_400,208
6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,43.0,43.0,13.0,1.0,48.0,1290.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#9,best_full_400,221
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,45.0,30.0,21.0,4.0,60.0,770.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#10,best_high_quliaty_400,251
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,183.84,74.0,6.0,6.0,7.98,2.36,4.0,141.0,46.0,28.0,20.0,6.0,44.0,840.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#11,best_high_quliaty_400,270
