Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Ni,Mn,Li,B3_400_BEST_#1_Full,best_full_400,61,20,16,3,34,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,200
Ru,Ni,Mo,None,B3_400_BEST_#2_Full,best_full_400,74,25,1,0,27,1340,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,208
Ru,Mn,Cr,Li,B3_400_BEST_#3_Full,best_full_400,64,21,11,4,25,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,188
Ru,Sr,Ir,Li,B3_400_BEST_#4_Full,best_full_400,62,18,13,7,41,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,207
Ru,Mn,K,Zr,B3_400_BEST_#5_Full,best_full_400,52,30,13,5,48,770,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,242
Ru,Zn,Mn,Li,B3_400_BEST_#6_Full,best_full_400,62,24,11,3,40,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,182
Ru,Mn,Zr,Li,B3_400_BEST_#7_Full,best_full_400,62,23,8,7,43,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,209
Ru,Zn,Cr,Zr,B3_400_BEST_#8_Full,best_full_400,53,24,15,8,44,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,196
Ru,Sr,Ce,Li,B3_400_BEST_#1_High_Quality(#14),best_high_quliaty_400,59,27,12,2,52,1310,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,225
Ru,Sr,Ir,Li,B3_400_BEST_#2_High_Quality(#15),best_high_quliaty_400,56,30,9,5,50,1340,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,219
Ru,Sr,Ba,Li,B3_400_BEST_#3_High_Quality(#16),best_high_quliaty_400,55,26,11,8,48,920,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,219
Ru,Ce,Ba,Li,B3_400_BEST_#4_High_Quality(#17),best_high_quliaty_400,53,29,15,3,29,830,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,207
Ru,Sr,Ir,None,B3_400_BEST_#5_High_Quality(#18),best_high_quliaty_400,52,33,15,0,50,1110,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,189
Ru,Sr,Er,Nd,B3_400_BEST_#6_High_Quality(#19),best_high_quliaty_400,52,33,9,6,53,920,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,187
Ru,Ca,Na,Li,B3_400_BEST_#7_High_Quality(#20),best_high_quliaty_400,48,26,22,4,26,950,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,225
