Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Mn,Ni,K,B4_400_BEST_#1_Full,best_full_400,69,21,6,4,35,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,205
Ru,K,Sr,Nd,B4_400_BEST_#2_Full,best_full_400,42,31,22,5,60,710,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,172
Ru,Ca,Sr,Pr,B4_400_BEST_#3_Full,best_full_400,41,39,15,5,60,540,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,195
Ru,Mn,Pd,Na,B4_400_BEST_#4_Full,best_full_400,53,23,15,9,39,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,227
Ru,Mn,Sm,Li,B4_400_BEST_#5_Full,best_full_400,56,24,14,6,33,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,210
Ru,Mn,Er,Li,B4_400_BEST_#6_Full,best_full_400,57,22,16,5,47,910,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,205
Ru,Cr,Sm,Na,B4_400_BEST_#7_Full,best_full_400,52,24,19,5,60,1010,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,233
Ru,Mn,Nd,Na,B4_400_BEST_#8_Full,best_full_400,57,22,16,5,36,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,212
Ru,Ni,Er,Li,B4_400_BEST_#1_High_Quality(#17),best_high_quliaty_400,53,28,13,6,35,1440,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,228
Ru,Ca,Ni,Na,B4_400_BEST_#2_High_Quality(#18),best_high_quliaty_400,56,26,12,6,34,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,217
Ru,K,Li,Pr,B4_400_BEST_#3_High_Quality(#19),best_high_quliaty_400,42,29,22,7,34,810,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,191
Ru,Zn,Ba,Ti,B4_400_BEST_#4_High_Quality(#20),best_high_quliaty_400,52,25,15,8,44,710,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,198
Ru,K,Ni,Li,B4_400_BEST_#5_High_Quality(#21),best_high_quliaty_400,39,29,27,5,43,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,204
Ru,Mn,Ni,K,B4_400_BEST_#6_High_Quality(#22),best_high_quliaty_400,56,22,15,7,55,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,220
Ru,Zn,Er,Gd,B4_400_BEST_#7_High_Quality(#23),best_high_quliaty_400,47,28,16,9,25,710,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,214
