Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,68.0,16.0,11.0,5.0,31.0,650.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#1),best_full_400,188
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,65.0,22.0,8.0,5.0,45.0,520.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#2),best_full_400,190
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,63.0,26.0,9.0,2.0,47.0,570.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#3),best_full_400,209
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,61.0,27.0,7.0,5.0,43.0,630.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#4),best_full_400,188
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,61.0,19.0,14.0,6.0,60.0,720.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#5),best_full_400,303
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,51.996,24.0,4.0,6.0,6.74,1.66,4.0,130.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,60.0,22.0,13.0,5.0,60.0,690.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#6),best_full_400,198
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,167.529,68.0,6.0,3.0,6.108,1.23,10.0,178.0,59.0,24.0,11.0,6.0,60.0,580.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#7),best_full_400,267
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,57.0,23.0,15.0,5.0,27.0,720.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#8),best_full_400,212
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,55.0,26.0,15.0,4.0,60.0,610.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#9),best_full_400,200
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,52.0,31.0,11.0,6.0,33.0,740.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#10),best_full_400,177
