,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.3520859167815676,0.3678793115462597,0.4767064220876639,0.7418708476739736,0.5713446006905677,0.4648682940646539,0.5403422561340241,0.5202586559997033,0.6003337011176391,0.1416247774955242,0.40823472353527207,0.3601270059735424,0.431211619275732,0.388214745604558,0.40614842666698436,0.33291244191789826,0.35033897648237833,0.16548067110214407,0.1824399144976076,0.3953391310816955,0.5141334673791721,0.341790670686357,0.31703021646575497,0.1569079708776861,0.18162835589413642,0.01924715545712295,0.022591629525695562,0.15223535689055848,0.09141222043896145,0.023904900913058174,0.0804556197364541,0.6167026470710631,0.4022708178904515,0.6463012118845495,0.03840172340621156,0.5244184981418566,0.5901125023158613,0.25707543623852014,0.25246538666174595,0.36851696687144275,0.2760255459208458,0.2713974919597146,0.39680478876402187,0.12886748185336988,0.49461318248985986,0.3254459574955005,0.2911949990926236,0.3950075410869803,0.4652249038082471,0.31276379108437097,0.34450668213606367,0.40770739788639043,0.5256770354866415
Metal_Dopant_1 Atomic Number,0.3520859167815676,0.0,0.3267268894579161,0.2875685890398411,0.3817969764391788,0.2542370979134763,0.31848275549067473,0.27567373032110837,0.3563236989254841,0.21356629069051497,0.19903615796148694,0.23092063002937963,0.15393689820377895,0.44424339812618874,0.2535853193214245,0.323309500199447,0.15081228000619407,0.1291197000309074,0.1514791245802643,0.1726214903989981,0.18512836412889913,0.14389363591139334,0.1602158005796211,0.1162005584902277,0.029607499646278925,0.02402049138983635,0.03272335967326945,0.008060297825059272,0.08263922172667336,0.03269614850425284,0.1364555629879633,0.07920674726405334,0.4341417507879818,0.2638013283747465,0.30931681193998606,0.039032490245874206,0.3009065067690782,0.3155895890369088,0.12604618825946845,0.24481861048530287,0.2567230424855842,0.3317750210483969,0.11161016786820409,0.1991814534531494,0.06818440883711031,0.4095551555176109,0.19780424848351547,0.21909534250309334,0.18088924482889124,0.15538589981429446,0.13897788615368736,0.2989461685223548,0.39169460754167756,0.20483320336505606
Metal_Dopant_1 Period,0.3678793115462597,0.3267268894579161,0.0,0.4304090972817462,0.2407738463112878,0.1835378297749304,0.32369393754691,0.18882441376647202,0.23538348966040507,0.2256162212167672,0.0,0.3084094152955376,0.23419900041516054,0.23086820828880977,0.15106362343156007,0.2066580493971901,0.1296407004014133,0.1245959011803092,0.0,0.19408056670381418,0.4375490165725599,0.19664254952921253,0.2515225833507237,0.17312625532677633,0.09218515024061537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4620668129195913,0.16808799160084192,0.2006329089085569,0.0,0.20552416298418474,0.17230075090985222,0.20626245526374098,0.2912765554823875,0.3514719573852124,0.10307352340789179,0.0718743596811293,0.13802695048050945,0.0,0.25356563673348154,0.2484885405885636,0.09271375599280374,0.08101914802630748,0.13812096872431898,0.13760055235581187,0.20762710023916828,0.23617841264388661,0.14209371758291167
Metal_Dopant_1 Group,0.4767064220876639,0.2875685890398411,0.4304090972817462,0.0,0.4486108929215619,0.36547653382028655,0.4273017528290244,0.3147427967909217,0.3030964141681562,0.2273014649284648,0.29332817388684584,0.2716874518869968,0.30331576570261115,0.26998862177194455,0.22924442455355373,0.3214216402625652,0.21254201563733705,0.14461685917799172,0.10620562327100218,0.4173486109757279,0.16393265413333144,0.2677497686220614,0.2202002241026816,0.2510647803151774,0.23940213065377092,0.07683872397715763,0.020158435376643243,0.01406004728120812,0.16350756664279448,0.06839627454800046,0.013336729028353317,0.06903607132037348,0.6252219272087645,0.28769574750873067,0.6213411223363742,0.07285575833469032,0.3611986063055155,0.29223181699651224,0.2585150074449594,0.2000726142657357,0.4049463213554612,0.12180155938184516,0.12274621908374303,0.278851167124119,0.07130197708067804,0.4579488478901004,0.47089384090256714,0.18307361938100145,0.20441094989658667,0.25162707410407953,0.172117690154149,0.23402797731902944,0.35413767268205326,0.2654168678057753
Metal_Dopant_1 Ionization Potential,0.7418708476739736,0.3817969764391788,0.2407738463112878,0.4486108929215619,0.0,0.7891086012442255,0.331023133081713,0.4313879222699869,0.32541904225847296,0.15641064103518965,0.04699896778234412,0.31800713780515605,0.30245853247115806,0.35062256177791074,0.4645528973063056,0.3865327768670461,0.1394464430803634,0.10464454739772747,0.044637405386084086,0.19350566537830022,0.20841347837783622,0.1809601726291218,0.2144717102780599,0.1578434093236004,0.10512750746661761,0.035376744785498286,0.011496794314154046,0.00439331756159195,0.014452475229094106,0.028767474353618077,0.021105625659742406,0.08621350718787346,0.5435158785329098,0.547933604039932,0.2572378257271483,0.022303919816112853,0.6177474463233049,0.6591478065858298,0.15317183958443537,0.20841988770063002,0.1863587506828707,0.14779618735254182,0.4767001539465227,0.5316259098877305,0.08130193388638422,0.36021136798032394,0.18057382689295007,0.634583132654309,0.5439505325560421,0.6109598629706182,0.3832195879051623,0.21216839502575618,0.3002992879388498,0.3882799581935818
Metal_Dopant_1 Electronegativity,0.5713446006905677,0.2542370979134763,0.1835378297749304,0.36547653382028655,0.7891086012442255,0.0,0.3860732057981716,0.5745870039076947,0.3441523377861638,0.1928772654281272,0.13163335590500097,0.3493440633187011,0.5526230950243894,0.2760697858497413,0.3677483172899343,0.44085851332904047,0.2938315278005654,0.1477117114388007,0.10407614135495524,0.20737154521687856,0.21594827814032072,0.2834110483312769,0.29797949653158073,0.23261387443802117,0.13975048353982586,0.04856710134633501,0.02935574500412133,0.026594440970399435,0.05783682621079822,0.1102944679066598,0.018596613683973803,0.02701175636805152,0.7122507180352585,0.5875659587648672,0.3977434466755166,0.026008948661662416,0.6020498405175921,0.5607414512963631,0.26514579069057487,0.17828627549975554,0.20040820167164705,0.21484722912413426,0.28291728128575794,0.44828041766819254,0.07833314096003524,0.43472784811540865,0.2971564457514178,0.26855146513900297,0.32737313021758846,0.675482676718084,0.3571957306710506,0.27744472705795964,0.4363076493419681,0.4152010908232423
Metal_Dopant_1 Number of d electrons,0.4648682940646539,0.31848275549067473,0.32369393754691,0.4273017528290244,0.331023133081713,0.3860732057981716,0.0,0.4546515434540136,0.4873244378564749,0.43619425218681646,0.2210199811812538,0.45364136119883103,0.48824937589035255,0.6178826093931168,0.2911082179161888,0.4334273076752016,0.1855229783960166,0.2820814095779671,0.16459639570481166,0.4594758395199643,0.5175157874246418,0.3963535160827736,0.37810337826315576,0.4405191039937517,0.16094078457603544,0.09607407360039548,0.09720216539179975,0.015154260221640662,0.13504248182869505,0.09664045024876117,0.04604897529318458,0.0689539718956838,1.0,0.540923441719,0.44540707678137836,0.11052533893678625,0.36921412109646107,0.4328122551015016,0.17925806226357374,0.25061904333934837,0.41000699450420924,0.3265650662392964,0.17429430825678516,0.31391390100259475,0.21599104779725245,0.49964705850494806,0.22805195253093616,0.26411913390612235,0.20255745705997352,0.26811665637205895,0.31602303390600334,0.3873761106085552,0.5928755038633268,0.37715536703715147
Metal_Dopant_1 Atomic Radius,0.5403422561340241,0.27567373032110837,0.18882441376647202,0.3147427967909217,0.4313879222699869,0.5745870039076947,0.4546515434540136,0.0,0.30490242063695816,0.35857578218330777,0.11510609582672904,0.33516850930243214,0.3689103468605925,0.4140074226815719,0.388491819498803,0.3333323816409688,0.217806381554483,0.2600223897063502,0.11538306097147528,0.22184340787611478,0.23579922227209998,0.2011623464571953,0.2314154864227995,0.13537072917008838,0.08081014175882716,0.0379459173902839,0.04453492940360274,0.003402903494890852,0.0866190781794155,0.05762768398854621,0.019026003095794816,0.03531470820907102,0.6373269382933071,0.49398442754246136,0.37613957278198545,0.020335656296590076,0.4961568148599693,0.6020343926247271,0.17348266642469184,0.14805287515260482,0.23181150158561806,0.1385933929706554,0.23424013044126824,0.3466047955242521,0.0486803452787056,0.42075063067068474,0.2670315399181879,0.28568784328889835,0.2987602381803843,0.40220024848121566,0.3114183270603742,0.3774323892127836,0.3881408679929668,0.4381456060771269
Metal_Dopant_2 Relative Atomic Mass,0.5202586559997033,0.3563236989254841,0.23538348966040507,0.3030964141681562,0.32541904225847296,0.3441523377861638,0.4873244378564749,0.30490242063695816,0.0,0.4014830726687157,0.33149363389065234,0.49572640685807884,0.4896575318793606,0.8865906401434342,0.44166837454663876,0.38562163003923344,0.3060568511534263,0.171481346318919,0.08530859995579662,0.2670458721740446,0.28776322473962224,0.4381740870962414,0.337234225899649,0.23917967588289932,0.06949348293205414,0.06008957538232211,0.028387800740979748,0.011144957420453015,0.027783573658182528,0.07052376957345348,0.0511816466116463,0.06690396802903642,0.6456957518209,0.40365538131290735,0.39665662578528144,0.032467094381653794,0.49843844315921354,0.45269158390447894,0.2576598071466005,0.34131526285355773,0.36677235061146046,0.17058446696102378,0.19793967375608487,0.26778156359446786,0.10274292716392827,0.4265559354961709,0.31874746087444744,0.2967299950790616,0.19231091347365797,0.31594851402351476,0.29019563223958844,0.49253209293465466,0.5171430000038516,0.46759655573358855
Metal_Dopant_2 Atomic Number,0.6003337011176391,0.21356629069051497,0.2256162212167672,0.2273014649284648,0.15641064103518965,0.1928772654281272,0.43619425218681646,0.35857578218330777,0.4014830726687157,0.0,0.3688445215917719,0.37773639798166575,0.4165011637024393,0.37686300746666174,0.23714712508662308,0.21556995642464707,0.09651958061173253,0.40318695592869797,0.22262389609359148,0.4756412756946753,0.19604060758271755,0.43873494540197083,0.3321378962571171,0.3642491691965828,0.262033675212216,0.10898120472702875,0.3394436071217318,0.02412165596282315,0.1532859212243528,0.24794225152722607,0.10203774828856862,0.21282297547058254,0.4319225112503045,0.28187977283452326,0.20799497332574649,0.04083390639278141,0.2127768089521586,0.14956251463215717,0.42195782612337007,0.10609826555691909,0.27314616057640734,0.38240619344906,0.1033410934973988,0.12611693761149378,0.4913214966531751,0.4776008014777716,0.18860354467549587,0.08475622701231013,0.06680565108781224,0.09994246263869191,0.11547362597976762,0.2638673373825011,0.25529379135405816,0.1494500542290782
