,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.023541409241429143,0.05007432906060235,0.10568880552836009,0.2593378539298102,0.20421997968976244,0.11349798487063602,0.18102262059506077,0.1568861756500478,0.0078199382214907,0.0013294208726622988,0.14689725549185154,0.13396295715476433,0.15620748115254354,0.1575179018551087,0.1749450701311397,0.04201725500992322,0.0550162094541654,0.0,0.0905241115126891,0.06440003329286298,0.09223266356358195,0.12000075327037835,0.04860376154958862,0.08929608847250406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955507694228991,0.18193139994659518,0.20928097596454467,0.0,0.20632306656801092,0.2571886345069085,0.08277636516529258,0.03178308511574512,0.08762961776100588,0.034398694714073925,0.14216242692816508,0.16785176297876667,0.0,0.08614481588876836,0.10088692850701185,0.10159858892058198,0.18964433806224634,0.24078666843386304,0.12143017981334288,0.12637187155170426,0.10032683988369055,0.19849116402689226
Metal_Dopant_1 Atomic Number,0.023541409241429143,,0.01146528531400068,0.03829873925936573,0.05045237984770368,0.03346959456992276,0.09907399289267307,0.025431059980881878,0.04864070698723621,0.014726133849368165,0.0010061404556547609,0.041088540564761855,0.008933024011107186,0.14745712667866018,0.019527532690718247,0.02914154064846965,0.03545768261936151,0.015523577405607319,0.0,0.030423934268972917,0.006648693208737969,0.013931080260959794,0.01218626708528006,0.00867169621354241,0.011325689381695328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016895433227817946,0.016375671009417163,0.12462583645385629,0.0,0.023475036239685197,0.0414057786264624,0.01814087884583991,0.01344487116472992,0.04747360042004853,0.019147361292651127,0.007109623851911972,0.00878649420444123,0.0,0.04162741947818119,0.01806012956602893,0.011472600282378856,0.044283237245136296,0.012094937903492082,0.011210309064198573,0.06967316007631015,0.04272251752055842,0.019299817684212434
Metal_Dopant_1 Period,0.05007432906060235,0.01146528531400068,,0.03421191819935645,0.012841737514049248,0.033077454630503184,0.045973427548182365,0.0250520326648113,0.04554442112962236,0.008469985577785225,0.0008040021583348507,0.020929395469221037,0.039628000139564835,0.03989012610352255,0.03095750339347563,0.019161746501365488,0.015654813797397166,0.002451976377605045,5.4262823675129974e-14,0.002260568136343272,0.2637392481664078,0.10608170130144211,0.015806567088306092,0.021720943317692948,0.017407673149109813,5.426282367512998e-14,5.426282367512998e-14,5.426282367512998e-14,5.426282367512998e-14,5.426282367512998e-14,5.426282367512998e-14,5.426282367512998e-14,0.024211553417139143,0.02332354482892612,0.06307264347928834,5.426282367512998e-14,0.039642437322490946,0.028171114891067012,0.02574028461910022,0.0273105208785766,0.04391212310569752,0.016321399380280092,0.011811820667750376,0.014889594593570013,5.426282367512998e-14,0.04077394068334936,0.01817499496522553,0.020271030727544586,0.015848432494059112,0.023343118997397813,0.016479051397198893,0.034483636307777545,0.04197410004643168,0.02613625843213076
Metal_Dopant_1 Group,0.10568880552836009,0.03829873925936573,0.03421191819935645,,0.08569336755068216,0.10696357905302462,0.1013538178852192,0.07912707737940464,0.08590534582389804,0.020218505815307944,0.0021826383942525913,0.09152459454072465,0.08419403424553598,0.08084366405763206,0.07017991722593586,0.08764884375137172,0.04791022042857883,0.05989576456662065,0.0,0.10008416207611116,0.07411604475751347,0.07687505407823388,0.08660873690473062,0.08451018054630918,0.06770164506507219,3.34115976426686e-14,3.34115976426686e-14,3.34115976426686e-14,3.34115976426686e-14,3.34115976426686e-14,3.34115976426686e-14,3.34115976426686e-14,0.14657206481364435,0.0858458190067619,0.19436468866547488,3.34115976426686e-14,0.14805760510281127,0.07539569853721695,0.09615410675546598,0.03802015632980931,0.293484528617405,0.028141408268535003,0.03687857376910455,0.0945368148505654,3.34115976426686e-14,0.14312075851406267,0.338848501896829,0.04856757778741516,0.07324971344950662,0.135521230313566,0.07787271701438944,0.09417527673141383,0.1200658031800157,0.09466157824522922
Metal_Dopant_1 Ionization Potential,0.2593378539298102,0.05045237984770368,0.012841737514049248,0.08569336755068216,,0.2589525408516677,0.11700792140897483,0.14610420431857407,0.11478946377121843,0.016503193174890532,0.001994423044722318,0.15562777691796467,0.17579662031242518,0.12088847337883676,0.15666884327332606,0.18313045879306253,0.02320026633210088,0.04696349982419101,0.0,0.05308387169186077,0.060938477652322756,0.09778857490913083,0.11299940134622354,0.047430940439539535,0.07529096978521198,2.3169519117459298e-15,2.3169519117459298e-15,2.3169519117459298e-15,2.3169519117459298e-15,2.3169519117459298e-15,2.3169519117459298e-15,2.3169519117459298e-15,0.1733675745844877,0.17688545724705299,0.06986744892107327,2.3169519117459298e-15,0.20050368202499644,0.20927330984436768,0.055887356916188694,0.04419561868846,0.04287360720213222,0.024451315977513887,0.18958900741239043,0.188938059795204,2.3169519117459298e-15,0.08879543971830095,0.07095614920826676,0.24041566979791226,0.21843313220465116,0.2039240495757785,0.14024131540290186,0.08685275186478329,0.05499175893777872,0.11338938833185004
Metal_Dopant_1 Electronegativity,0.20421997968976244,0.03346959456992276,0.033077454630503184,0.10696357905302462,0.2589525408516677,,0.13027817864207888,0.205323083395402,0.0837572499495855,0.019155408203300913,0.0017483133440658381,0.13069276335085325,0.21016494491437385,0.1618728166257756,0.13917530665119932,0.17866130566146785,0.04880749883451839,0.09420122527760892,0.0,0.09039048154432727,0.12062783934959702,0.16736572111011117,0.16590029197697534,0.0542090860820102,0.09708305140164944,6.620107572641526e-15,6.620107572641526e-15,6.620107572641526e-15,6.620107572641526e-15,6.620107572641526e-15,6.620107572641526e-15,6.620107572641526e-15,0.1743649816642453,0.23599270339213488,0.16213494576151025,6.620107572641526e-15,0.19459558546092745,0.21426858579618288,0.08489255024460718,0.04054785027660786,0.03363953473273591,0.09203926299698256,0.11071794227898879,0.14191113343733577,6.620107572641526e-15,0.16696240174197471,0.05854930089146228,0.09359917846934265,0.15366552144678672,0.20372453121086234,0.15292306304400893,0.1767858627424658,0.14580879430587182,0.16189177385343534
Metal_Dopant_1 Number of d electrons,0.11349798487063602,0.09907399289267307,0.045973427548182365,0.1013538178852192,0.11700792140897483,0.13027817864207888,,0.14916215017469217,0.1239152551862139,0.011069791919017294,0.0026671570308827008,0.2210233415182648,0.16006426969662085,0.18461936746329438,0.07339901982636218,0.16024984094893904,0.023655125707607274,0.08163084641603394,1.8897004716812323e-14,0.0806038137450861,0.11455183331901142,0.134638398327868,0.1084714752667878,0.08736759394050493,0.11185663484760006,1.8897004716812323e-14,1.8897004716812323e-14,1.8897004716812323e-14,1.8897004716812323e-14,1.8897004716812323e-14,1.8897004716812323e-14,1.8897004716812323e-14,0.37791597092528734,0.2094739188459386,0.2641571432973274,1.8897004716812323e-14,0.14646543559663433,0.20505751370681005,0.06374366970813568,0.06303113301315234,0.040595919375180735,0.03600152605060987,0.0736648371607244,0.06903879255839239,1.8897004716812323e-14,0.05908587121867131,0.10169991883411425,0.1924557174774183,0.09425977949510425,0.09197096267896296,0.12023231732202043,0.1414267023831699,0.25664715181935216,0.13398985389421844
Metal_Dopant_1 Atomic Radius,0.18102262059506077,0.025431059980881878,0.0250520326648113,0.07912707737940464,0.14610420431857407,0.205323083395402,0.14916215017469217,,0.130848354761764,0.04899195230316218,0.002535764544209757,0.16027124004890436,0.14920561827201445,0.16230290415667373,0.10742889408932753,0.13104199099066707,0.064468976506524,0.06445934873993746,0.0,0.07026451765682049,0.0873578515524144,0.09497647871935053,0.09882921709907129,0.05804548317314827,0.058655910896654784,8.916058138654987e-15,8.916058138654987e-15,8.916058138654987e-15,8.916058138654987e-15,8.916058138654987e-15,8.916058138654987e-15,8.916058138654987e-15,0.16672942716466144,0.16559716359525867,0.1547302487855311,8.916058138654987e-15,0.19595279446469305,0.25107783842546616,0.06808323364575614,0.03338791455439355,0.08654946608965178,0.02335960277244946,0.10592936571545732,0.0940728810540134,8.916058138654987e-15,0.07709444578413559,0.06883119451960695,0.09352843731408608,0.10673512018132612,0.17696343773949721,0.13786238296191003,0.21276055255422358,0.16338593572433852,0.15833167466916684
Metal_Dopant_2 Relative Atomic Mass,0.1568861756500478,0.04864070698723621,0.04554442112962236,0.08590534582389804,0.11478946377121843,0.0837572499495855,0.1239152551862139,0.130848354761764,,0.008559569854376888,0.0013392854921816346,0.14332596176692722,0.09977268810954279,0.11438434779673345,0.1938117139418959,0.09984652881051208,0.020352211408510384,0.04774868634054032,0.0,0.0607757025078446,0.08653152375252993,0.09432888904349032,0.05368769888947948,0.10471041834428613,0.045863822679311654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09184434635765357,0.10736346422614224,0.16186820354592507,0.0,0.18935294506908248,0.1741577791386845,0.09316797977483315,0.020818346839402896,0.05542865956649611,0.01165764946758097,0.08218429870755162,0.052435659244405575,0.0,0.046300902766261726,0.06420386316482209,0.08554499037604912,0.06257446112613926,0.08921535635021016,0.121636481320861,0.08395263027086661,0.14428330444978102,0.11447198868280603
Metal_Dopant_2 Atomic Number,0.0078199382214907,0.014726133849368165,0.008469985577785225,0.020218505815307944,0.016503193174890532,0.019155408203300913,0.011069791919017294,0.04899195230316218,0.008559569854376888,,0.013199824323780971,0.004276297166496305,0.013517791919196151,0.021971633542523183,0.006820397312934181,0.009265403217696602,0.0257224717168202,0.006723194018581299,0.0,0.008426289745587436,0.009870058289206942,0.008889070150228927,0.013418916099219561,0.014825106137691571,0.009261837840200415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008119461141211072,0.013391076801145495,0.016809340360662433,0.0,0.039499883377143594,0.009396505105397865,0.010651212211735197,0.017433956967383528,0.0763717917400816,0.1968841663252979,0.018788702299318533,0.007540505484726912,0.0,0.014665777685295927,0.012604833003204535,0.004779945273760648,0.005577046777683334,0.009899914848035426,0.00986815877050341,0.135945256082678,0.06312780456836216,0.004824553178932386
Metal_Dopant_2 Period,0.0013294208726622988,0.0010061404556547609,0.0008040021583348507,0.0021826383942525913,0.001994423044722318,0.0017483133440658381,0.0026671570308827008,0.002535764544209757,0.0013392854921816346,0.013199824323780971,,0.001835342615280964,0.004241126249098349,0.0018712855489813776,0.0013306126843271077,0.0011796397248567193,0.0026426136586711413,0.000636640286757277,0.0,0.0004717454320644077,0.0015886890704290746,0.0008986591850315611,0.0012617004386874364,0.0006224591363443178,0.0013143460609779604,1.5242140795537655e-12,1.5242140795537655e-12,1.5242140795537655e-12,1.5242140795537655e-12,1.5242140795537655e-12,1.5242140795537655e-12,1.5242140795537655e-12,0.004056817314879138,0.0015784857502736136,0.00426049890522272,1.5242140795537655e-12,0.0040121628049135235,0.003714804177569133,0.0027971331229747517,0.0038461598481041226,0.02889230094357289,0.01285367069282853,0.001880354889053986,0.000669717104581472,1.5242140795537655e-12,0.004185913869241258,0.001433628020075578,0.02544254688347547,0.002223681722687303,0.0017215296934057524,0.0017601351737008566,0.0011670642800384406,0.003779017925458248,0.0013957441506834158
