,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.10590928260530377,0.0,0.17311907606068963,0.17432901064975856,0.24279296428793004,0.12227051512205539,0.16969794277190495,0.24440319515056952,0.022538142141257943,0.0,0.18913441143706833,0.12694969948805074,0.163746267477705,0.15154038875274192,0.23256247698903715,0.15044202429875267,0.04823891322057275,0.002384172682099555,0.08132978606495637,0.06818215033753094,0.13249983999268314,0.19638300269411252,0.16379279787927759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267414153984792,0.18654330805910985,0.5247625792285316,0.0,0.2119593005974193,0.26827509426987045,0.10125677592198777,0.02195839121074141,0.03453419632934453,0.13609887953890212,0.1551026014460513,0.10697566566455317,0.0,0.16025527315698251,0.15215436865291648,0.08644495950711277,0.18898589353291093,0.3043181349137121,0.018880623529178516,0.10891668433826016,0.21695556768440272,0.14999604974536654
Metal_Dopant_1 Atomic Number,0.10590928260530377,,0.0,0.029823231844529802,0.05310412636313608,0.09588536242708055,0.1415622060659742,0.06017545087492521,0.02915041900238862,0.012790541265677106,0.0,0.05369808025184211,0.11698118797754271,0.10559193448821927,0.036500866748983084,0.05184568493358516,0.052037451475286614,0.02731928238398582,0.004743236897999649,0.026127834808161436,0.013750561730054017,0.037304305189173534,0.015776395009758422,0.04270613978677004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028421774714842574,0.05116575208542108,0.047420724662625535,0.0,0.06087967664555981,0.03968790057963174,0.28110944309575464,0.017947162803726935,0.035423982734535196,0.005922681281688838,0.05153651128348864,0.014823383526091662,0.0,0.5726721542364345,0.03201250228361975,0.013604888552800821,0.02300550571931742,0.04353254317363651,0.002915397784205445,0.055138958692440676,0.02206461642949291,0.08419638113204302
Metal_Dopant_1 Period,0.0,0.0,,2.3994355913709676e-14,0.0,1.1388580646008455e-14,0.0,0.0,0.0,0.0,,1.0705122690029496e-14,0.0,4.983172637283446e-14,0.0,4.101176123158525e-15,1.1734647161704246e-14,5.902373622747917e-14,7.942153704218255e-13,2.6173731138360117e-14,4.6577301088856695e-14,3.878055479864e-14,4.2972360248683915e-15,4.123033817006995e-15,,,,,,,,,1.8694383541979235e-15,3.6138438246644435e-15,1.09387311437166e-14,,0.0,4.212264581513414e-15,0.0,0.0,0.0,0.0,1.907572917280211e-15,1.3039925716089803e-15,,0.0,0.0,0.0,7.895999886420828e-16,2.7541191951988056e-15,0.0,0.0,0.0,4.998985030470419e-15
Metal_Dopant_1 Group,0.17311907606068963,0.029823231844529802,2.3994355913709676e-14,,0.07154331968347082,0.13748487932272352,0.10033316049987406,0.09573075734146969,0.12132352623098969,0.050284836049834865,2.3994355913709672e-14,0.08310387773559005,0.09031048078118455,0.13055018703999874,0.06332738960644983,0.05650745297189252,0.20185402248714251,0.02864182955991461,0.0022185219476277347,0.14274779069761298,0.17326817488874566,0.18288313634982528,0.07180568997659818,0.10781670434243765,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,2.3994355913709676e-14,0.07078733122899203,0.0951575326823058,0.14966367703970546,2.3994355913709676e-14,0.10444078191544097,0.11144197661339454,0.10719207759362201,0.013498758553473739,0.1286132892365105,0.084275389342336,0.07337270958517887,0.05888671067516213,2.3994355913709676e-14,0.054059187851293176,0.07243083326997624,0.0680608655670442,0.05647563820087331,0.12699947457077976,0.2846957044757278,0.18244527152201986,0.09779943518032357,0.09336101245377958
Metal_Dopant_1 Ionization Potential,0.17432901064975856,0.05310412636313608,0.0,0.07154331968347082,,0.15332862959681476,0.05112918421430073,0.08762677823118696,0.10715219959238062,0.008369464542090733,0.0,0.0781697657708783,0.061867524534587603,0.036174681461222054,0.1515830916746775,0.14155250392718685,0.08267634282447225,0.015765700096858324,0.0007928993121875946,0.06023452891716773,0.021273772848520407,0.03671517712748047,0.12033828985249054,0.16001195303651322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456728571711123,0.144761577076666,0.07968725949122481,0.0,0.1745850513125832,0.18342238086637333,0.03751006650571712,0.0073232716457910145,0.018160464107363213,0.07912638999025387,0.20740367678990249,0.18053744157352244,0.0,0.055255541607261406,0.08259535723084432,0.19851319479737747,0.22591880545832124,0.25104764113966227,0.006093238976241584,0.04764498383828662,0.1142663881834787,0.10023924957770715
Metal_Dopant_1 Electronegativity,0.24279296428793004,0.09588536242708055,1.1388580646008455e-14,0.13748487932272352,0.15332862959681476,,0.12225767837793305,0.1964419420803256,0.08278211866504535,0.00949540650687737,1.1388580646008456e-14,0.15311537546126877,0.08341930091875156,0.09903396663291003,0.20791644854191466,0.1397261351619014,0.25369604704898696,0.05552373789672325,0.002152772198428441,0.09074999912423141,0.0361159087069472,0.27170885775413345,0.12347735713765527,0.09803971377863895,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,1.1388580646008455e-14,0.08280062070353827,0.16858364355879338,0.28535636598117803,1.1388580646008455e-14,0.16329580297542104,0.13011117902373553,0.053629977314491484,0.018372028916491367,0.034074234300408006,0.12820904284196638,0.13905160905454247,0.11119020336739088,1.1388580646008455e-14,0.08881511557416172,0.10497143177324728,0.09009236799232954,0.08832726907864877,0.15773359562887512,0.02354820021431144,0.10850679348589119,0.17275678680232504,0.1711634601409391
Metal_Dopant_1 Number of d electrons,0.12227051512205539,0.1415622060659742,0.0,0.10033316049987406,0.05112918421430073,0.12225767837793305,,0.17011910381413176,0.08329616423822903,0.04348331078616641,0.0,0.13775622718129224,0.09337393919195888,0.12338684103435578,0.04787111649730008,0.045678118433745536,0.05671671545393171,0.07493064003063468,0.010236063444162094,0.1331640098385089,0.23506228332429355,0.11736832952292561,0.042542522935061784,0.04668657276027777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10168800375181233,0.10988054157433322,0.17842927385103802,0.0,0.055336974960027624,0.08009284907557847,0.11535085805954674,0.027380117088713112,0.06509750045144795,0.07316797470780187,0.11184080995739479,0.04141483968599123,0.0,0.1911897246396926,0.07249164863069571,0.05674295450259896,0.08236510637045141,0.10308694952933085,0.05281178050040491,0.2533891565988397,0.08801769613073074,0.054687125495326824
Metal_Dopant_1 Atomic Radius,0.16969794277190495,0.06017545087492521,0.0,0.09573075734146969,0.08762677823118696,0.1964419420803256,0.17011910381413176,,0.1518546411497115,0.014155412521667464,0.0,0.12005889302057166,0.12449120509351604,0.25463320475860796,0.08970085888478574,0.09102505180040182,0.1744905341749341,0.04990809935266968,0.0029920175980742243,0.07502173430808422,0.04641232805631492,0.087508210141415,0.0633630476242763,0.10269878958942712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08417589194300072,0.12178659867388084,0.12435446038788767,0.0,0.09650641240693475,0.15974986430743923,0.06136570183873282,0.04353156895373921,0.046379284163153026,0.15373328171392203,0.0739865453595712,0.05971183314209502,0.0,0.3428779842151257,0.09261345338322119,0.05865986281382332,0.10164996295800448,0.09800565831318973,0.03788405747911229,0.10680468210644563,0.09610903485515472,0.1108527279309942
Metal_Dopant_2 Relative Atomic Mass,0.24440319515056952,0.02915041900238862,0.0,0.12132352623098969,0.10715219959238062,0.08278211866504535,0.08329616423822903,0.1518546411497115,,0.017655041403153222,0.0,0.1753508122491035,0.20171125145707977,0.07500479601748197,0.11180157802803735,0.10298808317533636,0.0976897675762725,0.027051326670100444,0.0029893157943373556,0.06490714435214688,0.035518869760187,0.08203954280011427,0.108478888614891,0.09195814329736773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09075320930813113,0.12715490564038534,0.1773033691297609,0.0,0.1210607406248122,0.2336354180294608,0.06459843836714517,0.023958186164178323,0.028994717300231707,0.0948587140774874,0.0992276410383404,0.06053066585671216,0.0,0.06293757116029194,0.094701174569511,0.06910360974584638,0.06027440376396345,0.1559513047377401,0.017795649484086483,0.06350419157704862,0.08592030757392498,0.1499236703651665
Metal_Dopant_2 Atomic Number,0.022538142141257943,0.012790541265677106,0.0,0.050284836049834865,0.008369464542090733,0.00949540650687737,0.04348331078616641,0.014155412521667464,0.017655041403153222,,0.0,0.020886012350571335,0.01772935858258073,0.05462101171933544,0.012217027954372092,0.008813652616611569,0.015108705400495756,0.020712857268844784,0.011757135567281186,0.029864553809829452,0.023993611055187214,0.1728477900328305,0.021817505056832037,0.010368416920624275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009077625922667016,0.00843060121639456,0.013295270749316261,0.0,0.013128225836208417,0.028467289654277538,0.06573102757866621,0.006304912457292455,0.5800209981435637,0.019010288561793483,0.017613190429533045,0.007519388204137296,0.0,0.018324377234470786,0.014145551156673727,0.005517385405738258,0.016826725801540227,0.049050562293810794,0.04844960269287184,0.20030995806623236,0.013050161939088749,0.02494504471662794
