,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.026475270578405753,0.0,0.13490828421092807,0.24729317754952332,0.16865919098058776,0.08819314571548542,0.18264214451118715,0.12188596074184062,0.031019144988155056,1.660136404489057e-06,0.12869141483364172,0.1032910403603845,0.10868358685947145,0.11329017969696634,0.09414203348046919,0.1288211737528079,0.021603264229660874,0.0,0.031179281716950027,0.06133497453706247,0.17284458529807528,0.06438214199746076,0.07297565637822558,0.0015500889422875815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734632062158531,0.1875263100581995,0.33166245906045355,0.0,0.19990690812424675,0.2358267682157969,0.06386898765918207,0.06745636339545967,0.03344880848546303,0.1537715602082797,0.13452571266325455,0.16058282765146215,0.0,0.03514619392560023,0.08968127805323423,0.12949656395816933,0.20357630692766449,0.19305478025962736,0.0791345865475432,0.09532563145482276,0.12441114402103763,0.22432322113612327
Metal_Dopant_1 Atomic Number,0.026475270578405753,,0.0,0.03588090711475069,0.05379277464390534,0.06412551452340931,0.05971402813493821,0.07461118733865027,0.12083649637213835,0.052470111520602186,1.547156303447614e-05,0.043625285409817124,0.060338938722875525,0.12955370172294262,0.041440277428821226,0.06374168076941633,0.04563933918921334,0.008709013636210898,0.0,0.04969991791786468,0.02472666168936174,0.03939599545989478,0.012811916322035294,0.013371122434208248,0.00014469489915627727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07120951238835357,0.042534614100335065,0.08102964566129138,0.0,0.03024750710350663,0.03540666194976392,0.03780572706689875,0.15904887781971497,0.03271311721915666,0.037343011298942255,0.02259429766502644,0.03186661415707523,0.0,0.1310889490436335,0.02703485341549231,0.10460790020993482,0.05860489487624732,0.028018200312638127,0.011258550957253645,0.08303525179524575,0.03551936310310789,0.03625567925789555
Metal_Dopant_1 Period,0.0,0.0,,4.413602725201625e-06,1.4744153013397677e-06,3.1933395427293674e-06,0.0,3.9133605390962126e-06,0.0,0.0,,4.78181176177824e-06,0.0,2.1949646144401462e-05,0.0,7.4333855479292485e-06,4.677446422691234e-06,5.185131812002268e-05,,1.9624708080227465e-05,1.0400027005974168e-05,1.4628464269302908e-05,8.230505843696004e-06,9.292632921472068e-06,0.0,,,,,,,,0.0,0.0,3.7651118089325716e-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3631748103371253e-06,,0.0,0.0,0.0,0.0,1.230040283455915e-06,0.0,0.0,0.0,3.2023886496793567e-06
Metal_Dopant_1 Group,0.13490828421092807,0.03588090711475069,4.413602725201625e-06,,0.2027984788092013,0.1690368982408569,0.13752034253778367,0.14372424968947384,0.12017888844519407,0.04067008568405747,0.0,0.07712679344376645,0.16172738298104306,0.07219595890189989,0.10610396639261771,0.07829424335177146,0.11139001687079506,0.01207035309821898,4.413602725201625e-06,0.14917218024869505,0.0766384212605641,0.07900039436135047,0.08072071910442288,0.08159889594537831,0.0006845109560814483,4.4136025663195675e-06,4.4136025663195675e-06,4.4136025663195675e-06,4.4136025663195675e-06,4.4136025663195675e-06,4.4136025663195675e-06,4.4136025663195675e-06,0.22451671019753588,0.10742817110872882,0.24186964334154828,4.4136025663195675e-06,0.12379672095195628,0.15399944907495727,0.06909968871114659,0.05442276054223005,0.041100173246038395,0.05301637584774957,0.0719480800241827,0.1433650900243268,4.4136025663195675e-06,0.15773731792569007,0.11744319744628609,0.13011557504428126,0.13306478535157384,0.11895108313963693,0.06160248544452441,0.11580631745970182,0.12932159317896075,0.11027802973658976
Metal_Dopant_1 Ionization Potential,0.24729317754952332,0.05379277464390534,1.4744153013397677e-06,0.2027984788092013,,0.5271343089768136,0.10297445144476958,0.15765812062302983,0.11435262966321562,0.028698622601655007,0.0,0.12787778738718375,0.09467773069174125,0.12202370341778679,0.1370278797371535,0.08625938548266165,0.09807527962303988,0.009775615664081748,1.4744153607906443e-06,0.034580277474768176,0.11815104185510446,0.08796020272281321,0.12796084694552695,0.07738539417783223,0.001477666457404056,1.4744152418888888e-06,1.4744152418888888e-06,1.4744152418888888e-06,1.4744152418888888e-06,1.4744152418888888e-06,1.4744152418888888e-06,1.4744152418888888e-06,0.18289909606163918,0.1532104521472118,0.1373233346679994,1.4744152418888888e-06,0.17915261182505213,0.18548907645795207,0.03269493028477967,0.07997552169143363,0.04010376174935245,0.1191284297776183,0.180767335918534,0.15116982678274518,1.4744152418888888e-06,0.1176330146529926,0.04610817499422673,0.231337860576873,0.21192231742173337,0.2789299135605882,0.2033223041878865,0.05578622566073379,0.113594308611449,0.1880556799532055
Metal_Dopant_1 Electronegativity,0.16865919098058776,0.06412551452340931,3.1933395427293674e-06,0.1690368982408569,0.5271343089768136,,0.15265007833046373,0.19121164539860044,0.1390265922649068,0.06806875088987555,3.1933396525270026e-06,0.1661107419381078,0.22427915867201972,0.07832427138148271,0.15160022137338494,0.11858045113407782,0.20697353457706122,0.0243912396459804,0.0,0.07947661486250532,0.08903851601965866,0.1333242821995549,0.11776187032013496,0.1301764148372722,0.033872199883458784,3.1933396525270026e-06,3.1933396525270026e-06,3.1933396525270026e-06,3.1933396525270026e-06,3.1933396525270026e-06,3.1933396525270026e-06,3.1933396525270026e-06,0.24885376926172542,0.20534684902093214,0.15164866381388642,3.1933396525270026e-06,0.18862737441090996,0.17259391951600866,0.13824989582292993,0.08042819845947637,0.0464816008974896,0.14846020084748507,0.13087401663526882,0.11942773473184039,3.1933396525270026e-06,0.057260491474726435,0.14589464118432152,0.13474865610722,0.15322867895294898,0.3589269427403572,0.15209861034811825,0.07035469180271965,0.14570424349474173,0.1454447653592213
Metal_Dopant_1 Number of d electrons,0.08819314571548542,0.05971402813493821,0.0,0.13752034253778367,0.10297445144476958,0.15265007833046373,,0.14220920288718902,0.29216423131418884,0.1502255982001762,7.731221970014195e-06,0.12220349797757979,0.1598249295580036,0.12212020348840756,0.08451726424928163,0.11854093656659473,0.12061829553283729,0.024293273366886886,7.731222695635312e-06,0.11265882260521694,0.23841075234438397,0.18724420766868333,0.05440879897192791,0.32807553609140233,0.004079866651197992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3282211941882708,0.14096573107105756,0.11261377361652623,0.0,0.13543004047659069,0.12113823185578537,0.04425695357479622,0.09271884345040272,0.06387638189771888,0.22079494306501465,0.088614440702581,0.1727655711124004,0.0,0.10136760128828408,0.07645737802644109,0.059035865605184486,0.06643217225265442,0.1454605540504087,0.06646539571472071,0.1312515021488133,0.08299254473040185,0.13562387484814617
Metal_Dopant_1 Atomic Radius,0.18264214451118715,0.07461118733865027,3.9133605390962126e-06,0.14372424968947384,0.15765812062302983,0.19121164539860044,0.14220920288718902,,0.11163734682757642,0.15737240856672255,0.0,0.12985369594518675,0.13070798710177559,0.13037623509990412,0.16778699524861748,0.09519770042202039,0.13752137734913217,0.14363887784672472,3.9133605390962126e-06,0.0777916390470926,0.11735379754536399,0.11042633162559101,0.08281312730828795,0.05686259565814758,0.0026292386761199915,3.913361076671693e-06,3.913361076671693e-06,3.913361076671693e-06,3.913361076671693e-06,3.913361076671693e-06,3.913361076671693e-06,3.913361076671693e-06,0.19961133426336278,0.21829300534123752,0.10823220190919111,3.913361076671693e-06,0.15235009702810157,0.22657433782501837,0.04985851438788245,0.09299576813064933,0.07265754674164007,0.08235313943748553,0.10817300743746179,0.10636831046877036,3.913361076671693e-06,0.15666561982416144,0.1700114581966527,0.1375676292971431,0.17059010203613434,0.21335210441994992,0.12606497318862453,0.14393797302975259,0.14729570407311934,0.22637930133502207
Metal_Dopant_2 Relative Atomic Mass,0.12188596074184062,0.12083649637213835,0.0,0.12017888844519407,0.11435262966321562,0.1390265922649068,0.29216423131418884,0.11163734682757642,,0.10058796672831863,7.3603732532807424e-06,0.24446551059021895,0.16784287393802183,0.19585525232298512,0.11653485768953614,0.14085561266456872,0.14907525610434355,0.029328615071955576,0.0,0.1417944052027454,0.06866148090944099,0.106524900717965,0.08085466825272052,0.07529252275913607,0.00125585544052248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25898496427971185,0.1934236602168707,0.12422178593818127,0.0,0.15954826087874552,0.12716023849551186,0.07816748528570948,0.16514540685531592,0.13112222459422582,0.058451520839060474,0.08835040373404604,0.11725664331019044,0.0,0.21523276880369027,0.13729633338751956,0.17071878682853647,0.08919108411308102,0.16102323139488037,0.0625929402574626,0.3593845062228852,0.09001733574845301,0.25289983955400325
Metal_Dopant_2 Atomic Number,0.031019144988155056,0.052470111520602186,0.0,0.04067008568405747,0.028698622601655007,0.06806875088987555,0.1502255982001762,0.15737240856672255,0.10058796672831863,,1.8318613531035004e-05,0.04049216414866014,0.05333531564324278,0.10086601380908614,0.05127314849606116,0.08456802955114771,0.04152793478989277,0.008370083804084421,0.0,0.033431653813794426,0.020994618944710594,0.39096734665267685,0.01447251401425416,0.040887800125670906,0.00016113327633170827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14550895512127693,0.09353392083162715,0.03174289557815101,0.0,0.05663604027666958,0.04255376791508665,0.05505911985666298,0.04958420585250097,0.049990171695255284,0.029506571438132113,0.04713447851647264,0.023617750641240602,0.0,0.1319064871298421,0.024084500377203086,0.019928485403389023,0.02506365016061615,0.048143674994005306,0.02181070631226296,0.0896111492421887,0.029470864292972382,0.036666339454915486
