,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.04194987747658651,0.0007960810840762149,0.055181017067012846,0.04382977574687977,0.25897516273070015,0.06827802241231926,0.0645263579203333,0.061747036813793926,0.011173791605673153,0.0,0.05940252940663464,0.04228910222552451,0.04491865257739384,0.027284997685990877,0.04280373193513375,0.06931403968675935,0.0013007089524281641,2.2573197147538654e-06,0.013924778614004409,0.011140647476395262,0.014164057744625194,0.017098244947354384,0.026967735624308764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11090453338236395,0.06697296125053949,0.043444366004696984,0.0,0.041351773336885875,0.14786757134946144,0.044589081308786395,0.020211355668182683,0.007654779789288911,0.13295680505979204,0.04391335519333724,0.029051609648251837,0.0,0.03192295102422379,0.005406706370846585,0.020272327974868568,0.0808538313498861,0.13689850531875034,0.004086011398331931,0.05761170861787149,0.07570602292046326,0.08800005544186437
Metal_Dopant_1 Atomic Number,0.04194987747658651,,0.00061836026596566,0.03378762877168335,0.04468059129844003,0.04151252023220697,0.035489184399779196,0.03393917042332754,0.07482950003461014,0.0069055421631208,0.0,0.05430886472320521,0.019519125229027236,0.15082401668283807,0.028898757532596714,0.019328322804573656,0.11968209026762423,0.00012930211988365541,2.3230793864654003e-05,0.031421515904544214,0.00818386990055245,0.1874139115098671,0.004117673000205345,0.003933368764677895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15141532511793418,0.06733556000062549,0.01506452049217724,0.0,0.03200953744432392,0.11207460080202382,0.2129950949939978,0.02011523463160032,0.027727802435743836,0.004209573789207154,0.028258188970462485,0.01492995790497745,0.0,0.1679058042557122,0.012591798423318814,0.012416344314627382,0.058586153897983925,0.04900912167110525,0.004903970985010258,0.06453858704236627,0.07368339433223188,0.1501982967722666
Metal_Dopant_1 Period,0.0007960810840762149,0.00061836026596566,,0.00309258718681548,0.00421389913264005,0.00024164125113962444,0.003936148301944987,0.0026272322579573896,0.02020771540785939,0.0015591511868795621,0.0,0.008746947671015458,0.0011292567693608965,0.008891458945582954,0.00297904209340681,0.0009660504441036915,0.00025678517773583645,0.000489312015253891,6.547566433396848e-05,0.0007713066131925575,0.00036507230668195455,5.002556203921677e-05,5.501478279694877e-05,0.0006829458480477898,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.00029280639783391837,0.0023361038501705893,0.001564888578991661,0.00045104642053782085,0.00029280639783391837,0.0007182425213154024,0.002179687037514399,0.0005246145987091641,0.0079720121585017,0.006739905163412585,0.00011058836162704719,0.0013040664935071121,0.0005591267391214346,0.00029280639783391837,0.00563092496648585,0.0010280986999577212,0.0008143543202594177,0.0006457296782516066,0.010299403738635724,0.0066368689971048065,0.0009118281643324444,0.004735841962671769,0.0009004338908239791
Metal_Dopant_1 Group,0.055181017067012846,0.03378762877168335,0.00309258718681548,,0.04749626785791898,0.08288497274094025,0.042412850780651615,0.053932360135502865,0.11813071378327146,0.0068071492280837595,0.0,0.12798182235138938,0.07633404933425589,0.04672307715949287,0.07575894768241648,0.07210229742471057,0.13274848137895387,0.0008918196701539752,7.050927581386971e-06,0.02410758946564061,0.06025031154204714,0.015767262280425045,0.023931332015273657,0.07713900718203047,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,1.6685523031269334e-05,0.07146295352339642,0.07982208136947148,0.05001162188006684,1.6685523031269334e-05,0.07446427139916378,0.07191391817738653,0.03401867932416508,0.01667309486956239,0.008798572901274228,0.012571743305931315,0.05047752569736542,0.023130254065641547,1.6685523031269334e-05,0.01671364834152614,0.009509357768677583,0.015611112219776895,0.02980297274369304,0.03695010919067059,0.006861734030892205,0.01637932104452493,0.06638907815744813,0.16472231851021818
Metal_Dopant_1 Ionization Potential,0.04382977574687977,0.04468059129844003,0.00421389913264005,0.04749626785791898,,0.3394679743331836,0.05869411280275905,0.03995623073281361,0.07987867803878793,0.005682244393033558,0.0,0.1312913108154834,0.0822752805604116,0.1290293380606615,0.19606312378430907,0.08610739636030813,0.03699350867867015,0.0017650302893196079,1.289365436727589e-06,0.004021340300391901,0.0036259620462334437,0.043260293261308716,0.01654669256545702,0.009184026532238463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979750947152698,0.13276108275737875,0.05295236816552901,0.0,0.0942685436236909,0.09751258156002841,0.13355548522302427,0.03541009850411329,0.01648517674553043,0.03914555586555536,0.12125360465275645,0.22018103902657982,0.0,0.005422037126758206,0.0014208940240576723,0.008169551725546684,0.3114930372005202,0.3586623693149027,0.00637404547593222,0.04380190863856415,0.059136536306697456,0.17522411015816103
Metal_Dopant_1 Electronegativity,0.25897516273070015,0.04151252023220697,0.00024164125113962444,0.08288497274094025,0.3394679743331836,,0.0471605065232976,0.07937794777237228,0.08277482300600497,0.010719508839436547,2.969865150518635e-06,0.0486834339314274,0.3093746508764481,0.1372518638259126,0.051964382624292565,0.2530618256978692,0.12606343941931641,0.002219454436022059,2.4248861733174976e-06,0.02158711364783951,0.039269127905774866,0.10464349583764596,0.04411149932182148,0.038445440334733176,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,2.969865150518635e-06,0.2958182980867253,0.18654102401096065,0.10820816548276252,2.969865150518635e-06,0.13468510615443643,0.17289538023835574,0.053770829132843166,0.010425852015707619,0.012697476513936485,0.12938000189620422,0.09950941824401673,0.2524189871469088,2.969865150518635e-06,0.021198450834097222,0.0022220031959918614,0.014777360881884688,0.17812080820619422,0.25574650528588144,0.0037294219094366602,0.02718237833803975,0.027668846725769,0.23164605971970628
Metal_Dopant_1 Number of d electrons,0.06827802241231926,0.035489184399779196,0.003936148301944987,0.042412850780651615,0.05869411280275905,0.0471605065232976,,0.0442597953529907,0.04089203098812525,0.0052387405195245505,0.0,0.3539990908570277,0.035609933086139835,0.3473975105139329,0.08244260666150353,0.023171815048158687,0.02378189085152557,0.000663990460947513,9.847935480773151e-06,0.021009880635111028,0.04402367742411158,0.036722489318054156,0.0027798792721748095,0.05716008765879913,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,9.183265389367486e-06,0.11285092242595622,0.1823956369086024,0.05157418767134384,9.183265389367486e-06,0.05045834568025338,0.07519722085510157,0.028749151803364237,0.07196276726321861,0.07428704606079421,0.010229556677416363,0.02083328829348238,0.01746787746252312,9.183265389367486e-06,0.0066786305443436505,0.006660012683305144,0.02763065060659443,0.026615495269049896,0.033487842407404565,0.001535927271195424,0.061404747090728254,0.02380960948992578,0.057722243403067836
Metal_Dopant_1 Atomic Radius,0.0645263579203333,0.03393917042332754,0.0026272322579573896,0.053932360135502865,0.03995623073281361,0.07937794777237228,0.0442597953529907,,0.038803094607581606,0.004071414696161107,0.0,0.0650891805540529,0.03301969738201547,0.06578116011199646,0.04648339676486251,0.07776293863273206,0.08529627534467177,0.005107961020316007,1.0739207040032764e-05,0.043765678574959374,0.011788432180979585,0.013344055549512505,0.010243463243209879,0.028309275836951194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14600127523266374,0.05211415865748455,0.23480504972810415,0.0,0.04357032024210248,0.05787286964673099,0.03548398570987173,0.01565610903612375,0.010854058723916848,0.026191483520793868,0.04695809370012402,0.015104789440985826,0.0,0.14223406404074823,0.009827282103247197,0.02977246818013446,0.07023645597639445,0.07109041132724822,0.008778653371146482,0.024320991211754447,0.05182267285125753,0.08333084515052304
Metal_Dopant_2 Relative Atomic Mass,0.061747036813793926,0.07482950003461014,0.02020771540785939,0.11813071378327146,0.07987867803878793,0.08277482300600497,0.04089203098812525,0.038803094607581606,,0.002877127370948452,0.0,0.14896200016522163,0.04093554310905298,0.15520080945209125,0.08870106490051959,0.09051487165722458,0.03955315389886418,0.0024048721078324775,4.266548609106005e-06,0.004721910490473506,0.004874951521361136,0.033777975435260656,0.013193934845282102,0.010668438574134022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08650151196727585,0.060601474414146005,0.02566561723410543,0.0,0.07394662079401468,0.15486973303724783,0.026885134386628536,0.03336051133141317,0.014949903989855712,0.023980171364501254,0.11789210596428558,0.04139619039989468,0.0,0.020944856771698075,0.00430357597142186,0.011419397225330358,0.044197856767009734,0.3331509203535902,0.011300032937773282,0.07554887464791112,0.043237288010192346,0.1475813733831958
Metal_Dopant_2 Atomic Number,0.011173791605673153,0.0069055421631208,0.0015591511868795621,0.0068071492280837595,0.005682244393033558,0.010719508839436547,0.0052387405195245505,0.004071414696161107,0.002877127370948452,,0.0,0.008834980448948749,0.0018886903233190043,0.004950645607085187,0.004487835584661569,0.003989018913687365,0.0033438015222948215,0.001395621413657189,0.00011209471975691204,0.04680364489897863,0.0021150178140734014,0.002095975193844667,0.00042497731861317674,0.05428458241286638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015270345364521482,0.009571387101947543,0.0025282336125767853,0.0,0.006584700419775575,0.011666760785331673,0.008755178847428026,0.0025711811877933517,0.024987178626135923,0.0006030215866771532,0.00716984277788312,0.002005565869563973,0.0,0.016728422895624293,0.2375747849488629,0.008832455471053671,0.005442675041394734,0.008788153810792206,0.005972886359652394,0.017268016111061938,0.033458610520205656,0.005163241850087814
