,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.40056547186468977,0.10533608238600863,0.11162346379389242,0.44106297192328897,0.24729162910365876,0.14119501027426254,0.13481535591766713,0.0938651988489124,0.25957181384626365,0.20766603958080865,0.20500258473948343,0.13184531334118632,0.6439428696428925,0.2842339675462844,0.11241705238403961,0.15313552326945573,0.12491200349527608,0.911758220588115,0.10083835331924573,0.11900794714776357,0.26788289901259726,0.3686624163250092,0.5134987311114118,0.012345224620895809,0.13828834400814313,0.6142292691629435,0.0300440857619981,0.2836756963483753,0.4043669408702549,0.11210230364642498,0.8203799563693704,0.20742820803499873,0.30261516052253384,0.2707190103032872,0.45224300194433525,0.057195669449909094,0.04106183107960635,0.5467664064502408,0.23584049252600564,0.4937803437540987,0.07284094627068116,0.17402436290867618,0.44041449197391486,0.0,0.34067919452501333,0.032819595707402845,0.5699494810063448,0.5864458656350684,0.12388258417899224,0.07851935883412496,0.03561033066988322,0.12189396245079084,0.15705541400648135,0.025218561387059323
Metal_Dopant_1 Atomic Number,0.40056547186468977,,0.30858732560336494,0.20102381961130053,0.163885309458133,0.12075316743734277,0.11499965088147425,0.0687018277344305,0.06957850719578672,0.05293547503049841,0.06290346444341414,0.05172249728379407,0.24294167157404375,0.2845833620989513,0.18218480822088196,0.09120871907021909,0.10116393574514661,0.21198844183894103,0.46080551797620767,0.1485049562922091,0.08643072227242635,0.18419784676512618,0.21160719789729565,0.35841366160975546,0.12871643583555278,0.042775308712122144,0.010908089821799775,0.02030115724130623,0.1672833898830112,0.12012523127534974,0.3120164478264062,0.054125504940324524,0.17316945897235198,0.45552147128016685,0.26134548871730295,0.2890084951979582,0.07213460847991253,0.06429002717314931,0.9855444020332618,0.07273428158526764,0.13413227333146885,0.06674748676554594,0.05013935678586539,0.06240603933260431,0.0,0.4585546195321465,0.011764740884210286,0.038007341099438444,0.19839971226649444,0.08194723230804844,0.033524911717706725,0.03305869932622439,0.2009549757339118,0.0999396545893385,0.030758444577305283
Metal_Dopant_1 Period,0.10533608238600863,0.30858732560336494,,0.1662572529202528,0.1137230099479001,0.252393525497099,0.1548819912051772,0.3807350514979373,0.07849698604144972,0.11755878863183554,0.12434330835104913,0.24726989550871342,0.11978281046166094,0.3274164111535149,0.0796522492290924,0.0989786457264485,0.207747418325366,0.33446342979028415,0.12797332623824276,0.5687375163853831,0.6605381382480195,0.08877351567176237,0.275389749810001,0.4124880170175042,0.016649476515205104,0.04249702119226133,0.02630279646855411,0.03470589279913699,0.04166369729796078,0.09528506214940725,0.3417010489116435,0.3232869194077327,0.3407628514759756,0.27155762818427925,0.3904860388217887,0.3873238918581128,0.06609648455266358,0.05094536995928966,,0.06537597528791948,0.21742897175174336,0.14691933280118358,0.06215246516344052,0.24522241167223985,0.0,0.4571530348897273,0.02607100003240734,0.8488977648580573,0.3544985825974729,0.13148388950673542,0.081033185841494,0.1184719954027337,0.05763059428704484,0.4704244192597446,0.023773607470862285
Metal_Dopant_1 Group,0.11162346379389242,0.20102381961130053,0.1662572529202528,,0.2716252316626825,0.2093422472023597,0.09663033409886376,0.5262818169054957,0.12704936880024453,0.539768166529901,0.16905133313744483,0.20051933045183556,0.1059546503019089,0.16627071073487024,0.4076761349402637,0.12854151497390684,0.14613646892084922,0.24642668618727998,0.22065267124497479,0.3730397770656969,0.2488953535256228,0.09330662432651189,0.07032068796545277,0.2749028732665276,0.26015795625768035,0.047644103919169,0.007740150779698079,0.030026732190045733,0.23392424501777498,0.04518444015960437,0.10014345765558318,0.28817604240290384,0.43739432639235504,0.19600712421351238,0.39102502735804057,0.03555219152059211,0.18457969144455844,0.053475966809329895,0.27787090886228816,0.08029267938073205,0.12405271838421009,0.18427001432389473,0.153799555657787,0.14770698705902374,0.0,0.05066941331070741,0.020453291349089128,0.04002647597253792,0.2941960180751927,0.1185867553422508,0.03565085933664469,0.041869132986925225,0.24254711495511483,0.17563959847673966,0.011590355858278905
Metal_Dopant_1 Ionization Potential,0.44106297192328897,0.163885309458133,0.1137230099479001,0.2716252316626825,,0.14432318342347072,0.0633480902301595,0.07354513220115279,0.11394540595110607,0.13643677660770476,0.046300598670815214,0.2007479249393715,0.10580584687947024,0.3671881755079554,0.1882068258187688,0.1497350367683196,0.11766321121526571,0.07956413440679826,0.6517121026239724,0.045911036971886386,0.38336132925750926,0.04525374382735072,0.06460487335873817,0.02876717855163824,0.004538576774625215,0.03127370671819992,0.01083910806983303,0.01894652035892962,0.5004277624171499,0.3452038439934374,0.06119850197170481,0.0887089367836065,0.2850957627689939,0.2041625718004769,0.09302359894040405,0.019324622038760907,0.07850042581195212,0.05602038226224321,0.06255857675456933,0.10778763640120786,0.15229992974192294,0.05508465936793162,0.11831011286311822,0.127093164263485,0.0,0.3337756588096485,0.015052071685904635,0.030817748670423604,0.12056908659472679,0.0745789864498855,0.020613354726154675,0.031383788901838745,0.08811892716049306,0.046736340331450056,0.014891524949139257
Metal_Dopant_1 Electronegativity,0.24729162910365876,0.12075316743734277,0.252393525497099,0.2093422472023597,0.14432318342347072,,0.33471280788105473,0.1463075324063859,0.20175132887150835,0.1714476233344699,0.1842911698132454,0.145511654081298,0.18504417470927842,0.1934921807502212,0.08987344944434916,0.07661446867498777,0.09644405131629666,0.08830522748219397,0.2832539062703298,0.15369685734707172,0.6623105965258755,0.39386717525893294,0.19637798187995467,0.10071227264755679,0.011760730409949703,0.060680339445567895,0.014797764086782053,0.030881157433741008,0.06926549999704917,0.08567488094893097,0.09148343787168102,0.05488690847913704,0.20935975594727047,0.2921963200047422,0.1441375757448109,0.08217563792259516,0.029428604975063475,0.06688348324638746,0.3780761121096618,0.12897211513151005,0.1464735216121346,0.07695237081634365,0.14063933936358022,0.26713641902795876,0.0,0.09624599429253473,0.030491405245192185,0.02739122628286599,0.31665170842730916,0.10271220651333181,0.04063510294599304,0.5054199909498155,0.3244389124938404,0.04640431871239798,0.019642867553933952
Metal_Dopant_1 Number of d electrons,0.14119501027426254,0.11499965088147425,0.1548819912051772,0.09663033409886376,0.0633480902301595,0.33471280788105473,,0.07779565227609192,0.12240710044630485,0.07633042463295514,0.27982887432842873,0.15123519094199842,0.09733210936777881,0.143843452230521,0.12487685463095712,0.13753581679137308,0.17307793591555945,0.07357354048153814,0.15923911889685352,0.028842211910620447,0.2256756857615014,0.06369989084438432,0.2917535755767704,0.1365251866661984,0.1422649216823051,0.019414632976363526,0.015741934549728213,0.010298472040742968,0.13136987281643273,0.05097967820084834,0.06669347809317012,0.02539991085615541,0.06391213629012855,0.10971101851226399,0.1805919852160718,0.026705997452399394,0.0471141564370139,0.13342211419536987,0.06321207886826626,0.05060292124571009,0.18306981359959684,0.08704114009989815,0.05999433807736585,0.09602812012015159,3.3423282345210524e-14,0.058758479739094004,0.006295637221770039,0.16262218875975162,0.06090937559604042,0.10111248045818168,0.02577040389750095,0.1785897435678577,0.10497373064581864,0.044174078678665,0.009292656646079901
Metal_Dopant_1 Atomic Radius,0.13481535591766713,0.0687018277344305,0.3807350514979373,0.5262818169054957,0.07354513220115279,0.1463075324063859,0.07779565227609192,,0.07741418662325793,0.21407338995959813,0.04101278256622946,0.1024848577992324,0.09835854664541824,0.13159230376241443,0.23308625111733625,0.07843558552184227,0.35556611660656384,0.1305607335690263,0.23660928941515016,0.15137488132931393,0.05719550975558532,0.35417329354409693,0.3409496142410978,0.07256669605796792,0.011697413040373023,0.13216467143129157,0.017728152660941524,0.02261791913304517,0.068181732098402,0.1118849491644171,0.09012449290889697,0.05929854449086563,0.5263863389846833,0.23899750572973488,0.2937389782210164,0.2806385597071019,0.06710353421171941,0.04413644239757141,0.1942236751685278,0.06437399085768715,0.05028182742831112,0.24044380426507264,0.15175756851708028,0.19270626823533044,0.0,0.07297348056858435,0.017137230355796538,0.035287708295560535,0.2205237370024521,0.0924472018045102,0.019078676956937757,0.08400278023905361,0.13158453860193772,0.15708063709340067,0.022872798675333348
Metal_Dopant_2 Relative Atomic Mass,0.0938651988489124,0.06957850719578672,0.07849698604144972,0.12704936880024453,0.11394540595110607,0.20175132887150835,0.12240710044630485,0.07741418662325793,,0.14575103545183826,0.16807710817599317,0.053415732617575123,0.07559540777950988,0.03721372494682553,0.17413961078574808,0.14994068314906128,0.0722422961969359,0.09278793109413251,0.08643966964889727,0.19520415555743992,0.0683762645176334,0.043550224604496514,0.11673705568938228,0.026089403515597406,0.033029179404975156,0.022880982309679884,0.006453420587014838,0.009358291628358925,0.03155239768775147,0.026111800841441837,0.04331749264134474,0.019304897555938724,0.17709518899179663,0.11367248870052211,0.20297832375029884,0.21057905497126406,0.1069131926805877,0.057690137901443436,0.05805742700963094,0.03104044666096666,0.06397030882382113,0.05004586901008814,0.16453123767209146,0.15783250855391656,0.0,0.11774720707490445,0.00503039090953981,0.09641589305490846,0.09660228784795878,0.20843098975880192,0.017335339492633092,0.1249419114230977,0.15321318271797435,0.08996725868084628,0.016349066462610355
Metal_Dopant_2 Atomic Number,0.25957181384626365,0.05293547503049841,0.11755878863183554,0.539768166529901,0.13643677660770476,0.1714476233344699,0.07633042463295514,0.21407338995959813,0.14575103545183826,,0.1441293363373485,0.21560525227213054,0.08395001951553094,0.13904561305566082,0.09417368076600621,0.07222608566071471,0.04632324117398106,0.1528676386788981,0.21904175740980705,0.2275822910758354,0.050661632560688695,0.15389645111928066,0.2539701765151888,0.17910202000324923,0.008971261569069912,0.03810298338429834,0.010613748562347577,0.014453115475054134,0.04194449115778898,0.16795620236324024,0.1337596644322227,0.13790119530812325,0.1284328057616405,0.19246829787873407,0.16938592812243236,0.11983078021154228,0.12193937213530744,0.16216609127710624,0.07274610055503372,0.04290659547402111,0.23015973858346517,0.10625307563942311,0.10631058660407014,0.1816950245797664,0.0,0.06016839029031915,0.009414467486155922,0.0182248023097428,0.10445763175235749,0.20520093974212614,0.14141154269348014,0.255376871696601,0.16518770069963215,0.1126648498526699,0.015145919468226163
Metal_Dopant_2 Period,0.20766603958080865,0.06290346444341414,0.12434330835104913,0.16905133313744483,0.046300598670815214,0.1842911698132454,0.27982887432842873,0.04101278256622946,0.16807710817599317,0.1441293363373485,,0.07406741420887528,0.07273835672040352,0.3232898288656518,0.03623422612113124,0.09265063872973929,0.11235094627990533,0.13079128555240874,0.45475386603705553,0.24270070226359075,0.05636528134639876,0.0758100591129505,0.06973612499823964,0.2778879360848815,0.08325337995581326,0.04333920635322886,0.08556609977260392,0.01663236635161906,0.039019546449801545,0.040100395930925584,0.1799976189560589,0.04887085806097335,0.12685465040349028,0.1474854891523759,0.253841039391157,0.44289726161229986,0.07420673333737864,0.11794891861117499,0.3370798254851736,0.06820238834061536,0.039112810081785125,0.062368711068144005,0.09075833760925335,0.2156316754358285,3.885919488285283e-14,0.3833629509927776,0.00991477232991049,0.00974604844633243,0.2954136482501098,0.07769358887113505,0.24252112536136067,0.0175196139530644,0.2580145182528013,0.11968326949995807,0.013942106418135057
