,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,0.0,0.4629306881763138,0.0,0.3977077031914313,0.30155934835432935,0.5152268929795077,0.5100511803033353,0.43898148722493985,0.5324572047621013,0.40591605520015517,0.3960642882257992,0.2369568111209736,0.5158210483103634,0.42775980517847034,0.45163649114243604,0.45886592143005106,0.3941233929190962,0.2926375746994565,0.18014244910933053,0.3536880538597201,0.41704574776424724,0.2726820957014057,0.30962105825433694,0.3889945830141961,0.0,0.4243848182836675,0.0,0.26980697014678473,0.06778289962352778,0.14345405288432322,0.3309629525114117,0.2945870079530664,0.48146150018516964,0.35020590872253193,0.3882748676835367,0.2590829012382786,0.43852474178779355,0.2414570990062679,0.49375087598305645,0.4483174673947651,0.5340978347302054,0.26433784318888914,0.34839263755764643,0.37959251045809683,0.0,0.5230120577971674,0.2775158178350083,0.42661789630822317,0.18858333534795582,0.23419616910437263,0.3643284423779147,0.3419297934441759,0.4910761113196029,0.4286619022673211,0.09729657787077897
Metal_Dopant_1 Atomic Number,0.4629306881763138,0.0,0.36242968243376644,0.2407869197984026,0.3105121011513527,0.16344394710758273,0.4181978040110677,0.302155840398913,0.4779894588308251,0.47595140230017513,0.2731754539779709,0.24821087262558897,0.42445523959139114,0.40470980936524253,0.4138648680457848,0.41469902969424904,0.38371383143847376,0.0,0.24246435313765188,0.27371776466132614,0.0,0.0,0.1001493556210691,0.3493485121609193,0.0,0.0,0.0,0.22649228549006603,0.06770748485386134,0.07367884019980872,0.2321012953958817,0.16803545996017996,0.31972175018043986,0.341372073681999,0.3943490755462731,0.16442067756366832,0.26583407969307843,0.208789831567709,0.35787832403270864,0.369041091170032,0.3062637920248688,0.10085302832865159,0.21874933096425253,0.20781755462730508,0.0,0.0,0.29166943508984317,0.39400659107168473,0.16507266970724208,0.09415817561235403,0.1810968376732996,0.300130697468917,0.3005372637205402,0.4550679041397091,0.01635677046332044
Metal_Dopant_1 Period,0.0,0.36242968243376644,0.0,0.10970109259675322,0.22027053627200202,0.1541780864013746,0.3232298880242262,0.26259952540445025,0.38570832953573597,0.0,0.0,0.24391698421347846,0.296668828315784,0.38178351051346704,0.3168261545454005,0.2982501548362202,0.4599633613984157,0.0,0.0,0.0,0.0,0.0,0.0,0.19121736523039204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21488262052609955,0.30178091336314594,0.0,0.0,0.17205814037243886,0.16155091770750912,0.4763392915931085,0.3963246994581972,0.2641825369572482,0.24515013199230665,0.15863460356058348,0.19724252305336962,0.0,0.44154219652519555,0.0,0.24740300761315207,0.057190740445765005,0.11623756063075784,0.0,0.0,0.418933718217955,0.20621389190209655,0.007987514665827065
Metal_Dopant_1 Group,0.3977077031914313,0.2407869197984026,0.10970109259675322,0.0,0.34571782999273454,0.3719826753792632,0.3466706325460871,0.4164528499156182,0.41182480370022034,0.21110121768944462,0.12756709454979734,0.3889769337630703,0.3704997394711033,0.23089685493548043,0.3601987726571778,0.2449904828034394,0.19172042110975612,0.14358191670241122,0.08025811134649963,0.305951666882872,0.21758448207023073,0.1106967368362202,0.2439312677601618,0.21659969935130524,0.0009596366178733255,0.04749482591013786,0.0009596366178733255,0.14513025135004745,0.0369374249438088,0.02724877945403761,0.2377769626353792,0.2556362879138622,0.4132944577451592,0.4847307464926332,0.29737325313545604,0.09446686031050579,0.414177315281736,0.4185571853065823,0.41050909055283896,0.20681719328727524,0.5214171112920282,0.3011005765406929,0.42668558174413296,0.41328435709605876,0.0009596366178733255,0.3838107227487718,0.2110222316864506,0.3149739273213244,0.31208352232838843,0.2324267845779678,0.14981222784873424,0.32060552475512244,0.3662986654108787,0.2313767312209781,0.0706460357771194
Metal_Dopant_1 Ionization Potential,0.30155934835432935,0.3105121011513527,0.22027053627200202,0.34571782999273454,0.0,0.31105411160759633,0.31069912600456423,0.4014463888481866,0.3240080280352978,0.31867028451319424,0.15345173250107078,0.29438588502400914,0.32275649908790865,0.22830987530704017,0.4397123169684943,0.25400069909675294,0.30313441124261953,0.25269450298537,0.1113893560036088,0.2838209625094564,0.15170538158973687,0.13218196980479724,0.08948538633622394,0.1646816125484497,0.0,0.1293617429535092,0.0,0.12792689589569553,0.04091133226270098,0.03792477962884592,0.20145773920552915,0.11343942232161205,0.4057660523943244,0.32941252620937916,0.324208567521079,0.10143219886982524,0.32258874788542014,0.2518063141695775,0.5394828622786295,0.18117676812122116,0.5386980770029511,0.20607389727943987,0.28751321502019334,0.32981192575931123,0.0,0.33374782742410614,0.3019134373855251,0.25326323591692623,0.19147520364844428,0.16151939454767134,0.13691841057930215,0.390306915517838,0.374397558566589,0.272381698988186,0.0822232637467828
Metal_Dopant_1 Electronegativity,0.5152268929795077,0.16344394710758273,0.1541780864013746,0.3719826753792632,0.31105411160759633,0.0,0.337152938530353,0.40462995676582847,0.35633011380877705,0.31807232207271174,0.16444418213424533,0.2554560548658973,0.36341134581414963,0.2360726923721265,0.41371145781179663,0.33770730961989337,0.17027283045989877,0.1957625682544827,0.10710667125541358,0.3368112502215401,0.13239688862947774,0.1972993402201214,0.1572129992336712,0.24670115687426727,1.62521892105165e-05,0.18439348411812403,1.62521892105165e-05,0.10976679380996106,0.028588118541728498,0.04289564050705386,0.22844582586497264,0.24980315277465753,0.32706887239166205,0.2850285358672008,0.3437974858631808,0.04876880711828357,0.3488795272644728,0.2857408792252896,0.36553007638653023,0.22607941577611812,0.0,0.2812436223907651,0.3947589824454493,0.3099530538028414,1.62521892105165e-05,0.39456898968532533,0.25863295868480035,0.26589229456324887,0.23764102364229997,0.22449040853949562,0.1339794152815838,0.36494863810301253,0.3174103163641525,0.21297977641327245,0.08560901596223303
Metal_Dopant_1 Number of d electrons,0.5100511803033353,0.4181978040110677,0.3232298880242262,0.3466706325460871,0.31069912600456423,0.337152938530353,0.0,0.3610020195177379,0.6836936250482286,0.39668091191246985,0.0,0.3188373670864722,0.4653975030198503,0.4740425576559897,0.4388905251978176,0.5094598524231846,0.381173206880433,0.40267467041555033,0.277899249624131,0.31930486459852353,0.3827605853977618,0.28180636454441804,0.12421750629916792,0.3442311775544785,0.0,0.0,0.0,0.27072269522149484,0.09625089560068961,0.052139085994244536,0.24782177490977694,0.35512791298489593,0.35288445381871286,0.5633526341576675,0.44240445328353467,0.1950118431495021,0.37996045723747907,0.29862037662453805,0.5210391107227362,0.40519390881493733,0.21323530278582956,0.16986231897837065,0.5754569597335655,0.4136542952117498,0.0,0.0,0.4189690647174547,0.3105140832916577,0.31426063246754654,0.20404558323789349,0.13493333202460864,0.4213877805098021,0.6067190304497618,0.3541356274122432,0.07408663497401938
Metal_Dopant_1 Atomic Radius,0.43898148722493985,0.302155840398913,0.26259952540445025,0.4164528499156182,0.4014463888481866,0.40462995676582847,0.3610020195177379,0.0,0.42303136823943727,0.4116881609889831,0.20395361472073054,0.38412601938756785,0.5618968517619152,0.40247523986477224,0.6233580088604211,0.4924276196885987,0.24900884067350143,0.17512222211712963,0.10857939151596967,0.38521041559439895,0.3151631230985896,0.26668373111393573,0.22091868883273383,0.2607551821977815,4.67054374688523e-06,0.23016629927211735,4.67054374688523e-06,0.28456743513529276,0.08618579399520541,0.09988370255390763,0.265205227652219,0.28578209534910176,0.439281237179214,0.4238704660147225,0.39439919624488795,0.13064038851040607,0.39312591751571396,0.4097949498261341,0.5238977165345647,0.3208534674131664,0.0,0.3814626699042617,0.4561385083752607,0.507595261605016,4.67054374688523e-06,0.3671971502082193,0.23322497752073273,0.4299183145831663,0.2718329684271962,0.31011314615516017,0.13597261085608467,0.44781413551917737,0.3754488259408205,0.2997960071243049,0.12286347431095844
Metal_Dopant_2 Relative Atomic Mass,0.5324572047621013,0.4779894588308251,0.38570832953573597,0.41182480370022034,0.3240080280352978,0.35633011380877705,0.6836936250482286,0.42303136823943727,0.0,0.45872915574879664,0.3507342645998873,0.47264453851085997,0.562241250523556,0.5178647037378259,0.5824786657137867,0.6411569390464914,0.46886712762530114,0.24688634547295302,0.2035327059551816,0.3670170256918613,0.4589250741151728,0.0,0.3617822508959452,0.46475975408568704,0.0,0.2597776906598685,0.0,0.31919697816962184,0.07769106720918682,0.11475904181625782,0.361640388747029,0.3990044670198073,0.585487214486112,0.4897459299013198,0.5618031457676715,0.24678118940408203,0.46022330931497857,0.4676245810130314,0.663216969674231,0.43492325255783243,0.0,0.5736579284223009,0.48565250269545845,0.4507091462186133,0.0,0.0,0.35602737396401857,0.4219652828980912,0.3281392801996602,0.3587796210761882,0.2753518585273207,0.6147680616740383,0.5646672728415087,0.4280478944656766,0.08940368350446155
Metal_Dopant_2 Atomic Number,0.40591605520015517,0.47595140230017513,0.0,0.21110121768944462,0.31867028451319424,0.31807232207271174,0.39668091191246985,0.4116881609889831,0.45872915574879664,0.0,0.0,0.24423491325344457,0.4558390786068638,0.42234598904504805,0.4462760005745166,0.4005100717492652,0.4314889763132659,0.0,0.0,0.0,0.0,0.0,0.0,0.34974005248930584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38045777149740495,0.3892618179204793,0.0,0.0,0.3122924390397089,0.21071700687056436,0.389546841592554,0.42451634730763027,0.0,0.4192468558716859,0.4036281319974556,0.2761051731348569,0.0,0.27553849784813633,0.0,0.38982440612979397,0.2252771198146473,0.2594230397677184,0.0,0.0,0.35789380277656124,0.33305503401689046,0.026056051749707227
