,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.018046319010327428,0.0,0.1394673165009477,0.06223217749613874,0.19086284906383963,0.199429296560951,0.12390687308740322,0.08364684853133557,0.015135385202648429,0.004628836852395279,0.11140219144454658,0.10976907789145714,0.05683352621899162,0.1080947203738847,0.07743664054286666,0.024761102734135412,0.0,0.0,0.06085761372988317,0.006332631312460795,0.01206932604452932,0.12523318112164233,0.0638561947659682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05798886990643567,0.1161985488463763,0.07326700372585619,0.0,0.09491350409403569,0.1036736228007703,0.09942929236109035,0.0029218579537952,0.08440664025688242,0.07051616524624886,0.12950703757316984,0.12394247709871205,0.0,0.13024135277204424,0.04320974549826734,0.04242755725429917,0.0705217034768464,0.05675169217020014,0.16284195818988614,0.08221713460332461,0.06704962326607927,0.06017849753304636,0.02503238174288043
Metal_Dopant_1 Atomic Number,0.018046319010327428,,0.0,0.012734530112596905,0.010618315918306236,0.0803720163524902,0.07812485840036448,0.014707257640558363,0.03135617641612112,0.011686492863678531,7.203746268136908e-05,0.009305825863648956,0.033342864443474285,0.012542019489632792,0.0035682066057522903,0.03864778403842799,0.0014917910173567158,0.0,0.0,0.001710394382452592,0.003255431986829837,0.0031098362438380755,0.015631719056152446,0.00643922590687061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009637330370994688,0.022989756029757752,0.036762257419301655,0.0,0.010649481552160717,0.02753948525630918,0.04640851215801428,0.000247068926534726,0.0008404679990741559,0.011100693386400755,0.011622897159151173,0.008799324545270451,0.0,0.01673841744742344,0.0019569925995381082,0.00013116440819713985,0.015011918910205535,0.0016582219690184825,0.00045272404865021363,0.0017841082940448052,0.0016239634224072023,0.005444336490998328,0.002092031784095508
Metal_Dopant_1 Period,0.0,0.0,,1.6871442045338487e-13,0.0,1.4416151071998948e-12,0.0,4.122989204235077e-13,0.0,0.0,2.201376831942072e-11,1.0979906777924711e-14,9.408095488795088e-13,7.080520295331532e-13,9.193247418694067e-14,6.166176431427383e-14,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,7.870876662204168e-14,0.0,,0.0,2.151233535159899e-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.696131935340769e-15,3.1296283013064636e-15,0.0,0.0,0.0,0.0,4.409585701690217e-16
Metal_Dopant_1 Group,0.1394673165009477,0.012734530112596905,1.6871442045338487e-13,,0.2162108495121306,0.17336909238648074,0.22082634666108675,0.2099658133633839,0.16411350661813298,0.047344862600419375,0.0026596862040153117,0.2559477337096955,0.08742599783195594,0.07587473646944251,0.2747946904918782,0.13716723511575393,0.04859868527364592,3.3742884090676975e-13,3.3742884090676975e-13,0.0635639735574956,0.006044619043947254,0.0077656245694326985,0.16240218211747395,0.029147051906255887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744888524676625,0.3935810536971548,0.13663074248357485,0.0,0.24562435611560943,0.30592053647459816,0.2217023717856138,0.004523034141326329,0.12423118155773977,0.2270166905648265,0.35225424591213333,0.32173516836014243,0.0,0.14830433215450944,0.028647473381256894,0.09965263506201479,0.1639117548872556,0.062179554606225665,0.10072551834834811,0.10017031509096137,0.14315770743799378,0.03373507573671092,0.04710269881441763
Metal_Dopant_1 Ionization Potential,0.06223217749613874,0.010618315918306236,0.0,0.2162108495121306,,0.09382445764322364,0.2571234973354216,0.17260316629613368,0.12563074969717253,0.05535368436765255,0.006184606825875955,0.13106359550163085,0.060307283906159914,0.04855131986022262,0.20170811675673841,0.10294590634098859,0.03961000332148495,0.0,0.0,0.037053556340380225,0.0032749714493712436,0.008353553824955107,0.1321210576878299,0.01949006552252296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1469382602454813,0.31131664684835136,0.108405430162903,0.0,0.1833281279154641,0.22720826317082027,0.17274472998743,0.0012925179714574227,0.22115926740645023,0.18360108483538884,0.2228621113832187,0.2115102450764422,0.0,0.22730719779802605,0.018842857271900822,0.0426019946745149,0.14199683616230596,0.05939532481272471,0.04927734174627495,0.12106395508998828,0.07559162069014817,0.07232027035648353,0.02706009890963091
Metal_Dopant_1 Electronegativity,0.19086284906383963,0.0803720163524902,1.4416151071998948e-12,0.17336909238648074,0.09382445764322364,,0.17360969357969083,0.20652690231350623,0.10696639722355306,0.039539835463252494,0.0026503788677444823,0.13533946304057268,0.10813696925164773,0.072821841450502,0.1291096967976151,0.17630411001574858,0.03294588617244535,0.0,0.0,0.03381775728253738,0.006105436997677437,0.005757363820065873,0.12335092738559833,0.05885032197327062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998604023155667,0.1621427460839175,0.11589059189219698,0.0,0.12500163151047294,0.14156505624484228,0.13897852663465565,0.004598787649929987,0.05775552656359507,0.162582275973778,0.15032378617714162,0.1979494351623397,0.0,0.1636971293288909,0.0397736386322051,0.05536975439216501,0.07877838642200756,0.03678311205609118,0.08788645552356801,0.04162972886451033,0.05415419004360091,0.050856198935668215,0.02075767695548943
Metal_Dopant_1 Number of d electrons,0.199429296560951,0.07812485840036448,0.0,0.22082634666108675,0.2571234973354216,0.17360969357969083,,0.2876434638099527,0.49769540361203624,0.0046359489627527195,0.0005431988803252671,0.34841736999669987,0.20026133882329267,0.12630482494309278,0.19971289015032023,0.2625702380950205,0.06201436361518518,0.0,0.0,0.07714936702954434,0.02765871902825196,0.013428558452984773,0.0687857395969581,0.04804304275400688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28854177938740794,0.4271616876916539,0.4539379381969839,0.0,0.4231174877727018,0.2163899730701333,0.5187425518487896,0.0018184423492832477,0.1576745040953872,0.2740780034774471,0.5259090758823757,0.40853987480985415,0.0,0.19101712594279704,0.003438271062548421,0.09901126870281883,0.29746982593486554,0.16563942084609068,0.10178284258161964,0.25982096541462296,0.3029109177115455,0.03856043426450876,0.07771553416413116
Metal_Dopant_1 Atomic Radius,0.12390687308740322,0.014707257640558363,4.122989204235077e-13,0.2099658133633839,0.17260316629613368,0.20652690231350623,0.2876434638099527,,0.16338368512990714,0.2171224210470227,0.017988839774872836,0.21523953079576272,0.10393115780106017,0.17650775904351046,0.26783777186969565,0.22384011520214334,0.06996420914982772,8.245978408470154e-13,8.245978408470154e-13,0.20808768125552154,0.01428360087879247,0.01334226714057592,0.1242612568820154,0.05222507536283132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19631527341977678,0.26519647464082685,0.11153645762318637,0.0,0.18373451807517438,0.1475218695626597,0.3114211055379191,0.004144311583425198,0.0912747402036797,0.10357819346557785,0.18075426726185842,0.19092476761771754,0.0,0.123632690086229,0.032346214153063144,0.11341141918243022,0.10494488235671294,0.09594705548163379,0.13169844669601416,0.2757785466782037,0.136082374130707,0.06501507187492932,0.032120828732212676
Metal_Dopant_2 Relative Atomic Mass,0.08364684853133557,0.03135617641612112,0.0,0.16411350661813298,0.12563074969717253,0.10696639722355306,0.49769540361203624,0.16338368512990714,,0.02393167226143121,0.00013352256986383265,0.42824051736302826,0.2078303752392101,0.13893434724225162,0.2803078119022435,0.4583705611066044,0.049037889356185124,0.0,0.0,0.09419329314795934,0.00682754425210225,0.0042093474224661614,0.1682562918013988,0.02291006034356105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351842801404342,0.5413787120365696,0.3974694676678755,0.0,0.4114537110558989,0.3737252504414963,0.5581376841693155,0.006298081872580188,0.22508352257821337,0.4801455526918007,0.48024777540863056,0.5268653261885663,0.0,0.3190645400393875,0.020479511173067712,0.036721257659498026,0.33538323915624946,0.18234717961051736,0.16373781473667376,0.459911237968825,0.3111263403867909,0.032491072111213465,0.10222934853811262
Metal_Dopant_2 Atomic Number,0.015135385202648429,0.011686492863678531,0.0,0.047344862600419375,0.05535368436765255,0.039539835463252494,0.0046359489627527195,0.2171224210470227,0.02393167226143121,,0.0007131357753844626,0.03173238220190535,0.03142930383115612,0.025877669833825914,0.02636602042850621,0.0166155668658654,0.055173448759915304,0.0,0.0,0.0040004813970077446,0.001571890098467447,0.0019644503387929416,0.05560660794673862,0.003920373061116082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018398286503949524,0.020502537917188358,0.04289438155247865,0.0,0.04041167260619711,0.026736913395600605,0.05469857760482823,0.00029521795007810404,0.00879704154172713,0.03354176407211919,0.020615414067020447,0.047596813048961746,0.0,0.07565503994848906,0.002490170245231684,0.0026445141057394933,0.02005112050879097,0.0017707791203137022,0.00728215795073917,0.039635982042186005,0.01598845353971163,0.009363237092690019,0.0038524873242420485
