,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,2.3907170715814708e-05,0.0,0.0003631693273300751,0.0031886875006233825,0.1796885489659306,0.0003546935936130231,0.005571704757833058,0.06805092822888724,0.0,0.0,1.199117032783987e-05,0.13374474657018942,1.0499479157631718e-05,0.0005513550661005413,2.1735332681100303e-05,4.833834913229255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002873633449674031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24882946246564636,0.04256031923293694,0.0,0.0,0.13531185117236086,0.004876382091765437,2.681324217413351e-06,7.097834703517298e-06,0.15752388990749686,1.5048885872181255e-05,0.2171295004806442,0.059084064721020485,0.0,4.410838246192227e-06,0.0,3.89890190767443e-05,0.004002557753459331,0.0008426212661740232,0.0,0.0,0.0355596677477033,5.362657194638333e-06,0.1404594857471085
Metal_Dopant_1 Atomic Number,2.3907170715814708e-05,,0.0,0.0025805020089589375,3.327377636799304e-06,1.3491050793612316e-05,2.2516578771601218e-05,2.5257033453540552e-05,1.7495977695577653e-05,0.0,0.0,0.002778166318818633,6.995871374233669e-05,0.0027919450048819183,9.725642693348394e-06,0.0005732099771635906,0.0013712072038485966,0.0,0.0,0.0,0.0,0.0,0.0,0.00044668183336591977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.368426052035747e-05,8.976085398414684e-06,0.0,0.0,1.434805361956952e-05,0.0004631469502937526,0.0016470400956554898,2.8598854624027728e-05,4.7176637052046915e-05,0.0016595862850453456,2.916633190621241e-05,9.441837213250611e-05,0.0,4.860642138195156e-06,0.0,0.0005976624248038344,0.002456509277860251,0.00026887713715159503,0.0,0.0,0.0001614151095412124,0.0015830891019549152,0.0004702555339771582
Metal_Dopant_1 Period,0.0,0.0,,0.0019515392303306365,0.0,3.3050829648589944e-05,4.028754761509155e-05,9.498125831443597e-06,0.0,,,0.0031340317675176655,2.468146917306903e-05,0.005051136384833312,0.0,0.00094982638222113,0.31494939295143576,,,,,,,2.4181562664533073e-05,,,,,,,,,0.0,1.1752650202830383e-05,,,0.0,1.9650666457485136e-05,0.015861761004251452,2.8601775446565635e-05,1.8871090723827616e-05,0.07279669321990793,0.0,0.0,,6.874002386098678e-06,,0.0004725752976934921,0.0,0.0,,,0.00020524453774351813,0.06881166265355321,0.0
Metal_Dopant_1 Group,0.0003631693273300751,0.0025805020089589375,0.0019515392303306365,,1.0926067985801649e-05,2.2803785882459737e-05,0.000233230013156399,0.0001566146119965894,8.385361255612415e-05,0.0,0.0019515419346625808,0.0006692066434789964,5.072458039986466e-05,0.0019852023681357356,0.0002129916954119579,0.0016227428328017786,0.0006386810293726402,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0005239440853721887,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0019515392303306365,0.0009483904438028596,0.00010636610503884178,0.0019515392303306365,0.0019515392303306365,0.0006614001180974925,0.01748758281166499,0.0029724105833236997,2.859870350651979e-05,5.5013596120636025e-05,0.0018791299563968521,0.0001723508461002247,0.0023306006054536377,0.0019515392303306365,8.810641802130833e-06,0.0019515392303306365,0.007041581912453286,0.0011097456992422423,0.0002667376975602117,0.0019515392303306365,0.0019515392303306365,7.714947074736976e-05,0.0007371651046889359,0.0009311752414680268
Metal_Dopant_1 Ionization Potential,0.0031886875006233825,3.327377636799304e-06,0.0,1.0926067985801649e-05,,7.712697110502961e-05,6.423093408524467e-05,0.004322536830563777,0.03776863749685799,0.0,0.0,0.00013242416493302009,0.0037532249218372414,2.7752341304881265e-06,0.02643184606244524,9.263824077748668e-06,2.943581966003859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002540075368807938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07855460816219242,0.006058131793093196,0.0,0.0,0.027755091946231943,0.026186072461141394,3.102807605361818e-06,5.448823409976939e-06,7.579803168794339e-05,3.551410882647841e-05,0.003087953477759272,0.0035442427958098936,0.0,2.856378439393448e-06,0.0,5.8867663752321385e-06,0.0002974966779045738,4.1204948069942736e-05,0.0,0.0,2.3985256243729396e-05,3.398954817116427e-06,0.10983784140993075
Metal_Dopant_1 Electronegativity,0.1796885489659306,1.3491050793612316e-05,3.3050829648589944e-05,2.2803785882459737e-05,7.712697110502961e-05,,1.729893814637851e-05,0.002385117844172887,0.008778973558523374,0.0,3.305083127295643e-05,2.839308978170072e-05,0.012040149798706754,5.0484756838053234e-05,2.669884832950928e-06,5.172632430068284e-05,1.349289065603528e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1950862221284918e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,3.305082802422338e-05,0.006169185120124676,0.0025065847782812446,0.0,3.305082802422338e-05,0.09463213327196456,0.0009359395588876317,2.1334129886193912e-05,3.5865539321012034e-05,0.29160297500216636,4.864930166564047e-05,0.12771486105911392,0.004970982947309286,3.305082802422338e-05,1.1160430760127991e-05,3.305082802422338e-05,5.7105795617710314e-05,3.471192843000344e-05,0.001819194773643845,3.305082802422338e-05,3.305082802422338e-05,0.004555716905371746,3.0171017605896338e-05,0.0587109930561488
Metal_Dopant_1 Number of d electrons,0.0003546935936130231,2.2516578771601218e-05,4.028754761509155e-05,0.000233230013156399,6.423093408524467e-05,1.729893814637851e-05,,0.0006820427194315341,0.0009966771213442416,0.0,4.028754761509155e-05,0.02235627442220425,0.001125122965319176,6.042877968163031e-05,4.654264194212945e-06,0.00010033425956319459,2.4670605016015947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0022732708706876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006868914868308142,0.28450337963474503,0.0,0.0,0.05859947934420137,0.0021195863673357665,2.467052558682136e-05,2.0197518635219318e-05,0.0007905738363003754,2.467060283987704e-05,0.14531182664869588,0.045712703227284594,0.0,4.149492376017144e-06,0.0,0.00039644260639334905,0.08727918510154946,0.0006306880232670556,0.0,0.0,2.795360317843196e-05,2.84870110687176e-05,0.04281362572381525
Metal_Dopant_1 Atomic Radius,0.005571704757833058,2.5257033453540552e-05,9.498125831443597e-06,0.0001566146119965894,0.004322536830563777,0.002385117844172887,0.0006820427194315341,,0.006504246029867595,0.0,9.49812547817218e-06,0.0017886616328657563,0.16581277207799938,0.00016088863123769014,0.39826464830012925,0.010205819347856545,1.5336263143706674e-05,9.49812547817218e-06,9.49812547817218e-06,9.49812547817218e-06,9.49812547817218e-06,9.49812547817218e-06,9.49812547817218e-06,0.00105937744007459,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,9.498125831443597e-06,0.004012357383589724,0.016253522178573947,9.49812547817218e-06,9.498125831443597e-06,0.004415597679119691,0.13412465604800636,5.076954069006274e-06,1.1553738056142795e-05,0.002116320387916096,3.329148542604083e-05,0.11264620191409182,0.14655453374932043,9.498125831443597e-06,8.014653290513178e-06,9.498125831443597e-06,0.0001970036797531174,0.009995462140312232,0.03332465976066118,9.498125831443597e-06,9.498125831443597e-06,0.0005254761460647586,6.217965363823554e-06,0.17058559267700366
Metal_Dopant_2 Relative Atomic Mass,0.06805092822888724,1.7495977695577653e-05,0.0,8.385361255612415e-05,0.03776863749685799,0.008778973558523374,0.0009966771213442416,0.006504246029867595,,0.0,0.0,3.1300304933970695e-05,0.011892557401379419,2.3906582353499775e-05,0.0003713312951021037,4.3243996131249765e-05,4.1408146517657315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0024471525452087898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004529899887217794,0.001380748580531129,0.0,0.0,0.0012792487006225213,0.001103308772962676,2.3476195345517872e-05,1.7507266953854652e-05,0.007812014113848098,2.347623993915337e-05,0.16461358403001275,0.0072914736555765155,0.0,4.111486023079925e-06,0.0,5.7380164816158364e-05,0.00270791948892273,0.0009600437320730548,0.0,0.0,0.0018130968975866826,3.6704480285229874e-05,0.03910040994307862
Metal_Dopant_2 Atomic Number,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,3.486461440326722e-06,0.0,,,0.0,0.0,5.751672253052129e-07
Metal_Dopant_2 Period,0.0,0.0,,0.0019515419346625808,0.0,3.305083127295643e-05,4.028754761509155e-05,9.49812547817218e-06,0.0,,,0.0031340317675176655,2.468146917306903e-05,0.005051136384833312,0.0,0.00094982638222113,0.31494939295143576,,,,,,,2.4181562664533073e-05,,,,,,,,,0.0,1.1752650202830383e-05,,,0.0,1.9650666457485136e-05,0.015861761004251452,2.8601775446565635e-05,1.8871090723827616e-05,0.07279669321990793,0.0,0.0,,6.874002386098678e-06,,0.0004725752976934921,0.0,0.0,,,0.00020524453774351813,0.06881166265355321,0.0
Metal_Dopant_2 Group,1.199117032783987e-05,0.002778166318818633,0.0031340317675176655,0.0006692066434789964,0.00013242416493302009,2.839308978170072e-05,0.02235627442220425,0.0017886616328657563,3.1300304933970695e-05,0.0,0.0031340317675176655,,0.00011623694498194604,0.0038507449046134897,5.043374470900623e-06,0.0008513131271603391,0.00484491117831229,0.003134002297914935,0.003134002297914935,0.003134002297914935,0.003134002297914935,0.003134002297914935,0.003134002297914935,0.00044524780586575614,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0031340295222243523,0.0003520145880676949,0.012974369688536007,0.003134002297914935,0.0031340295222243523,0.0008519588124854001,6.503145279508743e-05,0.0041872728916794,1.5287782358546865e-05,1.1277351360741e-05,0.011648549724165071,0.011965902531114899,0.0003988829527943474,0.0031340295222243523,4.500093717267548e-06,0.0031340295222243523,0.000414247974371889,0.0014082065525589961,0.13728669579339547,0.0031340295222243523,0.0031340295222243523,0.0003374180290675287,0.005153022633077264,0.0015013420863552172
Metal_Dopant_2 Ionization Potential,0.13374474657018942,6.995871374233669e-05,2.468146917306903e-05,5.072458039986466e-05,0.0037532249218372414,0.012040149798706754,0.001125122965319176,0.16581277207799938,0.011892557401379419,0.0,2.468146917306903e-05,0.00011623694498194604,,3.093951121873948e-05,1.4605915449088122e-05,3.812522026970974e-05,1.1425309943570609e-05,2.4681466997888005e-05,2.4681466997888005e-05,2.4681466997888005e-05,2.4681466997888005e-05,2.4681466997888005e-05,2.4681466997888005e-05,0.0017675231508421426,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,2.4681468085478543e-05,0.003691090937681623,0.006707067863492159,2.4681466997888005e-05,2.4681468085478543e-05,0.053457680850772675,0.0017503174335549644,1.3192855797504617e-05,0.0,0.0898763095204475,2.0859761835531656e-05,0.23843160114265888,0.30224963903686425,2.4681468085478543e-05,3.539602351892934e-06,2.4681468085478543e-05,0.00020412829306476853,0.008615411003650465,0.0703534679119379,2.4681468085478543e-05,2.4681468085478543e-05,0.0019304731406446212,3.552282572781385e-05,0.06160274794137786
Metal_Dopant_2 Electronegativity,1.0499479157631718e-05,0.0027919450048819183,0.005051136384833312,0.0019852023681357356,2.7752341304881265e-06,5.0484756838053234e-05,6.042877968163031e-05,0.00016088863123769014,2.3906582353499775e-05,0.0,0.005051136384833312,0.0038507449046134897,3.093951121873948e-05,,0.0010578520647542776,0.0016288787860020437,0.0035647835173282087,0.0,0.0,0.0,0.0,0.0,0.0,0.0003816308722884463,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.005051225369323054,0.006027045059033092,2.8519963111876735e-05,0.0,0.005051225369323054,6.934742883959202e-06,6.754360595766734e-05,0.0067958592495780176,4.044875992652534e-05,1.7226805197469516e-05,0.006805334321386626,2.750095387080528e-05,5.960179436203744e-06,0.005051225369323054,9.721321553797048e-06,0.005051225369323054,0.0008149484583699244,0.00026832007859012676,0.0005791269979327743,0.005051225369323054,0.005051225369323054,0.0001674426217559302,0.008704588859523582,0.0005673725989850528
