,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.4703059693099511,0.2852539010149903,0.24102414317091558,0.4239286344458762,0.42581491214851613,0.3328233516095296,0.3077712639729944,0.2517418091770861,0.1556781541676379,0.15880127001801161,0.2265281373567471,0.1623536180594699,0.36798121645583315,0.34330373799981867,0.2357547250616198,0.14342347597061336,0.060846592264033786,0.2725275193988323,0.0,0.3259879737539571,0.21506700809507923,0.1431474721584265,0.48555054575027456,0.0791735626884103,0.1256170480534607,0.0,0.0,0.027852723092930257,0.0,0.19972244258316332,0.025672300493353152,0.35435603461642234,0.3428992024406318,0.12350579930233826,0.0,0.3339390479874424,0.5530432150432563,0.15518828184776703,0.15796487686353783,0.09869253644630196,0.0,0.41458983093046975,0.36407201009783635,0.13498319530415323,0.0,0.5182864035654793,0.39361207052759284,0.3836074554039387,0.5156481425475112,0.0,0.0,0.4280419032819973,0.36018157450783966,0.021791429810528347
Metal_Dopant_1 Atomic Number,0.4703059693099511,,0.0712919692688202,0.3411613859585362,0.4144646790518401,0.3094824639500907,0.4476155415598546,0.3186363220051843,0.2803451827665411,0.35138620003624954,0.46308234794398195,0.3558648866055623,0.19080207794731593,0.410249148377179,0.5030808534344888,0.27362326347298577,0.6497644487020193,0.07806151944293101,0.2932116248606946,0.0,0.38171521197639735,0.20708486974144605,0.18106540295701617,0.5381493256014204,0.03767654487441663,0.23475625762003155,0.0,0.0,0.06516025864513586,0.0,0.30062682155036025,0.023970760878125916,0.4383284146694466,0.4123216272383106,0.17842147710206813,0.0,0.5048014311187186,0.40498144920692625,0.5701806836884156,0.13414580070619872,0.14589629431296283,0.0,0.41689698565074884,0.41210182244107724,0.13308093671215623,0.0,0.6526637167107086,0.43983746125723694,0.4143387307462167,0.44375403018259396,0.0,0.0,0.27567774373816084,0.2751060506233982,0.036332843972218094
Metal_Dopant_1 Period,0.2852539010149903,0.0712919692688202,,0.2660404077392839,0.16168721915829917,0.34016170600156587,0.4615862530437559,0.16390040092716582,0.12354986589482252,0.2635876997795409,0.07666767856859096,0.11594759396429359,0.4700751453975292,0.24519452739991415,0.12311253764164339,0.04963104547241855,0.285770325927058,0.06055711917774981,0.13216331051442776,8.503027892566003e-14,0.160037299056721,0.14278647008876924,0.1103314881508882,0.2904505207753012,0.060316790907977806,0.1589610735537172,0.0,0.0,0.056487270882510966,0.0,0.09759586029825912,0.09940297284566627,0.2803465347683278,0.11893484298399631,0.25560000736608696,0.0,0.4142657593643237,0.18233104970610833,0.14276308726349243,0.1275670919272421,,0.0,0.19208897366777442,0.4588312742748184,0.23454476414784714,0.0,0.07043408786603716,0.11933174261171384,0.37434022354408125,0.24722833565066452,0.0,0.0,0.6920157263270779,0.13302404301707263,0.013995358491083536
Metal_Dopant_1 Group,0.24102414317091558,0.3411613859585362,0.2660404077392839,,0.4166067059559622,0.5961024118124171,0.7372585276110045,0.4894730731802855,0.2709733956254772,0.4519141960476577,0.14611863455583354,0.27720206755267146,0.22654334982476665,0.29002127732361105,0.4623099506006637,0.11071670576402173,0.10929620123820571,0.133062680441597,0.7058685967030683,3.586673607996815e-14,0.5080579035584015,0.18550372754235095,0.27532531981058495,0.3834546323173656,0.027397857635834258,0.2902943705608779,3.586673607996815e-14,3.586673607996815e-14,0.16376353492322226,3.586673607996815e-14,0.3798340918705201,0.05560620299588306,0.48308849298780027,0.22224954846972822,0.20644489576952252,3.586673607996815e-14,0.6100661853209385,0.27840374796761236,0.4883381963970289,0.20342496505551422,0.4650160297509088,3.586673607996815e-14,0.2955499069176376,0.5573842232857603,0.5013022995431236,3.586673607996815e-14,0.23063089803465947,0.49177849792949685,0.4243496503910817,0.34383173539203693,3.586673607996815e-14,3.586673607996815e-14,0.09720664438074421,0.18875803972028715,0.032474441925347236
Metal_Dopant_1 Ionization Potential,0.4239286344458762,0.4144646790518401,0.16168721915829917,0.4166067059559622,,0.3342444120021773,,0.29183750662731417,0.3171803596612803,0.7236075034541213,0.9235821577751757,0.16896035040721175,0.31452509605082324,0.6605220974541862,0.7004312161302462,0.310252409984587,0.144318287135293,0.06886076822767982,0.24139962151111946,0.0,0.1193902360140835,0.4417868433022297,0.13831402769256504,0.4842278530273143,0.27235362107894223,0.1551372520532868,0.0,0.0,0.046502514017032474,0.0,0.17807551663240292,0.02793197768369174,0.46375380624509455,0.24830982089769663,0.2639329110115629,0.0,0.5447120475492089,0.3662731290859267,0.1763328505649531,0.14182446733539195,0.053390650328602136,0.0,0.4802093513804448,0.7470363960735797,0.14215260754530848,0.0,0.17497019491242038,0.571970087379942,0.5450650884971285,0.6739334043420815,0.0,0.0,0.18747525746611957,0.288069829949347,0.053307241386300656
Metal_Dopant_1 Electronegativity,0.42581491214851613,0.3094824639500907,0.34016170600156587,0.5961024118124171,0.3342444120021773,,,0.23803849898044566,0.11544537230153087,0.744287253949395,0.1353192198689775,0.21517342704233053,0.10793868215543745,0.2986581208511519,0.27957890952771497,0.06359993804959684,0.21552430145166623,0.543151821413745,0.23267844090275894,0.0,0.3451116923798432,0.2946523877156796,0.19764358006177313,0.10035364156744349,0.11035480441268564,0.13727070086595064,4.40245886912929e-14,4.40245886912929e-14,0.2544041200627829,4.40245886912929e-14,0.20240278740063197,0.022556815558974427,0.5909629803069606,0.16304264439665173,0.17410655827592691,4.40245886912929e-14,0.6041669466335461,0.2571495701237418,0.19468040434446765,0.2063175562864279,0.15762214422189968,4.40245886912929e-14,0.20648850091728826,0.3798374122328467,0.2308732774555135,4.40245886912929e-14,0.17595257502415257,0.24522408346172472,0.3796630502203604,0.33237603597623727,4.40245886912929e-14,4.40245886912929e-14,0.1792547991694014,0.12806760131554706,0.019084512644145197
Metal_Dopant_1 Number of d electrons,0.3328233516095296,0.4476155415598546,0.4615862530437559,0.7372585276110045,,,,0.4374987666913986,0.5018709241451391,0.858733488836141,0.1998822691476153,0.3430676287581075,0.22741566922692763,0.48194002803134134,0.6011542756484481,0.10906771042248814,0.19827153431709918,0.16705906695682507,0.9149222470138616,0.0,0.7284301799336318,0.39239844864100765,0.44081012589213,0.49758101004219,0.02829092554395632,0.47601585994551965,0.0,0.0,0.8476454294819569,0.0,0.543489176157064,0.2236878752799643,0.6332144245969219,0.21831569835982267,0.2681053705602781,0.0,0.8103669630641676,0.32311210091156833,0.5956585910306291,0.5636595390570577,0.7907797843862934,0.0,0.2652440889953655,0.6647451693704156,0.42409895182836727,0.0,0.12643554839618598,0.488654870924603,0.545090237622408,0.39729337395613223,0.0,0.0,0.30096131278283395,0.22161333810652487,0.043952998913882116
Metal_Dopant_1 Atomic Radius,0.3077712639729944,0.3186363220051843,0.16390040092716582,0.4894730731802855,0.29183750662731417,0.23803849898044566,0.4374987666913986,,0.20792704474182283,0.40353609156354137,0.18324427241549798,0.16448458390805948,0.13561750644357803,0.22435433825902676,0.3847498667969737,0.10805573062217114,0.12463064859774937,0.04050743358972882,0.3966846590006071,3.365695026577582e-14,0.2618145779979679,0.15675661872388885,0.09660691629368649,0.27129147255639574,0.027609736052498803,0.13357918592228463,3.3656950265775833e-14,3.3656950265775833e-14,0.13548413869248774,3.3656950265775833e-14,0.13780054767846292,,0.411409725868248,0.23078500214032238,,3.3656950265775833e-14,0.3174067365797313,0.44213815328133776,0.17051739860782644,0.11859811307958666,0.08032202506430483,3.3656950265775833e-14,0.35942589839811184,0.414528386123517,0.17260795962553988,3.3656950265775833e-14,0.16138709276271168,0.4001360522749211,0.39399375446999396,0.3233514461210395,3.3656950265775833e-14,3.3656950265775833e-14,0.12796235330838665,0.27025396651945394,0.037329251482551375
Metal_Dopant_2 Relative Atomic Mass,0.2517418091770861,0.2803451827665411,0.12354986589482252,0.2709733956254772,0.3171803596612803,0.11544537230153087,0.5018709241451391,0.20792704474182283,,0.37923363275223526,0.09732597869349839,0.10507167054669428,0.22771056214907048,0.28467049011293,0.4320985443251658,0.1235558254848613,0.02901945716409105,0.0380274989374727,0.180549482045227,0.0,0.24025552722635501,0.19286458135824894,0.07286109852057997,0.37108904798701436,0.014928950317591219,0.07928605862879635,0.0,0.0,0.054572709903689384,0.0,0.11496274347739907,0.02837197032001442,0.32173038917134844,0.17322624652818613,0.17807173107970672,0.0,0.2293671631738091,0.3364455423303561,0.23721698174381203,0.09333944360427059,0.037676995771040604,0.0,0.2672780500774381,0.4938071857883025,0.2218789885355485,0.0,0.12012432415476615,0.43915190685781597,0.38031356228708413,0.29257599395574385,0.0,0.0,0.13541602678258513,0.211383967056171,0.01590428428322131
Metal_Dopant_2 Atomic Number,0.1556781541676379,0.35138620003624954,0.2635876997795409,0.4519141960476577,0.7236075034541213,0.744287253949395,0.858733488836141,0.40353609156354137,0.37923363275223526,,0.253440579176079,0.2276938799134852,0.23438564312497334,0.38454094788561344,0.5458355854429746,0.11927666526283931,0.24145166902130136,0.10656496773769622,0.5617812169270623,0.0,0.5854889318740815,0.30680277612513995,0.22583207776583078,0.35276565092965684,0.019699651816790415,0.3294820770727616,0.0,0.0,0.3039285081846711,0.0,0.3696773890615748,0.06440782844239651,0.6635530050292461,0.1762530023609783,0.194084262409141,0.0,0.6585741014001941,0.3238206076499901,0.32129561198512835,0.26248979203582135,0.4951582800919261,0.0,0.33158612770040313,0.5007620892864958,0.2999916213457038,0.0,0.04180354490177941,0.4173880585893429,0.5384737711680658,0.30900966228187254,0.0,0.0,0.15339166807984675,0.20388052147879426,0.03809924240988362
