,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,0.0,0.32904711655756286,0.19957640289681033,0.46636698659631326,0.6347495933739069,0.6654955200602871,0.44938329848492115,0.5609733154315826,0.3558852268681122,0.10891940796547006,0.11110447966835818,0.22268570724109749,0.28560592039051413,0.5999659089003613,0.6264244103911459,0.48537596356593865,0.1005849006960469,0.04257100067475179,0.19067245642734054,0.0,0.38467228919697066,0.46005291372915735,0.32814321502075894,0.4947778681791717,0.055393369870330646,0.08788731198353707,0.0,0.0,0.019487012328275974,0.0,0.13973476445609695,0.017961491037698982,0.653625440792367,0.415719507839538,0.13830272925961679,0.0,0.4619598666711053,0.7082525848480827,0.4029088260081127,0.11051930156357698,0.1272911376771668,0.0,0.6471628914685839,0.44101684431723553,0.09444028801872485,0.21841743691071178,0.5093682866212712,0.275388630595921,0.48980162867992266,0.779407290882761,0.0,0.06725458892396637,0.43659245901285043,0.5413723506829161,0.06230666841660385
Metal_Dopant_1 Atomic Number,0.32904711655756286,0.0,0.0,0.23869178291559975,0.2899780493049377,0.2165277904878351,0.3131718772201084,0.2229322394953978,0.19614204379652117,0.0,0.0,0.24897901039508358,0.13349367790054714,0.2870286752723392,0.35197789315924716,0.19143908804933593,0.0,0.0,0.0,0.0,0.2670650556089659,0.144885848187508,0.0,0.3765133666628867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066741873675322,0.28847867428974194,0.12483165514253597,0.0,0.353181686355099,0.2833431570438507,0.39892393915341406,0.0,0.10207558077680887,0.0,0.2916797999208701,0.2883248890106832,0.0,0.0,0.4566327626683044,0.0,0.28988993023031323,0.31047019094105444,0.0,0.0,0.19287649444303143,0.19247651233937144,0.025420084637528872
Metal_Dopant_1 Period,0.19957640289681033,0.0,0.0,0.18613842633650976,0.1131236189204852,0.2379970628332167,0.32297857448407735,0.11467397330361456,0.08644101877637847,0.0,0.0,0.08114863065167831,0.32888652826504844,0.171550657424235,0.08613504434677702,0.03472460068684304,0.0,0.0,0.0,0.0,0.11197847202826487,0.09990347954971145,0.0,0.20321637470131296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19614298971745947,0.08321233538072662,0.17884476007732744,0.0,0.2898388761838618,0.12756730551610604,0.09988344881914153,0.0,0.0,0.0,0.13439404777409134,0.32101890607103695,0.0,0.0,0.04927884192855562,0.0,0.26190518344774383,0.17297201457284178,0.0,0.0,0.48416790802314447,0.0930767679912088,0.009791779516294834
Metal_Dopant_1 Group,0.46636698659631326,0.23869178291559975,0.18613842633650976,0.0,0.6700304049771086,0.6303785379833272,0.6642348035814443,0.5668182640585434,0.40657139287440036,0.3161794083946949,0.10223578368781662,0.25249134297707515,0.3841314937715796,0.3327059767132108,0.4452749590048951,0.3061454388369369,0.07904716562168146,0.09310125354034564,0.4938619229604931,4.643720664390424e-06,0.5353129620571053,0.4261281954431736,0.35787167458174035,0.42647993400987877,0.0191687680855042,0.2031029411047114,3.569147974827697e-14,3.569147974827697e-14,0.1145763024076167,3.569147974827697e-14,0.26574893974583835,0.03890458967671751,0.6533645891855935,0.2652513462250763,0.192020327975332,3.569147974827697e-14,0.7487024747899099,0.5124983674170176,0.5488146529946973,0.14232521497772047,0.39086932018173604,3.569147974827697e-14,0.39752474536238025,0.6042681695931763,0.35073353721273504,0.26167501178663116,0.2841342007784766,0.34407025912543354,0.44191512029656865,0.4969979710733896,3.569147974827697e-14,0.06695492024573199,0.18136818363652868,0.3648906428921037,0.06726905783848312
Metal_Dopant_1 Ionization Potential,0.6347495933739069,0.2899780493049377,0.1131236189204852,0.6700304049771086,0.0,0.49778807929468605,0.0,0.45918230966239193,0.5277674627819589,0.5062682127559375,0.6461794358379606,0.19225261615190434,0.4484408440107318,0.687070861086209,0.7158638556720412,0.4280170713418724,0.10498961594488494,0.048178077055882555,0.16889398514942278,0.0,0.40027688720308885,0.6868043080417843,0.3106837319235938,0.4874092830348,0.19055078937553166,0.10854096862452275,0.0,0.0,0.032535241201452014,0.0,0.12458960570575493,0.019542462389014695,0.5885977450543421,0.29465470516397485,0.35591985149679667,0.0,0.7405462891356802,0.3970370887849903,0.30164137703870686,0.09922674828578856,0.1027392581049999,0.0,0.5611026300846572,0.7044430522778585,0.09945632987085336,0.3014906561968583,0.26284403691603,0.40017588610598653,0.5232643010715191,0.7419873845119284,0.0,0.30732696138848276,0.2363249243624069,0.33761103811512094,0.06171248550757394
Metal_Dopant_1 Electronegativity,0.6654955200602871,0.2165277904878351,0.2379970628332167,0.6303785379833272,0.49778807929468605,0.0,0.0,0.5769153846704874,0.6115137041632499,0.5207366922472679,0.09468008663316912,0.32306959034520605,0.38593452547427626,0.5277279125314157,0.4815416985170863,0.24087159086015655,0.15243498905323125,0.38001333674630244,0.1627922566589909,0.0,0.6064456635242358,0.4374964174481439,0.4126876001747716,0.30493310295535664,0.07720916288509597,0.09604072934491226,6.791174842244086e-14,6.791174842244086e-14,0.1779925146811608,6.791174842244086e-14,0.14161005371699986,0.015781758265388024,0.6798390279779171,0.23950975769781882,0.3079905834462883,6.791174842244086e-14,0.837453555968716,0.5393510696730522,0.3445346797564124,0.14434900133391068,0.19947605049894856,6.791174842244086e-14,0.3819465516864872,0.6011947000770212,0.16152928347562845,0.23069786211450477,0.4430663588092857,0.17156974999054234,0.41677490229484776,0.5718848309503418,6.791174842244086e-14,0.46139310557859636,0.35674763835627354,0.3704399758827866,0.0847769233384153
Metal_Dopant_1 Number of d electrons,0.44938329848492115,0.3131718772201084,0.32297857448407735,0.6642348035814443,0.0,0.0,0.0,0.4805863464612002,0.4420554235349804,0.6008084031073039,0.13987874817526277,0.2802744433603182,0.34495050592132337,0.5838444561438003,0.6352958117094218,0.37639003954896,0.14221247904825543,0.11688200419312905,0.6401205744762027,0.0,0.6285131764067948,0.450116255200998,0.5154060756421641,0.6677980063544998,0.019793598385837934,0.3330420117366467,0.0,0.0,0.5930507002568244,0.0,0.380249365231565,0.1565020543493272,0.6612461488528648,0.2788714087953184,0.2650776463480401,0.0,0.687008479160914,0.43687366268533084,0.6625982136890147,0.3943614543506984,0.5699450153674405,0.0,0.437030486491012,0.7827183988947566,0.29671861796472077,0.1631995026546949,0.1859490851975337,0.34188482979593837,0.6471607329475065,0.668504637323128,0.0,0.12184949137074212,0.2689153930896273,0.31967103367374466,0.054772936229660084
Metal_Dopant_1 Atomic Radius,0.5609733154315826,0.2229322394953978,0.11467397330361456,0.5668182640585434,0.45918230966239193,0.5769153846704874,0.4805863464612002,0.0,0.27107912184891575,0.28233192011303315,0.12820781202064097,0.23921954630023215,0.2829564523134853,0.3879554477915595,0.40797391810660844,0.25200504977401245,0.08851410092431247,0.028342727783942794,0.27754026439373636,1.913310776484955e-06,0.43866606575464795,0.2813744267713046,0.1986608510170175,0.33785903033211795,0.01931700771378541,0.09345798018327083,4.408201921759478e-14,4.408201921759478e-14,0.09479077044560442,4.408201921759478e-14,0.09641143390161261,0.0,0.5642448718739613,0.27009216673969766,0.0,4.408201921759478e-14,0.39709525614023095,0.5716425905601886,0.36485132122688174,0.08297655076603162,0.1235116888141268,4.408201921759478e-14,0.4638442235058006,0.5163571568885489,0.1207642579850947,0.16205506544574644,0.2579939902554445,0.27995310037203697,0.39528047684515705,0.4773141995609932,4.408201921759478e-14,0.088193062949652,0.23460064145427575,0.42159514913828244,0.07179429227458524
Metal_Dopant_2 Relative Atomic Mass,0.3558852268681122,0.19614204379652117,0.08644101877637847,0.40657139287440036,0.5277674627819589,0.6115137041632499,0.4420554235349804,0.27107912184891575,0.0,0.26532883165800897,0.06809361297758115,0.1370460207977352,0.3442262704569123,0.3497448313496952,0.5101176436632092,0.21166373899510785,0.021740635508784766,0.026605741138328025,0.12632050269340597,0.0,0.3357719232865263,0.33320820664448153,0.1229569980232182,0.35330728721132865,0.010444962164613736,0.055472077067823276,0.0,0.0,0.03818151162930843,0.0,0.0804330833994881,0.019850300940375137,0.39778202660112716,0.18492181733384133,0.28125399992110806,0.0,0.5376065118555615,0.5233937765548786,0.2950028854956775,0.0653044545110395,0.08635227101990532,0.0,0.29401303546251056,0.4256066558719931,0.15523647618049696,0.05493272306238274,0.23978128638525792,0.30725033937871443,0.4241471214630108,0.32476680448698975,0.0,0.07890568965807906,0.18606064458173716,0.23617156111989634,0.04320200350736016
Metal_Dopant_2 Atomic Number,0.10891940796547006,0.0,0.0,0.3161794083946949,0.5062682127559375,0.5207366922472679,0.6008084031073039,0.28233192011303315,0.26532883165800897,0.0,0.0,0.15930483458101286,0.1639866917826551,0.26904206698827915,0.3818910182408295,0.08345129625916685,0.0,0.0,0.0,0.0,0.40963427509159384,0.21465296088831792,0.0,0.2468106463315044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642513964012284,0.12331449310878558,0.13579004112712012,0.0,0.4607679324657224,0.226559397886215,0.22479279784906953,0.0,0.34643490607381644,0.0,0.2319925034555502,0.35035558192643096,0.0,0.0,0.02924763198731503,0.0,0.3767403633100729,0.21619699726852612,0.0,0.0,0.10731967990898231,0.1426439426513762,0.0266559360843188
