,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,0.0,0.0,0.0,0.0,0.38821370261294014,0.0,0.0,0.4574610983950484,0.12209723475755488,0.36595274340504613,0.0,0.35571004915602994,0.24410037547632388,0.0,0.0,0.4724917900784558,0.0,0.0,0.0,0.720309666116811,0.15164138979432748,0.24165865722081126,0.0,0.19535926909779572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313214625959508,0.6239485132541835,0.2328207942593359,0.0,0.36404777627440693,0.52799884491989,0.0,0.0,0.0,0.0,0.5694237261715887,0.6536660611093823,0.0,0.15796216559555956,0.10901354478178912,0.0,0.2903861335293332,0.5339574821757987,0.17269126156308962,0.0,0.0,0.47573411519382225,0.02789088289068456
Metal_Dopant_1 Atomic Number,0.0,0.0,0.0,0.0,0.16972388868817898,0.0,0.0,0.2851417443540659,0.17543073104414983,0.31345026829614514,0.0,0.24675845350381032,0.13170997145514005,0.0,0.0,0.32947383350937326,0.0,0.0,0.0,0.43452432733906116,0.16469362794286105,0.16430897104948836,0.0,0.22132982887177355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37711606722369306,0.28959571693045794,0.21003413877422153,0.0,0.24880219658157052,0.3104546463359678,0.0,0.0,0.0,0.0,0.30430131874998656,0.26747576802820855,0.0,0.14227246582498482,0.1958045921698911,0.0,0.16337327412172983,0.3776145540627129,0.15052543033153548,0.0,0.0,0.2683925156808263,0.03680600725082434
Metal_Dopant_1 Period,0.0,0.0,0.0,0.0,0.007562362828793576,0.0,0.0,0.16518570213436548,0.03506470874293857,0.0,0.0,0.21295550383203057,0.031173322577986905,0.0,0.0,0.12329996319133263,0.0,0.0,0.0,0.12359126283586945,0.04542736062696714,0.04572995180699658,0.0,0.029859719875647076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13615941609977178,0.19724027587597037,0.07942533444902775,0.0,0.10864059524873923,0.15212277681581726,0.0,0.0,0.0,0.0,0.08528243317779921,0.2263559237906453,0.0,0.004512184260046075,0.0,0.0,0.06315171944652234,0.3088023592763534,0.0,0.0,0.0,0.13750787368944717,0.013603379407430326
Metal_Dopant_1 Group,0.0,0.0,0.0,0.0,0.8942570982446195,0.0,0.0,0.849437765574406,0.4994045639998994,0.4387211589249799,0.0,0.0,0.5389484043725019,0.0,0.0,0.4842051029777772,0.0,0.0,0.0,0.7252395136385301,0.48525238117393565,0.7118704104359304,0.0,0.400804741796276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6308695513122736,0.42410515742439936,0.6593674295049164,0.0,0.8213867040057425,0.6708998544294489,0.0,0.0,0.0,0.0,0.41623358786015646,0.7483235581534786,0.0,0.489006604093297,0.055116564198171604,0.0,0.16332247573392344,0.7290809902920059,0.3485164688835835,0.0,0.0,0.685682162334602,0.032615382552770404
Metal_Dopant_1 Ionization Potential,0.38821370261294014,0.16972388868817898,0.007562362828793576,0.8942570982446195,0.0,0.5797983375017761,0.3766056421166664,0.5482917468140568,0.0,0.18423005026459902,0.2492842610731285,0.4762870360996442,0.23742245218504326,0.3483713344973394,0.6014077793220286,0.3878361630346754,0.2130467302158846,0.08455382453723917,0.10479671095426403,0.3893360147469951,0.06868401710734999,0.45222616542067684,0.27934874286428324,0.34116417793710596,0.048199991363929454,0.02915779820280608,0.0,0.010168504314507122,0.09194709464915088,0.0,0.030569605494605204,0.025550525225204717,0.2176265264911233,0.20914939702116364,0.3799915780037439,0.04882528713706731,0.6802132735297441,0.3275779422061049,0.3634389817306329,0.05007829010388791,0.20691159544615012,0.10807480393261758,0.2410124897723942,0.4395624160222783,0.07421434673739156,0.22497550528405907,0.016563923271852615,0.18166050404634976,0.10424948414954172,0.4101958660982336,0.0429257218121181,0.27049510209159533,0.19660174648543882,0.39797648980628925,0.012609499926836663
Metal_Dopant_1 Electronegativity,0.0,0.0,0.0,0.0,0.5797983375017761,0.0,0.0,0.5182977005195727,0.27692988354502635,0.22421224414980276,0.0,0.2438284662622989,0.34311023537982793,0.0,0.0,0.34655856106367977,0.0,0.0,0.0,0.5538532576169183,0.24501442574358975,0.33870402590745885,0.0,0.17981129948527816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46670255267477867,0.3902154044964358,0.2830340031082435,0.0,0.38523575863431253,0.47578720233726923,0.0,0.0,0.0,0.0,0.3563404341737719,0.8317083974169149,0.0,0.17688781530672332,0.030342767480957072,0.0,0.16368174129028043,0.5542267330136924,0.10586874693911387,0.0,0.0,0.6096196129341663,0.05531620084653813
Metal_Dopant_1 Number of d electrons,0.0,0.0,0.0,0.0,0.3766056421166664,0.0,0.0,0.6328194042756574,0.3139383009444849,0.4648400048445067,0.0,0.39497377456938493,0.3805784458540711,0.0,0.0,0.4515902339756356,0.0,0.0,0.0,0.4897242818571995,0.3909337629321809,0.44521679227535277,0.0,0.38535314830805795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694620881877025,0.4848639639011119,0.49957437266209215,0.0,0.640590306442067,0.4311898673620047,0.0,0.0,0.0,0.0,0.40205875669964347,0.8642843208212315,0.0,0.4560784966772414,0.11019657173844824,0.0,0.24203436027457206,0.7866225032743951,0.34549666310607186,0.0,0.0,0.6773034011097853,0.05615683079554283
Metal_Dopant_1 Atomic Radius,0.4574610983950484,0.2851417443540659,0.16518570213436548,0.849437765574406,0.5482917468140568,0.5182977005195727,0.6328194042756574,0.0,0.3476564968567421,0.35372326167716284,0.3764163646765211,0.4026693537864641,0.21875300801954423,0.49594839570975857,0.4284480184802257,0.5054888844196449,0.28784605090520066,0.1657165675395429,0.3516428552187157,0.6236286297576126,0.31498458932327644,0.47577012091025334,0.42337508713305133,0.34484457845974803,0.012230801721788342,0.045382654517218096,7.829460404097107e-14,0.04075309265423774,0.0785478854320166,7.829460404097107e-14,0.21903776523890878,0.03334772137718311,0.5615940840519152,0.33117988584569186,0.3644909586105968,0.03604714501292346,0.5302353698935244,0.6126745979526768,0.7158698639741318,0.3179267323085823,0.303311343370408,0.018490277250865165,0.4918608188183272,0.5732338928258359,0.08205163039622482,0.2917140124733377,0.032677629222736794,0.20743583714182093,0.2365547319647737,0.8378546562116469,0.2063393098087693,0.18410051654419962,0.443789032340892,0.6063721847087369,0.036009821403744036
Metal_Dopant_2 Relative Atomic Mass,0.12209723475755488,0.17543073104414983,0.03506470874293857,0.4994045639998994,0.0,0.27692988354502635,0.3139383009444849,0.3476564968567421,0.0,0.16071447511210754,0.201287867521276,0.21732258045269523,0.2967429939265629,0.24510496173820476,0.48739428536288987,0.27814503481731984,0.10900334370375821,0.11264927509365935,0.10030066889137175,0.3226274356219636,0.10953233699362591,0.33362529492135456,0.2813230101080296,0.1285986708280882,0.003745755955932083,0.013821462436880195,3.522122365680307e-13,0.014547656405868298,0.40350266696635645,3.522122365680307e-13,0.03403359949203631,0.0591004179079065,0.3533658830816455,0.16109195954182146,0.17060216781370152,0.016180592100336302,0.42692271865921,0.3209483650314634,0.3015889322599415,0.10164751285092648,0.16156993046558604,0.07537393849584226,0.16109960804631962,0.5198800470117956,0.05347687919092216,0.17912991694339211,0.0413925311898798,0.25035706920986084,0.13722805155802592,0.4173093107542866,0.04570545557668389,0.10905949211820448,0.4265546712911867,0.3434112296351583,0.015304571994478117
Metal_Dopant_2 Atomic Number,0.36595274340504613,0.31345026829614514,0.0,0.4387211589249799,0.18423005026459902,0.22421224414980276,0.4648400048445067,0.35372326167716284,0.16071447511210754,0.0,0.3555163245071545,0.38354987304300137,0.11727836021389276,0.30897618926229775,0.23832775633420183,0.2940831559974653,0.14079425560393427,0.0,0.2765453015939909,0.3850406566360903,0.29599467265526624,0.12646917667232543,0.23623372482478738,0.11002650021554528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43600901789566393,0.36676643655588026,0.17596073996494413,0.0,0.4050534014976429,0.30911300377979806,0.47224608875051666,0.0,0.28934192131206904,0.0,0.30521251873520183,0.4098754783424361,0.0,0.16287535251006705,0.0,0.2904574452721684,0.24071997247327698,0.49553849975128056,0.0,0.12778809418091416,0.21191781984284092,0.39627375150049204,0.020322730505689734
