,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,6.470945535238022e-15,0.0,0.3276139945909853,0.4083732722185258,0.4679371197373882,0.2987129866924248,0.3998847729605849,0.15392969588166222,6.470945535238022e-15,0.0,0.07766146976899903,0.09963499489198917,0.4008187467148785,0.4528225037469555,0.34644645552809333,0.00034219417019958065,0.0,0.0,0.0,0.17691805893322146,0.3333215827364962,0.32586655363634476,0.1401649473323592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736070005352063,0.10303114920142736,0.04237249712123245,0.0,0.2292030571737791,0.3245001878164819,0.2645421578248247,0.0,0.010409038234591725,0.0,0.37630900466287764,0.2007754246124245,0.0,0.31218332941239635,0.09840591445451398,0.0,0.16242338213257698,0.4541701966712948,0.0,0.06144688101524393,0.0946605108310852,0.34976595036650004,0.020034064301202085
Metal_Dopant_1 Atomic Number,6.470945535238022e-15,,,1.5146979386472126e-14,1.7315716867535455e-14,5.3041451587357076e-14,0.0,2.934933586785229e-14,7.820424641054822e-14,,,1.5019507361210134e-13,3.779043994339336e-14,1.225050901918442e-14,0.0,3.0806024883766765e-15,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,5.078361874470341e-15,8.048868797053544e-16,0.0,,4.483775117112201e-14,2.9136507990823825e-14,0.0,,0.0,,2.3342696692104867e-15,6.4502765126448205e-15,,0.0,0.0,,1.342360470716151e-15,0.0,,0.0,0.0,0.0,5.2387444493989e-17
Metal_Dopant_1 Period,0.0,,,1.5146979386472126e-14,0.0,5.3041451587357076e-14,7.097079821850462e-15,2.9349335867852295e-14,0.0,,,1.5019507361210134e-13,3.779043994339336e-14,1.225050901918442e-14,0.0,3.080602488376676e-15,1.5383931226802785e-12,,,,3.079688124132867e-14,1.879959659038012e-14,3.491289741286342e-14,2.182496137813823e-14,,,,,,,,,0.0,0.0,6.026824091814634e-14,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.751029749287533e-14,3.8998181348626694e-15,0.0
Metal_Dopant_1 Group,0.3276139945909853,1.5146979386472126e-14,1.5146979386472126e-14,,0.46042668775797296,0.2395192389287474,0.19187129688954624,0.2363805544275734,0.16947653755304948,1.5146979386472126e-14,1.5146979386472126e-14,0.06593289624032764,0.2061306799557537,0.11042468204522089,0.10268284045492024,0.26395433519986805,0.003679017229861304,1.514697938647213e-14,1.514697938647213e-14,1.514697938647213e-14,0.20665547240130197,0.3396329166197881,0.23617285891230422,0.16189543357632874,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,1.5146979386472126e-14,0.38949555991368784,0.0939989113460289,0.03331564204238494,1.5146979386472126e-14,0.3783224188555373,0.3911101949135763,0.16898384336151162,1.5146979386472126e-14,0.023182563839002034,1.5146979386472126e-14,0.19801498473640172,0.2696258736626802,1.5146979386472126e-14,0.37401123994036034,0.09018051203597678,1.5146979386472126e-14,0.1429606447184259,0.27089569483959,1.5146979386472126e-14,0.03899320648735032,0.08043199153983493,0.26534957816916277,0.010255137648700193
Metal_Dopant_1 Ionization Potential,0.4083732722185258,1.7315716867535455e-14,0.0,0.46042668775797296,,0.292160298817264,0.2045927786406141,0.2896175938353019,0.1525964128216651,1.7315716867535455e-14,0.0,0.07588408366789069,0.25718206567124163,0.2730752670965441,0.24274491490766045,0.238894268723891,0.0057430281286605335,0.0,0.0,0.0,0.388079140940603,0.45403999870965295,0.30574521591913056,0.1517559598501692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32583238366407646,0.12314041022745537,0.1599011064430832,0.0,0.4378797556308178,0.1605719107270109,0.21372385193941873,0.0,0.01742085185999199,0.0,0.27891324186697386,0.23252611940429882,0.0,0.4309196104921759,0.13728717905636617,0.0,0.17059760768513002,0.3317661269005485,0.0,0.0541644493408958,0.08659797321190814,0.1181241772639817,0.011896021875379968
Metal_Dopant_1 Electronegativity,0.4679371197373882,5.3041451587357076e-14,5.3041451587357076e-14,0.2395192389287474,0.292160298817264,,0.36469506017906633,0.48689834402670895,0.4330265302018513,5.3041451587357076e-14,5.304145158735708e-14,0.2352960700243165,0.37707327906461957,0.3672993444705379,0.35016335633554274,0.19980955032685754,0.0023505306801364554,0.0,0.0,0.0,0.48231615516789506,0.2633028984659735,0.3922094593841524,0.2402270968906365,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,5.3041451587357076e-14,0.27042227550222603,0.07332899364590535,0.22751016132152868,5.3041451587357076e-14,0.5013732912009708,0.4248841334257247,0.18932135508136447,5.3041451587357076e-14,0.03703868606510694,5.3041451587357076e-14,0.23495180355385903,0.3858137175318831,5.3041451587357076e-14,0.3297357010587938,0.327983843766198,5.3041451587357076e-14,0.13448825399993822,0.35103128652571036,5.3041451587357076e-14,0.5925094275020024,0.2239483807378987,0.30561286556465905,0.035955130503193496
Metal_Dopant_1 Number of d electrons,0.2987129866924248,0.0,7.097079821850462e-15,0.19187129688954624,0.2045927786406141,0.36469506017906633,,0.23553567513293885,0.11637870327936896,0.0,7.097079821850462e-15,0.049785055460310354,0.25365287985084634,0.3304336661680489,0.28429115975973535,0.414556958379676,0.004992297642544813,0.0,0.0,0.0,0.14506537150322776,0.2402340966289593,0.29585809514886674,0.439980420954229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28829026298479776,0.16691450814646402,0.09643062579595549,0.0,0.15970333470015652,0.28670994613992984,0.2868311043832261,0.0,0.008580346207933059,0.0,0.3163358887618702,0.4488865832011302,0.0,0.23326051627470248,0.1274483306323728,0.0,0.3612648328774216,0.5278679703852401,0.0,0.1523493543344688,0.0656509582911365,0.21734995273272747,0.027456850613047402
Metal_Dopant_1 Atomic Radius,0.3998847729605849,2.934933586785229e-14,2.9349335867852295e-14,0.2363805544275734,0.2896175938353019,0.48689834402670895,0.23553567513293885,,0.12752622281440254,2.934933586785229e-14,2.934933586785229e-14,0.10054241680433389,0.13860141272216175,0.26633926872820707,0.1295788024071894,0.16568462267808803,0.0018795321534238402,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,0.31874033906410204,0.14516391034383438,0.18733565472014096,0.13928620665389832,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,2.934933586785229e-14,0.22133808172108202,0.053230060619018936,0.04727481173299561,2.934933586785229e-14,0.15222154302337124,0.2959624748410941,0.23457968011144806,2.934933586785229e-14,0.01636493895903863,2.934933586785229e-14,0.2059341402273723,0.24589553733410158,2.934933586785229e-14,0.2316247759086694,0.10077999901236372,2.934933586785229e-14,0.08094570814028092,0.22361339775870126,2.934933586785229e-14,0.062589318906106,0.10147439276308039,0.2012901224209381,0.011260664923469001
Metal_Dopant_2 Relative Atomic Mass,0.15392969588166222,7.820424641054822e-14,0.0,0.16947653755304948,0.1525964128216651,0.4330265302018513,0.11637870327936896,0.12752622281440254,,7.820424641054821e-14,0.0,0.08056818204797644,0.18943541940785405,0.14046250134362992,0.2436231385228162,0.10326650806570137,0.0020543621823393564,0.0,0.0,0.0,0.20132654083461135,0.1933409337298408,0.10288093728187021,0.09200295353502297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16939056513417,0.023957560987463246,0.1829012397359973,0.0,0.382637889410953,0.35975874141481673,0.12259062562642808,0.0,0.025470034788980647,0.0,0.07425981095608479,0.08552503561433149,0.0,0.0785151617098879,0.1351216383923184,0.0,0.0638634281450471,0.09945389818562775,0.0,0.08331758858472589,0.07517957474343755,0.07651456465191059,0.007242378101425013
Metal_Dopant_2 Atomic Number,6.470945535238022e-15,,,1.5146979386472126e-14,1.7315716867535455e-14,5.3041451587357076e-14,0.0,2.934933586785229e-14,7.820424641054821e-14,,,1.5019507361210134e-13,3.779043994339336e-14,1.225050901918442e-14,0.0,3.0806024883766765e-15,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,5.078361874470341e-15,8.048868797053544e-16,0.0,,4.483775117112201e-14,2.9136507990823825e-14,0.0,,0.0,,2.3342696692104867e-15,6.4502765126448205e-15,,0.0,0.0,,1.342360470716151e-15,0.0,,0.0,0.0,0.0,5.2387444493989e-17
