,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.0,0.0,0.0979386734254814,0.07494361459696747,0.05743854199847261,0.010765742921979253,0.0941412911548962,0.10299408768781952,0.0,0.0,0.014094347133359154,0.1462269965186373,0.08872935144631021,0.09922012266024507,0.11154509931333369,0.0,0.0,0.0,0.0,0.0469048142521623,0.1091635366231293,0.0,0.08146889838554765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1062616731926117,0.1482561835295061,0.03179734292906282,0.0,0.09713562390693604,0.13475970411792007,0.1561458297860206,0.0,0.07283523277736118,0.0,0.13408897210355525,0.0654965008894658,0.0,0.0,0.11134611088768374,0.0,0.1540410310635206,0.14418595676395388,0.0,0.03467988333795602,0.10131776201733564,0.06383420829881242,0.0472292236159625
Metal_Dopant_1 Atomic Number,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
Metal_Dopant_1 Period,0.0,,,6.637254963747165e-06,0.0,6.718811542434666e-06,4.596889521720873e-05,2.7346887825910825e-06,0.0,,,3.787886414693939e-05,1.2955902434080478e-06,2.2671191682738686e-06,0.0,7.129085092180453e-07,,,,,1.3165387564673674e-05,5.2470325047629455e-06,,5.980054815752748e-06,,,,,,,,,0.0,2.762755328021351e-07,2.2224258726970867e-05,,0.0,4.835426148685251e-07,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,3.883733059242078e-06,1.0277563835330108e-05,0.0
Metal_Dopant_1 Group,0.0979386734254814,0.0,6.637254963747165e-06,,0.08063887637500873,0.0653763353225688,0.020258811437035288,0.08429786646854061,0.14066123114326753,0.0,6.637254732189223e-06,0.01775008830388733,0.1163638600230833,0.07508960681489318,0.07143725396386283,0.06290163515722144,6.637254732189223e-06,6.637254732189223e-06,6.637254732189223e-06,6.637254732189223e-06,0.050407692835345436,0.08392699421545308,6.637254732189223e-06,0.06421631126881279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06126782109290875,0.0628744232602667,0.034693489989476335,0.0,0.08172939842037613,0.06299830028768821,0.1270969518086619,0.0,0.07046964950176529,0.0,0.07461592891741893,0.036668424829326966,0.0,0.0,0.08530067536334941,0.0,0.06431754341448062,0.09563014705430756,0.0,0.05670524240247431,0.08159031675812367,0.06742938657624122,0.05341786515142836
Metal_Dopant_1 Ionization Potential,0.07494361459696747,0.0,0.0,0.08063887637500873,,0.08508216556737587,0.027909347331809276,0.07485267544210746,0.2845595388352678,0.0,0.0,0.029941602458602234,0.06924787239915829,0.04843077381543099,0.08000574047655074,0.06261672382367506,0.0,0.0,0.0,0.0,0.064645070963561,0.08582031295821621,0.0,0.060668683903328795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05169464524141215,0.04969877687607881,0.08488106416064603,0.0,0.07586858989234418,0.04063877480472543,0.04107833279493338,0.0,0.0760333839625511,0.0,0.042859563852465636,0.027295639035825287,0.0,0.0,0.06342474977202578,0.0,0.032237260806688484,0.05482061474563062,0.0,0.3850969731053001,0.06370521207857593,0.07635234721642131,0.02300219077422784
Metal_Dopant_1 Electronegativity,0.05743854199847261,0.0,6.718811542434666e-06,0.0653763353225688,0.08508216556737587,,0.020050981927942784,0.09964643259135794,0.32556263817768794,0.0,6.7188117711818245e-06,0.011292813545464799,0.06660299590905534,0.08832231695255949,0.05852371152488672,0.0808674899598682,0.0,0.0,0.0,0.0,0.03936295919586431,0.06735691478877671,0.0,0.09525914994593818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030644710825986,0.1059588766014157,0.03859321568914138,0.0,0.0914293953062638,0.08885901927605806,0.10844053339513844,0.0,0.0904496373733849,0.0,0.10447465474438135,0.0936344920689135,0.0,0.0,0.12933688118090614,0.0,0.0815437028002275,0.133985799089836,0.0,0.06695823178714402,0.10669505476340028,0.09578818110970448,0.06613173657151224
Metal_Dopant_1 Number of d electrons,0.010765742921979253,0.0,4.596889521720873e-05,0.020258811437035288,0.027909347331809276,0.020050981927942784,,0.013866053989689655,0.013578746060031911,0.0,4.596889521720873e-05,0.007742662540452448,0.01196808272297213,0.022113280631521546,0.022580793936656997,0.014348385758001425,0.0,0.0,0.0,0.0,0.024836279416207606,0.010717148595047096,0.0,0.016920079030330052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023612273910691848,0.013359787529937443,0.014338618052697358,0.0,0.011868678319699144,0.014600052569826145,0.06455976793418056,0.0,0.015260418918690826,0.0,0.04306626961749656,0.005105099281519652,0.0,0.0,0.011892541293991416,0.0,0.018629652029944987,0.030330151021586146,0.0,0.02180972582576445,0.017747622221920674,0.017941473819112097,0.006876929384674775
Metal_Dopant_1 Atomic Radius,0.0941412911548962,0.0,2.7346887825910825e-06,0.08429786646854061,0.07485267544210746,0.09964643259135794,0.013866053989689655,,0.05199923619043362,0.0,2.7346887825910825e-06,0.07688871572859053,0.13020981423275046,0.06380984781137182,0.06878711985258128,0.08644964150930641,2.7346887825910825e-06,2.7346887825910825e-06,2.7346887825910825e-06,2.7346887825910825e-06,0.04642905841377757,0.10024702038886717,2.7346887825910825e-06,0.07232312968547995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1737255454401391,0.10202678927226151,0.026039935090198345,0.0,0.0979386734254814,0.07894626007065533,0.1163837234187058,0.0,0.07984788951540783,0.0,0.09761099551380971,0.07760367490342004,0.0,0.0,0.10658287610985619,0.0,0.09003363229737317,0.13525878305384695,0.0,0.06346473800486867,0.10587718475457443,0.13104048115466174,0.05402543112344022
Metal_Dopant_2 Relative Atomic Mass,0.10299408768781952,0.0,0.0,0.14066123114326753,0.2845595388352678,0.32556263817768794,0.013578746060031911,0.05199923619043362,,0.0,0.0,0.010239577456727858,0.07485550285927094,0.07475615402480164,0.05338779963297917,0.07570795748284802,0.0,0.0,0.0,0.0,0.03833564554924565,0.09004788669654813,0.0,0.041888950490430524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742759750042091,0.06712434220350141,0.041022452937111244,0.0,0.15639417944845282,0.051880732129384065,0.06183905364223499,0.0,0.060275988456248306,0.0,0.07869401055854823,0.028985982168770814,0.0,0.0,0.087472647163265,0.0,0.16205510537410325,0.07215824110194534,0.0,0.02946205600523573,0.055340270260112345,0.0496607094667546,0.03860182016772034
Metal_Dopant_2 Atomic Number,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
Metal_Dopant_2 Period,0.0,,,6.637254732189223e-06,0.0,6.7188117711818245e-06,4.596889521720873e-05,2.7346887825910825e-06,0.0,,,3.787886414693939e-05,1.2955902434080478e-06,2.2671191682738686e-06,0.0,7.129085092180453e-07,,,,,1.3165387564673674e-05,5.2470325047629455e-06,,5.980054815752748e-06,,,,,,,,,0.0,2.762755328021351e-07,2.2224258726970867e-05,,0.0,4.835426148685251e-07,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,3.883733059242078e-06,1.0277563835330108e-05,0.0
Metal_Dopant_2 Group,0.014094347133359154,0.0,3.787886414693939e-05,0.01775008830388733,0.029941602458602234,0.011292813545464799,0.007742662540452448,0.07688871572859053,0.010239577456727858,0.0,3.787886414693939e-05,,0.0073682944098735145,0.011867653384579931,0.01004360523524342,0.006959749747072407,3.787886544531754e-05,3.787886544531754e-05,3.787886544531754e-05,3.787886544531754e-05,0.008920799407980774,0.009002640457850136,3.787886544531754e-05,0.007179581616338182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013804945989062421,0.00950024202705341,0.004523415311974089,0.0,0.008119929247601996,0.0060153910257126466,0.011031296456667361,0.0,0.004093987562241685,0.0,0.007333287289480519,0.007984852471068914,0.0,0.0,0.010471500158814411,0.0,0.007982107543529316,0.046522928989121914,0.0,0.013539937762992527,0.007422001739835793,0.00481250703590444,0.0038171864674551594
Metal_Dopant_2 Ionization Potential,0.1462269965186373,0.0,1.2955902434080478e-06,0.1163638600230833,0.06924787239915829,0.06660299590905534,0.01196808272297213,0.13020981423275046,0.07485550285927094,0.0,1.2955902434080478e-06,0.0073682944098735145,,0.08871572226019105,0.10412800121163943,0.16877834978935322,1.2955902434080478e-06,1.2955902434080478e-06,1.2955902434080478e-06,1.2955902434080478e-06,0.05504503130401615,0.11240086494629244,1.2955902434080478e-06,0.10301964473206424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19239947299202992,0.173140000468483,0.024337847936967714,0.0,0.11777853085871103,0.14809123012533423,0.18651741167520655,0.0,0.10571991423127687,0.0,0.19725092574356998,0.14116444516130525,0.0,0.0,0.19026254260970465,0.0,0.15948108187643562,0.17642051328807323,0.0,0.04641199225516009,0.13970848926461593,0.09612450671655277,0.1139140560198036
