,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.0,0.0,0.006923394991354574,0.020937682228654986,0.06436885127528087,0.05400702145192236,0.039666938002474394,0.009591334970225776,0.017039507515041113,0.0011660551179265744,0.009172684290603667,0.06373045991615163,0.03988078492294588,0.11616776675714761,0.06580899804119275,0.0638881015131528,0.0,0.0,0.05245066793161576,0.08508887860979483,0.01420239276406036,0.07451534838950244,0.13842290556487166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974636507237933,0.07922171919745027,0.037566108025427015,0.0,0.07318194026913453,0.03820393105654121,0.04236609389386803,0.0,0.042918781138847346,0.0,0.09466292769816523,0.026888125039698344,0.0,0.08167936696680891,0.0,0.019538136478654707,0.05000892248756637,0.1439096947770128,0.0,0.0,0.013475796964889796,0.11802131714563557,0.08981961145202932
Metal_Dopant_1 Atomic Number,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
Metal_Dopant_1 Period,0.0,,,5.565632402578943e-14,0.0,1.0842196669080101e-14,0.0,9.21120454852012e-15,0.0,0.0,1.0148073959259752e-13,3.4954205974794416e-14,4.6591837786978646e-15,1.7642446136773776e-14,2.2790020421953882e-15,2.2247980251240817e-15,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3.657495629820905e-15,0.0,,0.0,4.253174886135852e-15,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,3.6035626618362016e-15,,,0.0,0.0,0.0
Metal_Dopant_1 Group,0.006923394991354574,0.0,5.565632402578943e-14,,0.024841282975380078,0.003982018972062512,0.009949860985127904,0.03054891023405847,0.007220334892458961,0.0029806692686815185,0.003364720400460564,0.005239554695301374,0.006096695121579241,0.1571472952873322,0.0031872546310107628,0.04190768565378373,0.005356391440312309,1.1131264805157888e-13,1.1131264805157888e-13,0.008837713911021087,0.03502670785805883,0.027613905930036854,0.024898891016501886,0.030702925897111967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347040791877234,0.011985342807577763,0.006123037056121559,0.0,0.08612068832866236,0.01417220550013387,0.007420594694755213,0.0,0.8334412809060426,0.0,0.007242302145791104,0.005905032146087234,0.0,0.05037734813412983,0.0,0.003292131811916108,0.01222898512741178,0.012886371777717098,0.0,0.0,0.010409857896854351,0.014346484988188175,0.0034940858833636267
Metal_Dopant_1 Ionization Potential,0.020937682228654986,0.0,0.0,0.024841282975380078,,0.05403255824492593,0.02275660465103274,0.050521128807583936,0.010528636195488779,0.010241175352011168,0.0009316264215236299,0.009970763644752967,0.010095832383361173,0.17567761603584622,0.01024681881600864,0.03697682303044802,0.09026624502296213,0.0,0.0,0.018555225164782415,0.0188321180802105,0.0268525739659606,0.016889639247226303,0.03490830151693982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22247300245413693,0.023347537519553502,0.013942313229230367,0.0,0.14658217204917828,0.21843351873301037,0.02520260328281883,0.0,0.018160573816694683,0.0,0.026025736771521556,0.01561863490421005,0.0,0.014347693999576668,0.0,0.16809374441574598,0.03481707431706211,0.019877951875213268,0.0,0.0,0.009103723000994619,0.09209535288825527,0.01692360226864999
Metal_Dopant_1 Electronegativity,0.06436885127528087,0.0,1.0842196669080101e-14,0.003982018972062512,0.05403255824492593,,0.03809349392523465,0.04104491431811993,0.06849183211814487,0.054820320823506914,0.00040231350503412634,0.008687463025833588,0.01802152383885479,0.02997344720787588,0.01961777628425213,0.028351804699272152,0.11008734963421977,0.0,0.0,0.01970711901328299,0.04233594032062509,0.008317341404915812,0.032472901157939354,0.045694008508654654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022635855444414675,0.11165703400176914,0.22613778336875384,0.0,0.23780537631365456,0.19825869661594997,0.37614325301491797,0.0,0.002963331221635218,0.0,0.1369523813390032,0.019173507514105327,0.0,0.011535735151435786,0.0,0.08331097190062711,0.10373685978456416,0.08154228093805252,0.0,0.0,0.0060532579927512755,0.05698762447551008,0.051076730387636105
Metal_Dopant_1 Number of d electrons,0.05400702145192236,0.0,0.0,0.009949860985127904,0.02275660465103274,0.03809349392523465,,0.028055147279402663,0.010222012440161098,0.009893473899625362,0.0014188520852464555,0.01081172287796363,0.025436058638673008,0.1573395076489829,0.028726748817235616,0.016590338582025844,0.16919027048964017,0.0,0.0,0.0210551289625674,0.036326252234581156,0.018361952583242806,0.0431797043669963,0.0534315295720596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10388065922915748,0.08851815634399275,0.03187122493210766,0.0,0.03900412986289266,0.07237425053099646,0.03202937388596044,0.0,0.009738182863777358,0.0,0.016659385494160902,0.015628914701931035,0.0,0.13654403294995232,0.0,0.020589527591578206,0.05393757464915606,0.17032905423845915,0.0,0.0,0.019071530594078012,0.08770746941432976,0.016650684323387423
Metal_Dopant_1 Atomic Radius,0.039666938002474394,0.0,9.21120454852012e-15,0.03054891023405847,0.050521128807583936,0.04104491431811993,0.028055147279402663,,0.030845026214542232,0.02235219456967654,0.006161067973869252,0.009014574735265249,0.10314829567595477,0.02194316292920588,0.01085534201485245,0.05275916496239811,0.045804100578423684,1.842240909704024e-14,1.842240909704024e-14,0.027555441149562637,0.054434006956768775,0.04498987296672002,0.02448189464213099,0.0817581735371139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48321720160823406,0.2973492058541302,0.07960468924483917,0.0,0.056954531035347845,0.15227349872127835,0.021006438180599784,0.0,0.24171170206459394,0.0,0.02334262105879975,0.02258442958823859,0.0,0.32150122736850434,0.0,0.016445171141066122,0.09104630237807851,0.13453996896397724,0.0,0.0,0.033869401113476895,0.05555598999269224,0.023388957148881694
Metal_Dopant_2 Relative Atomic Mass,0.009591334970225776,0.0,0.0,0.007220334892458961,0.010528636195488779,0.06849183211814487,0.010222012440161098,0.030845026214542232,,0.01611558043720959,0.0014940821000246625,0.003031711344473314,0.003666270368516996,0.005136654375612076,0.001965463178427382,0.011059769739761905,0.04558832014437183,0.0,0.0,0.00939354134015476,0.007007961249865095,0.011788767597599316,0.004874768072482858,0.017655179796771624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08917811463270121,0.011351796047469644,0.08908312000007382,0.0,0.009109348975051898,0.014602377031388853,0.00779140300854239,0.0,0.009003419676811009,0.0,0.010619914900098218,0.0033298279795178436,0.0,0.004177051577247695,0.0,0.002454873189134695,0.0024173065595588052,0.054386972934336156,0.0,0.0,0.004965274522733374,0.008206067550798758,0.00455983011778677
Metal_Dopant_2 Atomic Number,0.017039507515041113,0.0,0.0,0.0029806692686815185,0.010241175352011168,0.054820320823506914,0.009893473899625362,0.02235219456967654,0.01611558043720959,,6.764449938842083e-15,0.0014524059377890566,0.01241052244866039,0.003109316853376086,0.003422315034898164,0.03053906254858683,0.008917318230789867,0.0,0.0,0.008129921263716668,0.0023779544223608276,0.0,0.0024729798176258318,1.025857726107915e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004568457682915497,0.010089192307219596,0.010938373782467644,0.0,0.009762377578625935,0.007841429208171156,0.015891099914062085,0.0,0.0044902739416199265,0.0,0.012456283639768206,0.010289155827656523,0.0,0.017639244539232962,0.0,0.003101701300021056,0.006164976795098691,0.007582208638907096,0.0,0.0,0.007108725651366879,0.006079947773533552,0.03386435737472833
