,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h
Metal_Dopant_1 Relative Atomic Mass,,0.05688467649744978,0.016539850104164065,0.05586933663785006,0.04818099175673325,0.07024651750021473,0.04297975944102585,0.07376767471203328,0.07848962019720064,0.024984437074806628,0.04856367784362299,0.028086582853042635,0.059409404778391496,0.04727568138288835,0.10867722542822071,0.08550154412742753,0.1297704788944668,0.10601210818427075,0.019852415432506258,0.07054097721808378,0.03493897109997131,0.07777942067424688,0.12006439705617669,0.0706139178209279,0.0012286056864166525,2.3237341487320627e-15,0.006550240056459056,0.0,1.7474221263323083e-15,0.011367308170591275,0.0,0.0008747503659445127,0.023643260857279965,0.07732800982086108,0.05411789690245459,1.3058263678636866e-15,0.0334053211489549,0.049683830687309354,0.05235970565510204,0.003186067961648453,0.013224792232653894,0.012859409355665593,0.23574108882502134,0.05816718545114488,0.03372607611353355,0.012497935319210998,0.11919176857051625,0.0097111356888904,0.06593419821897739,0.05308471007631202,0.0019060177140020698,0.027068472505284838,0.054840447514221055,0.09515500509026052,0.03916695399620065
Metal_Dopant_1 Atomic Number,0.05688467649744978,,0.015269877933846288,0.010876760291471414,0.07648925080639397,0.025900742608323,0.02176804334917548,0.07425939784172178,0.03778128820046033,0.0739618865117615,0.012329569944011973,0.06330240653268873,0.06054151224227398,0.01598610971124693,0.14045633789582998,0.03704165348634713,0.05088398549773576,0.08436918300798774,0.030467284900136667,0.06537380129744087,0.047779629248549234,0.02381138790790562,0.04873334933677705,0.07955678510925905,6.418028604643694e-16,0.02461056811974651,0.011940862971792882,0.0,0.0016337938347051528,5.960876481452943e-16,0.0,9.076407032918721e-16,0.06221887945084892,0.046592998060523624,0.12393426591157171,9.355796658344377e-16,0.03615725457757742,0.09668180900593172,0.017118046458638993,0.0027572826179949866,0.0054375281521834,0.016606276932302863,0.1778731038334213,0.07181532076492166,0.1026307860199088,0.003996749367036094,0.12793639954521238,0.006117130961179097,0.03959869901460112,0.061512190051202766,9.355796658344377e-16,0.022677653720822907,0.0253846976514881,0.12353406782354605,0.07549815176066571
Metal_Dopant_1 Period,0.016539850104164065,0.015269877933846288,,0.33198656096613677,0.008021107400979237,0.027750412279816658,0.12079960761268276,0.037043401671430345,0.025217869126331883,0.0820904173315928,1.3021975237184658e-14,0.07472004064761799,0.051108881036472376,0.03713941266093624,0.1797970721549209,0.14366627304715263,0.02080424925517878,0.09497958925358316,0.11639293650654253,0.003260199029175856,0.0817119190120641,0.1154480687393723,0.06506708590654442,0.009613434652531018,0.09774503050204505,0.08800402939688623,0.03285334606698865,1.4574497178817794e-14,6.1986519173730036e-15,4.752400164674364e-15,1.4574497178817794e-14,2.4124401669648512e-14,0.3618539879233833,0.23236477490327848,0.02175621680523998,1.11263022752857e-14,0.05266425997295116,0.020676903782506067,0.12447884478459224,0.09505035563771239,0.012594221617323457,0.13828344856879377,0.06782722548977409,0.16086422910155557,0.010249974574895505,0.05367489778623068,0.023522210470313977,7.872541066987595e-15,0.05078996123382443,0.02290236067322207,1.11263022752857e-14,0.03896126135687707,0.1639584241296911,0.01500611504981706,0.009734504232176793
Metal_Dopant_1 Group,0.05586933663785006,0.010876760291471414,0.33198656096613677,,0.05198038941316045,0.021910798609757087,0.29400831566970825,0.04777724250383775,0.058938492332172986,0.263327247516466,0.11731971252103242,0.04030071895037041,0.033420397331293046,0.16209461417122753,0.1848741151051204,0.06463911475194511,0.14094852351015005,0.11023871859014668,0.13201233930652984,0.036184883193717585,0.025801450317541472,0.34025534224088294,0.08316168499267858,0.0404032741399673,8.444970511568897e-15,2.4304876548174054e-14,0.044671494483488894,2.389016482732973e-14,4.519804176035018e-15,0.05853065217442094,2.389016482732973e-14,3.1564447742171523e-14,0.1680700131367884,0.19651052450233955,0.01352437204882427,2.689175755840442e-14,0.23180859832528428,0.04391964411685071,0.21033741987005913,0.14730682891904115,0.11184532143856145,0.004035644351978186,0.032626308139416624,0.3184944516163698,0.13952280771512868,0.03433269382428511,0.0644003604349404,0.10332407356946728,0.16008814425274798,0.022135792275488075,0.0887112716106951,0.05439017061346488,0.049405589155858985,0.04215295014075449,0.030127647960428963
Metal_Dopant_1 Ionization Potential,0.04818099175673325,0.07648925080639397,0.008021107400979237,0.05198038941316045,,0.049246311088823914,0.036773472504713876,0.01451327056922729,0.06326204616296117,0.031691560514979435,0.01304541380211003,0.05275327701730471,0.05433229203755922,0.02499323275295832,0.11574967553319401,0.041684591551374876,0.017246413005469134,0.05824406556757477,0.033740891208712896,0.062177178680786475,0.0645567015435722,0.02743180783871911,0.033102617802734303,0.0606201662980885,0.0022611561745022705,0.04029977719109557,0.0075369733532592775,0.0,0.015494781570321652,0.0020579204057737262,0.0,1.8750934283758656e-15,0.07776291714051153,0.06441088266363384,0.04514148684920316,1.3571167785641365e-15,0.10447272330799189,0.0815865641286864,0.04751622869216843,0.006868062372596481,0.011228271279464184,0.009679777757976123,0.11076076596744902,0.07315730309132791,0.03877778309550851,0.03370097420530027,0.04142357761374465,0.050850116479304375,0.028826434237480037,0.07864532816123138,1.417462246023556e-15,0.07530226207035169,0.08187480481091444,0.05540461082102407,0.03904439144929462
Metal_Dopant_1 Electronegativity,0.07024651750021473,0.025900742608323,0.027750412279816658,0.021910798609757087,0.049246311088823914,,0.015456057950715165,0.04772149804655579,0.07205694116278458,0.02291463392318482,0.050535381906062604,0.04591653438944394,0.11132568757121439,0.015050458866519853,0.05709933025361026,0.15688205922975357,0.030274367761968266,0.12620116485742894,0.11527953023953784,0.07170447866362983,0.07754258275112379,0.11307319779612446,0.07355169590718424,0.017664977773068222,2.732362082839347e-15,0.0194689881053297,0.08006399892267947,3.672427350260555e-15,0.005473910382615995,4.074926413332386e-15,3.672427350260555e-15,6.360643649724191e-15,0.10226388059164741,0.09484153466710717,0.053881665323188534,5.929696066042814e-15,0.06714493273238951,0.05136971697930629,0.021993931389381598,0.032442915306859096,0.025309325073595276,0.03945636394209936,0.13944813724884889,0.06131241673614643,0.03950899921573952,0.07466790738007419,0.06760257755225481,0.08306662793668051,0.11251933532488827,0.11593550352974942,0.013371960145688044,0.07658247854791342,0.05433515507095654,0.10770451633241086,0.040966071888744765
Metal_Dopant_1 Number of d electrons,0.04297975944102585,0.02176804334917548,0.12079960761268276,0.29400831566970825,0.036773472504713876,0.015456057950715165,,0.03600766145642656,0.24502277752170507,0.16254306669098065,0.034920238540387935,0.055064523442004784,0.1570580870095803,0.1981346128759704,0.021408869921348463,0.09779208921411653,0.05388080682652889,0.047304173495208136,0.15469848686359028,0.023656572155908693,0.2106728443273729,0.033778437443678686,0.04712305042932565,0.031133689010727893,8.210841616660525e-15,0.5027786160736554,8.46083296148407e-15,0.0,0.05363375241126976,5.688690314026815e-15,0.0,2.84226724378396e-14,0.4671518617581498,0.3085204261893292,0.005071560724190894,2.6330856863069982e-14,0.1035180159168772,0.016459602143843687,0.14503231378573855,0.05623542148541093,0.12231894318676788,0.057699503534049755,0.023883933261057533,0.2161252933658617,0.037396745725974255,0.07782317320260516,0.05435391693235808,3.687741456859756e-15,0.17815578304304558,0.026316696917544513,2.6330856863069982e-14,0.09907377724018261,0.22734402639640072,0.011104355486899878,0.013205186613883693
Metal_Dopant_1 Atomic Radius,0.07376767471203328,0.07425939784172178,0.037043401671430345,0.04777724250383775,0.01451327056922729,0.04772149804655579,0.03600766145642656,,0.04843244717289259,0.0451612546430868,0.033116456293936614,0.0648458894524392,0.04293019694673963,0.05414644497987065,0.0247315530204332,0.03453555342087221,0.06797322711204198,0.05604074286569637,0.050091920183823635,0.06163676257163868,0.021613304520476145,0.014017689942599448,0.018416083366007575,0.1052065634771587,2.849114138636804e-15,1.5926989791634158e-15,0.0007301377949863808,3.077403931452726e-15,0.003582962417083768,0.026299114836003293,3.077403931452726e-15,4.253764169053498e-15,0.1124058250957409,0.10290911407956065,0.06501829853537691,3.655121295700454e-15,0.11039601167585535,0.11624857336551148,0.05861372637040481,0.006717365710393285,0.08731870146095572,0.013978884096048716,0.14618562254731735,0.10134957894435569,0.060564794291643284,0.017948952215027965,0.0690869820614669,0.07021399721994073,0.07318242047166257,0.0677401628541216,3.655121295700454e-15,0.18524517370209057,0.049377636264159794,0.038750631150621925,0.0686709738414282
Metal_Dopant_2 Relative Atomic Mass,0.07848962019720064,0.03778128820046033,0.025217869126331883,0.058938492332172986,0.06326204616296117,0.07205694116278458,0.24502277752170507,0.04843244717289259,,0.1880558476651438,0.12010242464109215,0.11001640353062488,0.25981317714709623,0.03738914495623063,0.10476348758995026,0.03780214964132322,0.054313251282993746,0.12051998840082702,0.2748246683591655,0.03676463994028692,0.16121011860495654,0.21907816621513457,0.053953662876708344,0.05379037972852233,0.019602166908585204,0.00986165279104438,1.5979754613603062e-14,1.3789629679735922e-14,1.5862656298933554e-14,1.369485330872639e-14,1.3789629679735922e-14,2.6692434399265884e-14,0.11094108281879711,0.11571014819120208,0.039451560931491304,1.747973391416685e-14,0.15314521232359454,0.052011921503894144,0.06487090463019825,0.08109746855758034,0.05269542752301966,0.09739897645293005,0.05321706028428442,0.2041827349765237,0.08378854800391926,0.4201106006775119,0.04437738230190099,0.1168341827176204,0.12538086046743743,0.03956136970869985,0.010757391109349096,0.08598339300109972,0.2036109513863784,0.051275902780796585,0.020920902280463033
Metal_Dopant_2 Atomic Number,0.024984437074806628,0.0739618865117615,0.0820904173315928,0.263327247516466,0.031691560514979435,0.02291463392318482,0.16254306669098065,0.0451612546430868,0.1880558476651438,,0.4685083375719542,0.11230485487689562,0.07098527879933764,0.2020937324439489,0.19513736627452208,0.06906462246606926,0.09761305621944211,0.05318844337996498,0.11546572379684598,0.03138506392762573,0.2756893562139573,0.1345675722329045,0.024341869970651676,0.04738054272191316,0.019311290902614773,3.976501965140605e-15,0.011081680417288294,1.3309307110037066e-14,0.33999213008803925,0.005028394011816126,1.3309307110037066e-14,0.015365567888996973,0.10673504653902088,0.312182756426421,0.15953780022232952,1.3889429413948654e-14,0.11829595984581831,0.07038144811844987,0.020483125520145612,0.18454465383450494,0.2868284366630142,0.11587697492289685,0.05505728397401241,0.19209837581039205,0.026244823103443587,0.04203483384422541,0.02320774473332198,0.07968048611199167,0.14670768654037192,0.10582542906050987,1.3889429413948654e-14,0.11873368100381416,0.20334096963368098,0.07638184819226716,0.02621102193452949
