,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.0029809981443397722,0.0,0.08602039846351507,0.027210045877667895,0.03727199998008145,0.034166452070504276,0.06017769709443681,0.04111026973035107,0.01681654658329547,3.0804153717405992e-15,0.023024422740651865,0.1352159726409668,0.035979015188131604,0.028631506770002098,0.06829417807102957,0.00842406327439812,2.603380508741233e-15,0.0,0.028118994519820986,0.002306693608357897,0.015846955957173232,0.01481677952813867,0.012920428339543547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010571908906548131,0.045422282649957305,0.0385764598995597,0.22560496764093335,0.0,0.03544622731093958,0.13154494449890852,0.005172669972662662,0.008091470115453935,0.00868036555300629,0.03648499622707682,0.06169246055277075,0.04583431221391766,0.0,0.03723716170899987,0.03657323770118033,0.037323718068681636,0.1278774703758093,0.08359089109213998,0.013343234902487195,0.03217242427013918,0.08929235535885302,0.2760973990735638
Metal_Dopant_1 Atomic Number,0.0029809981443397722,,0.0,0.007488901113251717,0.01781443439961889,0.010059579845282506,0.004983584169980553,1.1460605314026166e-15,0.2617363686432206,2.765578444618046e-14,0.0035835182875941026,0.04158454294582386,0.031783512145714746,0.022919520842566734,0.0006976219454120553,0.010967503400817142,1.864689192293927e-14,1.2537496255531952e-14,0.0,2.5054842776587577e-14,0.017139036894453542,0.012240374542545595,3.0919880738497304e-14,0.02089425601917648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10530996886265105,0.027625110996371754,0.02885017657361429,0.0,0.1406309753332795,0.061389027708050076,0.043279405500626957,2.015031042738012e-14,0.007988382469134735,4.3974307292850964e-15,0.004804630195363452,0.0692911932993658,0.0,6.886938012090632e-15,0.0023459582688476815,0.020403896101941665,0.022473261025278423,0.012200414397451011,2.2091121917736055e-14,0.013714797051379507,0.003859487971357975,0.005169197985320416
Metal_Dopant_1 Period,0.0,0.0,,1.1541842206382038e-14,3.088141607248346e-14,0.0,0.0,1.190323916598845e-15,0.0,0.0,0.0,1.6325665733925814e-14,0.0,0.0,0.0,7.473769288630492e-15,4.0511886368352936e-14,4.639461789094445e-13,,1.8917418509166792e-14,3.595542441203122e-14,1.575997454307272e-14,7.358816509768888e-14,3.341892429818363e-14,,,,,,,,0.0,1.1472047610248014e-14,3.0112374535940456e-15,3.3466268654586878e-15,,0.0,8.19601753809611e-15,0.0,0.0,0.0,0.0,0.0,3.942308914259391e-15,,0.0,0.0,0.0,2.5410072729391667e-15,0.0,0.0,0.0,0.0,5.27665104069475e-15
Metal_Dopant_1 Group,0.08602039846351507,0.007488901113251717,1.1541842206382038e-14,,0.15625150335608498,0.041162287966611526,0.0301265800997475,0.03934241930976302,0.028894830719741874,5.3008886515140405e-15,1.1119754278769037e-14,0.10507875766312907,0.04498557295264577,0.08587863097219174,0.00305185331378262,0.054142273380022435,0.009561722142257973,2.5052365162218486e-14,0.0,0.03446559273813852,0.01190133521306177,7.255662509507103e-15,9.142294417985727e-15,0.04335890529254336,1.1541842206382038e-14,1.1541842206382038e-14,1.1541842206382038e-14,1.1541842206382038e-14,1.1541842206382038e-14,1.1541842206382038e-14,1.1541842206382038e-14,0.10694580431478591,0.27947015061991537,0.10825227187017945,0.07322461168586666,1.1541842206382038e-14,0.05202489716744391,0.05678327533421339,0.03488899098501787,1.0201415071379247e-14,0.01694315254432669,0.07277531346133861,0.14428237838077082,0.04352255779190333,1.1541842206382038e-14,0.03764815968114685,0.019098398990341527,0.013369405136853545,0.05265730341987309,0.12543546604791797,0.034519624844036534,0.029096204551762938,0.06602110074777177,0.09561163857868929
Metal_Dopant_1 Ionization Potential,0.027210045877667895,0.01781443439961889,3.088141607248346e-14,0.15625150335608498,,0.07289256121038824,0.02532197678250892,0.041360443471085695,0.02507105130977217,0.02763756500752798,0.023649025448643998,0.05810124532276733,0.11401162208697592,0.04183212097920277,0.02359974158323048,0.036158202124929775,0.01286002210797848,2.178824493360331e-14,0.0,0.09957297597369924,0.018699745610988694,0.04486659015628392,0.013331673491687575,0.08264112858359603,3.088141607248346e-14,3.088141607248346e-14,3.088141607248346e-14,3.088141607248346e-14,3.088141607248346e-14,3.088141607248346e-14,3.088141607248346e-14,0.15705561227464568,0.4660210934928185,0.048043553908413826,0.26946083008516863,3.088141607248346e-14,0.1465103614056725,0.13526785896560972,0.07745355106859825,1.8086093528540487e-14,0.1303727792938054,0.0984095752168742,0.09919431430179164,0.02167686612096626,3.088141607248346e-14,0.04884171816495301,0.14468798179044826,0.3857923053455605,0.10689115048685086,0.05583440493899857,0.025317993551100895,0.046622441773093076,0.03946443644340983,0.02377267697985151
Metal_Dopant_1 Electronegativity,0.03727199998008145,0.010059579845282506,0.0,0.041162287966611526,0.07289256121038824,,0.02660149320998279,0.21777257565806482,0.04961178606853477,0.002095218849859425,0.0005402541265693092,0.028041326519710703,0.0834686482612836,0.17039090360533293,0.01499910117969063,0.14852308314267268,0.006989463445765949,0.0008795867712443093,0.0,0.007366233242659414,0.004052703286691616,0.008305396647014792,0.002488209866300239,0.008992506817115973,9.655632229967229e-16,9.655632229967229e-16,9.655632229967229e-16,9.655632229967229e-16,9.655632229967229e-16,9.655632229967229e-16,9.655632229967229e-16,0.0026532539862366474,0.25829616341770634,0.1730493783708434,0.01809360491279817,9.655632229967229e-16,0.2994548261754327,0.09011804688723009,0.0016648292273099665,7.374462308301745e-16,0.0037712739088250308,0.013817248293742396,0.1973320625851016,0.039878805081872325,9.655632229967229e-16,0.039042535628934553,0.03356727112046472,0.08305754267454929,0.15638667910047335,0.029571833362848306,0.012179404118232748,0.044829036471512373,0.056907578072207046,0.06504664943500178
Metal_Dopant_1 Number of d electrons,0.034166452070504276,0.004983584169980553,0.0,0.0301265800997475,0.02532197678250892,0.02660149320998279,,0.00606128854188793,0.018201947893854355,2.6418048803949996e-15,0.012041071314578072,0.018504870868970517,0.3854046779972209,0.1083554982593286,0.003351413258663542,0.01823251111363185,0.0063258054417990525,2.448636062748017e-15,4.470784921468496e-15,0.017648541724902194,0.002751787520436415,0.00510192590743524,0.0014744494093474388,0.0028451741640452967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014254781160648327,0.11475300809431375,0.17000161191937446,0.06620706782133395,0.0,0.024073029481914223,0.046768369688600604,0.0056083576273122165,3.461559773417955e-15,0.006342141435410417,0.05389295021687582,0.0864060862901591,0.05896145923585696,0.0,0.010373486540581702,0.005891206282528323,0.16037600730338758,0.1739195957383027,0.04548853787574506,0.0015662709388738149,0.04238762527781433,0.04642540489915042,0.04423974623477274
Metal_Dopant_1 Atomic Radius,0.06017769709443681,1.1460605314026166e-15,1.190323916598845e-15,0.03934241930976302,0.041360443471085695,0.21777257565806482,0.00606128854188793,,0.030644907752337046,0.04140713953161674,1.0389976656291873e-15,0.023744924544855116,0.10447173224106189,0.06312079412185219,0.1940916896428231,0.23396765709344844,0.05770104077260873,0.004432272385311307,0.0,0.00450123637926953,0.005808464752222469,0.018260545260927352,0.012310131063892319,0.08277673192026028,1.1903239165988448e-15,1.1903239165988448e-15,1.1903239165988448e-15,1.1903239165988448e-15,1.1903239165988448e-15,1.1903239165988448e-15,1.1903239165988448e-15,0.009908133626497787,0.04052671250118059,0.09952806887920022,0.054672761713785704,1.1903239165988448e-15,0.03985942122938985,0.1274010830899604,0.01378262206378533,8.99772745574754e-16,0.007938604111472064,0.02169932911855717,0.05083751426888838,0.04898841411160355,1.1903239165988448e-15,0.014467511712314836,0.022435026332868164,0.014402949536744513,0.25970914870227996,0.11015849627597936,0.0005706393570046951,0.08070663306717359,0.10062057199259163,0.029981081853913093
Metal_Dopant_2 Relative Atomic Mass,0.04111026973035107,0.2617363686432206,0.0,0.028894830719741874,0.02507105130977217,0.04961178606853477,0.018201947893854355,0.030644907752337046,,9.097436372319085e-15,0.010057612872368447,0.03026128720492394,0.04960904088228521,0.07166814157478868,0.021636197085729544,0.03243759838168878,0.030774757243705375,8.26339043889793e-15,0.0,0.005938300385809344,0.0035990663701221727,0.06592800146925201,0.004786578291340659,0.0078120264481833564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008696457641888937,0.08826793469202077,0.06596323126471364,0.06084141336680283,0.0,0.11815133960365046,0.11753291304736849,0.02417947852861669,0.19940045176804186,0.010695243583178842,5.552219538883452e-15,0.10508660253754565,0.06868641869178378,0.0,0.05185006572310012,0.02748289085730794,0.04368939449440638,0.10366528397698814,0.054662939382480354,6.4424764880572e-15,0.23809182566998988,0.06309427679066756,0.3771527376176981
Metal_Dopant_2 Atomic Number,0.01681654658329547,2.765578444618046e-14,0.0,5.3008886515140405e-15,0.02763756500752798,0.002095218849859425,2.6418048803949996e-15,0.04140713953161674,9.097436372319085e-15,,5.537340387369721e-14,1.578259025845053e-14,7.982126175141467e-15,0.0032919141328974577,3.3573151763786322e-15,0.05058312195816036,2.268704056611349e-14,0.09680741786069387,0.0,0.07297029284883175,2.510072986943915e-14,1.1648697743024416e-14,0.17921919088616356,3.421014542018879e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006062991809647568,0.003546139462281172,0.0026969688293760207,0.01937158855721717,0.0,0.005879797830251909,0.01828065123151488,0.05524322398849943,9.999830664265031e-14,0.03924091002080885,0.0,0.02845851788389097,0.0007451156926281899,0.0,0.012660524458105825,3.692295137974682e-15,0.0019053610494373615,0.11616926028266854,0.008852431954309882,1.9559616532235315e-14,3.0420381651598804e-14,0.004239784681769832,6.58488902239368e-15
