,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,,0.11005311648864712,0.06289353392159787,0.07414904053211593,0.08355434821548022,0.10150527592146774,0.14018932356611072,0.08495500833471448,0.10227918825865967,0.06445055729668056,0.07866839425850425,0.08991666287963793,0.07878328498933022,0.09349649389831599,0.09199233607709528,0.12037370289240792,0.02606126656465236,0.030345513647944196,0.03441982716376738,0.05464453843999446,0.021023815660961384,0.045868098532069405,0.013922862050718514,0.02779701543890508,0.06695458989072463,0.033408077212645444,0.016291577219572362,0.02535129402833488,0.006272289304594897,0.02575841253904891,0.024855185372184497,0.0022833760472132556,0.06292211998350722,0.12676507173969687,0.030679991639776066,0.031042613038954912,0.06028528247193643,0.0,0.017189144674151023,0.009996609952213112,0.012064132532681767,0.06879229417893286,0.06683116801639805,0.06485622682846356,0.02597182884253441,0.011564310370198444,0.010886896336158164,0.025476183232540143,0.09932497446926704,0.08967720844476511,0.013135860847500892,0.11967540059913546,0.06140748251965463,0.11664868726781119
Metal_Dopant_1 Atomic Number,0.11005311648864712,,0.0736984882600889,0.05486623880321784,0.0980527965735861,0.14059985813657888,0.10321252816245123,0.10293311996923586,0.03636037349544192,0.11907821156971472,0.08990599387425527,0.08133827614124205,0.06329066969769508,0.10766311871495415,0.11949307957895672,0.15014954417778725,0.06639757723327493,0.05933390609600266,0.017412484718302097,0.03464101794799912,0.04532240796963189,0.018072132419289975,0.01696181989493331,0.023768606139497266,0.011692687010472413,0.008133098829195329,0.011056171334391704,0.029147354741861933,0.014756830849754364,0.017045589700792486,0.02049968274822466,0.011761841790419402,0.054197156763708204,0.10001057124078981,0.02495007818584834,0.019532794397320332,0.04689814256623166,0.0,0.010189554291572759,0.013826044173390594,0.028926909185231397,0.033936579289411656,0.09094289490800685,0.06077726437613658,0.016156288537312494,0.01890500998925239,0.008396202590198831,0.027708249156019864,0.12127289039423135,0.06066870492503537,0.011010604820440834,0.06466276129484076,0.0884363687897413,0.07690547344113244
Metal_Dopant_1 Period,0.06289353392159787,0.0736984882600889,,0.10638004575016312,0.047335911484332,0.10559410951920149,0.09357566812617239,0.07366068361276414,0.08870742994732451,0.09029870446280118,0.14675838742593847,0.0909657655188498,0.11274009824230237,0.07757176941491795,0.06659172876012559,0.05248090517411334,0.08424851346431901,0.04238491948738196,0.023102650823637803,0.03482707621207073,0.0372754441010707,0.04414666240256858,0.034980217525064985,0.038822986396027236,0.017178716628658813,0.014556931401317048,0.05946880134172195,0.006140351282230517,0.024296020355891075,0.03908114490273865,0.020505847841326304,0.04756223286276442,0.07199181081251045,0.09116097282261257,0.03564011215203578,0.019123670281812208,0.02037647043821226,0.0,0.035354050056249496,0.011149384788461683,0.04328320767902038,0.025794573185935702,0.05269112587299561,0.0459071303994693,0.02780868800653904,0.01729463627357396,0.01004194111888446,0.02717485156270995,0.07700369172736518,0.04333589158427202,0.011247024392084661,0.11521870467617684,0.02961260007862971,0.09565906530778043
Metal_Dopant_1 Group,0.07414904053211593,0.05486623880321784,0.10638004575016312,,0.05959821146697403,0.03770011474986519,0.1643829958994176,0.08309662697959819,0.0731810952456467,0.11761106656290579,0.10474170087311242,0.11072959565511403,0.10983608338807659,0.07092963448993618,0.06518344190136835,0.1361451692196846,0.049540574762231025,0.022154866182793585,0.027650040667130383,0.028646180011946527,0.05143354804878569,0.031052510835227642,0.02869511232442707,0.04859814912204188,0.02598528690217215,0.019157175102008032,0.0067035481610752175,0.005872471388884786,0.01535282819418464,0.05315779021825016,0.04784727200329534,0.010265809744523015,0.07926441438343941,0.0648088879057592,0.05887397412370559,0.07077194156144882,0.07338768538623588,0.0,0.01959150207517345,0.026335364432271986,0.023019599875389703,0.07305445192407943,0.11302173412141996,0.06744175012160976,0.011070294594028566,0.027972471286014225,0.045411278019304155,0.054362127892112505,0.05363719848030326,0.10013589950001318,0.04067804798105536,0.1470222423505731,0.1521723146897638,0.2704465634572182
Metal_Dopant_1 Ionization Potential,0.08355434821548022,0.0980527965735861,0.047335911484332,0.05959821146697403,,0.09460716773595919,0.09152909351155898,0.09092225648497702,0.07748143775178888,0.09039951258343717,0.03322080910665428,0.07651277971130462,0.06267626630124125,0.05208362992139666,0.05217714270055292,0.0690164065822941,0.02520181844993959,0.03734461074586676,0.020000140519343044,0.045434335351398576,0.06694065112566677,0.06830551497498624,0.017447963472815374,0.031352077861758455,0.018762355091473084,0.08421706903418767,0.052124906454590926,0.02442674777812783,0.023122172460470415,0.09347990550115103,0.02890508339662436,0.0063251022792457645,0.07434061743572994,0.07723447036746224,0.041716177638664746,0.0729681336171473,0.04375494085345819,0.0,0.03640275146353911,0.024860109265448297,0.02156100772686666,0.011964055997777123,0.06639584555139076,0.05580710272194329,0.014524818323322084,0.03335472430301366,0.02228027513065428,0.03979750577606083,0.17500980047865985,0.10993873333374207,0.01873048413410275,0.026661684622032673,0.08428169583096062,0.06580936157130779
Metal_Dopant_1 Electronegativity,0.10150527592146774,0.14059985813657888,0.10559410951920149,0.03770011474986519,0.09460716773595919,,0.0324583731190586,0.10124930142385723,0.08198960644318108,0.07624925311190638,0.05781229797370854,0.07023751661571366,0.07383089043543618,0.07873238695381435,0.08058817951143167,0.05464545594160425,0.01035446246047116,0.011015823861490722,0.014909751562060094,0.017968665454781,0.012798723856808568,0.0061616162681601295,0.009003595451633206,0.028538824424302056,0.00525998806655134,0.0021946478074778694,0.007902596319725374,0.002520467297259915,0.001975984569358392,0.0034378676831609456,0.0009298999822992378,0.0017625684223391478,0.13493835665248485,0.21548357956756894,0.02592636751071268,0.006802842686552571,0.0639705477504415,0.0,0.012714978535557175,0.006645937930356468,0.014679204864601947,0.014965355119293615,0.03993813685860452,0.05222984947586669,0.008132226550981789,0.02333415242899916,0.026722778680292672,0.027406692487935973,0.10763199688661151,0.054206294531490104,0.01092843400927112,0.05170778084564303,0.11416414451330556,0.20526573677685941
Metal_Dopant_1 Number of d electrons,0.14018932356611072,0.10321252816245123,0.09357566812617239,0.1643829958994176,0.09152909351155898,0.0324583731190586,,0.09579607156762852,0.15611689037286947,0.1773031175567256,0.16558812593566388,0.04783779535334307,0.10016479233634361,0.10585670646587404,0.05446301369900518,0.07664263441721073,0.0436753014559512,0.013066819357995679,0.039092396905128474,0.01773185339858202,0.05734287855029104,0.08065629189706319,0.017715591430053617,0.03537179470402976,0.01667287609029432,0.003349981083210577,0.004751772631204534,0.0038354294089329604,0.02208176168568359,0.01237297167813676,0.008629824280897298,0.01628611598461118,0.09532363989431214,0.08963372090316221,0.01827588636345816,0.024741329195086047,0.08932817311687542,0.0,0.012092514575800435,0.018294336451040883,0.013315307234146749,0.016506520304924405,0.07725333664016085,0.05580736503705221,0.012149500769500103,0.015249405405134111,0.0343063242349746,0.02978263903431399,0.14138622897082492,0.05646513029946349,0.020409667465024307,0.03718371517906729,0.1475896920700818,0.11588546155719252
Metal_Dopant_1 Atomic Radius,0.08495500833471448,0.10293311996923586,0.07366068361276414,0.08309662697959819,0.09092225648497702,0.10124930142385723,0.09579607156762852,,0.1351476667332939,0.10470259120960221,0.06438446884782945,0.10369629936027225,0.09159247225879236,0.11798059555570313,0.10755094485120271,0.1899323300737256,0.0607535916684697,0.04458317672403518,0.010587184815609966,0.021722680211103285,0.023515776174558998,0.02110048463872068,0.024785433378236674,0.02636547697906647,0.007957638404145958,0.016859303686180573,0.020473582151776804,0.0177301880124402,0.008357214010617562,0.019260574344176662,0.01669180971375344,0.015696302303514608,0.06758545337495063,0.05550376682553921,0.018370466410551196,0.021364054132259884,0.03333284178469197,0.0,0.025229158582948517,0.007837458907526112,0.029136329007421066,0.08781805616938948,0.05605404446004599,0.0625006731537504,0.009957478554936209,0.019880857733403808,0.016540028731872044,0.011111609215497427,0.15334112541839384,0.07174450207462958,0.023228718551828502,0.06461758762536164,0.07812333685561285,0.06815472769345264
Metal_Dopant_2 Relative Atomic Mass,0.10227918825865967,0.03636037349544192,0.08870742994732451,0.0731810952456467,0.07748143775178888,0.08198960644318108,0.15611689037286947,0.1351476667332939,,0.07083606285024198,0.04114604159424624,0.058118708432748196,0.07670532534544262,0.07478428877134283,0.04832738433579733,0.09349093893908818,0.045195106182286685,0.03298451532430523,0.05962563540504825,0.06869890535006165,0.05035199196573112,0.0362625696980146,0.04779447213546685,0.036062830189091094,0.01259112198783595,0.010497552388639288,0.010675869482339414,0.02102349860638103,0.01757443670534497,0.011378436412684979,0.013485202618359962,0.010795617246064343,0.03930327484691408,0.06169284475445564,0.03697865681605987,0.018050125529282923,0.04036509008475333,0.0,0.03128210817577273,0.018927842345526476,0.01468116267561675,0.027720488982318218,0.07420391497779807,0.03713069796294801,0.01899547122867665,0.02759597306019628,0.013582822787564636,0.03170252981473269,0.06253888767080598,0.031512334419484124,0.021169689817459827,0.07487204376231683,0.06656219103829614,0.06210087130893678
Metal_Dopant_2 Atomic Number,0.06445055729668056,0.11907821156971472,0.09029870446280118,0.11761106656290579,0.09039951258343717,0.07624925311190638,0.1773031175567256,0.10470259120960221,0.07083606285024198,,0.054495208567882085,0.0439905074588587,0.056980995661076145,0.04812799335980683,0.05445839863551248,0.05096180990083974,0.04075260292021138,0.04021056636832181,0.040482487843265136,0.031318488743942906,0.038244325033152414,0.03538955902768918,0.033178808474747266,0.051951481424715944,0.00902569274039391,0.02252065791034704,0.011886950013958812,0.009214567487844952,0.019299040193552382,0.009574810941459785,0.006161711490681482,0.008379736217194123,0.05985909964577907,0.02402672347233059,0.03461081957379961,0.04519868940169781,0.04650209712633125,0.0,0.02455631142803222,0.014296928031351538,0.024567450174403208,0.02088081620126045,0.07197290287276063,0.06081072613400813,0.018833386737958327,0.037881260463636476,0.005199229218306685,0.038358477480666266,0.09263629495802599,0.0472795924934969,0.03632099987594133,0.1228972069999641,0.054793486694525745,0.03285378668432183
